,thiếu,về,lượng,yếu,chất,từ,trước,đến,nay,giáo,dục,vẫn,được,coi,là,một,trong,những,tố,giúp,tạo,ra,hình,ảnh,tích,cực,việt,nam,con,mắt,thế,giới,tỉ,lệ,người,biết,chữ,94,cùng,chỉ,số,luôn,ở,mức,cao,theo,xếp,hạng,của,liên,hiệp,quốc,lhq,đã,biến,thành,ví,dụ,điển,kết,gắn,phát,triển,kinh,tế,với,cải,thiện,xã,hội,mà,thường,nhắc,tới,nhưng,đánh,giá,ngân,hàng,deustche,công,đó,chưa,đủ,sức,cạnh,tranh,cho,quyết,định,nhập,rằng,để,có,nền,phải,hai,đầu,tư,và,chiến,lược,hướng,các,kỹ,năng,thị,trường,đang,cần,tuy,nhiên,cả,này,đều,vấn,đề,nếu,nhìn,vào,chi,phí,gdp,72,thuộc,loại,nhất,khu,vực,đứng,trên,singapore,3,so,sánh,bình,quân,lại,gần,cuối,bảng,thấp,hơn,24,lần,thái,lan,khi,chính,từng,mới,hưởng,hay,như,khá,phổ,thông,hoàn,toàn,đi,sau,nước,đào,đại,học,nghề,lĩnh,đội,ngũ,nhân,nghiên,cứu,châu,á,thấy,mất,cân,đối,giữa,dạy,việc,đa,sinh,đổ,xô,thì,10,44,37,31,philippines,27,malaysia,vậy,làm,sao,thể,nguồn,lao,động,tay,đất,không,vượt,qua,thách,thức,sẽ,“xưởng,lắp,ráp”,ty,gia,khả,ngành,sử,dụng,ít,mang,trị,khởi,điểm,bệ,phóng,tăng,tốc,chúng,ta,mãi
0,0.023474945555951577,0.07042483666785473,0.012421056426172755,0.020443154738588577,0.012421056426172755,0.03183688987995105,0.03183688987995105,0.023474945555951577,0.03183688987995105,0.006751056907952623,0.006751056907952623,0.03183688987995105,0.023474945555951577,0.03183688987995105,0.010221577369294289,0.0151130012319521,0.013502113815905246,0.03183688987995105,0.012421056426172755,0.03183688987995105,0.012421056426172755,0.0151130012319521,0.023474945555951577,0.023474945555951577,0.03183688987995105,0.03183688987995105,0.0029093152922225825,0.0029093152922225825,0.03183688987995105,0.03183688987995105,0.0151130012319521,0.023474945555951577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,0.004500704605301748,0.004500704605301748,,,,0.00681438491286286,0.010075334154634734,0.004500704605301748,,,,,,0.015649963703967717,,,,0.003879087056296777,0.003879087056296777,,,0.010075334154634734,0.015649963703967717,0.012389014462195843,0.012389014462195843,0.010075334154634734,0.021224593253300703,0.021224593253300703,0.021224593253300703,0.021224593253300703,0.012389014462195843,0.012389014462195843,0.021224593253300703,0.015649963703967717,0.00681438491286286,0.010075334154634734,0.012389014462195843,0.021224593253300703,0.021224593253300703,0.005574629549332985,0.021224593253300703,0.021224593253300703,0.015649963703967717,0.021224593253300703,0.015649963703967717,0.021224593253300703,0.012389014462195843,0.021224593253300703,0.021224593253300703,0.021224593253300703,0.021224593253300703,0.021224593253300703,0.012389014462195843,0.012389014462195843,0.021224593253300703,0.021224593253300703,0.00828070428411517,0.021224593253300703,0.021224593253300703,0.021224593253300703,0.015649963703967717,0.015649963703967717,0.021224593253300703,0.021224593253300703,0.015649963703967717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,0.012688854665330842,,,,,,,,,,,,,0.008380622368492912,,0.015419242460076523,,0.015419242460076523,0.01876096704656123,,,,,0.0036115638110349305,0.0036115638110349305,,,0.01876096704656123,,,,,,,,,,,,,,,0.02306919934339916,,,0.010380344678068316,,,,,,,0.02306919934339916,,,,,,,,,,,,,,0.029141311724629543,,,,,0.02306919934339916,0.03952165640269786,0.029141311724629543,0.02306919934339916,0.02306919934339916,0.029141311724629543,0.02306919934339916,0.029141311724629543,0.03952165640269786,0.03952165640269786,0.03952165640269786,0.03952165640269786,0.03952165640269786,0.010380344678068316,0.03952165640269786,0.03952165640269786,0.029141311724629543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.012421056426172755,0.010221577369294289,0.012421056426172755,,,,,0.013502113815905246,0.013502113815905246,,,,0.010221577369294289,0.0151130012319521,,,0.012421056426172755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023474945555951577,,,0.023474945555951577,,,,0.018583521693293765,0.018583521693293765,0.023474945555951577,,,,,,,,0.008361944323999478,,,,0.03183688987995105,0.03183688987995105,0.020443154738588577,0.03183688987995105,0.03183688987995105,0.023474945555951577,0.0151130012319521,0.018583521693293765,0.010221577369294289,0.03183688987995105,0.03183688987995105,0.03183688987995105,0.018583521693293765,0.03183688987995105,0.023474945555951577,0.03183688987995105,0.03183688987995105,0.023474945555951577,0.03183688987995105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,0.02628405609247103,,,,,,,,,,,,,0.017359860620449603,,0.03193985938158708,,,,,,,,0.0074810964657152125,0.0074810964657152125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02628405609247103,,,0.06036414571530405,,,,,,,,,,,,,,0.08186628826273128,0.08186628826273128,0.06036414571530405,0.06036414571530405,0.08186628826273128,0.08186628826273128,0.08186628826273128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,0.008679930310224801,0.008679930310224801,,,,,,0.008679930310224801,,,,,,,,,,0.0037405482328576063,0.0037405482328576063,,,,,0.023893099319949127,0.023893099319949127,,,,,,,,,,0.013142028046235515,0.019431001583938415,0.023893099319949127,,,0.010751071273713613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030182072857652027,,,,,0.023893099319949127,0.04093314413136564,0.023893099319949127,0.030182072857652027,0.030182072857652027,0.04093314413136564,0.04093314413136564,0.030182072857652027,0.04093314413136564,0.030182072857652027,0.023893099319949127,0.023893099319949127,0.04093314413136564,0.04093314413136564,0.023893099319949127,0.030182072857652027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,0.006943944248179841,0.006943944248179841,,,,,,,,,,,,,,,,0.0029924385862860853,0.0029924385862860853,,,0.015544801267150733,,,,0.015544801267150733,,,,,,,,0.024145658286121623,0.010513622436988413,,,,,,,,,,,,,,,,,,,,,,0.02555188750526967,,,,,,,,,0.019114479455959302,,,,,,,,,,,,,,,,,,,,,,,0.015544801267150733,,0.010513622436988413,,,,,,,,,,,,,,,,,,0.019114479455959302,,,0.024145658286121623,0.024145658286121623,,,,,,,,,,0.019114479455959302,0.024145658286121623,0.057343438367877905,0.03274651530509251,0.03274651530509251,0.03274651530509251,0.019114479455959302,0.03274651530509251,0.03274651530509251,0.03274651530509251,0.019114479455959302,0.03274651530509251,0.03274651530509251,0.06549303061018502,0.024145658286121623,0.024145658286121623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.02129323958772472,0.017522704061647354,0.02129323958772472,,,0.040242763810202704,,0.011573240413633067,0.011573240413633067,,,,0.017522704061647354,,0.011573240413633067,,0.02129323958772472,,,,,0.040242763810202704,,,,,,,,,,,0.025908002111917888,,,,,,,,,0.017522704061647354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040242763810202704,,,,,,0.014334761698284819,,,,,,,,,,0.025908002111917888,0.03185746575993217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040242763810202704,0.05457752550848752,0.05457752550848752,0.05457752550848752,0.05457752550848752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.010162682530504983,,0.010162682530504983,,,,,0.005523592015597601,0.005523592015597601,,,,,,0.011047184031195202,,,,0.030488047591514945,0.012365182826142629,,,,,0.0023803488754548406,0.0023803488754548406,,,,,,,,,,,,,,,,,,,,,0.006841590810545028,,,,,,,0.015204699567240354,,,,,,,,,,0.010162682530504983,,,,,,,,,0.015204699567240354,,,,,,0.030409399134480708,,,,,,,,,,,,,,,,,,,0.008363108756695329,,,,0.015204699567240354,,,,,,,,,,,,,,,,,,,,,,,,0.015204699567240354,0.030409399134480708,,,,,0.015204699567240354,,,,0.015204699567240354,,,,,,,,,,,,,,,0.026048364447232682,0.019206773636687654,0.026048364447232682,0.026048364447232682,0.026048364447232682,0.026048364447232682,0.026048364447232682,0.019206773636687654,0.019206773636687654,0.019206773636687654,0.030409399134480708,0.015204699567240354,0.015204699567240354,0.015204699567240354,0.026048364447232682,0.026048364447232682,0.026048364447232682,0.026048364447232682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,0.004765451935025381,,,,0.008767804536121944,,,,,,0.0020536343239218233,0.0020536343239218233,,,,,0.0131177800187956,0.0131177800187956,,,,,,,0.0131177800187956,,,0.007215231084207734,,,,,0.011805097869175734,,,,,,,,,,,,,0.0131177800187956,0.0131177800187956,,,0.008767804536121944,,,,,,,,,,,,0.0131177800187956,0.0131177800187956,,,,,,,,,0.005902548934587867,,,0.016570549804201112,,,,,,,,,0.007215231084207734,,,,,,,,,0.016570549804201112,,,,,,,,,,,0.0131177800187956,,,,,0.016570549804201112,,0.016570549804201112,0.0131177800187956,0.0131177800187956,,,,,,,,,,,,,0.0131177800187956,,,,,,0.016570549804201112,,,,,,,,,,,,,,,0.0131177800187956,0.0393533400563868,0.0524711200751824,0.0131177800187956,,,,,0.02247309873878898,0.02247309873878898,0.02247309873878898,0.02247309873878898,0.02247309873878898,0.02247309873878898,0.02247309873878898,0.02247309873878898,0.02247309873878898,0.02247309873878898,0.02247309873878898,0.016570549804201112,0.016570549804201112,0.02247309873878898,0.02247309873878898,0.016570549804201112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
