,không,cần,mời,họ,vẫn,về,pgs,ts,nguyễn,lương,dũng,đứng,đang,hướng,dẫn,sinh,viên,trong,một,buổi,thực,tập,sáng,ngồi,cùng,tôi,tại,quán,cà,phê,napoli,loại,sang,trung,tâm,sài,gòn,việt,kiều,đức,giảng,dạy,đh,bách,khoa,tphcm,hớp,từng,ngụm,đá,thong,thả,nói,“nếu,nam,thì,làm,gì,giờ,này,có,thể,đây,thưởng,thức,ngắm,nhìn,dòng,người,hối,hả,tất,bật,ngày,mới”,gần,30,năm,học,và,nghiên,cứu,đã,nhận,được,nhiều,giải,chỗ,nhất,định,giới,nhưng,từ,“phong,độ”,đỉnh,cao,ông,cũng,ra,rằng,“ngành,cơ,của,nếu,thiếu,mình,chẳng,sao,cái,lúc,là,những,công,việc,ý,nghĩa,hơn”,thế,1992,theo,dự,án,ứng,dụng,tính,toán,viện,trao,đổi,hàn,lâm,nước,mức,phía,trả,vào,thời,điểm,đó,80,triệu,đồng,tháng,càng,thấy,rõ,hơn,chính,các,mới,đến,quyết,ở,lại,cho,1997,nay,ngoài,đầu,tiên,phong,phó,giáo,sư,2002,đón,trên,10,khắp,nơi,dưới,hình,tên,tuổi,quen,thuộc,với,như,chánh,khê,đặng,mô,đoàn,kim,sơn,đăng,hưng,5,ký,hợp,lĩnh,vực,điện,–,tử,nghệ,thông,tin,tiến,hữu,tiếng,văn,hóa,du,lịch,dl,hồng,bàng,châu,á,chia,sẻ,“tôi,sống,43,điều,quan,trọng,muốn,phục,vụ,chuyển,giao,tri,phương,pháp,góp,nhặt,dẫu,biết,thù,lao,còn,thấp,so,chấp,nhận”,dương,ái,hiệu,trưởng,trường,tự,nhiên,“với,chương,trình,9,tới,chắc,chắn,chúng,sẽ,tham,gia,vì,lợi,ngoại,ngữ,kiến,cập,nhật,tài,liệu,đầy,đủ”,“nhưng,chờ,phải,trí,khẳng,hào,hứng,thiệu,câu,lạc,bộ,kỹ,thuật,xuất,hiện,lần,cuối,12,vừa,qua,mà,thành,vận,động,lập
0,0.01967510328740876,0.008022177839006635,0.008022177839006635,0.00983755164370438,0.012940953660858824,0.007261495218790979,0.01967510328740876,0.006206804034308891,0.01346829925309987,0.01604435567801327,0.011470154654995613,0.00983755164370438,0.01967510328740876,0.012940953660858824,0.012940953660858824,0.008022177839006635,0.00491877582185219,0.011470154654995613,0.02951265493111314,0.025881907321717648,0.012940953660858824,0.00983755164370438,0.012940953660858824,0.025881907321717648,0.012940953660858824,0.01346829925309987,0.01475632746555657,0.025881907321717648,0.03882286098257648,0.03882286098257648,0.012940953660858824,0.012940953660858824,0.012940953660858824,0.012940953660858824,0.012940953660858824,0.012940953660858824,0.012940953660858824,0.006206804034308891,0.004228602732876796,0.004228602732876796,0.004228602732876796,0.004228602732876796,0.00491877582185219,0.006734149626549935,0.0036307476093954895,0.00491877582185219,0.012940953660858824,0.012940953660858824,0.012940953660858824,0.012940953660858824,0.012940953660858824,0.012940953660858824,0.012940953660858824,0.012940953660858824,0.0057350773274978065,0.00983755164370438,0.0057350773274978065,0.012940953660858824,0.00983755164370438,0.00983755164370438,0.00491877582185219,0.012940953660858824,0.00983755164370438,0.00983755164370438,0.0057350773274978065,0.012940953660858824,0.012940953660858824,0.012940953660858824,0.008022177839006635,0.012940953660858824,0.012940953660858824,0.012940953660858824,0.012940953660858824,0.012940953660858824,0.012940953660858824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,0.00860085701897089,,,0.015894357164779636,0.027264071698266425,,,,,,0.015894357164779636,,,,0.027264071698266425,,,,,0.013632035849133212,,,,,,,,,,,,,0.023438540862231384,0.011719270431115692,0.011719270431115692,,,0.020124715320649283,,,,,,,,,,,,,,,,0.013632035849133212,,,0.027264071698266425,,,,,,,,,,,,0.035864928717237315,0.035864928717237315,0.011719270431115692,0.03515781129334708,0.03178871432955927,0.044465785736208206,0.044465785736208206,0.00860085701897089,0.027264071698266425,0.018663214679295534,0.018663214679295534,0.035864928717237315,0.035864928717237315,0.035864928717237315,0.022232892868104103,0.022232892868104103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017833672395176053,,,,,,,,,,,,,,,,0.041488804758231516,,,,,,,,,,,,,,,,,,,,,,,0.017833672395176053,,,,,0.041488804758231516,,,,,,,,0.041488804758231516,0.028400544077188856,0.054577065439274174,0.054577065439274174,0.054577065439274174,0.054577065439274174,0.028400544077188856,0.06766532612031684,0.054577065439274174,0.03383266306015842,0.054577065439274174,0.03383266306015842,0.041488804758231516,0.054577065439274174,0.054577065439274174,0.03383266306015842,0.054577065439274174,0.054577065439274174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,0.05558223217026026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03973589291194909,,,0.06816017924566606,0.03408008962283303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05558223217026026,,,0.08966232179309327,0.08966232179309327,0.029298176077789232,0.05558223217026026,0.06816017924566606,0.046658036698238835,0.08966232179309327,0.08966232179309327,0.06816017924566606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,0.018060641954428844,,0.007718717837537979,,,0.014264166686340698,,,,,,,,,,,,,,,,0.01223387832614519,,,,,,,,,,,,,0.010517293976642288,0.010517293976642288,0.010517293976642288,0.01223387832614519,0.016749038814752402,0.009030320977214422,0.01223387832614519,,,,,,,,,,,0.014264166686340698,,,,,,,,,,,,,,,,,,,,,0.010517293976642288,,0.028528333372681396,0.01995259616368317,0.01995259616368317,0.007718717837537979,,,,,,,,,,,,,,,,,,,,0.03990519232736634,0.02446775665229038,,,,,,,,0.010517293976642288,,,0.016749038814752402,,,,0.02446775665229038,0.03218647448982836,0.02446775665229038,0.02446775665229038,0.02446775665229038,0.03218647448982836,0.03218647448982836,0.03218647448982836,0.03218647448982836,0.02446775665229038,0.03218647448982836,0.03218647448982836,0.03218647448982836,0.03218647448982836,0.016749038814752402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,0.0177076468037636,,0.04577360296374374,0.03272367651572278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024127909711120544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03842426551619669,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024127909711120544,,,,,,,,,,,,,,,,,,,,,,0.07383955912372388,0.07383955912372388,0.07383955912372388,0.04577360296374374,0.07383955912372388,0.07383955912372388,0.04577360296374374,0.07383955912372388,0.07383955912372388,0.056131912319960287,0.056131912319960287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,0.017685255690537357,,,,,,,,,,,,,,0.017685255690537357,0.010843664879992328,,,,,,,,,,,,,,,,,,,,,0.006841590810545028,,,,,0.010843664879992328,0.01484573894943963,0.008004148138894602,0.010843664879992328,,,,,,,,,0.012643238653801984,,0.025286477307603968,,,,,,,,,,,,0.017685255690537357,,,,,,,,,0.027966440801526084,,0.012643238653801984,,,0.006841590810545028,,,,,,,0.017685255690537357,,,0.01484573894943963,,,,,0.02969147789887926,,,0.017685255690537357,,,,,,0.017685255690537357,,,,,0.00932214693384203,,,0.02969147789887926,,,,,,0.021687329759984657,0.021687329759984657,0.021687329759984657,,,,,,,,,,,,,,,,,,,,,,0.028528920570529682,0.028528920570529682,0.028528920570529682,0.028528920570529682,0.028528920570529682,0.012643238653801984,0.028528920570529682,0.057057841141059364,0.028528920570529682,0.021687329759984657,0.028528920570529682,0.017685255690537357,0.028528920570529682,0.028528920570529682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,0.018814374728998825,,,0.034768906297955454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04863445314897773,,,,,,,,,0.02563590406806558,,,,,,,0.04082578211095898,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02563590406806558,,,,,,,,,,,,,,,,,,,,,0.04082578211095898,,,,0.04863445314897773,,,,,,,,,,,,,,,,,,,,,,0.059640156839957804,0.059640156839957804,0.034768906297955454,0.07845453156895663,0.07845453156895663,0.07845453156895663,0.07845453156895663,0.07845453156895663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,0.01677059610054107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014334761698284819,0.01953211738519282,,,,0.022720059748555354,0.03110535779882589,0.01677059610054107,0.022720059748555354,,,,,,,,,,,0.026490595274632725,,,,,,,,0.026490595274632725,,,,,,,,,,,,,,,,,,0.014334761698284819,,,0.03110535779882589,,,,,,,0.03110535779882589,,,,,,,,,,,,,,,,,,,,,,0.03110535779882589,,,,,,,,,,,,,,,,,,,,,,,,,0.03705482144684017,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05977488119539552,0.05977488119539552,0.04544011949711071,0.05977488119539552,0.05977488119539552,0.05977488119539552,0.05977488119539552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,0.050247116444257216,0.029928894245524758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013545481465821635,0.018350817489217786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015775940964963434,,,,0.01157807675630697,,,0.025123558222128608,,,,,0.029928894245524758,,,,,,,0.025123558222128608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02139625002951105,,,,,,,,,,,,,,,,,,,,,,,,0.04827971173474254,0.04827971173474254,0.04827971173474254,0.04827971173474254,0.03670163497843557,0.04827971173474254,0.04827971173474254,0.04827971173474254,0.04827971173474254,0.04827971173474254,0.04827971173474254,0.04827971173474254,0.04827971173474254,0.04827971173474254,0.04827971173474254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
