,bánh,cuốn,làng,kênh,nam,định,có,bí,quyết,riêng,và,chỉ,truyền,nghề,cho,con,dâu,trong,gia,đình,so,với,thanh,trì,ăn,đứt,về,độ,mỏng,mịn,trắng,của,hình,thơm,đậm,đà,nước,chấm,dụng,cụ,làm,nghe,đơn,giản,nhưng,rất,cầu,kỳ,gáo,múc,bột,phải,bằng,ống,nứa,tép,que,cất,sểu,nhân,tre,phía,lớp,vải,bảo,ôn,vung,nồi,đạt,được,hai,yêu,kỹ,thuật,là,thấm,giữ,nhiệt,mới,chín,nhanh,gạo,mộc,tuyền,loại,ngon,pha,tạp,sẽ,không,xay,tay,cối,đá,nhiều,nơi,máy,vì,đã,dở,sống,dầu,tráng,ngày,xưa,lạc,ép,tất,nhiên,đến,đâu,dùng,đó,bởi,mỡ,dễ,bị,khô,mùi,nay,ô,liu,bay,hết,hơi,bóng,mềm,nhĩ,hành,sau,khi,phơi,tái,phi,sao,nếu,hấp,người,ta,nói,cô,nàng,khó,tính,kể,cũng,ngoa,cẩn,thận,một,chút,mặc,đúng,vẫn,nhão,từ,chuyên,môn,ma,vầy,ngay,lá,chuối,để,xếp,kén,tây,goòng,tiêu,đắng,tốt,nhất,chọn,lại,mang,chát,như,rong,đao,diềng,lau,rửa,ủ,vỉ,cói,sạch,đậy,trên,hỏng,mắm,long,vàng,óng,thể,mười,bốn,ngàn,đồng,lít,nguyên,liệu,gồm,dấm,đường,vị,cổ,theo,tỷ,lệ,đặc,biệt,vắt,thêm,lát,chanh,mùa,lúa,còn,vài,giọt,cà,cuống
0,0.010939909553276582,0.05522981930679784,0.07371721510816087,0.0883914866961343,0.05673865983406637,0.05673865983406637,0.01910991037606872,0.05673865983406637,0.05673865983406637,0.05673865983406637,0.016978555274094496,0.05673865983406637,0.04419574334806715,0.05673865983406637,0.036858607554080436,0.05673865983406637,0.05673865983406637,0.036858607554080436,0.04419574334806715,0.05673865983406637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.013127891463931899,0.022091927722719135,0.029486886043264347,0.03535659467845372,,,,,,,0.0271656884385512,,,,,,,,,,0.04539092786725309,0.04539092786725309,0.03535659467845372,0.04539092786725309,0.03535659467845372,0.04539092786725309,0.04539092786725309,0.08846065812979305,0.04539092786725309,0.04539092786725309,0.029486886043264347,0.1361727836017593,0.04539092786725309,0.025322261489654347,0.04539092786725309,0.04539092786725309,0.019452552854464976,0.025322261489654347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.010939909553276582,0.05522981930679784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11347731966813274,0.11347731966813274,0.0883914866961343,0.11347731966813274,0.0883914866961343,0.0883914866961343,0.11347731966813274,0.0883914866961343,0.0883914866961343,0.11347731966813274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,0.019940776044593447,,,,0.017716753329489913,,,,,,,0.03846115570860567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059205558087721426,0.059205558087721426,0.03846115570860567,0.035433506658979826,0.07692231141721134,0.059205558087721426,0.059205558087721426,0.059205558087721426,0.059205558087721426,0.059205558087721426,0.059205558087721426,0.059205558087721426,0.059205558087721426,0.059205558087721426,0.04611729740667876,0.059205558087721426,0.059205558087721426,0.059205558087721426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0065639457319659495,,,,,,,,,,0.0203742663289134,,,,,,,,,,,,,,,,,,,,,,,,,,0.029178829281697467,,,,,,,,,,0.05303489201768058,,,,,0.0203742663289134,,,,,,,,,,,,,,,0.06808639180087965,0.06808639180087965,0.06808639180087965,0.03798339223448152,0.06808639180087965,0.06808639180087965,0.05303489201768058,0.05303489201768058,0.025831489800166803,0.06808639180087965,0.05303489201768058,0.06808639180087965,0.05303489201768058,0.05303489201768058,0.06808639180087965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.015444578192861057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05203568125281944,,,,,,,,,,0.06239399060903598,,,,,,,,,,,0.023969725092839293,,,,,,,,,,,,,,,,,,,,,,,0.030389988000196235,,,,,,,0.24030491223839875,0.06239399060903598,0.08010163741279958,0.06239399060903598,0.038985754804798475,0.05203568125281944,0.08010163741279958,0.05203568125281944,0.023969725092839293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.014586546071035442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0982896201442145,0.04527614739758533,0.0982896201442145,,,,,,,,,,,,,,,,,0.08440753829884783,,,,,,,,,,,,,,,,,,,,,0.11785531559484573,0.15130309289084365,0.15130309289084365,0.15130309289084365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.008204932164957436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11057582266224131,,0.055287911331120654,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06629361502210072,,,,,,0.04142236448009838,,,,0.025467832911141748,0.06629361502210072,,,,0.08510798975109955,0.08510798975109955,0.08510798975109955,0.08510798975109955,0.08510798975109955,0.1702159795021991,0.08510798975109955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0065639457319659495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0203742663289134,,,,,,,,,,,,,,,,,,,,,,,0.05166297960033361,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13269098719468955,0.05303489201768058,0.03798339223448152,0.05303489201768058,0.06808639180087965,0.1361727836017593,0.06808639180087965,0.06808639180087965,0.1361727836017593,0.06808639180087965,0.033137891584078705,0.06808639180087965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.010939909553276582,,,,,,0.03821982075213744,,,,0.03395711054818899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05522981930679784,,,,0.03395711054818899,,,,,,,,,,,,,,,,,,,,,,0.05522981930679784,,0.11347731966813274,0.11347731966813274,0.11347731966813274,0.07371721510816087,0.07371721510816087,0.11347731966813274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
