,ẩm,thực,đêm,nha,trang,chợ,này,đặt,tại,công,viên,phù,đổng,thành,phố,với,hàng,trăm,món,ăn,từ,cao,cấp,đến,bình,dân,ai,đã,tới,đây,cũng,một,thứ,gì,đó,chất,lượng,có,thể,chưa,giá,cả,rẻ,nhưng,quan,trọng,là,bạn,đang,sống,giữa,làng,quê,thật,sự,bước,chân,vào,khách,bắt,gặp,ngay,không,khí,ồn,ã,của,hội,uống,mọi,người,đều,mặc,đẹp,phục,vụ,và,những,tiệm,bán,đồ,trình,bày,khá,ở,trung,tâm,bộ,bàn,ghế,làm,bằng,tre,đi,ngắm,nhìn,các,nơi,sau,ngồi,bất,cứ,chỗ,nào,tức,khắc,sẽ,cô,gái,bà,ba,ra,giọng,dịu,dàng,mời,vật,dụng,dùng,để,đựng,phẩm,như,chén,tô,loại,hay,thôn,ngọn,đèn,dầu,mù,trên,được,thiết,kế,cây,chuối,cau,đơn,đa,dạng,200,tất,rất,nhiên,kèm,theo,nhậu,cho,vị,thích,lai,rai,mỗi,lại,cách,riêng,đầu,bếp,chế,biến,chơi,thưởng,thức,gian,còn,lời,thì,ngờ,bún,chỉ,5,000,đồng,bia,sài,gòn,6,500,chai,cánh,gà,chiên,mắm,chim,cút,tôm,tổ,yến,nhà,sạn,hải,3,sao,bò,bánh,xèo,phở,tp,hcm,bía,gỏi,cuốn,viễn,đông,chẳng,đụng,mì,quảng,nước,lèo,cần,thơ,rau,câu,chả,cá,hà,nội,cửa,bốn,mùa,nậm,ướt,bột,lọc,vịt,lộn,bao,cháo,trắng,nem,nướng,ninh,hòa,chiếm,ngoài,thiếu,gánh,chè,dạo
0,0.08368483367355373,0.03708683338448582,0.04184241683677686,0.08368483367355373,0.08368483367355373,0.01854341669224291,0.04184241683677686,0.03180808364797749,0.03180808364797749,0.03180808364797749,0.03180808364797749,0.03180808364797749,0.03180808364797749,0.04184241683677686,0.04184241683677686,0.02593837501278812,0.01854341669224291,0.04184241683677686,0.01854341669224291,0.013672482169634974,0.03180808364797749,0.02593837501278812,0.04184241683677686,0.03180808364797749,0.03180808364797749,0.03180808364797749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,0.04101744650890493,,,,,,,0.12552725051033062,0.12552725051033062,0.09542425094393249,0.05563025007672873,0.05563025007672873,0.05563025007672873,0.09542425094393249,0.12552725051033062,0.09542425094393249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,0.023179270865303636,0.01709060271204372,,0.03242296876598515,,,,,,,,,,0.023179270865303636,,,,0.05230302104597108,0.05230302104597108,0.023179270865303636,0.039760104559971865,0.05230302104597108,0.03242296876598515,0.01709060271204372,0.039760104559971865,0.05230302104597108,0.05230302104597108,0.05230302104597108,0.023179270865303636,0.05230302104597108,0.05230302104597108,0.05230302104597108,0.039760104559971865,0.05230302104597108,0.023179270865303636,0.039760104559971865,0.05230302104597108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,0.027815125038364363,,,,0.05563025007672873,,,,,,,,,,,,,,0.020508723254452466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027815125038364363,,,0.047712125471966245,0.06276362525516531,0.047712125471966245,0.017609125905568124,0.06276362525516531,0.06276362525516531,0.03266062568876719,0.03890756251918218,0.06276362525516531,0.06276362525516531,0.06276362525516531,0.07781512503836437,0.06276362525516531,0.06276362525516531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,0.03155188192992687,0.03670163497843557,,,0.07340326995687114,,,,,,0.02139625002951105,0.02139625002951105,,,,,,,,,,,0.015775940964963434,,,,,,,,,,,,,,,,,0.013545481465821635,,,,,,,,,,,0.04827971173474254,0.09655942346948508,0.029928894245524758,0.03670163497843557,0.09655942346948508,0.04827971173474254,0.04827971173474254,0.029928894245524758,0.018350817489217786,0.03670163497843557,0.02139625002951105,0.03670163497843557,0.04827971173474254,0.04827971173474254,0.04827971173474254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,0.0427925000590221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0427925000590221,,,,,,,,,,,,,,,0.050247116444257216,,,,,,,,,,,,,,,,0.03670163497843557,,,,,,,0.0427925000590221,0.09655942346948508,0.09655942346948508,0.09655942346948508,0.07340326995687114,0.09655942346948508,0.09655942346948508,0.09655942346948508,0.09655942346948508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,0.020477664483780095,0.01463953949387598,,,,,,,,,,,,,,,0.01463953949387598,,,0.02511164498524539,,,0.02927907898775196,0.02511164498524539,,,,,,,,,,,,,,,,,0.02511164498524539,,0.02511164498524539,0.018535922005861183,,,0.017189802994087993,,,,,,,,,,,0.02511164498524539,,,,,,,0.01463953949387598,0.02511164498524539,,,,,,,,,,,,,0.02511164498524539,0.02511164498524539,0.02511164498524539,0.020477664483780095,0.02511164498524539,0.033033486976402786,0.033033486976402786,0.02511164498524539,0.033033486976402786,0.020477664483780095,0.033033486976402786,0.033033486976402786,0.033033486976402786,0.033033486976402786,0.033033486976402786,0.033033486976402786,0.033033486976402786,0.033033486976402786,0.02511164498524539,0.033033486976402786,0.033033486976402786,0.033033486976402786,0.02511164498524539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0.024187065250751618,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024187065250751618,,,,,,,,,,,,0.017833672395176053,,,,,0.024187065250751618,,,,,,0.024187065250751618,,,,,,,,,0.028400544077188856,,,,,,,,,,0.03383266306015842,,,,,,0.020744402379115758,,,,,,,0.048374130501503236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054577065439274174,0.054577065439274174,0.10915413087854835,0.054577065439274174,0.054577065439274174,0.054577065439274174,0.041488804758231516,0.054577065439274174,0.041488804758231516,0.054577065439274174,0.054577065439274174,0.054577065439274174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,0.11928031367991561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11928031367991561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15690906313791325,0.15690906313791325,0.15690906313791325,0.3138181262758265,0.11928031367991561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,0.02225210003069149,,,,0.02225210003069149,,,,,,,,,,0.031126050015345744,,,0.02225210003069149,0.01640697860356197,,,,,,,,,,0.02225210003069149,,,,,,,,0.02225210003069149,,,,0.01640697860356197,,,,,0.02225210003069149,,,,0.038169700377572995,,,0.038169700377572995,,,,,,,,,,,,,,,,,,,,,,,,0.019084850188786497,,,,,,,0.02225210003069149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038169700377572995,0.038169700377572995,0.038169700377572995,0.038169700377572995,0.10042180040826448,0.05021090020413224,0.05021090020413224,0.038169700377572995,0.05021090020413224,0.05021090020413224,0.05021090020413224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
