,mai,chi,hãy,đón,nhận,tình,yêu,của,anh,ấy,bạn,còn,chờ,gì,nữa,hả,không,mau,mở,rộng,vòng,tay,lấy,tuyệt,vời,đó,đi,trả,lời,rằng,biết,dường,nào,và,mới,xứng,đáng,là,người,con,gái,mang,lại,hạnh,phúc,cho,from,phuong,leto,tamsuvnexpress,net,sent,tuesday,may,04,2004,535,am,subject,hay,ma,nh,da,n,dden,voi,ay,chào,tôi,cũng,một,độc,giả,trung,thành,mục,tâm,sự,thấy,thật,thú,vị,khi,được,chia,sẻ,những,kinh,nghiệm,các,về,trường,hợp,nghĩ,đã,đóng,góp,chân,bổ,ích,riêng,mình,xin,phép,với,số,điều,quan,sát,hy,vọng,giúp,ở,mức,độ,nhất,định,sinh,viên,đại,học,mỹ,quen,nhiều,từ,việt,nam,sang,du,trong,này,có,rất,xinh,xắn,giàu,cá,tính,thua,kém,ngạc,nhiên,họ,đều,điểm,chung,muốn,luôn,bằng,cách,khác,tuy,xem,sống,nên,miễn,xét,giống,vừa,nêu,trên,nghĩa,cô,coi,lẽ,tất,cả,cuộc,xứ,sở,văn,minh,khả,năng,từng,đấu,tranh,giữa,đối,trai,mà,sung,sướng,nước,nếu,như,thế,thì,cái,gọi,chết,yểu,thảm,thương,tội,nghiệp,ba,chính,thiết,đời,ngắn,ngủi,cao,đẹp,dành,quý,bao,thể,đánh,đổi,dù,xác,kết,hôn,để,cư,đây,phu,khổ,vì,theo,đúng,mong,sớm,hiểu,ra,ai,dự,đoán,sẽ,đến,nhau,hai,chỉ,trân,trọng,nó,thôi,chúc,nha,thực,tế,hơn05,05,tiếp,tục,yêu05,hoàn,cảnh,chi04,quá,vào,ấy04,chấp,đề,nghị
0,0.009122121080726703,0.009122121080726703,0.034731152596310245,0.034731152596310245,0.01469752691852359,0.013550243374006643,0.016726217513390658,0.006147959790666579,0.04534472890946669,0.016726217513390658,0.020535361536858938,0.012804515757791771,0.017365576298155123,0.011336182227366673,0.012804515757791771,0.017365576298155123,0.009122121080726703,0.017365576298155123,0.017365576298155123,0.017365576298155123,0.017365576298155123,0.017365576298155123,0.017365576298155123,0.01469752691852359,0.01469752691852359,0.009122121080726703,0.017365576298155123,0.017365576298155123,0.017365576298155123,0.011336182227366673,0.011336182227366673,0.017365576298155123,0.012804515757791771,0.007468416998528703,0.01469752691852359,0.012804515757791771,0.011336182227366673,0.0041070723073717876,0.005575405837796885,0.012804515757791771,0.011336182227366673,0.017365576298155123,0.01469752691852359,0.012804515757791771,0.012804515757791771,0.010136466378160236,0.021926636838518473,0.021926636838518473,0.021926636838518473,0.021926636838518473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.02315615351261394,0.02315615351261394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1113198485647861,0.1113198485647861,0.1113198485647861,0.1113198485647861,0.1113198485647861,0.08816369505217216,0.1113198485647861,0.1113198485647861,0.1113198485647861,0.07461821358635053,0.1113198485647861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7235790156711096,0.7235790156711096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.014334761698284819,0.014334761698284819,,,,,,0.01932215934209496,0.03562800128600954,,0.012907941537454188,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012907941537454188,,,,,,,,,,,,,,,,,,,,,,,,,,0.06891228720677234,0.06891228720677234,0.06891228720677234,0.06891228720677234,0.06891228720677234,0.014334761698284819,0.040242763810202704,0.028669523396569637,0.06891228720677234,0.06891228720677234,0.06891228720677234,0.05457752550848752,0.06891228720677234,0.05457752550848752,0.06891228720677234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,0.027051023078932944,,,0.018071118152435863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020068666377598746,,,,,,,,,,0.09647720208948128,0.036271202956685046,0.09647720208948128,0.06466911844150379,0.07640853571188252,0.05633986933428379,0.07640853571188252,0.05633986933428379,0.04987920180041336,0.09647720208948128,0.09647720208948128,0.06466911844150379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.014334761698284819,0.014334761698284819,,,,,,0.01932215934209496,,,0.025815883074908376,,,,,,,,,,,,,,,,,,,,,,,0.023472167709661634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014334761698284819,,,,,,0.05457752550848752,,,,,0.025908002111917888,,,,0.040242763810202704,,,,,,0.04619222745821699,0.06891228720677234,0.06891228720677234,0.06891228720677234,0.040242763810202704,0.05457752550848752,0.06891228720677234,0.06891228720677234,0.05457752550848752,0.06891228720677234,0.06891228720677234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.019421290042837495,0.019421290042837495,,,,,,,,,,,,,,,,,,,,,,,,0.019421290042837495,,,,,,,0.02726122709723409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019421290042837495,,0.019421290042837495,,,,,,,,,,,,,0.05452245419446818,0.03697187211865283,0.02726122709723409,,,,,,,,,,,,,,,0.046682517140071586,0.03697187211865283,0.03697187211865283,0.046682517140071586,0.04316172780377907,0.03697187211865283,0.046682517140071586,0.03129150892330829,0.03697187211865283,0.03697187211865283,0.03697187211865283,0.046682517140071586,0.019421290042837495,0.046682517140071586,0.046682517140071586,0.03697187211865283,0.03697187211865283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030118530254059774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03344777729599791,,0.06689555459199582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06689555459199582,,,,,0.16079533681580213,0.16079533681580213,0.16079533681580213,0.1273475595198042,0.10778186406917298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,0.024642433844230725,,,,,,,,,,,,,,,,,,,,0.06801709336420003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02736636324218011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10419345778893073,,0.13155982103111083,0.06801709336420003,0.13155982103111083,0.13155982103111083,0.13155982103111083,0.10419345778893073,0.13155982103111083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.01114925909866597,0.01114925909866597,,,,,0.01362876982572572,0.015028346154962747,,,0.030118530254059774,,,0.027710667666896307,,,0.02229851819733194,,,,,,,,,,,,,,,,,0.018256130440847937,,,,,0.01362876982572572,,0.055421335333792614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031299927407935434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042449186506601407,,,,,,,,,,,,,,,,,,0.027710667666896307,,,,,,0.05359844560526737,0.027710667666896307,0.02229851819733194,0.042449186506601407,0.05359844560526737,0.05359844560526737,0.042449186506601407,0.042449186506601407,0.042449186506601407,0.05359844560526737,0.05359844560526737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
