,yêu,nhiều,sẽ,đau,khổ,anh,minh,thân,mến,tôi,hiểu,tâm,trạng,của,hiện,giờ,tình,phải,xuất,phát,chân,thành,từ,cả,hai,phía,nếu,không,gây,cho,người,nào,hơn,mong,muốn,nói,gì,hãy,suy,nghĩ,chín,chắn,dù,lựa,chọn,điều,mà,from,nguyen,mai,trang,to,tamsuvnexpress,net,sent,sunday,may,16,2004,1254,pm,subject,nho,vnexpress,gui,bai,toi,với,rằng,thật,trước,mối,quan,hệ,mình,cách,sống,và,du,học,sinh,thoáng,rất,so,khi,họ,còn,ở,việt,nam,con,gái,cũng,vậy,trai,thế,bạn,ngoại,lệ,có,ý,là,tất,đều,giống,nhau,nhưng,kể,chuyện,đây,một,rồi,ấy,đi,chưa,được,nửa,năm,đã,liên,lạc,linh,cảm,xảy,ra,về,chơi,giác,thứ,6,đúng,chúng,ngồi,thẳng,thắn,thú,nhận,khác,chung,cô,sự,buồn,càng,lừa,dối,bên,đó,vẫn,tỏ,như,những,ngày,biết,dứt,khoát,trong,lòng,vô,hạn,lắm,làm,kia,liệu,cuộc,vất,vả,đơn,thiếu,thốn,mặt,nên,việc,cạnh,để,chia,cần,thiết,chúc,sớm,vượt,qua,mọi,tiếp,tục,tập
0,0.035379005421509686,0.07075801084301937,0.035379005421509686,0.04516185314682531,0.05210289406950863,0.015135527446443222,0.061885741794824256,0.05210289406950863,0.05210289406950863,0.01327122716195204,0.03977796353526662,0.061885741794824256,0.061885741794824256,0.02843796449882635,0.061885741794824256,0.061885741794824256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.055375834572797766,0.027687917286398883,0.027687917286398883,0.03534405898447198,0.04077617796744154,,,,,,,,,,,,0.04843231966551464,0.03534405898447198,0.0615205803465573,0.0615205803465573,0.04843231966551464,0.04843231966551464,0.04843231966551464,0.031130580158034746,0.04843231966551464,0.04843231966551464,0.04843231966551464,0.022255798303429317,0.04843231966551464,0.04077617796744154,0.027687917286398883,0.04843231966551464,0.03534405898447198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,0.019459963859712714,,,,0.03412601270216239,0.10228619194782845,,,,,,,,,,,,,,,,,,,,,,,0.15913476461526238,0.10228619194782845,0.09097458536959632,0.13397887046445078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,0.018162632935731865,,,,,,,,,,,,0.05419422377619037,,,,,,,,,,0.03412555739859162,,,,,,,0.047733556242319945,,,0.06252347288341037,0.05419422377619037,0.05419422377619037,0.06252347288341037,0.06252347288341037,0.06252347288341037,0.07426289015378912,0.07426289015378912,0.07426289015378912,0.06252347288341037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23582889132846965,0.23582889132846965,0.23582889132846965,0.23582889132846965,0.23582889132846965,0.23582889132846965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,0.014594972894784536,0.07956738230763119,0.033494717616112696,0.033494717616112696,0.008531503175540597,0.025571547986957113,0.039783691153815595,0.039783691153815595,0.018281548606388368,0.039783691153815595,0.039783691153815595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05053476242752921,0.05053476242752921,0.05053476242752921,0.05053476242752921,0.05053476242752921,0.05053476242752921,0.05053476242752921,0.05053476242752921,0.05053476242752921,0.05053476242752921,0.05053476242752921,0.05053476242752921,0.05053476242752921,0.05053476242752921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,0.014338920738735684,,,,0.012572741521849302,,,,0.02694122952520391,,,,,,,,,,,,,,,,,,,,,0.03768438650709469,0.033516952504588124,,0.04936063648690292,0.042784913507518715,0.042784913507518715,0.04936063648690292,0.04936063648690292,,,,,,,,,,,,,,,,,,,,,,,,,,0.033516952504588124,0.07447228147214831,0.04936063648690292,0.04936063648690292,0.05862859748983351,0.04936063648690292,0.05862859748983351,0.07447228147214831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0.02122740325290581,,,,,,,,,,,,0.01706277869929581,,,,,,,,,,,,,,,,,,,0.027097111888095184,,,,,,0.027097111888095184,0.027097111888095184,,,,,,,0.031261736441705185,,,,,,,,,,,,,,,,,,,,,0.02122740325290581,,,,,,,,0.04716577826569393,0.031261736441705185,0.02122740325290581,0.023866778121159973,0.02122740325290581,0.031261736441705185,0.04716577826569393,0.03713144507689456,0.04716577826569393,0.023866778121159973,0.04716577826569393,0.04716577826569393,0.027097111888095184,0.031261736441705185,0.031261736441705185,0.06252347288341037,0.027097111888095184,0.07426289015378912,0.031261736441705185,0.04716577826569393,0.04716577826569393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,0.017027468377248625,,,,,,,,0.06398542012235929,,,,,,,,,,,,,,0.06398542012235929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10161416958035695,0.1392429190383546,,,,0.17687166849635225,0.17687166849635225,0.17687166849635225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.024493157599506706,,,0.010478442078306846,,,,0.027563317951746547,0.027538590139799972,,,0.019687821576110553,,,,,,,,,,0.027538590139799972,,,,0.019687821576110553,,0.03607123435581368,,,,,,0.024493157599506706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024493157599506706,0.027538590139799972,0.024493157599506706,0.03607123435581368,,,,,,,,,,,,,,,,,,,0.031265898332417524,0.05442205184503146,0.03607123435581368,0.05442205184503146,0.05442205184503146,0.05442205184503146,0.04284397508872449,0.03607123435581368,0.05442205184503146,0.031265898332417524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.04898631519901341,,,,,0.010478442078306846,,,,0.018375545301164364,,,,,,,,,,,,,,,,,,,,,0.04898631519901341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07214246871162736,,,,,,,,0.055077180279599944,0.04898631519901341,,,,,,,,,,,,,,,,,,,,0.06253179666483505,,,,,,,,,,0.10884410369006292,0.08568795017744898,0.10884410369006292,0.08568795017744898,0.08568795017744898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,0.012383613365271728,,,,0.021716553537739703,,,,,,,,,,,,,,,,,,0.04653485099807948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0578929179624704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1286339407246198,0.0739012142402596,0.1286339407246198,0.1286339407246198,0.06509121305770903,0.1286339407246198,0.1286339407246198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,0.02654245432390408,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10420578813901726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09032370629365062,,,,,,,0.09032370629365062,,,0.07955592707053324,,,0.15721926088564644,0.12377148358964851,0.15721926088564644,0.12377148358964851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,0.005675822792416208,,,,0.01990684074292806,,,,0.021328473374119764,,,,,,,,,,,,,,,,,,,,,,0.026534254066132263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026534254066132263,,,,,0.039077170552131474,,,,,,,,,,,,0.05966694530289993,,,,0.039077170552131474,0.039077170552131474,,,,,,,,,,,,,,,,0.04641430634611819,,,0.03387138986011898,,,,,,,,,,0.029833472651449967,,,,,,,0.04641430634611819,0.05895722283211741,0.05895722283211741,0.05895722283211741,0.05895722283211741,0.04641430634611819,0.05895722283211741,0.05895722283211741,0.05895722283211741,0.05895722283211741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,0.009081316467865932,,,,,,,,,,,,,,,,,,,,,,,,,0.04245480650581162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04245480650581162,,,,,,,,,0.06252347288341037,0.04245480650581162,,,,,,,,,,,,,0.06252347288341037,0.05419422377619037,,,,,,,,0.05419422377619037,,,,,,,,,,,,,0.07426289015378912,,,,,,0.047733556242319945,,,,,,,,,,,,,,,,,0.09433155653138786,0.09433155653138786,0.09433155653138786,0.09433155653138786,0.06252347288341037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
