,chọn,dụng,cụ,nấu,cho,lò,vi,ba,sản,phẩm,thủy,tinh,thích,hợp,phải,chịu,được,nhiệt,độ,cao,mà,không,bị,nổ,hay,nứt,vỡ,như,các,loại,thông,thường,trên,thị,trường,đã,có,nhiều,với,đủ,mẫu,tô,chén,đĩa,và,ly,tách,tạm,chia,làm,hai,nhóm,trong,đục,đa,dạng,giá,cả,chất,lượng,nhau,nhưng,hoa,văn,tế,về,mã,hơn,rất,dày,nặng,bóng,sáng,sứ,giữ,nóng,của,thức,ăn,lâu,lại,phản,ứng,hóa,tẩy,rửa,nên,sạch,sẽ,an,toàn,khác,gốm,bền,gấp,lần,thể,thay,đổi,đột,ngột,phần,lớn,nhập,từ,quốc,gia,liên,minh,châu,âu,eu,pháp,tây,ban,nha,italy,mỹ,hãng,narumi,nhật,bản,nồi,kích,cỡ,tráng,bên,ngoài,lớp,dẫn,này,chỉ,sử,máy,còn,để,bếp,gas,điện,dòng,pyrex,luminarc,cũng,bộ,siêu,khá,corning,ware,hàng,1,150,000,đồng,vision,là,mặt,bán,chạy,hiện,nay,đang,hiếm,tại,chợ,đầu,mối,đông,bến,thành,bình,phong,phú,tiền,do,vậy,khách,dễ,sai,nếu,hỏi,kỹ,người,một,tiểu,thương,biết,khi,bỏ,vào,sóng,ngay,vì,chúng,tính,năng,bằng,thái,lan,cộng,hòa,séc,vài,chục,nghìn,hâm,quá,chuyên,ý,trăm,theo,nhà,phân,phối,biệt,từng,đều,dán,tem,phụ,tin,bảo,đảm,tuy,nhiên,đọc,hướng,gặp,số,sự,cố,nút,nhựa,mở,nắp,trước,chảy,trừ,than,đậy,miếng,tản,inox,hơi,dồn,chỗ,ngày,sạn,chuộng,trơn,trắng,vẻ,sang,trọng,đình,xu,trang,nhã,màu,xanh,biển,chấm,bi,chị,thu,thảo,10a5,cư,xá,thánh,quận,thạnh,nhận,xét,dùng,tiện,chế,biến,xúp,món,nướng,bánh,sắc,thuốc,mất,thời,gian,khay,trình,bày,nhìn,hấp,cảm,giác,ngon,miệng,tham,khảo,178,198,vuông,135,175,hạt,xoài,110,165,3,085,300,700,168,15,500
0,0.03043018949631379,0.017874367003691095,0.04298601198893648,0.024592064506409675,0.0414931797665963,0.031161882653755867,0.033340445030504554,0.031161882653755867,0.019220486015464288,0.019220486015464288,0.015318198671441068,0.015318198671441068,0.04298601198893648,0.04298601198893648,0.03043018949631379,0.02250834750515639,0.02250834750515639,0.016670222515252277,0.02250834750515639,0.027142328006621686,0.03043018949631379,0.019220486015464288,0.03506416999777909,0.04298601198893648,0.027142328006621686,0.03043018949631379,0.03506416999777909,0.017874367003691095,0.014586505513998992,0.019220486015464288,0.027142328006621686,0.024592064506409675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,0.024345948952921432,0.024345948952921432,0.01940305165049202,0.01940305165049202,,,,,,,,,,,,,,,,,0.018476240317732057,,,,0.02851057350653143,0.038544906695330804,0.038544906695330804,0.05444894851931955,0.013433984473377085,0.026279013852177655,0.02851057350653143,0.05444894851931955,0.038544906695330804,0.038544906695330804,0.03438028214172081,0.04441461533052018,0.048691897905842864,0.04441461533052018,0.04441461533052018,0.05444894851931955,0.05444894851931955,0.038544906695330804,0.05444894851931955,0.05444894851931955,0.026279013852177655,0.03438028214172081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,0.017941690012768532,0.019196013805442017,0.017941690012768532,0.022132680866292213,0.022132680866292213,0.008819568932041827,0.017639137864083654,,,,,,,,,,,,,,,,0.020582604428492777,,,,,0.025918703187755847,0.03504082426848255,0.03504082426848255,,0.012212713157615534,0.02389001259288878,,,0.03504082426848255,,,,0.022132680866292213,,,,,,,,,0.03125480194701891,0.09899808821694464,0.08075384605549124,0.02389001259288878,0.04949904410847232,0.03504082426848255,0.04037692302774562,0.04037692302774562,0.04037692302774562,0.04037692302774562,0.03504082426848255,0.04949904410847232,0.03504082426848255,0.04949904410847232,0.03125480194701891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,0.008084604854371675,0.008084604854371675,,,,,0.023758811255442856,,0.023758811255442856,,,0.02028829079410119,,,,,,0.018867387392785043,,,,0.025958290312321324,,,,,,,0.023758811255442856,,,,,,0.04057658158820238,,,,,,,,,0.028650235118100668,,,,,0.032120755579442335,,,,,,,,,0.028650235118100668,0.028650235118100668,0.032120755579442335,0.045374123766099624,0.045374123766099624,0.045374123766099624,0.03701217944210015,0.045374123766099624,0.03701217944210015,0.032120755579442335,0.032120755579442335,0.025958290312321324,0.03701217944210015,0.03701217944210015,0.045374123766099624,0.045374123766099624,0.045374123766099624,0.045374123766099624,0.03701217944210015,0.03701217944210015,0.045374123766099624,0.03701217944210015,0.028650235118100668,0.03701217944210015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,0.01909921840068908,,,0.018777146758540666,0.018777146758540666,,,,0.0551817551739318,0.0275908775869659,0.04086893261803784,0.0551817551739318,0.03327124078231045,,,,,,,,,0.017880232565547154,0.023560595760891707,0.03327124078231045,0.030145111330437666,,,,,0.013000630135526213,,0.0275908775869659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042981885803729206,,,0.037301522608384645,,,,,,,,,,,,,,,0.037301522608384645,0.052692530825147944,0.042981885803729206,0.052692530825147944,0.052692530825147944,0.023560595760891707,0.052692530825147944,0.052692530825147944,0.052692530825147944,0.052692530825147944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,0.02921513874350572,0.02921513874350572,,,,,,,0.03421268820783772,,,,,,,,,,,0.027169037845610467,0.04434297676255694,,,,,,,,,,,,,,,,0.02921513874350572,,,,,,,,0.03153481662261319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06533873822318345,0.06533873822318345,0.06533873822318345,0.05329753839662422,0.06533873822318345,0.05329753839662422,0.06533873822318345,0.06533873822318345,0.06533873822318345,0.06533873822318345,0.06533873822318345,0.037379938049742704,0.05329753839662422,0.06533873822318345,0.06533873822318345,0.06533873822318345,0.03153481662261319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,0.03995446742001539,,,,,,,,,0.017120339691610607,0.017120339691610607,,,,0.050312776776231936,,0.03726285032821097,,,,,,,,,,,,0.042963439328684884,0.060671086132448475,,,,,,0.023707031423606622,0.046374730327372334,0.050312776776231936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09608637973997566,0.07837873293621209,0.07837873293621209,0.09608637973997566,0.03260512997246834,0.09608637973997566,0.09608637973997566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0.03671491600758171,,0.025256714898474805,,0.016002047849225987,0.017120769069718555,0.016002047849225987,0.019739958610476838,0.019739958610476838,,,,,,,0.046233362443023944,0.017120769069718555,,,0.03125262705026822,0.019739958610476838,,,,,,,,,,,0.023116681221511972,,,,0.01089241984327872,,,,,,0.027875904439233087,,,,,,,,,,0.021307308528792698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03601185026798934,,,,,,,,,,,0.019739958610476838,,,,,,,,0.03601185026798934,,,,,,,,,,,,,,,,,,,,,0.04414779609674558,0.04414779609674558,0.04414779609674558,0.04414779609674558,0.03125262705026822,0.04414779609674558,0.03601185026798934,0.06250525410053644,0.04414779609674558,0.04414779609674558,0.025256714898474805,0.09375788115080466,0.03601185026798934,0.04414779609674558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,0.03651892342938215,0.03651892342938215,0.014552288737869016,0.014552288737869016,,,,,,,,0.05157042321258121,,,,,,,,,,,,,,,,,0.020150976710065632,,0.042765860259797145,,,,,,0.03651892342938215,,,,,,,,,,,,0.03941852077826649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06662192299578028,,,,,,,,,,,,,,,,,,,0.04672492256217839,,,,,0.03941852077826649,,,,,0.027714360476598088,,,,,,,,,,,,,,,,,0.08167342277897932,0.05157042321258121,0.08167342277897932,0.05157042321258121,0.04672492256217839,0.08167342277897932,0.06662192299578028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,0.05382507003830559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0366381394728466,,,,,,,,,,,,,,,,,,,,0.07167003777866635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07167003777866635,,,,,0.10077949264217487,,,,,,,,,,,,,,,,,,,,,0.08495440465850615,,,0.14849713232541695,0.14849713232541695,0.061747813285478334,0.12113076908323686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
