,cẩn,thận,với,hoa,quả,ngoại,nhập,đặc,biệt,là,trung,quốc,lậu,có,tẩm,hóa,chất,bảo,quản,hiện,đang,mối,quan,tâm,của,người,tiêu,dùng,tiến,sĩ,đinh,văn,đức,phòng,vệ,thực,vật,cục,bộ,nông,nghiệp,phát,triển,thôn,đưa,ra,một,số,hướng,dẫn,sau,táo,các,loại,to,bày,bán,trên,thị,trường,chủ,yếu,từ,new,zealand,mỹ,thường,tròn,được,bọc,trong,lưới,xốp,lưu,ý,khi,bóc,thấy,rất,nhiều,hạt,trắng,mịn,đọng,vỏ,đó,do,bị,bay,hơi,còn,thì,hình,dáng,vuông,góc,cạnh,cao,thành,nho,thông,qua,nước,nhật,và,gồm,xanh,tím,không,xuất,việt,nam,nhỏ,chùm,ngắn,màu,tươi,cuống,nội,thời,vụ,chính,tháng,7,đến,10,giống,dài,vàng,đáng,vì,trải,công,đoạn,như,hái,vận,chuyển,ngày,nên,héo,cam,2,sần,vinh,quá,trình,trừ,nhện,châm,chưa,tốt,rám,nay,hàng,chứ,australia,quảng,cáo,này,đánh,bóng,quýt,hay,nhầm,chum,tuy,nhiên,vẫn,thể,phân,dấu,hiệu,ta,mỏng,dày,thấp,hai,đầu,múi,khô,thu,hoạch,khoảng,năm,hồng,dễ,nát,thuốc,để,giữ,ngoài,đẹp,đỏ,đậm,bôi,phẩm,xấu,mã,núm,đốm,đen,phần,ruột,gần,cứng,dưa,hấu,lớn,nhưng,lại,lấy,nhãn,mác,tiêm,đường,học,vào,bổ,vài,tiếng,sẽ,nhũn,lời,khuyên,cho,xuyên,đồ,vừa,đắt,tiền,mà,độ,an,toàn,trước,ăn,hãy,ngâm,chúng,muối,loãng,30,phút,làm,tan,dư,lượng,ngấm,phải,gọt,khác,vứt,bỏ
0,0.03930481522141161,0.03930481522141161,0.030942870897412128,0.06774277972023796,0.025085832971998432,0.03977796353526662,0.053068508132264526,0.03930481522141161,0.030942870897412128,0.02843796449882635,0.011527037443633831,0.011527037443633831,0.022580926573412655,0.009327558386755364,0.026051447034754316,0.01988898176763331,0.022580926573412655,0.017689502710754843,0.01988898176763331,0.026051447034754316,0.030942870897412128,0.03930481522141161,0.03930481522141161,0.03930481522141161,0.01988898176763331,0.022580926573412655,0.026051447034754316,0.026051447034754316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,0.012736441951743487,,,0.010237667219577487,0.008299466959416359,0.008299466959416359,,,,,,0.025472883903486974,,,0.022278867046136734,,,,,,,,0.02829946695941636,0.02829946695941636,0.02829946695941636,0.02829946695941636,0.02829946695941636,0.022278867046136734,0.05659893391883272,0.05659893391883272,0.05659893391883272,0.02829946695941636,0.02829946695941636,0.05659893391883272,0.02829946695941636,0.02829946695941636,0.02829946695941636,0.02829946695941636,0.02829946695941636,0.011397506159131224,0.02829946695941636,0.02829946695941636,0.02829946695941636,0.02829946695941636,0.01875704186502311,0.03751408373004622,0.01875704186502311,0.011397506159131224,0.01625826713285711,0.02829946695941636,0.022278867046136734,0.014320066872695984,0.01625826713285711,0.01625826713285711,0.01875704186502311,0.01875704186502311,0.01625826713285711,0.014320066872695984,0.014320066872695984,0.014320066872695984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,0.015437435675075958,,,,,0.0131252143840737,0.010640342255661999,0.010640342255661999,,,,0.01835906009319998,0.02084393222161168,0.01632877173300447,0.01835906009319998,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014612187383501568,,,,,,0.02404748957054245,,,,,,0.01835906009319998,,,,,,,,,0.01181361124439726,0.02404748957054245,0.02404748957054245,0.02856265005914966,0.02856265005914966,0.05712530011829932,0.07256273579337527,0.02856265005914966,0.02856265005914966,0.01632877173300447,0.02084393222161168,0.02404748957054245,0.01632877173300447,0.02084393222161168,0.036281367896687636,0.036281367896687636,0.036281367896687636,0.036281367896687636,0.0262504287681474,0.036281367896687636,0.02084393222161168,0.01181361124439726,0.036281367896687636,0.02404748957054245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,0.022386140128212873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06252347288341037,,,,,,,,,,,,0.047733556242319945,0.047733556242319945,0.047733556242319945,,,,,,,,,,,,,,,,,,,,,,,,0.06252347288341037,0.07426289015378912,0.06252347288341037,0.07426289015378912,0.07426289015378912,0.09433155653138786,0.09433155653138786,0.09433155653138786,0.06252347288341037,0.07426289015378912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,0.029833472651449967,0.026534254066132263,,,0.04265694674823953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039077170552131474,,,,,,,,0.039077170552131474,0.039077170552131474,,0.029833472651449967,0.029833472651449967,0.029833472651449967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14916736325724986,0.05895722283211741,0.039077170552131474,0.039077170552131474,0.05895722283211741,0.04748960899638009,0.05895722283211741,0.03387138986011898,0.039077170552131474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,0.0829946695941636,0.0829946695941636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14320066872695986,,,,,,,,,0.1875704186502311,0.2829946695941636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,0.009122121080726703,,,,,0.015511616999359828,,,,0.01017551824009676,,,,,,,,,,,0.02169707101923634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024633738080086533,,,,0.013961540561560397,,,,,,,,,,,,0.019297639320823467,,,,,,,,,,,,,0.028419760401550167,,,,,,,,0.06509121305770903,,,,,0.0172689487259564,,0.04926747616017307,0.028419760401550167,,,0.02169707101923634,0.02169707101923634,0.03375585916081324,0.03375585916081324,0.04287798024153994,0.019297639320823467,0.06751171832162647,0.03375585916081324,0.028419760401550167,0.04287798024153994,0.03375585916081324,0.03375585916081324,0.06751171832162647,0.04287798024153994,0.03375585916081324,0.03375585916081324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,0.0158436839823148,,,,,,,,,0.01767326852227332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042784913507518715,,,,,,,,,,,0.03768438650709469,,0.04936063648690292,,,,,,,,,,,0.033516952504588124,,,,,,,,,,,,,,,,,,,,,0.07536877301418939,,,,,0.029993437260871638,,0.08556982701503743,0.04936063648690292,,,,,,0.05862859748983351,,0.06703390500917625,,,,,,,,,,,0.11725719497966702,0.05862859748983351,0.042784913507518715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,0.02864013374539197,,,,0.020475334439154974,,,,,,,,0.025472883903486974,0.02864013374539197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018429233541259724,,,,,,,0.04455773409227347,0.04455773409227347,,,,,0.03251653426571422,,,,,,,,0.018429233541259724,,,,,,,,,,,,0.02864013374539197,,0.03751408373004622,,,,,,,,,,,,,,,,0.04455773409227347,,,,,,,,,,0.04455773409227347,,0.05659893391883272,0.04455773409227347,0.05659893391883272,0.05659893391883272,0.05659893391883272,0.04455773409227347,0.05659893391883272,0.05659893391883272,0.05659893391883272,0.05659893391883272,0.025472883903486974,0.05659893391883272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,0.025085832971998432,,,,,,,,,0.02798267516026609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023744804498190046,0.03387138986011898,,,,,,,,,,,,,0.039077170552131474,,,,,,,,,,,,,,,,,0.021328473374119764,,,,,,,,,,,,,,,,,,,,0.023744804498190046,,0.06774277972023796,,,,0.029833472651449967,0.029833472651449967,0.04641430634611819,,,0.026534254066132263,,,,,,,,,,,,,0.03387138986011898,,,,,,,,,,,,,0.16935694930059492,0.04641430634611819,0.05895722283211741,0.05895722283211741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
