,gấp,hình,quả,dâu,tây,chín,mọng,trông,rất,hấp,dẫn,và,điều,quan,trọng,là,bạn,có,thể,tự,sáng,tạo,ra,cả,một,đĩa,để,bày,trong,tủ,cách,làm,đơn,giản,lại,không,tốn,nhiều,nguyên,liệu,chỉ,cần,giấy,trắng,màu,đỏ,xanh,lục,cây,lăn,bước,1,cắt,thành,vuông,cạnh,10,cm,sơn,mặt,lá,2,theo,căn,bản,xếp,hạc,ảnh,xéo,hai,bên,mẫu,như,3,đầu,nhọn,lên,trên,4,thực,hiện,cho,ba,còn,được,5,lật,qua,lớp,phẳng,ngoài,6,mép,7,tương,với,sẽ,8,nắm,bốn,góc,9,kéo,nhẹ,thổi,phồng
0,0.010863178334617314,0.022232892868104103,0.044465785736208206,0.0666986786043123,0.09250124966122499,0.030833749887074997,0.030833749887074997,0.030833749887074997,0.022232892868104103,0.030833749887074997,0.030833749887074997,0.022232892868104103,0.030833749887074997,0.030833749887074997,0.030833749887074997,0.030833749887074997,0.022232892868104103,0.022232892868104103,0.030833749887074997,0.022232892868104103,0.030833749887074997,0.030833749887074997,0.022232892868104103,0.030833749887074997,0.01720171403794178,0.030833749887074997,0.010863178334617314,0.030833749887074997,0.030833749887074997,0.030833749887074997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,0.03383266306015842,,,0.03383266306015842,,,,,,,,,,,,,,,,,,,0.04692092374120108,0.04692092374120108,0.04692092374120108,0.04692092374120108,0.02617652136208532,0.04692092374120108,0.04692092374120108,0.04692092374120108,0.04692092374120108,0.04692092374120108,0.04692092374120108,0.04692092374120108,0.020744402379115758,0.04692092374120108,0.09384184748240217,0.03383266306015842,0.03383266306015842,0.04692092374120108,0.04692092374120108,0.04692092374120108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0.07781512503836437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047712125471966245,,,,,,,,0.06020599913279624,0.07781512503836437,0.1079181246047625,0.07781512503836437,0.1079181246047625,0.07781512503836437,0.07781512503836437,0.1079181246047625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,0.1505149978319906,,,,,,,,,,,,,,,,,,,,,0.09726890629795545,0.09726890629795545,,,,,,,,,,,,0.1348976557559531,0.11928031367991561,0.1348976557559531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.027157945836543285,,,,,,,,,,,,,,,,,,,,,,,,,,0.027157945836543285,,,,,,,,,,,,,,,,0.06816017924566606,,,,,,,,0.08600857018970891,0.05558223217026026,,,,,,,,,,0.05558223217026026,0.05558223217026026,0.07708437471768749,0.07708437471768749,0.03408008962283303,0.07708437471768749,0.012577947075405802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.031684270142633836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0648459375319703,,0.0648459375319703,,,,,,0.0648459375319703,,,,,,0.029348543175946873,0.08993177050396874,0.0648459375319703,0.0648459375319703,0.039760104559971865,0.039760104559971865,0.050171665943996864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047526405213950754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059640156839957804,,,,,,,,,,,,,,,,,,,,,,,,,0.022011407381960155,,,,,,,0.1348976557559531,0.1348976557559531,0.1348976557559531,0.1348976557559531,0.09726890629795545,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021122846761755888,,,,,,,,0.03344777729599791,,,,,,,,,,,,,,,,,,,,,,,,,0.026506736373314577,,,0.043230625021313536,,,0.026506736373314577,,0.01956569545063125,,,,0.026506736373314577,0.026506736373314577,0.03344777729599791,,,,,0.043230625021313536,0.043230625021313536,0.043230625021313536,0.05995451366931249,0.043230625021313536,0.043230625021313536,0.043230625021313536,0.05995451366931249,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,0.05558223217026026,,,,,,,0.043004285094854454,,0.027157945836543285,,,,,,,,,,,,,,,,,,,,,,,,0.043004285094854454,,,,,,,,,0.03408008962283303,,,,,,,,0.012577947075405802,,,0.05558223217026026,,,0.043004285094854454,,,,,,,,,,,,,0.07708437471768749,0.07708437471768749,0.07708437471768749,0.07708437471768749,0.07708437471768749,0.07708437471768749,,,,,,,,,,,,,,
9,0.06336854028526767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029348543175946873,,0.1296918750639406,,,0.07952020911994373,,,,,,,,,,,,,,,,,,,,0.17986354100793747,0.17986354100793747,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,0.04577360296374374,,,0.04577360296374374,,,,,,,,,,,,,,,0.0354152936075272,,,,,,,,,,,,,,,,,,,,,,,,,0.028065956159980143,,,,,,0.028065956159980143,,0.010358309356216544,,,,0.028065956159980143,0.028065956159980143,,,,,,,0.04577360296374374,0.04577360296374374,,0.04577360296374374,0.04577360296374374,0.04577360296374374,,,,,,,,,,0.06348124976750734,0.06348124976750734,0.06348124976750734,0.06348124976750734,,,,,,,,
11,,,0.04577360296374374,0.04577360296374374,,,,,,,,,,,,,,,,,,,0.04577360296374374,,,,0.022365367159506235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04577360296374374,,,,,,,,,0.028065956159980143,,0.020716618712433087,,,,0.028065956159980143,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06348124976750734,0.06348124976750734,0.06348124976750734,0.06348124976750734,0.06348124976750734,0.06348124976750734,0.06348124976750734,0.06348124976750734
