,tìm,dụng,cụ,làm,vườn,thích,hợp,trên,thị,trường,hiện,có,nhiều,sản,phẩm,phục,vụ,những,người,muốn,tiêu,khiển,ý,ngoài,chức,năng,hỗ,trợ,cho,công,việc,chăm,sóc,cây,cảnh,chúng,còn,giúp,sử,cảm,giác,thư,giãn,nhẹ,nhàng,khi,tưới,chủ,yếu,là,các,loại,bình,xịt,vòi,phun,bón,phân,lá,thuốc,kiểng,kích,cỡ,dung,tích,chỉ,một,hai,lít,nhưng,cũng,5,đến,10,dùng,để,với,số,lượng,bên,cạnh,đó,tự,động,này,được,lắp,vào,hệ,thống,dẫn,nước,và,áp,lực,xoay,360,độ,thể,điều,chỉnh,như,mịn,của,hạt,cắt,tỉa,phải,tiến,hành,thường,xuyên,bao,gồm,mé,cành,nhành,tuốt,mỗi,phù,từng,thước,nhánh,kể,cả,vị,trí,hoa,kéo,rèn,vải,vẫn,chuyên,lò,xo,nhát,ngọt,không,bị,mỏi,tay,nhỏ,lưỡi,dày,hình,mỏ,vịt,giập,cán,dài,dợn,sóng,ở,lớn,tuột,trong,gốc,cưa,kìm,kẹp,giữ,chặt,thân,rễ,trốc,cần,lược,xới,khá,xinh,xắn,tiện,thao,tác,chậu,chiếc,cào,cầm,3,hay,4,chĩa,đất,tơi,ra,xẻng,xúc,vun,mà,hư,đục,nhằm,tạo,vết,sẹo,thương,khiến,vẻ,già,đi,uốn,dáng,thế,ta,dây,nhôm,bọc,quấn,theo,trầy,cảo,móc,níu,giai,đoạn,sinh,trưởng
0,0.0508545882589969,0.018350817489217786,0.02092569401347214,0.06500754153955822,0.07855302300537985,0.07855302300537985,0.023971126553765404,0.0508545882589969,0.039276511502689924,0.023971126553765404,0.0508545882589969,0.006772740732910817,0.02092569401347214,0.0508545882589969,0.0508545882589969,0.0508545882589969,0.0508545882589969,0.02092569401347214,0.02769843474638296,0.039276511502689924,0.0508545882589969,0.0508545882589969,0.039276511502689924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.017040044811416515,,0.030182072857652027,0.03647104639535493,,,,,,,0.006288973537702901,,,,,,,0.025719975121641318,,,,,0.047222117669068545,0.047222117669068545,0.047222117669068545,0.047222117669068545,0.047222117669068545,0.014968903847927702,0.03647104639535493,0.030182072857652027,0.047222117669068545,0.047222117669068545,0.008679930310224801,0.047222117669068545,0.030182072857652027,0.047222117669068545,0.017040044811416515,0.047222117669068545,0.047222117669068545,0.047222117669068545,0.047222117669068545,0.047222117669068545,0.047222117669068545,0.047222117669068545,0.030182072857652027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0.019880052279985932,0.022669501847928153,,,,,,,,,,,,,,,,,,,,,,,,,,0.03492744231183131,,,,,0.010126585361928935,,,,,,,,,,,,,0.06001327528382974,0.0550924706139133,0.0550924706139133,0.03521241833392737,0.03066473210788287,0.009841609339832873,0.042549554127914085,0.08509910825582817,0.03521241833392737,0.03000663764191487,0.042549554127914085,0.042549554127914085,0.03000663764191487,0.0550924706139133,0.02596872043324585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,0.02031822219873245,0.02092569401347214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014152953280561325,0.013626843701307057,0.039276511502689924,0.039276511502689924,,,,,,,,0.02769843474638296,0.03250377076977911,0.1017091765179938,0.1017091765179938,0.0508545882589969,0.0508545882589969,0.0508545882589969,0.07855302300537985,0.039276511502689924,0.03250377076977911,0.039276511502689924,0.039276511502689924,0.039276511502689924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,0.04185138802694428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05539686949276592,,,,,0.009084562467538037,,,,0.05539686949276592,,,,,,,,,,,,,0.07855302300537985,,,0.07855302300537985,0.07855302300537985,0.07855302300537985,0.04185138802694428,0.02478609959491687,0.04185138802694428,0.1017091765179938,0.1017091765179938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,0.06382433119187113,0.03895308064986878,,0.011005703690980077,,,,,,0.03400425277189223,,,,,,,,,,,,,,,,0.015189878042893403,,,,0.029820078419978902,,,,,,,,,0.04500995646287231,,,,,0.007381207004874655,,,0.05281862750089105,0.04500995646287231,,,,,,,,,,,,,,,0.05281862750089105,,,,,,,,,0.08263870592086996,0.08263870592086996,0.08263870592086996,0.08263870592086996,0.08263870592086996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,0.005179154678108272,,,,,,,,,,,,,,,,,,,,,,0.0071481779025380715,,,,0.014032978079990072,,,,,,,,,0.021181155982528146,,,,,0.0034735091787645436,,,0.024855824706301672,0.021181155982528146,,,,,,,,,,,,,,,0.024855824706301672,,,,,,,,,,,,,,0.024855824706301672,0.03003497938440994,0.03888880278629175,0.024855824706301672,0.03888880278629175,0.03888880278629175,0.03888880278629175,0.11666640835887523,0.016002001304419873,0.0777776055725835,0.0777776055725835,0.03888880278629175,0.03888880278629175,0.06006995876881988,0.021181155982528146,0.03003497938440994,0.03003497938440994,0.03003497938440994,0.03888880278629175,0.024855824706301672,0.03888880278629175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04084757196279752,0.033803921600570275,,,0.009721521947451779,,,,,,,,,,,,,,,,0.033803921600570275,0.014719071411783777,0.004723972483119779,,,,,,,0.028806372136238278,,0.024929971615916018,,,,,,,,,,,,,,,,0.021762721774011028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049859943231832037,0.10141176480171081,0.052888771789356775,0.052888771789356775,0.052888771789356775,0.04084757196279752,0.052888771789356775,0.052888771789356775,0.052888771789356775,0.052888771789356775,0.016765172309679027,0.052888771789356775,0.04084757196279752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,0.021687329759984657,0.024730365652285258,,,,0.028329513199904566,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011047184031195202,,0.03841354727337531,,,,,,,,,,,,,,,,0.0107363010979995,,,,,,,,,0.028329513199904566,0.03273451379117986,,,,,,,,,,,,,,,0.024730365652285258,,,,,,,,,,,,,,,,0.024730365652285258,,,,,,,,,,,0.03841354727337531,,,,,,,,,,,,0.019051332170089804,,,0.06010087703335997,0.06010087703335997,0.046417695412269915,0.06010087703335997,0.06010087703335997,0.06010087703335997,0.06010087703335997,0.06010087703335997,0.06010087703335997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,0.011005703690980077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007381207004874655,,,,,,,0.04500995646287231,,,,,,,,,,,,,,,,0.03400425277189223,0.020138705920869956,,,,,,,,,,,,,,,,,,,,,,,0.04500995646287231,,,,,,,0.07790616129973756,0.05281862750089105,,,,0.06382433119187113,,,,,,,,,,,,,,,,,0.08263870592086996,0.1350298693886169,0.08263870592086996,0.06382433119187113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,0.046417695412269915,,,,,,0.008004148138894602,0.024730365652285258,,,,,,0.03273451379117986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00536815054899975,,,,,,,,,,,,,,,,,,0.046417695412269915,,,,,0.049460731304570515,0.014646331578814514,,,,,,,,,,0.046417695412269915,,,,,,,0.024730365652285258,,,,,,,,,,,,,0.028329513199904566,,,,,,,,,,,,,,,,,,,,,,,,,,0.06010087703335997,0.06010087703335997,0.06010087703335997,0.06010087703335997,0.06010087703335997,0.06010087703335997,0.024730365652285258,0.028329513199904566,0.06010087703335997,0.046417695412269915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,0.013545481465821635,0.02092569401347214,,,,,,,,,,,,,,,,0.01612035799007599,,,,,0.009347617257165172,,,,0.018350817489217786,,,,,,,,,,,,,0.014152953280561325,0.0045422812337690185,,,,,,,,,,0.02769843474638296,0.03250377076977911,,,,,,,,,,,,,0.012393049797458436,0.02092569401347214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023971126553765404,0.03250377076977911,,,,,,,,,0.03224071598015198,,,,,,,,,,,,,0.02769843474638296,,,,,,,,,0.02092569401347214,0.023971126553765404,,,0.02769843474638296,0.039276511502689924,0.0508545882589969,0.0508545882589969,0.0508545882589969,0.0508545882589969,0.0508545882589969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,0.020716618712433087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006947018357529087,,,,,,,,,,,,,,,,,,,,,,,,0.018954076160818782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03666172296458238,,,,,,,,,,0.024654665161292687,,,,,,,,,,,,,0.04236231196505629,,,,,,,,,0.032004002608839746,0.03666172296458238,,,,0.06006995876881988,,,,,,0.0777776055725835,0.0777776055725835,0.0777776055725835,0.0777776055725835,0.06006995876881988,0.049711649412603344,0.0777776055725835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,0.01888634213326971,,,0.01888634213326971,,0.010672197518526137,0.01648691043485684,,,,,,,,,,,,,,,,,,,,,,,,,0.014458219839989772,,,,,,,,0.025609031515583542,,,,,0.01115081167559377,0.0071575340653329995,,,,,,,,,,0.02182300919411991,0.025609031515583542,,,,,,,,,,,,0.01648691043485684,0.00976422105254301,0.01648691043485684,,,,,,,,,,,,,,,,,,,,,,0.02182300919411991,,,,,,,,,,,,,,,,,0.012700888113393203,,,,,,,,,,,,,,,,,,,,,,0.01648691043485684,0.01888634213326971,,,,,,,,,,,,,,,0.025609031515583542,,0.025609031515583542,0.07682709454675062,0.08013450271114662,0.04006725135557331,0.03094513027484661,0.03094513027484661,0.04006725135557331,0.04006725135557331,0.03094513027484661,0.04006725135557331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,0.041549952693193365,,,0.041549952693193365,,0.01173941727037875,,,,,,,,,,,,,,,,,,,,,,0.016202536579086296,,,,,,,,,,,,,,,,,,0.0078732874718663,,,,,,,0.09602124045412759,,0.041549952693193365,,,,,,,,,,,,,,0.036271202956685046,,,,,,,,,,,,,,,,,,,,,,,,0.048010620227063795,,,,,,,,,,,,,,,,,,,0.13615857320932506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05633986933428379,,,,,,,,,,0.08814795298226129,0.08814795298226129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,0.047712125471966245,0.027203402217513786,,,,,,,,,,,,,,,,,,,,,,,,,,0.020956465387098788,,0.04225490200071284,,,0.012151902434314722,,,,,,,,,,,,,,,,,0.03679767852945944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04225490200071284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03600796517029785,,,,,,,,,,,0.051059464953496905,,,,0.04225490200071284,,,,,,,,,,,0.051059464953496905,0.06611096473669596,0.06611096473669596,0.06611096473669596,0.06611096473669596,0.06611096473669596,0.06611096473669596,0.06611096473669596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,0.028635160228961877,,,,,,,,,,,0.02205943724957767,,,,,,,0.04447884421127667,,,,,,,,,,,,,,0.04447884421127667,,,,,,,0.053746805214207265,0.053746805214207265,,,,,,,,,,,,,,,,,,0.016958910249153646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053746805214207265,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053746805214207265,,,,,,,,0.053746805214207265,0.06959048919652207,0.06959048919652207,0.06959048919652207,0.06959048919652207,0.06959048919652207,0.06959048919652207,0.053746805214207265,0.06959048919652207,0.053746805214207265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,0.026409313750445525,,,,,,,,0.005502851845490039,,,,,,0.03400425277189223,,,,,,,,,,,0.013097790866936741,,,,,0.015189878042893403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020138705920869956,,,,,,,,,,,,,,,,,0.017002126385946115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017002126385946115,,,,0.022504978231436153,,,,,,,,,,,,,,,,,,,,,,0.031912165595935564,,,,,,,,,,,,0.031912165595935564,,,,,,,0.031912165595935564,,0.031912165595935564,0.04131935296043498,0.04131935296043498,0.04131935296043498,0.04131935296043498,0.04131935296043498,0.04131935296043498,0.031912165595935564,0.026409313750445525,0.08263870592086996,0.04131935296043498,0.04131935296043498,0.04131935296043498,0.04131935296043498,0.04131935296043498,0.04131935296043498,,,,,,,,,,,,,,,,,
18,,0.029820078419978902,0.03400425277189223,,,,,,,,,,,,,,,,,,,,,,,,,,0.026195581733873482,,,,,0.015189878042893403,,,,0.029820078419978902,,,,,,,,,,,,,0.045997098161824304,0.007381207004874655,,,,,,,,,0.03895308064986878,,,,,,,,,,,,,,,,,,,,,,,,0.05281862750089105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026195581733873482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1056372550017821,,,,,,,,0.05281862750089105,0.05281862750089105,0.08263870592086996,,,,,,,,,,,,,,
19,,,,,,,,,,,,0.005336098759263068,,,,,,0.01648691043485684,0.02182300919411991,0.03094513027484661,,,0.03094513027484661,,,,,,0.012700888113393203,,,,,,,,,0.014458219839989772,,,,,,,,0.025609031515583542,,,,,0.01115081167559377,0.0035787670326664998,,,,,,,,,,,,,,,,,,,,,,,0.01648691043485684,0.00976422105254301,0.01648691043485684,,,,,,,,,,,0.025609031515583542,,,,,0.01648691043485684,,,,,,,,,,,,,,,,,,,,,,,0.03810266434017961,,,,,,,,,,,,,,,0.03094513027484661,,,,,,,0.01648691043485684,0.01888634213326971,,,0.02182300919411991,,,,,,,,,,,,,,,,,,,0.03094513027484661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03094513027484661,,,,,,,,,0.025609031515583542,0.025609031515583542,,0.04006725135557331,0.04006725135557331,0.04006725135557331,0.04006725135557331,0.04006725135557331,0.03094513027484661,0.04006725135557331,,,,,,,
20,,0.012555822492622696,0.014317580114480939,,,,0.016401297115734223,,,0.016401297115734223,,0.004633980501465296,,,,,,0.014317580114480939,,,,,,,,,,,,,,,,0.006395738123323538,,,,,,,,,,,,,,,,,0.009683599613015643,0.0031078766336314336,,,,,,,,,,,,,,,,,,,,,,,,0.008479455124576823,,,,,,,,,,,,0.04447884421127667,,,,,0.014317580114480939,,,,,0.026873402607103632,,0.026873402607103632,0.026873402607103632,0.026873402607103632,,0.022239422105638337,,,,,,,,,,,,0.02205943724957767,,,,,0.026873402607103632,,,,,,,,0.018951560615946234,,,,,,,,,,,,,,,,,,,,,,,,,0.022239422105638337,,0.022239422105638337,0.022239422105638337,,,0.026873402607103632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022239422105638337,,,,,,,,0.04447884421127667,0.022239422105638337,,,,,,,0.026873402607103632,,0.034795244598261034,0.034795244598261034,0.034795244598261034,0.034795244598261034,0.034795244598261034,0.034795244598261034,0.034795244598261034
