,cháo,cá,rựa,mùa,này,có,nhiều,ở,miền,trung,thịt,băm,nhuyễn,làm,chả,rồi,tùy,nhu,cầu,mà,kho,nấu,canh,chiên,đặc,biệt,khi,sẽ,dậy,vị,ngọt,lịm,béo,bùi,thật,khó,quên,cách,thông,thường,là,lóc,da,nạo,chừa,xương,nhỏ,giã,cho,trước,hết,phải,lựa,được,con,tươi,đừng,cũng,to,quá,nhão,ít,ngon,thì,bị,cứng,mua,về,sạch,đầu,còn,nát,chứ,tuyệt,đối,không,sau,đó,ướp,gia,để,một,lúc,thấm,khử,dầu,chao,sơ,chế,nước,bỏ,nắm,gạo,xoong,chín,nêm,nếm,vừa,miệng,phi,hành,vàng,nhưng,cháy,như,thế,mùi,mới,lên,vô,xong,múc,ra,tô,nhớ,rải,chút,ngò,trên,mặt,và,rắc,tiêu,nếu,ăn,cay,vào,thời,điểm,nào,trong,ngày,tốt,đêm,càng,thú,nóng,hổi,xè,thơm,lựng,chậm,rãi,húp,từng,ngụm,thưởng,thức,những,hột,nở,cái,dẻo,lẫn,miếng,cả,sần,cùng
0,0.01848739580136303,0.04550021201062294,0.0956718779546198,0.09800760492130678,0.09800760492130678,0.0582475003613349,0.09800760492130678,0.09800760492130678,0.09800760492130678,0.09800760492130678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.018200084804249176,,,,,,,,,0.04659800028906792,0.03180808364797749,0.04659800028906792,0.04659800028906792,0.05833741755944667,0.03826875118184792,0.07840608393704543,0.07840608393704543,0.07840608393704543,0.05833741755944667,0.07840608393704543,0.04659800028906792,0.07840608393704543,0.07840608393704543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.014789916641090426,,,,,,,,,,,,,,,,,,,,,0.04659800028906792,,,0.07840608393704543,0.07840608393704543,0.05833741755944667,0.05833741755944667,0.05833741755944667,0.04659800028906792,0.05833741755944667,0.05833741755944667,0.05833741755944667,0.05833741755944667,0.026529333911469173,0.07840608393704543,0.07840608393704543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,0.013650063603186883,,,,,,,,,0.034948500216800946,0.023856062735983122,0.034948500216800946,0.034948500216800946,0.04375306316958501,0.028701563386385943,,,,,,,,,,,,,,,,,,,0.01989700043360188,,,0.05880456295278407,0.05880456295278407,0.05880456295278407,0.04375306316958501,0.05880456295278407,0.05880456295278407,0.05880456295278407,0.04375306316958501,0.034948500216800946,0.034948500216800946,0.04375306316958501,0.023856062735983122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,0.015166737336874313,0.031890625984873265,,,,,,,,,,,,,,,,,0.048614514632872224,,,,,,,,,,,,,,,0.022107778259557644,,,,,,,,,,,,0.0388316669075566,,0.026506736373314577,0.06533840328087118,0.048614514632872224,0.048614514632872224,0.06533840328087118,0.031890625984873265,0.06533840328087118,0.06533840328087118,0.13067680656174235,0.048614514632872224,0.048614514632872224,0.06533840328087118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,0.04550021201062294,,,,,,,,,0.0582475003613349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0582475003613349,0.0582475003613349,,,,,,,,,,,,0.07292177194930834,,0.09800760492130678,0.09800760492130678,0.09800760492130678,0.09800760492130678,0.09800760492130678,0.09800760492130678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,0.02100009785105674,,,,,,,,,,0.03670163497843557,,0.05376692341046299,,,,,,,,,,,,,,0.06731240487628462,,,,,,,,,,,,,,,,,0.06731240487628462,,,,0.03670163497843557,,0.06731240487628462,,,,,,,,,,,,,,,,0.09046855838889857,0.09046855838889857,0.09046855838889857,0.09046855838889857,0.09046855838889857,0.09046855838889857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.006932773425511137,,,,,,,,,,,0.014910039209989451,0.02184281263550059,,,0.017938477116491214,,,,,,0.02184281263550059,,,,,,,,0.02184281263550059,,,,,0.012435625271001175,,,,,,,,,,,,,0.027345664480990628,0.014910039209989451,,,,,0.017938477116491214,,,,,,,,,,,,,,,,,,,0.03675285184549004,0.03675285184549004,0.03675285184549004,0.027345664480990628,0.03675285184549004,0.03675285184549004,0.03675285184549004,0.03675285184549004,0.03675285184549004,0.02184281263550059,0.03675285184549004,0.03675285184549004,0.03675285184549004,0.027345664480990628,0.03675285184549004,0.03675285184549004,0.03675285184549004,0.03675285184549004,0.027345664480990628,0.03675285184549004,0.027345664480990628,0.027345664480990628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.008873949984654256,,,,,0.027958800173440754,,,,,,,,,,0.022961250709108753,,,,,,,,,,,,,0.03500245053566801,,,,,,0.015917600346881503,,,,,,,,,,,,,,0.019084850188786497,,,,,0.04592250141821751,,,,,,,,,,,,,,,,,,,,,,0.03500245053566801,,,,,,,,,,0.03500245053566801,,,,,,,,,0.047043650362227254,0.047043650362227254,0.047043650362227254,0.03500245053566801,0.047043650362227254,0.03500245053566801,0.027958800173440754,0.047043650362227254,0.047043650362227254,0.047043650362227254,0.047043650362227254,0.047043650362227254,0.047043650362227254,0.047043650362227254,0.047043650362227254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.02773109370204455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10938265792396251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10938265792396251,,,0.10938265792396251,,,,,,0.10938265792396251,0.08737125054200236,,,,,,,,,0.10938265792396251,0.14701140738196017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
