,cắm,hoa,theo,chủ,đề,biển,gọi,trong,những,ngày,hè,rực,nắng,nếu,nhà,bạn,có,một,góc,dành,để,arctangza,màu,xanh,lơ,xung,quanh,trang,trí,thêm,vài,vỏ,ốc,sẽ,rất,lãng,mạn,nó,đem,đến,cho,cảm,giác,gần,gũi,với,cả,kiểu,1,mang,tên,dán,và,rải,nhỏ,bình,cắt,ngắn,cành,che,miệng,2,khô,đan,xen,vào,nhau,so,le,từ,trái,sóng,tình,trên,quấn,sát,tiếp,phía,bên,dưới,sỏi,3,dâng,thân,sang,phải,rủ,xuống,ngay,4,ngọn,thủy,triều,5,đại,dương,đĩa,men,đặt,ngang,còn,lại,cong,về,nhánh,ngoài,cạnh
0,0.017220107790932977,0.03265754346600894,0.02856265005914966,0.036281367896687636,0.036281367896687636,0.02404748957054245,0.02856265005914966,0.036281367896687636,0.02856265005914966,0.036281367896687636,0.036281367896687636,0.036281367896687636,0.036281367896687636,0.036281367896687636,0.036281367896687636,0.02856265005914966,0.036281367896687636,0.02856265005914966,0.02084393222161168,0.036281367896687636,0.036281367896687636,0.01632877173300447,0.036281367896687636,0.036281367896687636,0.036281367896687636,0.01181361124439726,0.01181361124439726,0.036281367896687636,0.036281367896687636,0.02856265005914966,0.02856265005914966,0.01181361124439726,0.01181361124439726,0.036281367896687636,0.036281367896687636,0.036281367896687636,0.036281367896687636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,0.07815434110426295,,,,,,,,,,0.09282861269223638,,,,,,,,,,,,,,,,,,,,,,0.11791444566423483,0.11791444566423483,0.11791444566423483,0.11791444566423483,0.11791444566423483,0.11791444566423483,0.11791444566423483,0.11791444566423483,0.11791444566423483,0.11791444566423483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0.037460123387480844,,,,0.05516777019124444,0.06552607954746098,,0.06552607954746098,,,,,,,,,,,,,,,,,0.0271018140312643,0.0271018140312643,,,,,0.0271018140312643,0.0271018140312643,,,,,,,,,,,,,,,0.042117843743223485,0.08323372635122459,0.042117843743223485,0.042117843743223485,0.042117843743223485,0.04781843274369739,0.037460123387480844,0.08323372635122459,0.01975247658371724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.037310233547021454,0.07075801084301937,,,,,,,,,,,,,,,,,,,,0.07075801084301937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037310233547021454,0.07075801084301937,0.07075801084301937,0.037310233547021454,0.15721926088564644,0.09032370629365062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.02583016168639947,,,,,,,,,,,,,,,,,,0.06253179666483505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02583016168639947,,,0.06253179666483505,0.04898631519901341,0.07214246871162736,0.08568795017744898,0.04383656215050471,0.07214246871162736,0.10884410369006292,0.10884410369006292,0.08568795017744898,0.06253179666483505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11933389060579987,,0.11933389060579987,0.11933389060579987,,,,,,,,,,,0.1354855594404759,,,,,,,,,,0.18565722538447277,0.23582889132846965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,0.046073083853149316,0.046073083853149316,,,,,0.046073083853149316,0.046073083853149316,,,,,,,,,,,,,,,,,,,0.07160033436347993,0.08129133566428556,0.06368220975871744,,0.06715842038463862,,,,,,,,,,,,,,,,,,0.1414973347970818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.02583016168639947,,,,,,,,,,,,,,,,,,,,,0.04898631519901341,,,,0.035440833733191776,0.035440833733191776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02583016168639947,0.04898631519901341,0.04898631519901341,0.05166032337279894,,0.06253179666483505,,0.04898631519901341,,,,,,,,,,,,0.10884410369006292,0.10884410369006292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.022386140128212873,0.04245480650581162,0.07426289015378912,,,,,,,,,,,,,,,,0.05419422377619037,,,,,,,,,,,,,0.030715389235432874,0.030715389235432874,,,,,,,,,,,,,,,,,,,,,,,,0.04245480650581162,0.04245480650581162,0.022386140128212873,,,,,,,0.03799168719710408,,,,,0.05419422377619037,,,,,,0.09433155653138786,0.07426289015378912,0.05419422377619037,0.07426289015378912,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,0.09214616770629863,0.09214616770629863,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12736441951743488,,0.06715842038463862,,,,,,,,,,,,,,,,,,,,,,,,,0.16258267132857113,,,,,,,,,,,,,,,,,,,,,,,,,,
