,phó,chủ,tịch,intel,ông,louis,burns,đã,từng,đưa,ra,nhận,định,tại,diễn,đàn,các,nhà,phát,triển,mỹ,vào,tháng,2,2004,ngành,công,nghiệp,điện,toán,tử,tiêu,dùng,và,viễn,thông,đang,kết,hợp,thành,một,hội,tụ,mới,nhằm,giải,pháp,thống,nhất,để,tạo,những,ngôi,kỹ,thuật,số,giúp,người,sử,dụng,nối,mạng,ở,bất,cứ,nơi,nào,họ,đặt,chân,tới”,mô,hình,minh,thực,sự,thu,hút,quan,tâm,của,dân,việt,nam,có,hơn,50,ngàn,đến,tham,thử,thiết,bị,được,hệ,trung,lg,tp,hồ,chí,sau,năm,hoạt,động,với,diện,tích,1,000m2,nằm,trong,khuôn,viên,khách,sạn,new,world,thể,xem,là,giới,thiệu,kế,kiểu,mẫu,mà,dù,đứng,đâu,bạn,cũng,điều,khiển,tất,cả,qua,gia,đình,home,network,đồng,thời,sản,phẩm,đặc,biệt,sẽ,mặt,như,máy,lạnh,bằng,thoại,nghe,radio,lò,vi,ba,ngoài,tt,hiện,chương,trình,đào,huấn,luyện,miễn,phí,làm,quen,không,bỡ,ngỡ,việc,thường,lớp,tính,văn,phòng,hướng,dẫn,nấu,ăn,sóng,đòi,hỏi,về,đại,hưởng,thụ,thoải,mái,cách,toàn,hoàn,đáp,ứng,bởi,xuất,bộ,xử,lý,hàng,đầu,thế,tập,đoàn,nền,tảng,chipset,tiền,200,triệu,đôla,quỹ,mình,tư,ty,chuyên,phần,cứng,mềm,nghệ,hỗ,trợ,cho,quả,tác,này,đời,tên,mã,kessler,pentium,4,grantsdale,chạy,trên,hành,windows,xp,media,center,edition,ví,dụ,trí,tổ,chức,tận,nội,dung,nhạc,phim,ti,chơi,chia,sẻ,cùng,lúc,nhiều,màn,cần,dây,từ,xa,chứ,phải,bàn,phím,còn,bao,gồm,dò,đĩa,dvd,quay,cá,nhân,sẵn,chuyển,đổi,tin,ngay,bây,giờ,chúng,ta,chuẩn,ý,tưởng,riêng
0,0.013261230384605199,0.013261230384605199,0.013261230384605199,0.015162430894932721,0.013261230384605199,0.013261230384605199,0.013261230384605199,0.0075812154474663605,0.013261230384605199,0.026522460769210398,0.030324861789865442,0.013261230384605199,0.013261230384605199,0.019355079920067988,0.026522460769210398,0.013261230384605199,0.00799505004579031,0.006401078864109047,0.009677539960033994,0.009677539960033994,0.013261230384605199,0.009677539960033994,0.013261230384605199,0.013261230384605199,0.013261230384605199,0.026522460769210398,0.015162430894932721,0.026522460769210398,0.012187699070925578,0.013261230384605199,0.0075812154474663605,0.013261230384605199,0.009677539960033994,0.0019012005103275222,0.013261230384605199,0.0032005394320545233,0.006093849535462789,0.0075812154474663605,0.0075812154474663605,0.009677539960033994,0.0019012005103275222,0.013261230384605199,0.013261230384605199,0.013261230384605199,0.013261230384605199,0.009677539960033994,0.013261230384605199,0.003997525022895155,0.0075812154474663605,0.006093849535462789,0.009677539960033994,0.006093849535462789,0.003997525022895155,0.0025101591108915855,0.0025101591108915855,0.0025101591108915855,0.013261230384605199,0.006093849535462789,0.004940158904414499,0.004940158904414499,0.0075812154474663605,0.0075812154474663605,0.013261230384605199,0.009677539960033994,0.009677539960033994,0.009677539960033994,0.013261230384605199,0.013261230384605199,0.013261230384605199,0.013261230384605199,0.013261230384605199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,0.01414975327855684,,,,,,,,,,,,,,,,,,0.01414975327855684,0.02694122952520391,,,,,,,,,,,,,,,,0.01767326852227332,,,,,0.02694122952520391,,,,,,,,,,,,,,0.042784913507518715,0.033516952504588124,0.021840702524779893,0.05862859748983351,0.06703390500917625,0.05862859748983351,0.05862859748983351,0.042784913507518715,0.033516952504588124,0.01767326852227332,0.05862859748983351,0.05862859748983351,0.05862859748983351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,0.0144732294906176,,,,,,0.0184753035600649,,,0.007631638680072571,,,,,,,,,,,,,,,,,0.00362956461062527,,,,,,0.0184753035600649,0.00362956461062527,,,,,,,0.015263277360145142,0.0144732294906176,,,,,0.00958424387794969,0.00958424387794969,0.00958424387794969,,0.01163371274951987,0.009431212453882227,0.009431212453882227,0.0144732294906176,0.0144732294906176,,,,,,,,,,,,0.009431212453882227,,,,,0.0184753035600649,0.0144732294906176,,,,,0.00362956461062527,0.0369506071201298,0.025316894370609928,0.025316894370609928,0.025316894370609928,0.025316894370609928,0.0184753035600649,0.007631638680072571,0.007631638680072571,0.009431212453882227,0.01163371274951987,0.0184753035600649,0.01163371274951987,0.025316894370609928,0.025316894370609928,0.025316894370609928,0.025316894370609928,0.025316894370609928,0.0184753035600649,0.0184753035600649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16258267132857113,,,,,,,,,,,,,,,,,,,0.10237667219577487,0.16258267132857113,0.16258267132857113,0.22278867046136736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,0.009594060054948374,0.007681294636930856,,,,,,,,,,,0.004875079628370232,,,,,,,0.005120863091287238,,,,,0.003041920816524036,,,,,,,,,,,,0.00639604003663225,0.0040162545774265375,0.0040162545774265375,0.0040162545774265375,,,0.0039521271235316005,0.0039521271235316005,,0.00606497235797309,,0.0077420319680271965,0.0077420319680271965,0.015484063936054393,,,,,,0.0077420319680271965,0.00606497235797309,0.007904254247063201,,,,,,0.00606497235797309,0.003198020018316125,,,,0.006083841633048072,,,,,,0.0077420319680271965,0.0127920800732645,0.009594060054948374,,,0.0077420319680271965,0.009750159256740464,,,,,,,,0.004875079628370232,,,,0.01060898430768416,0.01060898430768416,0.014625238885110695,0.01060898430768416,0.01060898430768416,0.01060898430768416,0.01060898430768416,0.01060898430768416,0.01060898430768416,0.007681294636930856,0.00606497235797309,0.004875079628370232,0.0077420319680271965,0.01060898430768416,0.0077420319680271965,0.01060898430768416,0.01060898430768416,0.0077420319680271965,0.01060898430768416,0.01060898430768416,0.01060898430768416,0.01060898430768416,0.0077420319680271965,0.01212994471594618,0.015484063936054393,0.01060898430768416,0.01060898430768416,0.0077420319680271965,0.01060898430768416,0.01060898430768416,0.01060898430768416,0.01060898430768416,0.01060898430768416,0.01060898430768416,0.0077420319680271965,0.01060898430768416,0.01060898430768416,0.01060898430768416,0.01060898430768416,0.01060898430768416,0.0039521271235316005,0.0077420319680271965,0.01060898430768416,0.015484063936054393,0.01060898430768416,0.0077420319680271965,0.01060898430768416,0.0077420319680271965,0.0039521271235316005,0.01060898430768416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,0.010793594874358887,,,,,,0.011382783116040443,0.0045567002083488125,,,,,,,,,,,,,,,,0.005413587893813962,,0.0045567002083488125,0.008675989169133463,,,,,,,,,,,,,0.008675989169133463,0.013778192485472128,,,0.0035737858527947995,0.0035737858527947995,0.0035737858527947995,,0.008675989169133463,0.014066893151553152,0.014066893151553152,,,,,,,,,,,,,,0.007033446575776576,,,,,,,,,,,0.008120381840720944,,,,,,,0.005691391558020222,0.005691391558020222,,,,0.008675989169133463,,,,,,,,0.008675989169133463,,,,,,0.008675989169133463,,,,,,,0.0045567002083488125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007033446575776576,,,0.013778192485472128,,,,0.013778192485472128,0.014066893151553152,,0.013778192485472128,0.018880395801810793,0.010793594874358887,0.013778192485472128,0.013778192485472128,0.018880395801810793,0.018880395801810793,0.018880395801810793,0.018880395801810793,0.018880395801810793,0.018880395801810793,0.018880395801810793,0.013778192485472128,0.018880395801810793,0.018880395801810793,0.018880395801810793,0.018880395801810793,0.018880395801810793,0.010793594874358887,0.018880395801810793,0.018880395801810793,0.018880395801810793,0.013778192485472128,0.018880395801810793,0.018880395801810793,0.013778192485472128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,0.012996369338513761,,,,,,,,,,,,,,0.010973278052758365,,,,,,,,,,,0.010446599203650495,,0.012996369338513761,,,0.006518401749694362,,,,,,,0.003259200874847181,,,,,,,,,,,0.010446599203650495,0.006852900039248838,0.004303129904385574,0.004303129904385574,0.004303129904385574,,,,,,,,,,,,,,,,,,,,0.012996369338513761,,,,,,,,,0.003259200874847181,,,,,,,,,0.008468843836139143,,,0.010446599203650495,,,,,,,,,0.016590068502915417,,,,,0.010446599203650495,,,,,,,0.0054866390263791824,,,0.016590068502915417,,,,,,,,,,,,,,,,,,,,,,0.016590068502915417,,,,,,,,,,,,,,0.008468843836139143,,,,0.012996369338513761,,,,,,,,,,,,,,,,0.012996369338513761,,,,,,,,0.02273353780218034,0.02273353780218034,0.02273353780218034,0.02273353780218034,0.016590068502915417,0.02273353780218034,0.02273353780218034,0.02273353780218034,0.02273353780218034,0.04546707560436068,0.02273353780218034,0.02273353780218034,0.02273353780218034,0.02273353780218034,0.02273353780218034,0.012996369338513761,0.016590068502915417,0.016590068502915417,0.02273353780218034,0.012996369338513761,0.02273353780218034,0.02273353780218034,0.02273353780218034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,0.009950345274799599,,,,,,,,,,,,,0.020987006370199568,0.008401416009143124,0.025403542395089237,0.025403542395089237,,0.012701771197544618,,,,,0.029851035824398797,,,,,,,0.002495325669804873,,,0.007998177515294911,0.009950345274799599,,,,,,,,,,0.005246751592549892,0.009950345274799599,0.007998177515294911,,,0.010493503185099784,0.006589167666090412,0.006589167666090412,0.009883751499135618,,,,,0.009950345274799599,,,,,,,,,,,,,,,,,,,,0.005246751592549892,,,,,,,,,,,0.005246751592549892,,,,,,,,,,,,,0.007998177515294911,,,,,,0.007998177515294911,,,,,,,,,,,,0.012701771197544618,,,,,,,,0.012701771197544618,,,,,,,,,,,,,,,,,,0.006483958562044031,,,,,,,,,,0.012701771197544618,,0.009950345274799599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009950345274799599,,,,0.025403542395089237,0.025403542395089237,0.017405364879794324,0.017405364879794324,0.017405364879794324,0.017405364879794324,0.017405364879794324,0.017405364879794324,0.012701771197544618,0.017405364879794324,0.017405364879794324,0.017405364879794324,0.03481072975958865,0.017405364879794324,0.017405364879794324,0.025403542395089237,0.017405364879794324,0.017405364879794324,0.012701771197544618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,0.03184110487935872,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03184110487935872,0.03184110487935872,,0.007985042143375594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06368220975871744,,,,,0.03357921019231931,,,,0.007985042143375594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051188336097887435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04064566783214278,0.04064566783214278,,,,,,,,,,,,,,,,,,0.05569716761534184,0.05569716761534184,0.03184110487935872,0.05569716761534184,0.05569716761534184,0.05569716761534184,0.04064566783214278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,0.0050118224167640755,,,,,,,,,,0.009504807426674243,,0.007640050163863796,,0.009504807426674243,,0.012133035173773964,0.0047671893393287125,,,,,,,0.0047671893393287125,,,,,0.012133035173773964,,0.0050118224167640755,,0.007640050163863796,,0.007640050163863796,,0.0031470651539536295,0.0031470651539536295,0.0031470651539536295,,,0.012387264118531879,0.012387264118531879,,,,,,,,,,,,,,,,,,,,,0.0050118224167640755,,,,0.0023835946696643562,,,,,,,,,0.0061936320592659395,0.015280100327727591,,,,,,,,,,,,,,,,,,,,,,,0.004012616601381791,0.019009614853348487,0.007640050163863796,,,,,,,,,,,,0.009504807426674243,,,,,,,,,,,,,,,,,0.0061936320592659395,0.012133035173773964,,,,0.012133035173773964,,,0.012387264118531879,,,,,0.012133035173773964,0.012133035173773964,,,,,,,,,,,,,,0.009504807426674243,,,,,,,,,,,,0.012133035173773964,,,,,,,,,,,0.009504807426674243,0.012133035173773964,0.012133035173773964,,,,,,,,,,,,,,,,,,,,,0.012133035173773964,,,,,,,,,,0.012133035173773964,0.01662602018368413,0.01662602018368413,0.01662602018368413,0.01662602018368413,0.012133035173773964,0.01662602018368413,0.01662602018368413,0.01662602018368413,0.01662602018368413,0.01662602018368413,0.01662602018368413,0.01662602018368413,0.01662602018368413,0.01662602018368413,0.01662602018368413,0.01662602018368413,0.01662602018368413,0.012133035173773964,0.012133035173773964,0.01662602018368413,0.012133035173773964,0.012133035173773964,0.01662602018368413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
