,công,nghệ,led,giúp,màn,hình,sáng,và,tiết,kiệm,điện,chất,lượng,ảnh,trên,hiển,thị,tinh,thể,lỏng,máy,tính,xách,tay,tv,các,thiết,bị,tử,khác,sẽ,được,nâng,lên,đáng,kể,với,chiếu,nền,mới,cho,dải,màu,rộng,hơn,sắc,nét,tạo,ra,độ,tương,phản,khiến,mỗi,điểm,light,emitting,diode,là,một,cực,nhỏ,phát,do,sự,vận,động,của,electron,bên,trong,môi,trường,bán,dẫn,để,toàn,bộ,đèn,phải,xếp,ứng,1,ma,trận,việc,sắp,như,vậy,phép,điều,chỉnh,chính,xác,đến,từng,mang,lại,tốt,loại,bỏ,hiện,tượng,lệch,tại,góc,mà,lcd,bằng,huỳnh,quang,ccfl,thường,gặp,ngoài,bóng,tiêu,tốn,ít,năng,những,tuy,nhiên,càng,lớn,cần,nhiều,giá,thành,vì,thế,cũng,leo,thang,mức,chóng,mặt,sản,xuất,nguyên,nhân,nay,vẫn,chưa,phổ,biến,người,sử,dụng,số,tiền,gấp,2,hoặc,3,lần,có,chiếc,này,so,chi,phí,sở,hữu,thông,chuyên,gia,khẳng,định,giảm,xuống,khi,thực,thâm,nhập,vào,đam,mê,hàng,hi,tech,đã,sẵn,sàng,trả,phẩm,xưởng,tăng,nhất,cả,hạ,quá,trình,còn,tiếp,tục,diễn,nhà,cạnh,tranh,mở,quy,mô,giành,phần,đó,gọi,luật,giọt,nước,trickle,down,rất,cao,chỉ,dùng,cấp,chịu,vượt,trội,sau,dòng,trở,suối,chứ,không,trước,tất,đều,phụ,thuộc,cung,cầu,nào,muốn,vật,mình,nithi,nithipalan,giám,đốc,hành,hãng,tekcore,đài,loan,nói,di,đầu,tiên,nên,lý,dễ,dàng,đối,từ,10,inch,cách,biệt,về,chơi,game,playstation,portable,sony,ví,dụ,điển,nữa,thủ,luôn,khắt,khe,thêm,vài,bắt,lĩnh,vực,bàn,mẫu,phong,vaio,pc,t,s,họ,nhóm,theo,nửa,năm,c,liu,phó,trung,tâm,au,optronics,nhận,chuẩn,laptop,quan,trọng,cường,đánh,ngốn,pin,ông,kỹ,thuật,chùn,chân,dù,đây,kích,thước,đội,áp,qualia,005,nhưng,khách,lắm,ngả,mũ,chào,thì,mắt,23,dành,riêng,dân,kế,đồ,họa,42,giới,thiệu,thu,hút,đắt,chúng,tôi,lai,mina,naito,đại,diện,tokyo,ty,82,hội,chợ,ces,dự,đoán,lấn,sang,thoại,bản,thân,tư,200,triệu,usd,kịp,nhịp,nhu,đang
0,0.016969571205735095,0.01825053937147746,0.005102203316338664,0.02677599316299678,0.015791194722371976,0.02052672902853198,0.03440814964194237,0.025454356808602648,0.018689192235544876,0.018689192235544876,0.03737838447108975,0.018689192235544876,0.01358698891920621,0.029858087873925132,0.01358698891920621,0.02677599316299678,0.014929043936962566,0.021673789846658117,0.018689192235544876,0.021673789846658117,0.012452297569534802,0.01358698891920621,0.016571586530319454,0.016571586530319454,0.012452297569534802,0.008484785602867547,0.01146938321398079,0.01358698891920621,0.02677599316299678,0.018689192235544876,0.01146938321398079,0.01060239130809297,0.021673789846658117,0.018689192235544876,0.02677599316299678,0.02677599316299678,0.01060239130809297,0.01358698891920621,0.0098268406206239,0.018689192235544876,0.018689192235544876,0.02677599316299678,0.018689192235544876,0.018689192235544876,0.02293876642796158,0.021673789846658117,0.021673789846658117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,0.022182868776665397,0.038446889291536085,0.03222350522023174,,,,,,,0.04194350439432339,0.03817296886824602,,,0.06089302861680137,0.05250773056653084,0.06089302861680137,,,,,,0.023838207169961205,,,,,,,,,,,,0.03817296886824602,0.027608742696038576,,,,,,0.03222350522023174,0.06089302861680137,0.06089302861680137,0.05250773056653084,0.04194350439432339,0.05250773056653084,0.046558266918516555,0.06089302861680137,0.05250773056653084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.01157807675630697,,,,0.026026677293264102,,,,,,,,,,,,,,,,,,,0.019253936560353284,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06076090756218501,0.04241009007296722,0.06076090756218501,0.06076090756218501,0.12152181512437002,0.026026677293264102,0.026026677293264102,0.06076090756218501,0.03760475404957107,0.049182830805878035,0.049182830805878035,0.033877445856953514,0.06076090756218501,0.03760475404957107,0.026026677293264102,0.06076090756218501,0.06076090756218501,0.030832013316660252,0.06076090756218501,0.03760475404957107,0.049182830805878035,0.06076090756218501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.01308826068104266,,0.020253923665651014,0.01755184076352734,0.029421461288037676,,,,,,,0.0382962431426431,,,,,,,,,,,,0.02176531958996458,,,,,,,,,,,0.027197438572934142,0.03485358027100724,0.02520798246160044,,,,0.047941840952049904,,,,,,,,0.04250972196908034,,,,0.047941840952049904,,,,,,,,,,,,,,,,,,,,,0.03194285028706753,0.055597982650122994,0.055597982650122994,0.03485358027100724,0.0382962431426431,0.055597982650122994,0.04250972196908034,0.13737248666233132,0.06868624333116566,0.06868624333116566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,0.016939645247635395,0.014679721365859232,0.024607040349995148,0.009101860919439732,,,,,,0.01601479258692348,0.014575133567875754,,,,,,,,,,,0.009101860919439732,,,,,,0.011373474312317913,,,,,,0.014575133567875754,0.010541519938487455,,0.020048406216311775,,0.020048406216311775,,0.012303520174997574,,,,,0.020048406216311775,0.017776792823433595,0.023250065471869613,,,0.020048406216311775,,,,,,,,,,0.01601479258692348,,,,,,,,,,,,0.023250065471869613,0.023250065471869613,0.014575133567875754,0.01601479258692348,0.023250065471869613,,,,,0.020048406216311775,0.028723338120305638,0.023250065471869613,0.028723338120305638,0.028723338120305638,0.020048406216311775,0.028723338120305638,0.023250065471869613,0.028723338120305638,0.017776792823433595,0.028723338120305638,0.028723338120305638,0.020048406216311775,0.028723338120305638,0.023250065471869613,0.020048406216311775,0.014575133567875754,0.028723338120305638,0.028723338120305638,0.014575133567875754,0.028723338120305638,0.028723338120305638,0.014575133567875754,0.020048406216311775,0.023250065471869613,0.023250065471869613,0.023250065471869613,0.023250065471869613,0.028723338120305638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.016723888647998956,,,,0.0375940894236037,,,,0.061259018994285985,,,,,,,,,,,,,,,,0.0375940894236037,0.044535130346287026,,0.061259018994285985,,,,,,,,,,,,,,,0.0375940894236037,,,,0.04893408846004396,,,,,,,,,,,,,,0.0710418667196016,,,,,,,,,,,,,,,,0.044535130346287026,,,,,,,,,,,,,,,,,,,0.061259018994285985,,,,,,,,,,,,,,,,,0.08776575536760056,0.08776575536760056,0.0710418667196016,0.08776575536760056,0.061259018994285985,0.05431797807160265,0.0408158642556974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,0.013683181621090055,,0.021174556559544245,0.01834965170732404,,0.022754652298599333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04444198205858399,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05812516367967404,0.05812516367967404,0.1436166906015282,0.03643783391968939,0.05812516367967404,0.05812516367967404,0.021174556559544245,0.0400369814673087,0.05012101554077945,0.0718083453007641,0.0400369814673087,0.0718083453007641,0.0718083453007641,0.05812516367967404,0.0718083453007641,0.0718083453007641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.020024094022767416,0.021535636458343405,0.012041199826559249,,,,,,,,,,,,0.03206529384932666,,0.03523254369123165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04410649367588591,,,,,,0.027067744384994662,0.027067744384994662,,,,,,,,,,,0.03206529384932666,,0.03910894421155391,,,,,,,,,,,,,,,,,,,,0.05115014403811315,,0.03910894421155391,,,,,,,,,,,,,,,,,,,,,,,,,,0.029387422264102132,,,,0.03206529384932666,,,0.018633609772398935,0.03523254369123165,,,,,,,,,0.021535636458343405,0.03206529384932666,0.0631913438646724,0.0631913438646724,0.04410649367588591,0.05115014403811315,0.0631913438646724,0.05115014403811315,0.05115014403811315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.013529793258626632,0.014551105715096895,,,,,0.018289016476347748,,,,,,,,,,,,,,,,,,0.019856366394663604,,,,,,,0.016906515869661763,,,,,0.016906515869661763,0.02166573908738288,0.015669826935589465,,,,,,,,,,0.023805772764345715,,,,,,,,,,,0.018289016476347748,,,,,,,,,,,,,,,,0.019856366394663604,,,,0.023805772764345715,,,,,,,,,,,,,,,,,,,,,0.029801684916139128,,,,,,,0.02166573908738288,0.029801684916139128,,,,0.034560908133860244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026424962305103994,0.019856366394663604,0.015669826935589465,0.034560908133860244,0.023805772764345715,0.04269685396261649,0.04269685396261649,0.04269685396261649,0.04269685396261649,0.04269685396261649,0.05284992461020799,0.059603369832278257,0.016906515869661763,0.023805772764345715,0.034560908133860244,0.04269685396261649,0.04269685396261649,0.04269685396261649,0.04269685396261649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.01472359854615251,0.015835026807605443,,,,,,0.01472359854615251,,,,,,,,,0.02590628212590563,,,,,,,,,0.01472359854615251,,,,,0.019902753224260782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02590628212590563,,,,,,,,0.02875657662614258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021608398723604507,0.03761040002802438,0.03761040002802438,,,,,0.013701183656175685,,,,,,,,,,,,,,,,,,,0.02875657662614258,,,,0.02590628212590563,,,,,,,,,,,,,,,0.03761040002802438,0.04646422342990618,0.03243124534991611,0.02590628212590563,0.04646422342990618,0.02875657662614258,0.02357742194803431,0.04646422342990618,0.04646422342990618,0.04646422342990618,0.02590628212590563,0.04646422342990618,0.04646422342990618,0.03761040002802438,0.04646422342990618,0.04646422342990618,0.021608398723604507,0.03761040002802438,0.03761040002802438,0.04646422342990618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
