,khoảng,5h19,phút,giờ,gmt,12h19,hà,nội,ngày,8,6,sao,kim,sẽ,đi,qua,mặt,trời,đây,là,hiện,tượng,hiếm,có,chưa,ai,đang,sống,trên,trái,đất,được,chứng,kiến,vì,nó,xảy,ra,trong,122,năm,trở,lại,các,nhà,thiên,văn,học,đã,lên,tiếng,cảnh,báo,phải,cẩn,thận,khi,quan,sát,này,kéo,dài,lâu,hơn,100,lần,so,với,nhật,thực,và,thể,gây,mù,mắt,chuyên,gia,cho,biết,không,giống,như,chỉ,2,hoặc,3,diễn,cần,liếc,nhìn,thời,gian,ngắn,cũng,ảnh,hưởng,xấu,đến,thị,lực,theo,vị,trí,thuận,lợi,nhất,để,từ,châu,âu,trung,đông,phi,á,mỹ,bị,hạn,chế,tầm,khuyến,cáo,gián,tiếp,biện,pháp,an,toàn,bảo,vệ,nên,trực,vào,thiếu,thiết,quang,kính,ống,nhòm,máy,quay,kỹ,thuật,số,nhiều,thế,giới,chuẩn,sự,kiện,riêng,tại,anh,120,trạm,mạng,internet,đợt,di,chuyển,tương,tự,nữa,nhưng,nước
0,0.04979797574098453,0.047619047619047616,0.0665685718415256,0.0665685718415256,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0332842859207628,0.0332842859207628,0.024898987870492266,0.024898987870492266,0.024898987870492266,0.024898987870492266,0.01894952422247798,0.014334761698284819,0.014334761698284819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,0.07142857142857142,0.0186742409028692,0.007923169629155584,0.010751071273713613,0.03571428571428571,0.02842428633371697,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0249632144405721,0.03571428571428571,0.03571428571428571,0.0186742409028692,0.03571428571428571,0.03571428571428571,0.0249632144405721,0.03571428571428571,0.0249632144405721,0.0186742409028692,0.014212143166858485,0.03571428571428571,0.0249632144405721,0.03571428571428571,0.03571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,0.01136692924522473,0.01136692924522473,,0.01136692924522473,0.008650869753739947,0.00654413034052133,0.00654413034052133,,,0.0144683967141102,0.01963239102156399,,0.008650869753739947,,,,,,,,,,,0.01519500009426128,,,,,,,,,0.00654413034052133,0.01519500009426128,0.01519500009426128,0.01519500009426128,0.01519500009426128,0.01136692924522473,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.01519500009426128,0.0048227989047033995,0.0048227989047033995,0.008650869753739947,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.01519500009426128,0.01519500009426128,0.00654413034052133,0.008650869753739947,0.01519500009426128,0.021739130434782608,0.01136692924522473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015378786625892283,,0.020557941304000554,0.020557941304000554,,,,,,,0.020557941304000554,0.015378786625892283,0.015378786625892283,,0.015378786625892283,0.011704117902118753,0.0088538234018818,0.0088538234018818,,,0.013049926448020964,0.0177076468037636,,,,,,,,,,,,,,,0.020557941304000554,0.030757573251784565,0.023408235804237506,,,,,0.0088538234018818,,,,,,,,,,,,,,,,,,,,,,,,,0.020557941304000554,0.020557941304000554,,,,,,0.011704117902118753,0.011704117902118753,0.015378786625892283,0.020557941304000554,0.015378786625892283,0.029411764705882353,0.020557941304000554,0.020557941304000554,0.029411764705882353,0.020557941304000554,0.029411764705882353,0.020557941304000554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,0.01114925909866597,0.01114925909866597,,,,,,0.014738518839705096,,,,,,,,,,,,,,,0.014738518839705096,,,,,0.01114925909866597,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01114925909866597,0.014738518839705096,0.02588777793837107,,0.019365879454827317,0.014738518839705096,0.014738518839705096,0.019365879454827317,0.02588777793837107,,,,0.02588777793837107,,,,,0.037037037037037035,0.037037037037037035,0.019365879454827317,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.02588777793837107,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,0.01493939272229536,,,,,,0.01493939272229536,0.006338535703324468,0.00860085701897089,,,,,,,,,,,,,,,,,,,,,,0.00860085701897089,,,,,,,,,,,,,,0.006338535703324468,0.006338535703324468,0.011369714533486789,,,,,,,,,,,0.01720171403794178,,,,,0.011369714533486789,0.011369714533486789,,,,,,,,,,,,,0.01493939272229536,,,,,,,,,,,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.01997057155245768,0.01997057155245768,0.01997057155245768,0.07988228620983072,0.01997057155245768,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.01493939272229536,0.02857142857142857,0.02857142857142857,0.02857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,0.005574629549332985,0.005574629549332985,,0.009682939727413659,0.008216620356161348,0.01114925909866597,,,,,,,,,,,,,,,,,,,,,,0.01114925909866597,,0.012943888969185535,0.012943888969185535,0.012943888969185535,,,,,,,,,0.012943888969185535,0.008216620356161348,0.008216620356161348,0.007369259419852548,,,,,,,,,,,,,,,0.009682939727413659,0.007369259419852548,0.007369259419852548,,,0.009682939727413659,,0.012943888969185535,,,0.02588777793837107,,,,,0.009682939727413659,,,,,,,,,,,,,,,,0.012943888969185535,0.012943888969185535,,,,,,,,,0.009682939727413659,,,,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.012943888969185535,0.018518518518518517,0.018518518518518517,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,0.013865546851022275,,,,,,,,0.08737125054200236,,,,,,,,,,,,,,,,0.04368562527100118,,,,0.0326799215800211,,,,,,,,,0.013865546851022275,0.013865546851022275,,,,,,,,,,,,,,,,,,,0.0326799215800211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0326799215800211,,,,,,,,,,,,,,,,,,,,,,,,,0.04368562527100118,,,0.04368562527100118,0.0625,0.0625,0.0625,0.04368562527100118,0.04368562527100118,,,,,,,,,,,,,,,
8,0.02273385849044946,,,,,,,,,,,,,,,0.017301739507479895,,,,,,,,0.03460347901495979,,,,,,,,0.02273385849044946,,,,,,,,,,,,,,,,,0.02273385849044946,,,,,,,,,0.019291195618813598,0.019291195618813598,0.017301739507479895,,,,,,,,,,,0.01308826068104266,0.017301739507479895,,,,,,,,,,,,,,,,,,,,,,0.03039000018852256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03039000018852256,0.03039000018852256,0.043478260869565216,0.043478260869565216,0.03039000018852256,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,,,,,,,,
9,,,,,,,,,,0.026883461705231496,,,,0.040221441944641355,,,,,,,,,,,,,,,,,,0.020110720972320677,,,,,,0.020110720972320677,0.015305384948924524,,0.026883461705231496,,,,,,,,,,,,,,,,,0.008532644216013708,0.008532644216013708,,,,,,,,,,,,0.01157807675630697,0.015305384948924524,,,,,,,,0.020110720972320677,,,,,,,0.026883461705231496,,,,,,,,,,,,,,,,,,,,,0.026883461705231496,0.026883461705231496,0.026883461705231496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026883461705231496,,,,,,,,0.026883461705231496,,,,,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464
