,tiến,lên,kinh,tế,tri,thức,bằng,chữ,tín,ông,karl,alanko,đại,sứ,phần,lan,tại,vn,đã,trao,đổi,với,báo,giới,nghiệm,để,đạt,được,những,thành,tựu,nổi,bật,của,quốc,gia,bắc,âu,trong,2,năm,qua,vị,trí,số,1,về,năng,lực,cạnh,tranh,tăng,trưởng,diễn,đàn,thế,wef,và,sạch,nhất,tổ,chức,minh,bạch,ti,công,dựa,trên,yếu,tố,gì,thưa,xếp,hạng,tiêu,chí,là,nền,vĩ,mô,chất,lượng,các,thể,chế,sự,bộ,nghệ,ở,hai,sau,hệ,thống,dịch,vụ,hiệu,quả,pháp,luật,chặt,chẽ,thực,hiện,nghiêm,túc,nước,chúng,tôi,luôn,tôn,trọng,một,cơ,bản,tạo,ra,môi,trường,doanh,lành,mạnh,chính,vì,vậy,cũng,đứng,chỉ,bên,đó,cao,mà,ví,dụ,dễ,thương,điện,thoại,di,động,nokia,đang,ưa,chuộng,toàn,cầu,điều,này,có,ảnh,hưởng,rất,lớn,tới,giáo,dục,không,người,thất,học,sao,lại,chọn,vào,khoảng,đầu,90,kỷ,trước,rơi,trì,trệ,việc,phát,triển,lý,do,suốt,thời,gian,dài,phụ,thuộc,nhiều,thị,liên,xô,cũ,khi,tan,rã,xuất,khẩu,giảm,sút,cần,biết,lúc,sản,phẩm,từ,tài,nguyên,như,giấy,gỗ,lựa,mục,tư,câu,hỏi,khó,bấy,giờ,cuối,cùng,hàm,viễn,thông,tử,chiếm,đa,tỷ,gdp,thay,mặt,hàng,khai,thác,khoa,chiến,lược,ưu,tiên,nói,giá,cho,internet,adsl,50,usd,tháng,rẻ,so,hay,cuộc,15,eur,phút,đắt,gấp,đôi,gọi,thái,theo,nhân,khiến,khuyến,khích,nghiệp,tham,kiện,tối,họ,chia,sẻ,vài,cải,thiện,thứ,2003,60,102,2002,thấy,đi,đúng,hướng,hơn,nữa,thì,khu,vực,còn,nhũng,tích,cực,nhận,phủ,quyết,tâm,chống,tệ,nạn,tuy,nhiên,muốn,nhấn,kết,xử,nào,sẽ,đóng,vai,trò,định,nghĩ,rằng,đất,ít,hoàn,hảo,chứng
0,0.011420243783976445,0.011420243783976445,0.019342753569716046,0.034260731351929335,0.011420243783976445,0.011420243783976445,0.013799855392837002,0.013799855392837002,0.013799855392837002,0.008422287708079736,0.017867828307215127,0.017867828307215127,0.017867828307215127,0.017867828307215127,0.005663909564080753,0.005663909564080753,0.013799855392837002,0.008422287708079736,0.007352270869598321,0.017867828307215127,0.017867828307215127,0.011420243783976445,0.017867828307215127,0.02284048756795289,0.011420243783976445,0.009731882478458877,0.017867828307215127,0.007352270869598321,0.007352270869598321,0.011420243783976445,0.017867828307215127,0.017867828307215127,0.017867828307215127,0.02205681260879496,0.027599710785674005,0.011420243783976445,0.017867828307215127,0.017867828307215127,0.012895169046477363,0.013799855392837002,0.011420243783976445,0.017867828307215127,0.017867828307215127,0.017867828307215127,0.009731882478458877,0.013799855392837002,0.006447584523238682,0.013799855392837002,0.013799855392837002,0.008422287708079736,0.009731882478458877,0.013799855392837002,0.013799855392837002,0.017867828307215127,0.017867828307215127,0.007352270869598321,0.011420243783976445,0.008422287708079736,0.013799855392837002,0.008422287708079736,0.017867828307215127,0.017867828307215127,0.013799855392837002,0.017867828307215127,0.017867828307215127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.02166918051318607,,0.01223387832614519,0.02166918051318607,,,,,,0.0159807510358436,,,,,0.010746905326717326,0.010746905326717326,,,,,,,,,,,,,0.027900925351296187,0.02166918051318607,,,,0.013950462675648093,,,,,,,,,,,,,,,,,,,,,,,0.02166918051318607,0.0159807510358436,,,,,,,,0.03670163497843557,0.06780611767866253,0.05236868200358657,0.02166918051318607,0.02166918051318607,0.02166918051318607,0.033903058839331264,0.026184341001793284,0.018465623164255304,0.026184341001793284,0.033903058839331264,0.0072006822968126724,0.02166918051318607,0.033903058839331264,0.033903058839331264,0.018465623164255304,0.0159807510358436,0.013950462675648093,0.018465623164255304,0.026184341001793284,0.02166918051318607,0.033903058839331264,0.018465623164255304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,0.015523307694147248,0.015523307694147248,,,0.020150668309269468,,,,,,,,,,,0.031299927407935434,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02308330705177409,,,,,,,,0.035342315164419436,,,0.031299927407935434,0.031299927407935434,,,,,,,,,,,,,0.020150668309269468,,,,,,0.031299927407935434,0.037821825891479185,0.04897108499014516,0.04897108499014516,0.04897108499014516,0.031299927407935434,0.026672566792813216,0.037821825891479185,0.037821825891479185,0.04897108499014516,0.04897108499014516,0.04897108499014516,0.04897108499014516,0.04897108499014516,0.037821825891479185,0.037821825891479185,0.04897108499014516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,0.10211892990699381,0.10211892990699381,,,,,,,,,,,,,,,,,,,0.05440680443502757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08450980400142569,,,,,,,,,,,,,,,,,0.047712125471966245,0.05440680443502757,0.041912930774197575,0.13222192947339192,0.13222192947339192,0.08450980400142569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.021687329759984657,,,,,,,,,,,,,,,,,,,,,,,,,,0.024730365652285258,,,,,,,,,,0.021687329759984657,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021687329759984657,,,0.03841354727337531,0.03841354727337531,,,,,,,0.012764845889804283,,,,0.03273451379117986,0.028329513199904566,0.024730365652285258,0.03273451379117986,0.046417695412269915,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03273451379117986,0.06010087703335997,0.06010087703335997,0.03841354727337531,0.06010087703335997,0.06010087703335997,0.046417695412269915,0.03841354727337531,0.06010087703335997,0.046417695412269915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.026506736373314577,,,,,,,,,,,,0.02328496154122087,0.02328496154122087,,,,,,,,0.046949891111903154,,,,,,,,,,,,,,,,,,,,,0.040008850189219826,,0.026506736373314577,,,0.03462496057766114,0.040008850189219826,,,,,0.0302260024639042,,,,0.03462496057766114,,,,,,,,,,,,,,0.040008850189219826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046949891111903154,,,0.05673273883721878,0.05673273883721878,0.05673273883721878,0.05673273883721878,0.05673273883721878,0.05673273883721878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01876096704656123,,,,,,,,,,,,,,,,,,,,,,0.02149135484130691,,,,,,,,,,0.02149135484130691,,,,,,0.016452457059298705,,0.03521342410585993,,,,,,,,,0.019367352384530634,0.029141311724629543,,,,,,,,,,0.024833079427791616,,,,,,,,0.03521342410585993,,,,,,,,,,,,,,,,0.024833079427791616,,,,,,,,,,,,,,,,0.04559376878392825,0.03521342410585993,0.03521342410585993,0.029141311724629543,0.04559376878392825,0.04559376878392825,0.04559376878392825,0.04559376878392825,0.029141311724629543,0.03521342410585993,0.04559376878392825,0.04559376878392825,0.04559376878392825,0.03521342410585993,0.04559376878392825,0.04559376878392825,0.04559376878392825,0.04559376878392825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,0.025908002111917888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03429330016218842,0.02967853763799526,,,,,,,,,,,,,,,,,,,,,,,,0.022720059748555354,0.025908002111917888,0.019958538463903604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025908002111917888,0.025908002111917888,0.051816004223835775,0.06296282355875805,0.06296282355875805,0.048628061860473235,0.06296282355875805,0.06296282355875805,0.06296282355875805,0.06296282355875805,0.06296282355875805,0.06296282355875805,0.06296282355875805,0.048628061860473235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.015365418909350123,0.015365418909350123,0.017349863807987725,0.030730837818700247,0.015365418909350123,0.015365418909350123,,,,,,,,,0.015241065736071844,0.015241065736071844,0.018567078164907963,,,,,,,,,,,,0.009892146260914102,,,,,,,,,,0.017349863807987725,,0.015365418909350123,,,,,,,,,,,,,,,0.009892146260914102,,,,,,,,,,,,,,,,,,,,,0.005105938355921713,0.015365418909350123,,,,,,,,0.015365418909350123,,,,,,,,,,,,,,,,,,,,0.008674931903993863,0.009892146260914102,0.007620532868035922,,,,,,,,,,0.018567078164907963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024040350813343984,0.024040350813343984,0.013093805516471943,0.07212105244003196,0.018567078164907963,0.018567078164907963,0.024040350813343984,0.024040350813343984,0.024040350813343984,0.024040350813343984,0.024040350813343984,0.024040350813343984,0.013093805516471943,0.013093805516471943,0.013093805516471943,0.018567078164907963,0.024040350813343984,0.024040350813343984,0.024040350813343984,0.024040350813343984,0.024040350813343984,0.024040350813343984,0.024040350813343984,0.015365418909350123,0.024040350813343984,0.024040350813343984,0.024040350813343984,0.024040350813343984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,0.024654665161292687,0.024654665161292687,,,,,,,,,,,,,,,,,,0.032004002608839746,0.06006995876881988,0.049711649412603344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06006995876881988,,,,,,,0.049711649412603344,,,,,,,,,,,,0.06006995876881988,0.06006995876881988,,,,,,,,,,,,,,,,,,,,,,,0.032004002608839746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06006995876881988,0.0777776055725835,0.0777776055725835,0.06006995876881988,0.0777776055725835,0.0777776055725835,0.0777776055725835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
