,kinh,tế,asean,đang,bùng,nổ,ông,ernest,bower,chủ,tịch,hiệp,hội,doanh,mỹ,usabc,vừa,đưa,ra,tuyên,bố,trên,khi,cùng,5,vị,đại,sứ,tại,các,nước,thăm,một,số,bang,của,để,kêu,gọi,thúc,đẩy,đầu,tư,vào,đông,nam,á,chúng,tôi,nhận,thấy,sức,hấp,dẫn,tăng,lên,rất,nhanh,có,nhiều,yếu,tố,điều,này,đặc,biệt,là,sự,hồi,phục,trung,quốc,và,nhật,bản,mà,kéo,theo,đó,nhu,cầu,cao,nói,tham,dự,kiện,hoạt,động,thường,niên,indonesia,lào,singapore,thái,lan,việt,sẽ,gặp,gỡ,với,nghiệp,lãnh,đạo,houston,texas,atlanta,georgia,louisville,kentucky,kết,ở,washington,mục,đích,chính,giới,thiệu,về,môi,trường,khu,vực,cho,rằng,không,phải,những,hạn,chế,trong,tuy,nhiên,đã,hợp,tác,chặt,đối,sở,giải,quyết,khó,khăn,chẳng,lâu,nữa,thị,khổng,lồ,bất,cứ,khoản,nào,đây,đều,đem,lại,lợi,nhuận,tiềm,tàng
0,0.020110720972320677,0.013441730852615748,0.017367115134460456,0.010055360486160339,0.019230769230769232,0.019230769230769232,0.010055360486160339,0.019230769230769232,0.010055360486160339,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.007652692474462262,0.022958077423386788,0.013441730852615748,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.010055360486160339,0.010055360486160339,0.010055360486160339,0.007652692474462262,0.019230769230769232,0.019230769230769232,0.010055360486160339,0.019230769230769232,0.013441730852615748,0.007652692474462262,0.013441730852615748,0.019230769230769232,0.019230769230769232,0.010055360486160339,0.013441730852615748,0.007652692474462262,0.007652692474462262,0.010055360486160339,0.019230769230769232,0.013441730852615748,0.019230769230769232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0.018814374728998825,0.0326799215800211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02487125054200235,0.02487125054200235,0.0326799215800211,,,,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.04368562527100118,0.0625,0.0625,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.01493939272229536,0.01997057155245768,,,,,0.01493939272229536,,0.01493939272229536,,,,,,0.011369714533486789,,,,,,,,,,,,,,,,,,,,,0.011369714533486789,,,,0.01493939272229536,0.01997057155245768,,,,,,,,,,,,,,0.01997057155245768,,,,0.01493939272229536,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.01997057155245768,0.02857142857142857,0.02857142857142857,0.022739429066973578,0.01997057155245768,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.011369714533486789,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,0.015305384948924524,0.026883461705231496,,,,,,,,,,,0.020110720972320677,0.020110720972320677,0.020110720972320677,0.015305384948924524,,,0.020110720972320677,,,0.015305384948924524,,,,,,,,,,0.026883461705231496,,,,,,,,,,,,,0.020110720972320677,,,,,0.026883461705231496,,,,0.026883461705231496,,,,,0.015305384948924524,,,,,,,,,,,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,0.015917600346881503,,,,,,,,,,,,,0.020915149811213504,0.020915149811213504,,0.031835200693763006,,,,,0.027958800173440754,,,,,0.020915149811213504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031835200693763006,,,,,,,,,,,,,,,,,,,,,,,,0.027958800173440754,0.04,0.04,0.027958800173440754,0.027958800173440754,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.034858583018689174,,0.020068666377598746,,,,,,,,,,,0.026529333911469173,,,,,,,,,,,,,,,,,,,,,,0.026529333911469173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026529333911469173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.04659800028906792,0.034858583018689174,0.06666666666666667,0.06666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,0.016723888647998956,,,,0.029048819182240976,,0.029048819182240976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022107778259557644,0.022107778259557644,,,,,,,,,,,,,,,,0.029048819182240976,,,,,,,,0.022107778259557644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0388316669075566,0.029048819182240976,,,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,0.02273385849044946,,,,,,,,,,0.017301739507479895,0.017301739507479895,,,,,,,,,,,,,,0.02273385849044946,0.03460347901495979,,,,,,,0.03039000018852256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017301739507479895,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03039000018852256,0.03039000018852256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,,,,,,,,,,,,,,,,,,
8,,,0.02736636324218011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047534431389121605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03617636442473069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06354272766691081,,,,,,,,,,,,,,,,,,,,,,,0.047534431389121605,,,,,,,,,,,,,,,,,,,,,,,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026529333911469173,0.026529333911469173,0.034858583018689174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
