,phường,xã,sẽ,có,ban,thanh,tra,nhân,dân,theo,dự,án,luật,được,trình,quốc,hội,hôm,nay,nhà,nước,tổ,chức,ở,ba,cấp,hành,chính,là,trung,ương,tỉnh,huyện,tại,hoạt,động,với,nhiệm,kỳ,2,năm,quy,định,này,đã,gây,nhiều,tranh,cãi,trong,các,đại,biểu,hoàng,thiện,cát,cho,rằng,không,nên,đưa,vào,bởi,vì,thực,hiện,chủ,yếu,việc,giám,sát,chứ,phải,ông,đề,nghị,để,tạo,điều,kiện,lực,lượng,tốt,hơn,đúng,tầm,của,nó,thì,tách,ra,một,văn,bản,khác,đỗ,tiến,dũng,và,lê,điệt,cũng,đồng,tình,khỏi,bên,nữa,cơ,chế,toàn,đó,chất,vn,thời,thể,phương,châm,biết,bàn,kiểm,sở,trái,ý,kiến,trên,nhất,trí,chỉnh,cả,gian,quá,độ,chờ,đợi,xây,dựng,về,kế,thừa,những,hình,thức,phú,khẳng,ưu,thế,đóng,dễ,dàng,phát,vấn,do,nếu,chỉ,sử,dụng,chưa,đủ,mà,tai,mắt,nắm,tất,từ,góp,phần,ngăn,chặn,tiêu,cực,nâng,cao,hiệu,quản,lý,kể,chống,tham,nhũng,chỗ,cụ,quan,chịu,trách,bồi,dưỡng,chuyên,môn,nghiệp,vụ,5,thay,như,mục,đích,tránh,lãng,phí,tiền,tập,huấn,cán,bộ,huy,kinh,nghiệm,thuận,tiện,phó,tịch,nguyễn,yểu,giải,thích,thôn,làng,ấp,mỗi,bầu,trưởng,lần,cứ,tức,phù,hợp,khoản,phủ,phối,công,tác,khắc,phục,trạng,chồng,chéo,tế,số,đơn,vị,doanh,bị,cùng,nội,dung,nhau,đây,hoàn,muốn,nhiễu,năng,bổ,danh,tổng,chánh,tài,tâm,thành,viên,phê,chuẩn,cách,thủ,tướng,miễn,sau,khi,thống,tha,thiết,xem,xét,lại,làm,sao,tính,độc,lập,tương,đối,quyền,vậy,sai,rất,khó,xử,sửa,pháp,lệnh,1990,xin,14,17,20,24,27,ubnd,tiếp,tục,quyết,thông,qua,chiều,26,ngày,1,10,4,trích,58,dưới,thị,trấn,sự,59,hạn,chung,sách,khiếu,nại,tố,cáo,người,đứng,đầu,dấu,vi,phạm,hữu,thẩm,3,cần,giao,xác,minh,sơ,hở,thiếu,sót,bảo,đảm,lợi,ích,lao,dương,cá,tích,trường
0,0.02347617375501264,0.018104595264067252,0.02347617375501264,0.0144650505754809,0.015554331763855242,0.013901941504395887,0.012607961279014096,0.012555822492622696,0.010920351262389947,0.02602643725522465,0.015554331763855242,0.03394827924638205,0.010182753272909852,0.0289301011509618,0.04187012123753945,0.02347617375501264,0.02347617375501264,0.04187012123753945,0.03394827924638205,0.021392456753759358,0.019630699131901113,0.02347617375501264,0.015554331763855242,0.02347617375501264,0.04187012123753945,0.02602643725522465,0.02602643725522465,0.021392456753759358,0.011708857140743713,0.04187012123753945,0.04187012123753945,0.02602643725522465,0.029314298744916756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.04046909529615033,0.05247615309944002,0.03233364246283966,0.034768506295676425,0.010358309356216544,0.009394167227500699,0.028065956159980143,0.02441019693945988,,,,,,,,,,,,,,,,,0.05817674209991393,,,,,,,,0.07588438890367753,0.05247615309944002,0.04781843274369739,0.043880386294837787,0.034768506295676425,0.07588438890367753,0.05247615309944002,0.05247615309944002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06216388058435353,0.05733121833621297,0.05733121833621297,0.07434121689087336,0.13258871725220825,0.05733121833621297,0.13258871725220825,0.13258871725220825,0.06216388058435353,0.08241705130821139,0.049255383918874934,0.04265694674823953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,0.014277669653163344,0.01294871698925772,0.025790338092954727,0.022430991782206377,,0.015974719108824306,,0.010457962820826337,,,,,,,,,,,,,,,,0.012025312739142193,,,,,,,,,,,,,,,,,,,,,0.020161258567898445,,0.015974719108824306,0.01383468543186147,0.03486580030709509,0.04300174613585133,0.03486580030709509,0.02197063126061772,0.030106577089373966,0.06021315417874793,0.01859390864958259,0.04300174613585133,0.03486580030709509,0.026729854478338835,0.026729854478338835,0.026729854478338835,0.017211408042896604,0.020161258567898445,0.04300174613585133,0.015974719108824306,0.02197063126061772,0.02197063126061772,0.03486580030709509,0.026729854478338835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,0.027033169778499407,,,,,,,,,,,0.027033169778499407,0.024633738080086533,0.02260504748521947,,,,,0.02260504748521947,0.0208477157586229,0.0208477157586229,,,,,,,,,,,,0.0390919579200763,0.024633738080086533,,,0.0208477157586229,,,,,,,,,,,,,,0.0390919579200763,0.017911048697772703,0.017911048697772703,0.024633738080086533,0.048214079000803,0.0208477157586229,0.0390919579200763,0.0299698368393496,0.03375585916081324,0.048214079000803,0.06751171832162647,0.048214079000803,0.048214079000803,0.014458219839989772,0.048214079000803,0.0208477157586229,0.0390919579200763,0.0390919579200763,0.019297639320823467,0.03375585916081324,0.03375585916081324,0.0390919579200763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,0.005179154678108272,0.0046970836137503495,0.028065956159980143,0.02441019693945988,,0.017384253147838213,,0.011380724246193364,,,,,,,0.023909216371848695,0.021940193147418893,,,,,,,,0.026172739491074185,,,,,,,,0.021940193147418893,,,,,,,,,,,,,,,0.017384253147838213,0.015055392969966892,,,,,,,,,,,0.029088371049956964,,,,,0.017384253147838213,,,,,,,,,,,,,,,,,,,,,0.037942194451838766,0.037942194451838766,0.037460123387480844,0.03276303977373049,,,0.037942194451838766,0.037942194451838766,0.03276303977373049,0.018730061693740422,0.04679601785372056,0.04679601785372056,0.02623807654972001,0.037942194451838766,0.037942194451838766,0.04679601785372056,0.09359203570744112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,0.0043162389964192405,,0.044861983564412754,,,,,,,,,,0.03486580030709509,0.02197063126061772,0.020161258567898445,,,,,,,,0.024050625478284387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03442281608579321,,,,0.04394126252123544,0.04394126252123544,,,,,,,,,,,,,0.030106577089373966,,,0.012895169046477363,,,,,,,0.030106577089373966,,,,,,,,0.024110664937580552,0.03486580030709509,,,,0.04300174613585133,0.025790338092954727,0.03486580030709509,0.030106577089373966,0.030106577089373966,0.04300174613585133,0.04300174613585133,0.026729854478338835,0.030106577089373966,0.04300174613585133,0.04300174613585133,0.04300174613585133,0.04300174613585133,0.04300174613585133,0.026729854478338835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,0.010993438437365484,0.011821292140529984,0.0035218251811136247,0.0031940168573502377,0.019084850188786497,0.016598933918832718,,,,0.015477784974822977,,,,,,,,,,,,,,,,,,,,,,0.017841892053809608,0.01625826713285711,0.014919331340244849,,,,,,,0.013759492400691114,0.017841892053809608,,0.013759492400691114,,,0.014919331340244849,,0.011821292140529984,0.010237667219577487,,,,,,,0.027518984801382228,,,0.019780092313970737,,,,,,,0.01625826713285711,0.01625826713285711,,,,,,0.01625826713285711,,0.013759492400691114,,,,,,,,0.009542425094393249,,0.013759492400691114,,,,,,,,,,,,,,,,,,,,,,,,,0.019780092313970737,,,,,,,,0.031821292140529985,0.031821292140529985,0.019780092313970737,0.02580069222725036,0.019780092313970737,0.02580069222725036,0.019780092313970737,0.02580069222725036,0.022278867046136734,0.031821292140529985,0.031821292140529985,0.031821292140529985,0.031821292140529985,0.031821292140529985,0.031821292140529985,0.02580069222725036,0.031821292140529985,0.031821292140529985,0.022278867046136734,0.022278867046136734,0.019780092313970737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,0.016508555536470116,0.009981302679219492,0.014910039209989451,0.012967917124088062,,,,,0.017177247558383568,,,,,,0.025403542395089237,0.023311455219132575,,,,,,,,0.01390426785463316,,,,,0.04031358160507869,,,0.023311455219132575,,,,,,0.021499206876079865,,,,0.021499206876079865,,,,,0.0184707689695781,0.015996355030589823,0.04031358160507869,,,,,,,,,,,,0.019900690549599198,,,,,,,,,0.0184707689695781,,,,,,,,,0.03481072975958865,,,,,,,,,,,,,,,,,,,,,,,,0.014910039209989451,,,,,,,,,,,,,0.030906394240579275,,,,,,,,,,,,,,,,,,,,,,0.0497207689695781,0.0497207689695781,0.0497207689695781,0.04031358160507869,0.0497207689695781,0.0497207689695781,0.0497207689695781,0.025403542395089237,0.03481072975958865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.029249003366901,,,0.0057734839034649585,0.0052360932087708815,0.00782165991343709,0.006802841770013409,,,,,0.00901101511259466,,,,,,0.02665289693911002,0.02445792022990959,,,,,,,,0.007294042153250183,,,,,,,,,,,,,,,0.011278272459582881,,,,,,,,,,,,,,,,,,,,0.01621319042128749,,0.010439706517822531,,,,,,,0.01621319042128749,,0.009689583721745889,,,,,,0.03242638084257498,0.01826136643125962,,,,,,,0.011278272459582881,,,,,,,,,,,,,,,,,,,0.00782165991343709,,,0.03652273286251924,,,,,,,,,,0.01621319042128749,,,,,,,,0.0634443251489763,,,,,,,,,,,,,,,,,,,,,0.01332644846955501,0.01826136643125962,0.01332644846955501,0.01826136643125962,0.021148108382992102,0.026083026344696707,0.026083026344696707,0.026083026344696707,0.026083026344696707,0.021148108382992102,0.026083026344696707,0.026083026344696707,0.026083026344696707,0.026083026344696707,0.03652273286251924,0.026083026344696707,0.01826136643125962,0.026083026344696707,0.026083026344696707,0.026083026344696707,0.026083026344696707,0.026083026344696707,0.026083026344696707,0.01826136643125962,0.01826136643125962,0.01332644846955501,0.026083026344696707,0.026083026344696707,0.026083026344696707,0.021148108382992102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
