,hồ,văn,định,và,những,cú,lừa,ngọt,ngào,chạy,lo,việc,làm,du,học,mượn,xe,đi,mua,đồ,thủ,đoạn,này,không,mới,nhưng,ròng,rã,suốt,4,năm,vẫn,liên,tiếp,trót,lọt,hàng,chục,phi,vụ,chiếm,đoạt,hơn,200,triệu,đồng,ngoài,ra,còn,đang,bị,điều,tra,thêm,về,hành,vi,đào,ngũ,là,một,thanh,niên,có,nghề,nghiệp,ổn,nhờ,tài,ăn,nói,ngụ,tại,phường,đông,hưng,thuận,quận,12,tp,hcm,được,mối,quan,hệ,quen,biết,với,khá,nhiều,người,lợi,dụng,mất,cảnh,giác,của,trong,thời,gian,từ,tháng,7,1999,2003,đã,phen,thực,hiện,đảo,trộm,cắp,lạm,tín,nhiệm,sản,cụ,thể,lui,tới,nhà,ông,nguyễn,xuyên,ở,bình,thọ,đức,tự,khoe,mình,thân,thiết,ban,lãnh,đạo,bưu,điện,hứa,xin,cho,con,rồi,đề,nghị,đưa,tiền,để,chung,chi,21,chùa,tân,thành,gạ,gẫm,lê,tấn,phật,tử,thường,đến,cúng,viếng,phải,lập,miếu,thờ,chôn,9,chỉ,vàng,dưới,nền,thì,phát,đạt,lấy,đem,bán,tiêu,xài,hết,sạch,hẹn,sơ,3,700,usd,10,lần,chơi,bạn,đường,phạm,chiêu,gò,vấp,hỏi,máy,công,cớ,sợ,sát,giao,thông,giấy,tờ,luôn,lẫn,ung,dung,thẳng,tiệm,cầm,đánh,bên,cạnh,đó,các,loại,chiều,nay,tand,án,xét,xử,do,xuất,khai,hoàn,nghĩa,quân,sự,tin,địa,phương,hđxx,hoãn,phiên,tòa,rõ,tình,tiết,nếu,tội,chưa,giải,sẽ,thuộc,thẩm,quyền
0,0.022511030106969365,0.022511030106969365,0.0024371728136801736,0.011255515053484683,0.02741058840533407,0.023060612922660418,0.034316127976145104,0.023060612922660418,0.023060612922660418,0.017158063988072552,0.017158063988072552,0.011255515053484683,0.013705294202667036,0.017158063988072552,0.017158063988072552,0.017158063988072552,0.011255515053484683,0.011255515053484683,0.023060612922660418,0.017158063988072552,0.017158063988072552,0.023060612922660418,0.011255515053484683,0.013705294202667036,0.017158063988072552,0.013705294202667036,0.023060612922660418,0.023060612922660418,0.023060612922660418,0.023060612922660418,0.023060612922660418,0.023060612922660418,0.023060612922660418,0.023060612922660418,0.023060612922660418,0.023060612922660418,0.017158063988072552,0.017158063988072552,0.023060612922660418,0.013705294202667036,0.00935531871999338,0.00935531871999338,0.023060612922660418,0.023060612922660418,0.011255515053484683,0.013705294202667036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0.00443913619634603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06250437595655,0.0499264288811442,0.0499264288811442,0.08400651850397724,0.08400651850397724,0.08400651850397724,0.08400651850397724,0.08400651850397724,0.08400651850397724,0.0499264288811442,0.0499264288811442,0.06250437595655,0.0499264288811442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.014718750454556893,0.014718750454556893,0.003187072140966381,,,,,,,,,,,,,,,,,,,,,0.017922307803487664,,0.017922307803487664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022437468292094875,0.022437468292094875,0.030156186129632855,0.030156186129632855,0.03584461560697533,0.030156186129632855,0.030156186129632855,0.030156186129632855,0.030156186129632855,0.022437468292094875,0.022437468292094875,0.030156186129632855,0.022437468292094875,0.022437468292094875,0.022437468292094875,0.030156186129632855,0.030156186129632855,0.030156186129632855,0.014718750454556893,0.022437468292094875,0.017922307803487664,0.017922307803487664,0.017922307803487664,0.030156186129632855,0.030156186129632855,0.030156186129632855,0.022437468292094875,0.017922307803487664,0.022437468292094875,0.030156186129632855,0.022437468292094875,0.017922307803487664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.0015935360704831905,,0.017922307803487664,,0.022437468292094875,,,,,0.014718750454556893,,,,,,,,,,,0.014718750454556893,,,,,,,,,,,,,,,,,,0.01223387832614519,0.01223387832614519,,,,,,,,,,,,,,0.017922307803487664,0.017922307803487664,,,,,,,,,,,,0.022437468292094875,,,,,,,,,,,,,,,,,,,,,0.022437468292094875,0.017922307803487664,0.030156186129632855,0.04487493658418975,0.030156186129632855,0.022437468292094875,0.030156186129632855,0.014718750454556893,0.01223387832614519,0.014718750454556893,0.014718750454556893,0.022437468292094875,0.030156186129632855,0.06031237225926571,0.030156186129632855,0.030156186129632855,0.014718750454556893,0.030156186129632855,0.022437468292094875,0.022437468292094875,0.030156186129632855,0.022437468292094875,0.022437468292094875,0.022437468292094875,0.022437468292094875,0.022437468292094875,0.030156186129632855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,0.010070723995223137,0.0010903141534884988,0.010070723995223137,,,,,,,,0.010070723995223137,,,,,,,,,0.015351951989328072,,,,,,,,,,,,,,,,,,,,0.00837054832841513,0.00837054832841513,,,0.010070723995223137,0.012262631655017875,,,,,,,,,,,,,,,,,,,,,,,,,,0.015351951989328072,,0.015351951989328072,,,,0.010070723995223137,,0.012262631655017875,0.012262631655017875,,,,,0.015351951989328072,0.012262631655017875,0.015351951989328072,,,,,,,,,,0.00837054832841513,0.010070723995223137,0.010070723995223137,,,,,,,,,,,,,,,,,0.020633179983433007,0.020633179983433007,0.020633179983433007,0.020633179983433007,0.015351951989328072,0.020141447990446273,0.020633179983433007,0.030703903978656143,0.012262631655017875,0.020633179983433007,0.020633179983433007,0.020633179983433007,0.020633179983433007,0.020633179983433007,0.020633179983433007,0.020633179983433007,0.020633179983433007,0.020633179983433007,0.020633179983433007,0.020633179983433007,0.020633179983433007,0.020633179983433007,0.015351951989328072,0.020633179983433007,0.012262631655017875,0.015351951989328072,0.015351951989328072,0.015351951989328072,0.020633179983433007,0.015351951989328072,0.020633179983433007,0.010070723995223137,0.020633179983433007,0.020633179983433007,0.020633179983433007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.0013810645944187653,0.012756250393949307,,,,,,,,,0.015532666763022642,,,,,,,,,,,,0.019445805853148892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019445805853148892,,,,,,,,,,0.019445805853148892,,,0.019445805853148892,,,,,0.012756250393949307,0.019445805853148892,,,,,,,,,,,,,,,,,,,0.010602694549325832,0.012756250393949307,0.012756250393949307,,,,,,0.012756250393949307,,,,,,,,,,,,,,,,0.012756250393949307,,0.019445805853148892,0.015532666763022642,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05227072262469695,0.026135361312348476,0.025512500787898615,0.026135361312348476,0.026135361312348476,0.026135361312348476,0.026135361312348476,0.026135361312348476,0.026135361312348476,0.026135361312348476,0.015532666763022642,0.026135361312348476,0.026135361312348476,0.019445805853148892,0.026135361312348476,0.05227072262469695,0.026135361312348476,0.026135361312348476,0.026135361312348476,0.026135361312348476,0.019445805853148892,0.026135361312348476,0.026135361312348476,0.019445805853148892,0.026135361312348476,0.026135361312348476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,0.004780608211449572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05376692341046299,,,,,,,,,,,,,,,0.044156251363670684,,,,,,,,,,,,,,,,,,,,,,,,,0.044156251363670684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044156251363670684,,,,,,,,,,,,,,,,,,0.06731240487628462,,,,,,0.05376692341046299,0.09046855838889857,0.09046855838889857,0.09046855838889857,0.09046855838889857,0.09046855838889857,0.09046855838889857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.028701563386385943,,0.003107395337442222,,,,,,,,0.04375306316958501,,,0.04375306316958501,0.04375306316958501,,,0.028701563386385943,,,,,,,,,,,,,,,,,,,,,,,0.023856062735983122,0.023856062735983122,,,,,0.04375306316958501,0.034948500216800946,0.034948500216800946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028701563386385943,,,,,,,,,,,,,,,,,0.04375306316958501,,0.034948500216800946,0.04375306316958501,,,,,,0.028701563386385943,,,,,,0.028701563386385943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05880456295278407,0.04375306316958501,0.04375306316958501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,0.0956718779546198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0956718779546198,0.1164950007226698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19601520984261356,0.19601520984261356,0.19601520984261356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,0.014000762627505338,0.001515802603630352,,,,,,,,,0.014000762627505338,,,,0.042685915287400004,0.028001525255010675,0.014000762627505338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021342957643700002,,,,,,,,,,,,,,,,,0.014000762627505338,,,,,,,,,,,,,0.017048048886244362,,,,0.021342957643700002,,,0.011637103773650303,,,,,,,,,,,,,,,,,,,,,,,0.021342957643700002,,,,0.017048048886244362,,,,,,,,,,,,,,,,,,0.021342957643700002,,,,,0.014000762627505338,,,,,,,,,,,,,,0.017048048886244362,,,,,,,,,,,,,,,,0.017048048886244362,,,,,,,,,,,,,0.02868515265989467,0.02868515265989467,0.02868515265989467,0.02868515265989467,0.021342957643700002,0.02868515265989467,0.02868515265989467,0.02868515265989467,0.05737030531978934,0.021342957643700002,0.02868515265989467,0.02868515265989467,0.02868515265989467,0.02868515265989467,0.02868515265989467,0.021342957643700002,0.034096097772488725,0.042685915287400004,0.02868515265989467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
