,thanh,toán,bằng,mã,tấu,ở,kênh,nhiêu,lộc,3h30,ngày,19,5,tại,bờ,phường,17,bình,thạnh,tp,hcm,xảy,ra,xô,xát,giữa,hai,nhóm,niên,họ,ngồi,nhậu,2,quán,kế,nhau,lời,qua,tiếng,lại,và,cuối,cùng,lao,vào,ẩu,đả,cây,cảnh,chai,bia,vỡ,lý,long,nguyễn,xuân,trung,một,bị,thương,tích,nặng,nên,được,bạn,đưa,bệnh,viện,chợ,rẫy,cấp,cứu,sau,đó,bỏ,trốn,khỏi,chỉ,1,giờ,khi,vụ,của,đi,trên,3,xe,gắn,máy,quay,trở,hiện,trường,dùng,chém,đối,phương,còn,nán,trận,minh,chánh,hoảng,sợ,nhảy,xuống,chạy,hứng,trọn,vết,đầu,tay,là,trịnh,văn,phụng,cũng,khá,gây,án,xong,lên,mất,đang,tiếp,tục,điều,tra,làm,rõ
0,0.04236181844460721,0.030303030303030304,0.021180909222303604,0.015844810463040534,0.015844810463040534,0.030303030303030304,0.04236181844460721,0.04236181844460721,0.04236181844460721,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.021180909222303604,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.015844810463040534,0.015844810463040534,0.021180909222303604,0.021180909222303604,0.030303030303030304,0.030303030303030304,0.012058788141576897,0.030303030303030304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,0.04659800028906792,,,,,,,,0.034858583018689174,0.034858583018689174,,,,,,,0.06666666666666667,0.04659800028906792,0.04659800028906792,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.04659800028906792,0.026529333911469173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.05376692341046299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07692307692307693,0.10753384682092598,0.07692307692307693,0.030610769897849048,0.05376692341046299,0.05376692341046299,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.026883461705231496,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015305384948924524,,,,0.026883461705231496,,,,,,,,,0.015305384948924524,,0.026883461705231496,,0.015305384948924524,,,,,,,,0.038461538461538464,0.020110720972320677,0.026883461705231496,0.038461538461538464,0.026883461705231496,0.038461538461538464,0.026883461705231496,0.026883461705231496,0.038461538461538464,0.026883461705231496,0.038461538461538464,0.026883461705231496,0.020110720972320677,0.038461538461538464,0.026883461705231496,0.026883461705231496,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0653598431600422,,,,,,,,,,,,,0.08737125054200236,0.08737125054200236,,,,,0.0653598431600422,0.125,0.125,0.08737125054200236,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,0.012449493935246133,0.012449493935246133,,,,,,,,,,,,,,,,,0.012449493935246133,0.012449493935246133,0.0166421429603814,0.0166421429603814,,,0.00947476211123899,,,0.0166421429603814,,,,,,,,,0.0332842859207628,0.00947476211123899,,,,0.00947476211123899,0.0166421429603814,0.0166421429603814,,,,,,,0.012449493935246133,,,0.0166421429603814,,,,,,,,0.012449493935246133,,,,,,,,0.024898987870492266,,,,,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.0166421429603814,0.0166421429603814,0.0166421429603814,0.023809523809523808,0.023809523809523808,0.0166421429603814,0.0166421429603814,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.0166421429603814,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,0.03039000018852256,0.03039000018852256,0.03039000018852256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017301739507479895,,,,0.017301739507479895,,,,,,,,,,0.03039000018852256,,,,,,,,,,,,,,,,,,0.02273385849044946,,,0.03039000018852256,,,,,0.03039000018852256,,,,,0.03039000018852256,,,,,,,,,0.03039000018852256,,,,,,0.043478260869565216,0.03039000018852256,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.03039000018852256,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0582475003613349,0.0582475003613349,,0.0582475003613349,,,0.043573228773361464,,,,,,,,,,,,,,,,,,0.0582475003613349,,,,,,,,,,,,,,,,,,,0.0582475003613349,,,,,,,,,,,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,,,,,,,,,,,,
8,,,,0.05228787452803377,0.05228787452803377,,,,,,,,,,,,,,,,,,,,,,,0.03979400086720376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06989700043360189,,,,,,,,,,,,,,,,,,,,0.06989700043360189,,,,,,,,,,,,0.1,0.06989700043360189,0.1,0.1,0.1,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06989700043360189,,,,,,,,,,,,,,,,,,0.06989700043360189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06989700043360189,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
