,một,giáo,viên,bị,hành,hung,trên,bục,giảng,vì,sử,dụng,dầu,gió,quẹt,vào,mũi,đánh,thức,học,sinh,ngủ,gật,thày,lê,phương,bình,trường,thpt,hà,huy,giáp,cờ,đỏ,cần,thơ,đã,người,nhà,của,em,này,ngay,trong,giờ,bài,phải,viện,cấp,cứu,chiều,19,5,tại,dạy,toán,ở,lớp,6a8,phát,hiện,trần,hữu,lộc,và,trương,văn,như,ý,đang,sau,khi,cầm,chai,bàn,đưa,nhằm,gọi,dậy,không,may,miệng,trúng,môi,chạy,về,báo,cho,mẹ,biết,vừa,đổ,sang,xông,thẳng,kể,lại,anh,nhảy,lên,đạp,bụng,lưng,thoát,xuống,cuối,tiếp,tục,đuổi,theo,gí,góc,cùng,lúc,đó,có,thêm,hai,nữa,án,ngữ,cửa,ra,tới,thì,chặn,mấy,lao,sự,việc,xảy,đều,bức,xúc,lo,sợ,chủ,tịch,công,đoàn,phan,minh,nói,làm,hợp,gì,là,quá,đáng,vậy,mà,phụ,huynh,xâm,nhập,để,kết,quả,xác,3,tham,gia,thứ,nhất,thanh,tùng,trai,đây,vi,côn,đồ,trực,đấm,mặt,tú,ngăn,cản,thầy,ngoài,ông,lắm,cha,các,con,rượt,được
0,0.022442461787511123,0.008076744124904112,0.011221230893755561,0.02690455952352184,0.018981389894366252,0.022442461787511123,0.01345227976176092,0.01345227976176092,0.02690455952352184,0.021972302167469177,0.021972302167469177,0.021972302167469177,0.011221230893755561,0.01345227976176092,0.021972302167469177,0.008230318620652639,0.01659676653061237,0.01345227976176092,0.01659676653061237,0.008076744124904112,0.009490694947183126,0.01659676653061237,0.01659676653061237,0.0033760042182151583,0.021972302167469177,0.021972302167469177,0.0058456952568987555,0.011221230893755561,0.021972302167469177,0.021972302167469177,0.021972302167469177,0.021972302167469177,0.021972302167469177,0.021972302167469177,0.021972302167469177,0.021972302167469177,0.021972302167469177,0.004932257356052662,0.011221230893755561,0.0058456952568987555,0.01345227976176092,0.01345227976176092,0.01659676653061237,0.011221230893755561,0.01659676653061237,0.021972302167469177,0.021972302167469177,0.021972302167469177,0.021972302167469177,0.021972302167469177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,0.03574688175824203,0.03574688175824203,0.007271393700771111,,,0.012590728245628091,,,,,,,,,,,,,,0.028974141025331215,,,,0.03574688175824203,,,,,,0.047324958514549,0.047324958514549,0.03574688175824203,0.047324958514549,0.047324958514549,0.047324958514549,0.028974141025331215,0.020441496809317505,0.03574688175824203,0.047324958514549,0.047324958514549,0.047324958514549,0.047324958514549,0.03574688175824203,0.03574688175824203,0.024168805001935058,0.024168805001935058,0.03574688175824203,0.014821187744769888,0.047324958514549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0.017396064269024243,,,,,0.028974141025331215,,,,,,0.024168805001935058,0.028974141025331215,,0.008863420053010536,0.03574688175824203,0.028974141025331215,0.03574688175824203,0.017396064269024243,0.020441496809317505,,,0.007271393700771111,,,,,,,,,,,,,,,,0.012590728245628091,0.028974141025331215,,,,,,,,,,,,,,,,0.028974141025331215,,,,,,,0.03574688175824203,,,,,0.029642375489539775,,0.047324958514549,0.024168805001935058,0.047324958514549,0.03574688175824203,0.047324958514549,0.047324958514549,0.047324958514549,0.047324958514549,0.047324958514549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,0.06283889300503115,,,0.023044892137827393,,,,0.04522976709946303,0.053147891704225514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09294189257142928,,,,,,0.09294189257142928,0.12304489213782739,0.09294189257142928,0.12304489213782739,0.12304489213782739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,0.02153798433307763,,0.03587274603136245,,,,,,,,,0.029923282383348165,0.03587274603136245,,0.010973758160870185,,,,,,,,0.009002677915240422,,,,,,,,,,,,,,,0.029923282383348165,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029923282383348165,0.029923282383348165,0.04425804408163299,0.018350041969715097,,,,,,,,,,,,,0.04425804408163299,,,0.025308519859155006,0.0585928057799178,0.0585928057799178,0.1171856115598356,0.0585928057799178,0.0585928057799178,0.0585928057799178,0.0585928057799178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,0.03230697649961645,0.044884923575022245,,0.037962779788732505,0.044884923575022245,,,,,,,,,,0.016460637241305278,,,,,,,,,,,,0.044884923575022245,,,,,,,,,,0.019729029424210648,0.044884923575022245,0.023382781027595022,,,,,,,,,,,,,,,,,,0.037962779788732505,,,,,,,,,,,0.027525062954572646,,,,,,,,,,,,,,,,,,,,,,,,0.0878892086698767,0.06638706612244948,0.06638706612244948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.02513555720201246,,,,,,,0.030133106666344462,0.030133106666344462,,,,,,,0.018435913710261913,,,,0.01809190683978521,0.021259156681690206,,,0.007562249448801956,,,0.013094357375453215,,,,,,,,,,,,,0.013094357375453215,,,,,,,,,,,,,,,,,,0.04251831336338041,0.03717675702857171,,,,,,,,,,0.015414035254560683,,,,,,,,,,,,,,,,,,,,,,,,,0.03717675702857171,0.07435351405714342,0.04921795685513096,0.030133106666344462,0.02513555720201246,0.03717675702857171,0.04921795685513096,0.03717675702857171,0.03717675702857171,0.03717675702857171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,0.02100624846889432,,,,,,,,,,,,,,,,,,0.041851537036589524,,,,,,,,,,,,,,,,0.059053213004695015,,,,,,,,,,,,,,0.03491049611390619,,,,,,,,,,,,,0.029526606502347508,,,,,,,,,,,,,0.03491049611390619,,,,,,0.05163438476190515,0.13671654681980822,0.06835827340990411,0.041851537036589524,0.05163438476190515,0.05163438476190515,0.05163438476190515,0.06835827340990411,0.06835827340990411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.03491049611390619,,,,,,,,,,,,,,,0.01280271785434855,,,,,,,,,,,,,,,,,,,,,,0.030689601326549895,,,,,,0.03491049611390619,,,,,,,,,,,,,0.041851537036589524,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029526606502347508,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05163438476190515,0.06835827340990411,0.13671654681980822,0.03491049611390619,0.06835827340990411,0.05163438476190515,0.05163438476190515,0.06835827340990411,0.06835827340990411,0.05163438476190515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,0.041851537036589524,,,,,,,,,,,,0.01280271785434855,,0.041851537036589524,,,,,,0.01050312423444716,,,0.01818660746590724,,,,,,,,,,,0.015344800663274948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03491049611390619,,,,,,,,,,,,,0.029526606502347508,,,,,,,,,,,,0.041851537036589524,,,,,,,,,,0.041851537036589524,0.05163438476190515,,,,,,,,,,,,,,0.05163438476190515,0.03491049611390619,0.06835827340990411,0.06835827340990411,0.06835827340990411,0.06835827340990411,0.06835827340990411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
