,học,trò,ăn,trộm,chuông,chùa,nửa,đêm,một,nhóm,sinh,lẻn,vào,lấy,cắp,3,quả,cổ,làm,bằng,đồng,rất,to,vì,vật,quá,nặng,chúng,phải,chôm,chỉa,thêm,xe,ba,gác,máy,để,chuyên,chở,trên,đường,tẩu,tán,bị,lật,đổ,xuống,kêu,vang,đạo,tặc,hoảng,sợ,bỏ,của,chạy,người,khoảng,2h,sáng,ngày,8,5,bà,con,thông,ngọc,thạnh,ii,xã,phước,an,tuy,bình,định,bất,ngờ,nghe,tiếng,ngoài,mọi,ra,xem,thì,thấy,chiếc,nằm,chỏng,chơ,bên,cạnh,là,xung,quanh,không,có,bóng,cùng,lúc,khánh,lâm,đóng,địa,bàn,trình,báo,mất,trong,đại,hồng,chung,quý,từ,hàng,trăm,năm,nay,công,xác,minh,thủ,phạm,vụ,ở,chốn,tu,hành,chỉ,huy,này,phùng,đức,tín,13,tuổi,huyện,đang,hoàn,tất,hồ,sơ,án,sớm,đưa,băng,xử,lý
0,0.05695097611494184,0.04005356481377789,0.02847548805747092,0.01689741130116395,0.02024934113650626,0.0434054946491202,0.04005356481377789,0.04005356481377789,0.01689741130116395,0.02847548805747092,0.02847548805747092,0.04005356481377789,0.04005356481377789,0.02847548805747092,0.04005356481377789,0.0217027473245601,0.0217027473245601,0.04005356481377789,0.04005356481377789,0.04005356481377789,0.04005356481377789,0.04005356481377789,0.02847548805747092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0.09254533618678049,0.05491658672878283,,,,,,,,,,,,,,,,,,,,0.13017408564477814,0.09254533618678049,0.13017408564477814,0.13017408564477814,0.13017408564477814,0.13017408564477814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,0.03993933580275115,,,,,,,,,,,,,,,,,,,,,0.09467206228711138,0.09467206228711138,0.09467206228711138,0.05129740276714205,0.06730569904493126,0.06730569904493126,0.09467206228711138,0.06730569904493126,0.09467206228711138,0.09467206228711138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,0.02024934113650626,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0434054946491202,,,,,,,0.05695097611494184,0.11390195222988368,0.08010712962755578,0.08010712962755578,0.05695097611494184,0.08010712962755578,0.05695097611494184,0.08010712962755578,0.05695097611494184,0.08010712962755578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,0.08226252105491598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1157102983509139,0.1157102983509139,0.1157102983509139,0.1157102983509139,0.1157102983509139,0.08226252105491598,0.1157102983509139,0.06269682560428472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,0.00974968276942894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02742084035163866,,,,,,,0.02742084035163866,,,,,,,,,,0.03857009945030463,0.03857009945030463,0.03857009945030463,0.03857009945030463,0.03857009945030463,0.02742084035163866,0.03857009945030463,0.03857009945030463,0.03857009945030463,0.03857009945030463,0.03857009945030463,0.03857009945030463,0.02742084035163866,0.04179788373618982,0.02089894186809491,0.02742084035163866,0.03857009945030463,0.03857009945030463,0.03857009945030463,0.03857009945030463,0.03857009945030463,0.03857009945030463,0.03857009945030463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,0.009401479813377906,,,,0.015690453351080807,,,,,,,0.02015255108709152,0.02015255108709152,,,,,,0.026441524624794422,,,,,,,,,,0.02015255108709152,0.026441524624794422,0.026441524624794422,,,,,,,,,,,0.026441524624794422,,,,,,,,,,,0.04030510217418304,,,,,,,,,,,,,,,,,,,,,,,,0.03719259589850804,0.026441524624794422,0.03719259589850804,0.03719259589850804,0.03719259589850804,0.026441524624794422,0.03719259589850804,0.03719259589850804,0.03719259589850804,0.03719259589850804,0.03719259589850804,0.02015255108709152,0.03719259589850804,0.03719259589850804,0.03719259589850804,0.026441524624794422,0.03719259589850804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,0.007977013174987314,0.034198268511428036,,,0.013313111934250383,,,,,,,0.017099134255714018,0.017099134255714018,,,,,,,,0.022435233014977088,,,,,,,,,,,,,,,0.022435233014977088,,,,0.022435233014977088,,,,,,,,,,,0.022435233014977088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022435233014977088,,,,,,,,,,0.044870466029954176,,0.031557354095703795,0.031557354095703795,0.031557354095703795,0.031557354095703795,0.031557354095703795,0.031557354095703795,0.031557354095703795,0.031557354095703795,0.031557354095703795,0.031557354095703795,0.031557354095703795,0.031557354095703795,0.031557354095703795,0.031557354095703795,0.031557354095703795,0.031557354095703795,0.031557354095703795,0.031557354095703795,0.031557354095703795,0.031557354095703795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.038966457341802305,,,0.023122773359487505,,,,,,,0.038966457341802305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038966457341802305,,,,,,,0.038966457341802305,0.02969849633887171,0.05939699267774342,,,,,,,,,,,,,,,,,,,,0.02969849633887171,,,,,,,,,,,,,,,,,,,,,,,,,,0.038966457341802305,0.05481014132411711,0.05481014132411711,0.05481014132411711,0.05481014132411711,0.038966457341802305,0.05481014132411711,0.05481014132411711,0.05481014132411711,0.05481014132411711,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,0.06730569904493126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05129740276714205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05129740276714205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09467206228711138,0.09467206228711138,0.09467206228711138,0.09467206228711138,0.09467206228711138,0.09467206228711138,0.09467206228711138,0.09467206228711138,,,,,,,,,,,,
