,bắt,được,hung,thủ,giết,một,phụ,nữ,ở,hoàng,cầu,công,an,hà,nội,vừa,phối,hợp,với,quận,1,tp,hcm,lê,xuân,học,sinh,năm,1980,vì,liên,quan,vụ,hại,bà,trần,thị,hồng,hạnh,60,tuổi,cán,bộ,bưu,điện,về,hưu,phát,hiện,chết,20,nhát,dao,đâm,ngày,13,5,trú,tại,tập,thể,thanh,bắc,cơ,khai,rằng,cách,đây,mấy,thuê,anh,ta,chữa,số,đồ,gia,dụng,sau,đó,giữa,hai,người,nảy,mâu,thuẫn,đã,làm,đơn,gửi,chính,quyền,địa,phương,và,các,thành,viên,trong,họ,của,để,tố,cáo,những,hành,vi,mà,căm,hận,9h,10,đột,nhập,vào,nhà,sống,độc,thân,ba,đình,ngay,bếp,khi,xấu,này,chuẩn,bị,đi,ngủ,trên,có,đeo,lắc,vàng,tháo,luôn,mang,bán,kẻ,ác,vội,chạy,trốn,đến,hải,phòng,rồi,tới,cái,chỉ,dân,đang,hoàn,tất,hồ,sơ,đưa,ra,xử,lý,theo,pháp,luật
0,0.0392156862745098,0.010252524417261521,0.0196078431372549,0.013705294202667036,0.020505048834523042,0.010252524417261521,0.013705294202667036,0.013705294202667036,0.0196078431372549,0.013705294202667036,0.013705294202667036,0.015605490536158338,0.020505048834523042,0.013705294202667036,0.013705294202667036,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.013705294202667036,0.0196078431372549,0.0196078431372549,0.013705294202667036,0.013705294202667036,0.010252524417261521,0.010252524417261521,0.003037293333053788,0.013705294202667036,0.013705294202667036,0.0196078431372549,0.013705294202667036,0.0196078431372549,0.013705294202667036,0.0196078431372549,0.0196078431372549,0.003037293333053788,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.003037293333053788,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.013705294202667036,0.010252524417261521,0.0196078431372549,0.0196078431372549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.0373484818057384,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0499264288811442,,,,,0.01106442571326737,,,,0.01106442571326737,,,,,,,,,0.0373484818057384,0.02842428633371697,0.0499264288811442,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0373484818057384,0.0499264288811442,0.0373484818057384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,0.0582475003613349,0.0582475003613349,,,,,,,,,0.043573228773361464,0.08714645754672293,0.012908496665478598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08333333333333333,0.043573228773361464,0.0582475003613349,0.0582475003613349,0.08333333333333333,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,0.021786614386680732,,,,,,0.016580833694668232,0.021786614386680732,,,,,,,,,,,,,0.006454248332739299,,0.02912375018066745,,,,0.02912375018066745,,,0.006454248332739299,,,,0.006454248332739299,,,,,,0.021786614386680732,,,,,,,,,,,,,,0.021786614386680732,,,,,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.02912375018066745,0.02912375018066745,0.041666666666666664,0.02912375018066745,0.041666666666666664,0.041666666666666664,0.041666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,0.017474250108400473,,,,,,,0.0038725489996435797,0.017474250108400473,,,,,,,,0.007745097999287159,,,,0.0038725489996435797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017474250108400473,0.017474250108400473,,,,,,0.017474250108400473,0.025,0.025,0.025,0.00994850021680094,0.025,0.025,0.025,0.05,0.05,0.025,0.025,0.025,0.025,0.025,0.025,0.017474250108400473,0.025,0.017474250108400473,0.025,0.017474250108400473,0.025,0.017474250108400473,0.017474250108400473,0.025,0.025,0.025,0.025,0.025,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,0.012159970820472968,,0.016255116379907415,0.016255116379907415,,0.016255116379907415,0.016255116379907415,0.009254418806326456,,,,,,,,,,,,,,0.003602371162459144,,,,,,,,,0.007204742324918288,,,,0.003602371162459144,,,,,0.016255116379907415,0.012159970820472968,,,,,,,,,,0.012159970820472968,,0.012159970820472968,,0.012159970820472968,0.016255116379907415,0.016255116379907415,,,,,,,,,,,,,0.016255116379907415,,,,,,,,0.009254418806326456,,,,,,,,,,,,,,0.016255116379907415,,0.016255116379907415,,,,,,,,,,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.016255116379907415,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.016255116379907415,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.016255116379907415,0.016255116379907415,0.023255813953488372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,0.029048819182240976,,,,,,,,,,,,,,,,,,,,0.008605664443652399,,,,,,,,,0.008605664443652399,,,,0.008605664443652399,,,,,,,,,0.029048819182240976,0.022107778259557644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022107778259557644,,,,,,,,,,,,0.0388316669075566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0388316669075566,,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,0.05376692341046299,,,,,,,,,,,,,,,,,,0.05376692341046299,0.05376692341046299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,,,,,,,,,,,,,,,
8,,0.026143937264016884,,,0.026143937264016884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007745097999287159,,,,0.007745097999287159,,,,,,,,,0.026143937264016884,0.01989700043360188,0.034948500216800946,,,,,0.05228787452803377,0.034948500216800946,0.026143937264016884,,,,,,,,,,,,,,,,,,,,,0.034948500216800946,,,,0.01989700043360188,,,,,,,,,,,,,,,,,,0.034948500216800946,,,,,,,,,,,,,,0.034948500216800946,,,,,0.034948500216800946,,,,,,,,0.034948500216800946,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,0.05,,,,,,,,,,,,
9,,,,,,,,,,,,0.02094421098273882,0.02751993396212303,,,,,,,,,,,0.02751993396212303,0.02751993396212303,0.008152734736091747,,,,,,,,,,,,,,,,,,,,,,,0.02094421098273882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03678789496505362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
