,hai,nhóm,giang,hồ,thanh,toán,nhau,1,thủ,lĩnh,bị,chém,chết,công,an,tp,hcm,vừa,bắt,8,trường,hợp,liên,quan,vụ,giết,người,bằng,mã,tấu,ở,viên,23,9,trinh,sát,phát,hiện,các,đối,tượng,côn,đồ,sau,khi,gây,án,trên,đường,trốn,sự,truy,của,đã,tranh,ra,cướp,điện,thoại,di,động,và,vàng,lấy,tiền,tiêu,xài,rạng,sáng,24,5,cảnh,hình,thành,6,trong,băng,do,tuấn,cá,cầm,đầu,chúng,tóm,đang,ẩn,náu,khách,sạn,thùy,vân,vũng,tàu,theo,kết,quả,xác,minh,lúc,2h30,ngày,21,mâu,thuẫn,từ,câu,nói,thái,cu,bắn,tin,hẹn,đến,quận,để,phân,xử,điểm,khoảng,10,hung,khí,lao,vào,choảng,tại,chỗ,2,thuộc,nạn,nhân,ngay,mạng,cơ,điều,tra,khai,một,tài,sản,được,4,nhẫn,dây,chuyền,13,triệu,đồng
0,0.018891081198270782,0.01075513536951453,0.018891081198270782,0.018891081198270782,0.02702702702702703,0.02702702702702703,0.018891081198270782,0.014131857980549667,0.018891081198270782,0.02702702702702703,0.01075513536951453,0.018891081198270782,0.018891081198270782,0.02151027073902906,0.018891081198270782,0.037782162396541565,0.037782162396541565,0.02702702702702703,0.01075513536951453,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.01075513536951453,0.018891081198270782,0.014131857980549667,0.02702702702702703,0.014131857980549667,0.02702702702702703,0.018891081198270782,0.018891081198270782,0.018891081198270782,0.014131857980549667,0.018891081198270782,0.018891081198270782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,0.017922307803487664,,,,,0.010203589965949682,0.017922307803487664,,,,0.010203589965949682,,,,,,0.013407147314880451,,,,,,,,,,0.02564102564102564,0.017922307803487664,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.013407147314880451,0.013407147314880451,0.017922307803487664,0.017922307803487664,0.017922307803487664,0.017922307803487664,0.03584461560697533,0.017922307803487664,0.017922307803487664,0.017922307803487664,0.017922307803487664,0.017922307803487664,0.017922307803487664,0.005688429477342471,0.013407147314880451,0.02564102564102564,0.017922307803487664,0.017922307803487664,0.017922307803487664,0.017922307803487664,0.017922307803487664,0.017922307803487664,0.017922307803487664,0.017922307803487664,0.017922307803487664,0.02564102564102564,0.02564102564102564,0.02564102564102564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,0.014738518839705096,,0.02588777793837107,0.02588777793837107,,0.014738518839705096,,,,,,,,,,,,,,,,,0.02588777793837107,,,,0.019365879454827317,0.019365879454827317,0.02588777793837107,0.02588777793837107,,,,,,,,0.02588777793837107,0.02588777793837107,,0.019365879454827317,,,,,,,,,,,,,,0.02588777793837107,0.02588777793837107,0.037037037037037035,0.019365879454827317,0.037037037037037035,0.037037037037037035,0.019365879454827317,0.02588777793837107,0.02588777793837107,0.019365879454827317,0.02588777793837107,0.014738518839705096,0.014738518839705096,0.019365879454827317,0.037037037037037035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,0.02842428633371697,,,,,,,,,,,,,,,,,,,,0.0499264288811442,,,,,,,,,,,,,,0.0499264288811442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0499264288811442,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0499264288811442,0.0499264288811442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,0.013407147314880451,,,,,,0.010203589965949682,,,,,,,,,0.030610769897849048,,,,,,,,,0.013407147314880451,0.017922307803487664,0.017922307803487664,,,,,,,,,,,,,,,,,,,0.005688429477342471,0.013407147314880451,,,,,,,,,,,,,,,,,0.013407147314880451,,,0.013407147314880451,,,,0.017922307803487664,0.010203589965949682,0.010203589965949682,,,,,,,,,,,,,,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.017922307803487664,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.017922307803487664,0.02564102564102564,0.02564102564102564,0.017922307803487664,0.017922307803487664,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,0.030610769897849048,,,,,,,,,,,,,,,,,,,,,0.030610769897849048,,,,,,0.05376692341046299,0.05376692341046299,,,,,,,,,,,,,,,,,,,,,,,0.017065288432027415,,,,,,,,,,,,,,,0.05376692341046299,0.05376692341046299,,0.040221441944641355,,,,,,,,,,0.040221441944641355,,,,,,,,,,,,,,,,,,,,,0.05376692341046299,,,,,,,,,,0.05376692341046299,0.05376692341046299,,,,,0.07692307692307693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.04111588260800111,,0.04111588260800111,0.04111588260800111,,,0.04111588260800111,,,,,,,,,,,,,,,,,,,,0.030757573251784565,,,,,0.030757573251784565,,,,,,,,,,,,,,,,,,,,,0.013049926448020964,,,,,,,,,,,,,,,,,,,,,0.030757573251784565,,,0.030757573251784565,,,,0.030757573251784565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,,,,,,,,,,,,,,,,,,,,,,,
7,,0.03617636442473069,,,,,,,,,0.03617636442473069,0.06354272766691081,0.06354272766691081,,,,,,,,,,0.03617636442473069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02016806814694149,,,,,,,,,,,,,,,,,,,,,,,,,,0.03617636442473069,0.03617636442473069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06354272766691081,,,,,,,,,,,,,,,,,0.06354272766691081,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,
8,,0.02842428633371697,,,,,,,,,0.02842428633371697,,,,,,,,0.02842428633371697,,,,,,,,,,,,,,,,,,,,,0.0373484818057384,0.0373484818057384,,,0.0499264288811442,,,0.0499264288811442,,,,,,0.01584633925831117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,,,,,,,,,,,,,,,
9,,,,,,,,0.024319941640945936,,,,,,,,,,,,,,,,0.016255116379907415,0.012159970820472968,,0.012159970820472968,,,,,,,,,,,,,,,,,,,0.016255116379907415,,0.016255116379907415,0.016255116379907415,0.016255116379907415,,,,,,0.03251023275981483,0.016255116379907415,0.016255116379907415,0.016255116379907415,0.016255116379907415,0.016255116379907415,0.016255116379907415,0.016255116379907415,0.016255116379907415,,,,,,,,,,,0.016255116379907415,0.016255116379907415,0.012159970820472968,,0.009254418806326456,0.009254418806326456,,,0.016255116379907415,,,,,,,,,0.016255116379907415,0.016255116379907415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016255116379907415,,,,,,,,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372
