,xét,xử,vụ,giết,người,tại,vũ,trường,metropolis,hôm,nay,tand,tp,hcm,mở,phiên,toà,sơ,thẩm,14,bị,cáo,tham,gia,gây,rối,trước,trịnh,trung,dũng,phủ,nhận,tội,danh,như,trạng,truy,tố,theo,kết,quả,điều,tra,nguyên,nhân,xảy,ra,án,là,từ,mâu,thuẫn,giữa,lee,han,hsin,a,lý,và,hồ,việt,sử,cùng,cổ,đông,của,đêm,8,9,2001,dịch,kiêm,lái,xe,cho,3,hoàng,văn,tú,sơn,châu,vĩ,hiền,đến,gặp,đòi,giúp,ông,vương,chồng,bà,hoặc,huệ,nghị,bảo,vệ,đánh,đuổi,khỏi,chấn,thương,phần,mềm,đầu,mặt,tay,vai,tỷ,lệ,tật,7,vĩnh,viễn,rằng,tuy,mình,có,mượn,đem,cầm,nhưng,không,nhờ,giùm,cũng,hề,kêu,do,sự,nên,mới,làm,vậy,11,đàn,em,chơi,thì,báo,với,lệnh,lê,bùi,tuấn,một,campuchia,quay,trở,lại,để,trả,đũa,khi,cả,bọn,gần,phát,hiện,hai,bên,xông,vào,nhau,phía,trần,ngọc,bắn,chết,khai,khẩu,súng,tên,hình,dáng,kiểu,cây,bút,bi,vì,đã,đưa,khác,cố,ý,tích,trật,tự,công,cộng,các,còn,tàng,trữ,dụng,trái,phép,khí,quân,che,dấu,phạm,riêng,lời,tổ,chức,trong,bỏ,trốn,ngày,mai,luật,sư,tiếp,tục,vấn
0,0.07383955912372388,0.07383955912372388,0.019212132758098344,0.04577360296374374,0.03272367651572278,0.03691977956186194,0.0177076468037636,0.020716618712433087,0.04577360296374374,0.03691977956186194,0.03691977956186194,0.03691977956186194,0.03691977956186194,0.03691977956186194,0.03691977956186194,0.028065956159980143,0.03691977956186194,0.03691977956186194,0.028065956159980143,0.03691977956186194,0.006290582939561208,0.010358309356216544,0.028065956159980143,0.028065956159980143,0.019212132758098344,0.02288680148187187,0.03691977956186194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,0.04863445314897773,0.034768906297955454,,,,,,,,,,,,,,,,0.013367488746567567,0.04402281476392031,,,,,,0.04863445314897773,0.04863445314897773,0.034768906297955454,0.059640156839957804,0.059640156839957804,0.04082578211095898,0.07845453156895663,0.07845453156895663,0.059640156839957804,0.04082578211095898,0.04082578211095898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.01979431859925284,,,,0.009122121080726703,0.010672197518526137,0.023580340920716474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028916439679979544,0.03803856076070625,0.03803856076070625,0.03803856076070625,0.03803856076070625,0.03803856076070625,0.03803856076070625,0.03803856076070625,0.023580340920716474,0.028916439679979544,0.03958863719850568,0.028916439679979544,0.03803856076070625,0.03803856076070625,0.03803856076070625,0.03803856076070625,0.03803856076070625,0.03803856076070625,0.012429529245122705,0.009122121080726703,0.014458219839989772,0.028916439679979544,0.028916439679979544,0.012429529245122705,0.023580340920716474,0.03803856076070625,0.03803856076070625,0.028916439679979544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,0.006143469299264922,0.0071873983288033155,0.015880637762931502,,,,,,,0.01947433692733316,,,,,0.0043648942845934905,0.0071873983288033155,,,,,,0.015880637762931502,0.015880637762931502,0.011353112260556882,,,,,,,,,,,,,,,,,,,,0.01947433692733316,,,,,,,0.016741814901593845,0.012286938598529844,0.00973716846366658,0.01947433692733316,0.01947433692733316,0.008370907450796923,0.015880637762931502,,,,0.01947433692733316,0.015880637762931502,0.02561780622659808,0.01947433692733316,0.02561780622659808,0.02561780622659808,0.02561780622659808,0.03894867385466632,0.013330867628068238,0.02561780622659808,0.02561780622659808,0.05123561245319616,0.015880637762931502,0.02561780622659808,0.02561780622659808,0.02561780622659808,0.015880637762931502,0.013330867628068238,0.02561780622659808,0.01947433692733316,0.02561780622659808,0.02561780622659808,0.02561780622659808,0.02561780622659808,0.01947433692733316,0.02561780622659808,0.02561780622659808,0.01947433692733316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,0.010751071273713613,0.012577947075405802,,,,,,,,,,,,,0.015277129996077218,,,,,,,,,,,,,,,,,,,,,,,,,,0.02779111608513013,,,,,,,,,,0.014649088038894616,0.010751071273713613,0.017040044811416515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02779111608513013,0.02779111608513013,0.019867946455974544,0.04483116089654664,0.04483116089654664,0.04483116089654664,0.06816017924566606,0.03408008962283303,0.04483116089654664,0.03408008962283303,0.04483116089654664,0.04483116089654664,0.04483116089654664,0.04483116089654664,0.04483116089654664,0.04483116089654664,0.04483116089654664,0.04483116089654664,0.04483116089654664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016723888647998956,,,,0.02278747028272496,,,,,,,,,,,,0.05301347274662915,0.03628958409863021,,,,,,,,,,,0.05301347274662915,,,,,0.05301347274662915,,,0.05301347274662915,,,,,,,,,,,,,,,,,,,,0.0697373613946281,0.0697373613946281,0.0697373613946281,0.05301347274662915,0.0697373613946281,0.0697373613946281,0.043230625021313536,0.0697373613946281,0.05301347274662915,0.0697373613946281,0.0697373613946281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07952020911994373,0.07952020911994373,,,,,,,,,,,,,,,,,,,,,,,,,0.03418120542408744,0.025085832971998432,,,,0.03418120542408744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0648459375319703,0.0648459375319703,0.04635854173060727,,,,,,,,,,,,,,,,,,,,,,,,,0.07952020911994373,,,0.10460604209194216,0.10460604209194216,0.10460604209194216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,0.021502142547427227,0.025155894150811604,,,,,,,,,,,,,,,,,0.046658036698238835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029298176077789232,0.021502142547427227,,,,,,,,,,,,,,,,,,,,,,,,,,0.046658036698238835,,,,,,,,,,,0.05558223217026026,0.05558223217026026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08966232179309327,0.08966232179309327,0.06816017924566606,0.08966232179309327,0.08966232179309327,0.08966232179309327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,0.014334761698284819,0.01677059610054107,,,,,,,,,,,,,0.010184753330718145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03906423477038564,0.028669523396569637,,,,,,,,,0.04544011949711071,0.03705482144684017,,0.04544011949711071,,,,,,,,,0.03705482144684017,,,,,0.03110535779882589,,,,,,,,,,,,,0.026490595274632725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04544011949711071,,,,0.05977488119539552,0.03705482144684017,0.03705482144684017,0.05977488119539552,0.04544011949711071,0.05977488119539552,0.04544011949711071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,0.025286477307603968,,0.013683181621090055,0.016008296277789203,,,,,,,,,,,,,,,,,,,,,,0.025286477307603968,,,,,,,,,,,,,,,,,0.035370511381074714,,,,,,,,,,,0.013683181621090055,,,,,0.035370511381074714,,,,,,,,,,,,0.02969147789887926,,,,0.035370511381074714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043374659519969314,0.057057841141059364,0.043374659519969314,0.043374659519969314,0.043374659519969314,0.043374659519969314,0.035370511381074714,0.057057841141059364,0.057057841141059364,0.043374659519969314,0.057057841141059364,0.057057841141059364,0.057057841141059364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
