,giữ,ôtô,để,đòi,nợ,có,phạm,tội,một,người,dàn,cảnh,của,con,nhằm,thúc,ép,họ,trả,hết,khoản,tiền,vay,hiện,2,luồng,ý,kiến,trái,ngược,về,việc,xác,định,danh,với,vi,nhiều,cho,rằng,hành,này,cấu,thành,cưỡng,đoạt,tài,sản,hay,công,nhiên,chiếm,lại,bảo,chỉ,nên,xử,phạt,chính,sáng,9,5,ông,ngọc,hương,tp,hcm,thuê,xe,chở,đi,vũng,tàu,khi,xế,đánh,đến,xem,giấy,nhận,bà,đ,chủ,nh,chị,đồng,thời,yêu,cầu,giao,phương,tiện,trừ,được,đưa,vào,kho,gần,đó,cất,cẩn,thận,viết,biên,bản,không,rõ,thực,hư,thế,nào,lái,hốt,hoảng,báo,toàn,bộ,sự,chưa,đầy,tiếng,sau,an,quận,thủ,đức,mặt,ở,trường,xét,biết,20,triệu,bên,trong,đã,cánh,mà,bay,theo,trước,180,mua,xi,măng,lần,nhưng,nhỏ,giọt,còn,58,kể,tình,cậu,em,là,nhà,dịch,vụ,lập,kế,hoạch,và,gây,sức,buộc,phải,đủ,yếu,tố,bởi,lẽ,tự,lấy,khác,đem,chứng,trách,nhiệm,quản,lý,nói,cùng,uy,hiếp,tinh,thần,khiến,chìa,khóa,tờ,tuy,hợp,điều,thể,qua,giải,thích,do,tới,hậu,quả,nghiêm,trọng,sai,vấn,đề,phát,sinh,thật,bị,mất,vu,oan,số,nếu,cơ,quan,chức,năng,minh,thì,đương,chịu,truy,cứu,hình,khống,lúc,đang,thụ,hồ,sơ,tôi,rành,luật,nghe,mấy,anh,mới,tá,hỏa,vì,mình,pháp,kết,ân,hận,lắm
0,0.07139169091448556,0.07139169091448556,0.07857021039656381,0.05043436429694788,0.060567391975356835,0.023013523945309224,0.03276320671473816,0.030283695987678418,0.05043436429694788,0.02813584609961594,0.06158362339561385,0.06158362339561385,0.030283695987678418,0.06158362339561385,0.04391246581340413,0.06158362339561385,0.05043436429694788,0.06158362339561385,0.039285105198281906,0.05043436429694788,0.06158362339561385,0.03569584545724278,0.06158362339561385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,0.034520285917963835,0.04914481007210725,0.04542554398151762,,0.04220376914942391,,,,,,,,,,,,,,0.058927657797422865,0.07565154644542182,0.09237543509342078,0.058927657797422865,0.0658686987201062,0.09237543509342078,0.07565154644542182,0.058927657797422865,0.05354376818586418,0.0658686987201062,0.07565154644542182,0.07565154644542182,0.05354376818586418,0.04914481007210725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,0.03716635416669624,,0.03453035657680138,,,,,,,,,,,,,,,,,,,,,,,,,0.0618967198189815,,0.04020939005899684,0.04380853760661615,0.03220524192010223,0.04821353819789144,0.04020939005899684,0.03716635416669624,0.0618967198189815,0.0618967198189815,0.0618967198189815,0.09642707639578288,0.06906071315360277,0.1077851433601738,0.0618967198189815,0.04020939005899684,0.04821353819789144,0.0538925716800869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,0.08440753829884783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0982896201442145,,,,,,,,,,,,0.11785531559484573,0.18475087018684155,0.1317373974402124,0.1317373974402124,0.15130309289084365,0.18475087018684155,0.15130309289084365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,0.058973772086528695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11085052211210494,0.11085052211210494,0.11085052211210494,0.02882059402022001,0.11085052211210494,0.03890510570892995,0.11085052211210494,0.11085052211210494,0.09078185573450619,0.04723435481614994,0.11085052211210494,0.11085052211210494,0.11085052211210494,0.11085052211210494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,0.043034725877227224,,,,,0.039982518141559495,,,0.043034725877227224,,,,,,,,,,,,,,,,,,,,0.06240192510325851,,,,,,0.03729028011801311,,,0.043034725877227224,,,,,0.039982518141559495,,,,,,,,,,,,,,,,0.022753100542278953,,0.03071455713862891,,,,0.03729028011801311,,,,,0.07166988610618909,0.050725675123450276,0.0875135700885039,0.0875135700885039,0.07166988610618909,0.07166988610618909,0.05582620212387429,0.0241388341592447,0.03071455713862891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,0.19275756546911105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19275756546911105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09172756980512986,,0.23712731539238235,0.21213956807072232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.0883914866961343,,0.06813831597227643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03602574252527501,,,,,,,,,,,,,,,,,,,,,,0.13856315264013117,0.08031565227879627,0.13856315264013117,0.13856315264013117,0.13856315264013117,0.08031565227879627,0.0988030480801593,0.0988030480801593,0.13856315264013117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.10708753637172835,0.10708753637172835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15130309289084365,0.18475087018684155,0.15130309289084365,0.18475087018684155,0.18475087018684155,0.11785531559484573,0.15130309289084365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06884198766753966,,,,,,,,,,,0.05426198890640217,,,,,,,,,,,,,,,,0.03087920787880715,,0.04168404183099638,,,,,,,,,,0.06884198766753966,,,,,0.07576413145382939,,,,,,,,,,0.06884198766753966,0.08468832692585083,0.08468832692585083,,,,,,,,,0.11876841654868386,0.11876841654868386,0.11876841654868386,0.09726627400125662,0.11876841654868386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
