,viêm,bao,gân,gấp,ngón,tay,thỉnh,thoảng,bàn,tôi,bị,đau,nhức,ở,khớp,khi,nắm,lại,thì,giữa,co,không,mở,ra,được,nếu,dùng,còn,bẻ,mạnh,nghe,có,tiếng,kêu,vậy,đã,bệnh,gì,cách,điều,trị,thế,nào,thể,bà,của,làm,cho,lòng,hẹp,nên,duỗi,do,kẹp,trong,đúng,theo,trường,hợp,này,tránh,việc,nặng,tiếp,xúc,với,nước,thường,xuyên,3,giai,đoạn,sau,đầu,tiên,uống,thuốc,kháng,giảm,như,voltarene,paracetamol,lâu,vẫn,thấy,bớt,mới,tiêm,vào,chỗ,corticoid,phương,pháp,phẫu,thuật,để,cắt,là,biện,cuối,cùng,lưu,ý,cả,trên,phải,dõi,và,tiến,hành,tại,các,trung,tâm,chấn,thương,chỉnh,hình,nhân,tự,mua,hoặc,mà,chỉ,định,bác,sĩ,chuyên,khoa
0,0.02487125054200235,0.0326799215800211,0.02487125054200235,0.0326799215800211,0.02487125054200235,0.0497425010840047,0.0625,0.0625,0.0326799215800211,0.04368562527100118,0.02487125054200235,0.02487125054200235,0.0625,0.04368562527100118,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,0.02842428633371697,0.02842428633371697,,,,,0.02842428633371697,,,,,0.0373484818057384,0.07142857142857142,0.0746969636114768,0.02842428633371697,0.0499264288811442,0.0499264288811442,0.02842428633371697,0.07142857142857142,0.0373484818057384,0.02842428633371697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,0.023408235804237506,0.04681647160847501,,,0.030757573251784565,,,0.023408235804237506,,,,,,0.030757573251784565,0.023408235804237506,,,,,0.030757573251784565,,0.030757573251784565,0.04111588260800111,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.04111588260800111,0.058823529411764705,0.058823529411764705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.007508302050415803,0.02959691011020779,0.030033208201663213,0.01973127340680519,0.015016604100831606,0.015016604100831606,,,0.009865636703402595,0.013188113289358845,0.030033208201663213,,,0.013188113289358845,,0.009865636703402595,,0.009865636703402595,0.007508302050415803,0.013188113289358845,0.013188113289358845,0.007508302050415803,,0.009865636703402595,0.007508302050415803,,,,,,,0.013188113289358845,,,0.018867924528301886,0.03773584905660377,0.02637622657871769,0.018867924528301886,0.018867924528301886,0.013188113289358845,0.013188113289358845,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.013188113289358845,0.013188113289358845,0.013188113289358845,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.009865636703402595,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.018867924528301886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,0.02751993396212303,,,,,,,,,,,,,,,,,,,0.03678789496505362,,0.03678789496505362,,,,0.02751993396212303,,,,,0.05263157894736842,0.02094421098273882,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.030610769897849048,0.020110720972320677,0.015305384948924524,0.020110720972320677,,,,,,,0.015305384948924524,0.015305384948924524,,,,0.020110720972320677,,,,,,,,,,,,,,,,,,,,,,,,0.026883461705231496,0.026883461705231496,,,,,,,,,,0.040221441944641355,,,,,,0.015305384948924524,,,,,,,,,,,,,0.026883461705231496,0.026883461705231496,0.026883461705231496,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.026883461705231496,0.020110720972320677,0.026883461705231496,0.038461538461538464,0.026883461705231496,0.038461538461538464,0.038461538461538464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.01989700043360188,,,,,,,,,,,0.01989700043360188,,,,,,,0.01989700043360188,,,0.01989700043360188,,,,0.026143937264016884,0.034948500216800946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034948500216800946,0.05228787452803377,0.034948500216800946,,0.034948500216800946,,,0.05,0.05,0.05,0.05,0.05,0.034948500216800946,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.033161667389336465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0582475003613349,0.08333333333333333,0.08333333333333333,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,0.017301739507479895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017301739507479895,,,,,,,,,,,,,0.03039000018852256,0.03039000018852256,0.03039000018852256,,,,,,,,,,,,,,,,,,,,,,,,,,0.03039000018852256,,,,0.043478260869565216,0.03039000018852256,0.043478260869565216,0.043478260869565216,0.03039000018852256,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,0.01989700043360188,,,0.01989700043360188,,,,,,,,,,,,0.034948500216800946,,,,,,,,,0.034948500216800946,,,,,,,,,,,0.01989700043360188,,,,,,,,,,,,,,,,,,,,0.026143937264016884,,,,,,,,,,,0.034948500216800946,,,,,,,,,,,,,,,0.034948500216800946,,,0.034948500216800946,,,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
