,đài,loan,xuất,hiện,virus,lạ,gây,chết,người,một,sinh,viên,trường,quân,đội,đã,thiệt,mạng,và,23,khác,phải,nhập,viện,vì,căn,bệnh,kỳ,mặc,dù,có,triệu,chứng,sốt,cao,ho,song,giới,chuyên,môn,cho,rằng,đó,không,thể,là,sars,nạn,nhân,duy,nhất,qua,đời,hôm,thứ,7,tuần,trước,ở,quận,kaohsiung,sau,vài,ngày,nhiều,8,trong,số,ngã,cũng,tương,tự,bình,phục,tiếp,tục,được,cách,ly,5,vẫn,đang,điều,trị,đến,nay,chưa,thêm,ca,mới,nào,ghi,nhận,quyền,tổng,giám,đốc,của,trung,tâm,kiểm,soát,dịch,ông,shih,wen,yi,biết,khả,năng,nhiễm,biểu,các,huyết,viêm,não,nhật,bản,bị,loại,bỏ,mọi,thắc,mắc,sẽ,giải,toả,khi,kết,quả,xét,nghiệm,vào,tối,năm,ngoái,nơi,ảnh,hưởng,nghiêm,trọng,3,trên,thế,quốc,hong,kong,với,346,37,hợp,tử,vong
0,0.03168962092608107,0.03168962092608107,0.021180909222303604,0.021180909222303604,0.015844810463040534,0.06060606060606061,0.021180909222303604,0.030303030303030304,0.024117576283153794,0.06060606060606061,0.030303030303030304,0.030303030303030304,0.021180909222303604,0.030303030303030304,0.030303030303030304,0.015844810463040534,0.030303030303030304,0.030303030303030304,0.00672268938231383,0.021180909222303604,0.021180909222303604,0.030303030303030304,0.030303030303030304,0.021180909222303604,0.030303030303030304,0.030303030303030304,0.004693998787446764,0.030303030303030304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,0.024898987870492266,,,,,,,,,,,,,,0.010564226172207447,,,,,,,,,,0.0332842859207628,0.0332842859207628,0.014334761698284819,0.0332842859207628,0.0332842859207628,0.01894952422247798,0.024898987870492266,0.0332842859207628,0.0332842859207628,0.0332842859207628,0.047619047619047616,0.047619047619047616,0.024898987870492266,0.047619047619047616,0.047619047619047616,0.0332842859207628,0.0332842859207628,0.0332842859207628,0.024898987870492266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,0.02273385849044946,,,0.009645597809406799,,,,,,,,,,,,,,,0.017301739507479895,0.02273385849044946,0.03039000018852256,,,,,,,,,,,,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.03039000018852256,0.03039000018852256,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.02273385849044946,0.043478260869565216,0.043478260869565216,0.043478260869565216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,0.017301739507479895,,,,,,,0.02273385849044946,,,0.009645597809406799,0.03039000018852256,,,,,,,0.006734867825467095,,,,0.01308826068104266,0.03039000018852256,0.03039000018852256,,,,0.03039000018852256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043478260869565216,0.03039000018852256,0.043478260869565216,0.043478260869565216,0.03039000018852256,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.02273385849044946,0.043478260869565216,0.043478260869565216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,0.03979400086720376,,,,,,,,,,,,0.06989700043360189,,,0.06989700043360189,,,0.015490195998574319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06989700043360189,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011915535383518708,,,,0.02315615351261394,,,,,,,,,,0.040221441944641355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040221441944641355,,,,,,,,0.07692307692307693,0.040221441944641355,0.07692307692307693,0.07692307692307693,0.05376692341046299,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.014524409591120488,0.014524409591120488,,0.0194158334537783,0.014524409591120488,,,,0.011053889129778822,,,,,,,,,,,,,,,,,,0.008605664443652399,,0.0194158334537783,0.0194158334537783,0.008361944323999478,,,0.011053889129778822,0.014524409591120488,,,,,,0.014524409591120488,,,0.0194158334537783,,,0.014524409591120488,,,,,,,0.0194158334537783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014524409591120488,,,,,,,,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0194158334537783,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0194158334537783,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.0499264288811442,,,,,,,,,,,,,,,,0.01584633925831117,,,,,,,,0.01106442571326737,,,,,,,0.02842428633371697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0499264288811442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0499264288811442,0.07142857142857142,0.07142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0316873679646296,,,,,,,,,,,,,,0.03678789496505362,,,,,,,,,,,,,,,,,0.02751993396212303,,,,,,,,,,,,,,,0.02751993396212303,,,,,,,,,0.02751993396212303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,,,,,,,,,,,,,,,,,,,
9,0.01493939272229536,0.01493939272229536,,,,,0.01997057155245768,,,,,,0.01997057155245768,,,,,,0.012677071406648937,,,,,,,,0.004425770285306948,,,,,,,,,,,0.01997057155245768,,,,,,,,0.01997057155245768,0.01493939272229536,,,,,,,,0.01997057155245768,,,,,,,0.01493939272229536,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01997057155245768,,,,,,,,,,0.01997057155245768,,,,0.01997057155245768,,,,,,,,,,,,,,,,0.01997057155245768,,,,,,,,,,,,,,,,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857
