,thuốc,dân,gian,chữa,bệnh,lở,sơn,những,người,tiếp,xúc,lần,đầu,tiên,với,ta,hoặc,cây,rất,dễ,bị,dị,ứng,loét,cơ,địa,nhạy,cảm,chỉ,cần,va,quệt,nhìn,vào,thùng,để,hở,ngửi,thấy,hơi,cũng,nhựa,chứa,một,chất,đặc,biệt,có,tính,kích,thích,mạnh,gây,viêm,da,chỗ,sưng,đỏ,phỏng,mụn,nước,ngứa,húp,híp,cả,mặt,nứt,nở,chảy,cho,đến,nay,y,khoa,chưa,xác,định,rõ,loại,nào,không,chịu,được,biết,hen,nổi,mày,đay,chàm,mũi,còn,phương,đã,nhiều,trồng,do,thể,quen,nên,mắc,chứng,này,cách,xử,trí,khi,trước,hết,phải,tránh,rửa,lã,gãi,chà,xát,lên,các,tổn,thương,dùng,dung,dịch,làm,dịu,và,diệt,khuẩn,như,tím,pha,loãng,1,4,000,muối,sinh,lý,09,uống,kháng,histamin,chống,giảm,đau,rát,liều,lượng,sử,dụng,bác,sĩ,trong,bài,đơn,giản,hiệu,quả,nhân,sau,đây,kết,hợp,ngoài,hoa,kim,ngân,20,g,cam,thảo,đất,12,sài,40,thổ,phục,linh,bồ,công,anh,vị,ấm,đổ,500,ml,sắc,200,lớn,trẻ,em,tùy,theo,tuổi,chia,2,3,về,lấy,lá,khế,chua,cành,non,vò,nát,nấu,lít,sôi,bỏ,ít,mà,xông,xong,tắm,mỗi,ngày,kg,sen,khô,thanh,đại,25,thạch,cao,sống,50,hoạt,15,vỏ,núc,nác,đem,tất,tán,thành,bột,mịn,trộn,dầu,vừng,bôi,trường,thêm,mai,mực
0,0.02295513919586644,0.03410439829453241,0.040626296778076165,0.040626296778076165,0.040626296778076165,0.04591027839173288,0.03961636927931251,0.029477037679410192,0.02295513919586644,0.03410439829453241,0.03410439829453241,0.02588777793837107,0.05177555587674214,0.05177555587674214,0.018327778580744223,0.029477037679410192,0.03410439829453241,0.05177555587674214,0.029477037679410192,0.03410439829453241,0.02295513919586644,0.029477037679410192,0.029477037679410192,0.05177555587674214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,0.03100411508815762,0.03460347901495979,0.026947337316886692,,,,,,0.02151521833391713,0.03460347901495979,0.040035597997929356,,,,,,,,0.040035597997929356,0.040035597997929356,0.06078000037704512,0.06078000037704512,0.040035597997929356,0.06078000037704512,0.06078000037704512,0.06078000037704512,0.06078000037704512,0.03460347901495979,0.06078000037704512,0.047691739696002454,0.06078000037704512,0.06078000037704512,0.06078000037704512,0.06078000037704512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,0.20659625276279797,,,,,,,,,,,,,,,0.20659625276279797,,,,,,,,,,,,,,,,,,,,0.4659800028906792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,0.018765648605990136,,,,,,,,,,,,0.04188842196547764,0.04846414494486185,,0.04188842196547764,0.04188842196547764,,,,,,,,,,,,,,,,,,,0.07357578993010724,0.07357578993010724,0.04188842196547764,0.07357578993010724,0.05773210594779244,0.07357578993010724,0.029096945718830567,0.07357578993010724,0.07357578993010724,0.07357578993010724,0.07357578993010724,0.07357578993010724,0.05773210594779244,0.03678789496505362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,0.013713358596685103,,0.02383802916493823,0.0354161059212452,0.0354161059212452,,,,0.01903269314154208,,,,0.030610769897849048,,0.04767605832987646,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021263152640683878,,,,,,,0.026883461705231496,0.030610769897849048,0.10753384682092598,0.05376692341046299,0.05376692341046299,0.05376692341046299,0.03806538628308416,0.04218884665415602,0.05376692341046299,0.05376692341046299,0.030610769897849048,0.05376692341046299,0.05376692341046299,0.05376692341046299,0.04218884665415602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,0.009142239064456733,0.020407179931899364,0.03178403888658431,,,,,,,0.020407179931899364,,,,,,0.04081435986379873,0.04081435986379873,,0.023610737280830133,0.023610737280830133,,,0.023610737280830133,,,,,,,,,,,,,,,,,,,0.01417543509378925,,,,,,0.028125897769437344,0.017922307803487664,,,,,,,,,,,,,,,0.023610737280830133,0.03584461560697533,0.03584461560697533,0.03584461560697533,0.03584461560697533,0.07168923121395065,0.03584461560697533,0.028125897769437344,0.03584461560697533,0.07168923121395065,0.07168923121395065,0.028125897769437344,0.03584461560697533,0.03584461560697533,0.03584461560697533,0.03584461560697533,0.03584461560697533,0.03584461560697533,0.03584461560697533,0.03584461560697533,0.03584461560697533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,0.1239577516576788,0.07130946470276253,,,,,,,,,,,,0.15917600346881505,0.18416375079047506,0.1239577516576788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0.05416580905602207,,,,,0.041946743942801484,0.09363294321695002,0.07291632450451693,0.05416580905602207,0.05416580905602207,,,,0.02910882480471141,0.04681647160847501,,,,,,,,,,0.05416580905602207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06452411841223861,0.06452411841223861,0.06452411841223861,0.05416580905602207,0.08223176521600221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,0.027426717193370205,,,,,,,,0.03806538628308416,,,,,,0.04767605832987646,,,,0.0708322118424904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08437769330831205,,,,,,,,,,,,0.08437769330831205,,,0.08437769330831205,0.0708322118424904,0.10753384682092598,0.10753384682092598,0.10753384682092598,0.10753384682092598,0.08437769330831205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,0.02383802916493823,0.013713358596685103,,,,,,,,,,0.0354161059212452,,,,0.04767605832987646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026883461705231496,0.030610769897849048,,,,,0.01903269314154208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04218884665415602,0.05376692341046299,0.05376692341046299,0.04218884665415602,0.05376692341046299,0.05376692341046299,0.05376692341046299,0.10753384682092598,0.030610769897849048,0.05376692341046299,0.05376692341046299,0.05376692341046299,0.05376692341046299,0.05376692341046299,0.026883461705231496,0.05376692341046299,0.05376692341046299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
