,cho,con,bú,giúp,ngăn,ngừa,ung,thư,vú,đối,với,những,người,không,may,mang,gene,brca1,đột,biến,mầm,bệnh,nguy,cơ,phát,triển,thành,có,thể,giảm,đáng,kể,nếu,trên,12,tháng,các,nhà,khoa,học,canada,tuyên,bố,như,vậy,hôm,qua,điều,đó,chứng,tỏ,thiểu,ở,mà,cần,đến,phương,pháp,phẫu,thuật,can,thiệp,tiến,sĩ,steven,a,narod,từ,trung,tâm,nghiên,cứu,sức,khỏe,phụ,nữ,toronto,nhận,định,vốn,lại,nhiều,lợi,ích,cả,mẹ,và,bé,của,thấy,hiệu,quả,còn,hiện,rõ,nét,hơn,trong,tổng,số,gần,2,000,được,khảo,sát,một,nửa,là,nhân,làm,685,đã,diện,này,trường,hợp,thời,gian,thấp,so,chỉ,dừng,mức,độ,tiềm,ẩn,song,nuôi,bằng,sữa,1,năm,60,bao,giờ,theo,cách,tuy,nhiên,họ,vẫn,tương,cao,thường,cảnh,báo,tạp,chí,viện,quốc,gia
0,0.02219168626603081,0.02219168626603081,0.028002790294323832,0.025097238280177323,0.025097238280177323,0.025097238280177323,0.014001395147161916,0.014001395147161916,0.02219168626603081,0.011095843133015405,0.011095843133015405,0.008842121900269907,0.005443795489148092,0.014001395147161916,0.025097238280177323,0.007000697573580958,0.014001395147161916,0.014001395147161916,0.014001395147161916,0.014001395147161916,0.014001395147161916,0.017684243800539814,0.011095843133015405,0.011095843133015405,0.011095843133015405,0.011095843133015405,0.014001395147161916,0.011095843133015405,0.014001395147161916,0.018096540706596363,0.025097238280177323,0.025097238280177323,0.025097238280177323,0.014001395147161916,0.025097238280177323,0.025097238280177323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07074102276214943,0.09810738600432954,0.09810738600432954,0.09810738600432954,0.07074102276214943,0.09810738600432954,0.09810738600432954,0.09810738600432954,0.09810738600432954,0.09810738600432954,0.09810738600432954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,0.00813594582875625,0.00813594582875625,0.012895169046477363,,,0.010275979505719082,0.006326573136036973,0.0162718916575125,,0.00813594582875625,0.0162718916575125,0.0162718916575125,0.0162718916575125,0.0162718916575125,,,0.012895169046477363,0.012895169046477363,0.012895169046477363,0.012895169046477363,,0.012895169046477363,0.0162718916575125,0.02103111487523361,,,,,,,,,,,,,,,,,,0.029167060703989865,0.02103111487523361,0.02103111487523361,0.029167060703989865,0.029167060703989865,0.012895169046477363,0.029167060703989865,0.029167060703989865,0.02103111487523361,0.029167060703989865,0.029167060703989865,0.029167060703989865,0.029167060703989865,0.029167060703989865,0.029167060703989865,0.029167060703989865,0.029167060703989865,0.029167060703989865,0.029167060703989865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03180808364797749,,,0.05187675002557624,,,,,,,,,,,0.04013733275519749,0.07194541640317499,0.07194541640317499,0.07194541640317499,0.05187675002557624,0.05187675002557624,0.05187675002557624,0.05187675002557624,0.05187675002557624,0.05187675002557624,0.07194541640317499,0.05187675002557624,0.07194541640317499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.059640156839957804,0.029820078419978902,0.03762874945799765,,,,,,,,,,,,,0.018814374728998825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04863445314897773,0.04863445314897773,,,,,,0.06744882787797656,0.03762874945799765,0.04863445314897773,0.06744882787797656,0.06744882787797656,0.06744882787797656,0.04863445314897773,0.06744882787797656,0.06744882787797656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.019880052279985932,,,,,,0.012542916485999216,0.012542916485999216,0.019880052279985932,,,0.015842135071316918,0.009753466918056997,,,0.012542916485999216,,,,,0.025085832971998432,0.015842135071316918,,,,,,,0.025085832971998432,,,,,,,,,,,,,,,,,,,,0.03242296876598515,,,,0.019880052279985932,,,,,,,,,,,,,,0.025085832971998432,,,,0.03242296876598515,0.03242296876598515,,,,,,,,,,,,,,,,,0.03242296876598515,0.04496588525198437,0.04496588525198437,0.04496588525198437,0.03242296876598515,0.04496588525198437,0.04496588525198437,0.04496588525198437,0.025085832971998432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12041199826559248,0.215836249209525,0.15563025007672873,0.215836249209525,0.215836249209525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,0.01505149978319906,0.01505149978319906,0.023856062735983122,0.023856062735983122,,,,,,,,,,,,0.0190105620855803,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03890756251918218,,,,,,,,,,,,,,,,,,,,,,,,,0.03890756251918218,0.03890756251918218,,,,,0.03010299956639812,,,,,,,,,,,,0.03890756251918218,,,,,,,,,,0.05395906230238125,0.03890756251918218,0.05395906230238125,0.05395906230238125,0.05395906230238125,0.1079181246047625,0.05395906230238125,0.05395906230238125,0.05395906230238125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,0.016720229002383426,,,0.021502142547427227,0.043004285094854454,0.043004285094854454,0.043004285094854454,0.043004285094854454,,,,,,,,0.03408008962283303,,,,,,,,,0.05558223217026026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05558223217026026,,,,,,,,,,,,,,,,,,,,0.043004285094854454,,,,,,0.05558223217026026,,,,,,,,0.07708437471768749,0.05558223217026026,0.07708437471768749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.015391008216763305,0.015391008216763305,0.019421290042837495,,,,,,,,0.015391008216763305,0.024529757529781034,0.007551071162366708,,,,,,,,,0.012264878764890517,,,0.015391008216763305,0.015391008216763305,0.019421290042837495,0.015391008216763305,,,,,,,,,,,,,,,,,,,,,,,,,0.015391008216763305,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019421290042837495,0.025101653238182052,,,,,,,,,,,,,,,0.019421290042837495,0.019421290042837495,,0.025101653238182052,,,,,,,,,,,,,,,0.025101653238182052,0.034812298259600805,0.034812298259600805,0.034812298259600805,0.034812298259600805,0.025101653238182052,0.019421290042837495,0.034812298259600805,0.034812298259600805,0.034812298259600805,0.034812298259600805,0.034812298259600805,0.034812298259600805,,,,,,,,,,,,,,,,,,,,,,,,,
