,sử,dụng,áo,nịt,khi,mang,thai,và,cho,con,bú,các,tuyến,sữa,phát,triển,mạnh,về,kích,thước,khiến,bầu,vú,lớn,lên,rõ,rệt,để,bảo,vệ,nó,chị,em,chọn,loại,cỡ,hơn,cần,thay,đổi,theo,sự,của,nhi,nhằm,giúp,tốt,chuẩn,bị,tiết,sau,sinh,hiện,nay,không,ít,phụ,nữ,đủ,hoặc,có,tượng,này,thường,gặp,ở,thành,phố,mặc,dù,họ,nhiều,điều,kiện,bồi,dưỡng,sức,khỏe,so,với,nông,thôn,vậy,nguyên,nhân,do,đâu,phải,khẳng,định,ngay,rằng,rất,hiếm,thực,thiếu,nếu,xảy,ra,là,biết,nguồn,quan,trọng,chăm,sóc,chưa,hợp,lý,một,số,lười,muốn,người,lại,ngại,ngực,ảnh,hưởng,tới,sắc,đẹp,nên,đã,dùng,chật,thậm,chí,còn,lót,bó,chặt,việc,cung,cấp,huyết,dịch,trở,tế,bào,tăng,trưởng,kém,giảm,sút,dẫn,đến,mất,cũng,đeo,như,thế,sẽ,gây,chèn,ép,cách,lợi,nâng,giữ,vị,trí,cố,thì,cặp,đang,to,rủ,xuống,tác,động,lực,phần,nửa,trên,kéo,căng,dưới,dồn,ống,cong,queo,nang,nhỏ,đi,chảy,sệ,quá,làm,ứ,đọng,mạch,nuôi,khó,lưu,thông,trong,phù,bằng,chất,vải,100,cotton,tại,sao,nghiên,cứu,mình,giáo,sư,nhật,bản,kính,hiển,vi,phân,tích,vừa,lấy,xoa,bóp,150,ông,thấy,80,bà,mẹ,ấy,những,sợi,len,hóa,học,li,ti,vì,phòng,ngừa,tắc,nghẽn,thời,kỳ,nhất,tổng,quần,may,nylon,tạo,nhung,lông,mà,lựa,chú,ý,giặt,trước,giũ,sạch,bông,bám,tránh,đó,lọt,vào
0,0.04474742269407354,0.04474742269407354,0.011414089360740209,0.01880904768128542,0.042896845099079164,0.042896845099079164,0.03761809536257084,0.024678756316474797,0.012939339046096046,0.024678756316474797,0.024678756316474797,0.028843380870084794,0.016577488026931646,0.007615977617178982,0.016577488026931646,0.01880904768128542,0.04474742269407354,0.04474742269407354,0.03471308950527417,0.03471308950527417,0.03471308950527417,0.03471308950527417,0.01464442312767542,0.028843380870084794,0.04474742269407354,0.04474742269407354,0.04474742269407354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0.026340206217092793,0.0434054946491202,,,,,,,,,,,,,,,,,,,,0.06656164816173414,,,,0.04949635972970673,0.08010712962755578,0.08010712962755578,0.1032632831401697,0.06656164816173414,0.06656164816173414,0.06656164816173414,0.06656164816173414,0.08010712962755578,0.08010712962755578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.013170103108546397,,,,0.0217027473245601,,0.014930006591649286,,,,0.019127870800305747,0.01757533296272073,0.038255741600611494,0.0434054946491202,,,,,,,,,,,,,,,,,,,,0.04005356481377789,,0.04005356481377789,0.03328082408086707,0.04005356481377789,0.05163164157008485,0.03328082408086707,0.019127870800305747,0.05163164157008485,0.05163164157008485,0.05163164157008485,0.02847548805747092,0.05163164157008485,0.024748179864853365,0.04005356481377789,0.04005356481377789,0.04005356481377789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,0.03386593034137828,,,,0.020430535335941125,0.07793291468360461,0.038966457341802305,,,0.01202522781659839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05481014132411711,0.05481014132411711,0.04554218032118651,0.0706538253064319,0.054066739077190465,0.0706538253064319,0.03386593034137828,0.03386593034137828,0.05481014132411711,0.04554218032118651,0.02969849633887171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,0.020107896140193357,0.020107896140193357,0.01763348220120508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06508704282238907,,,,,,,,,,,,,,,,0.027040669565704493,,,,0.040215792280386714,0.040215792280386714,,,0.01763348220120508,0.04195070877569394,0.027040669565704493,0.04195070877569394,0.04195070877569394,0.027040669565704493,0.04195070877569394,0.04195070877569394,0.02313633404669512,0.04195070877569394,0.04195070877569394,0.04195070877569394,0.032543521411194536,0.04195070877569394,0.04195070877569394,0.032543521411194536,0.04195070877569394,0.04195070877569394,0.04195070877569394,0.04195070877569394,0.04195070877569394,0.04195070877569394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,0.01764455324467643,0.03365284952246563,0.03365284952246563,,,0.010385424023425885,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03933188300466108,,,,,,,,,,,,,0.015564667310100287,,0.02924784893119034,0.02924784893119034,0.04733603114355569,,,,,,,,,,,,,,,,,,,,,,,,0.03933188300466108,0.04733603114355569,0.03933188300466108,0.03365284952246563,0.06101921276464574,0.06101921276464574,0.06101921276464574,0.04733603114355569,0.06101921276464574,0.04733603114355569,0.06101921276464574,0.06101921276464574,0.04733603114355569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,0.01757533296272073,,,,,,,,,0.01689741130116395,,,,,,0.08010712962755578,0.08010712962755578,,,,,,,,,,,,,,,,,,,,,,,,,0.013170103108546397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04005356481377789,0.03328082408086707,0.02847548805747092,,,,,,,,,,0.03328082408086707,0.04005356481377789,0.05163164157008485,0.024748179864853365,0.1032632831401697,0.05163164157008485,0.05163164157008485,0.05163164157008485,0.04005356481377789,0.04005356481377789,0.05163164157008485,0.05163164157008485,0.03328082408086707,0.05163164157008485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.026340206217092793,0.028936996432746796,,,,,,,,,,,,,,,,,,,,0.022187216053911378,,,,0.01649878657656891,,,,0.022187216053911378,0.022187216053911378,,,,,,0.022187216053911378,0.026702376542518592,,,,,,,,,,,,,,,0.00878006873903093,,,,,0.022187216053911378,0.014468498216373398,,,,,,,,0.018983658704980613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026702376542518592,0.026702376542518592,0.03442109438005657,0.03442109438005657,0.03442109438005657,0.03442109438005657,0.026702376542518592,0.053404753085037185,0.026702376542518592,0.026702376542518592,0.026702376542518592,0.03442109438005657,0.03442109438005657,0.014468498216373398,0.026702376542518592,0.026702376542518592,0.03442109438005657,0.03442109438005657,0.03442109438005657,0.022187216053911378,0.022187216053911378,0.03442109438005657,0.03442109438005657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,0.011417063864202394,,,0.025450041944192463,,0.013439960500904085,0.014627195317880865,0.01659621854231066,,,,,0.03062919662230074,,0.012921549818537137,,,,,,,,,,,,,,,,,,,,,,,,0.021775373220418937,,0.01892507872018198,0.03062919662230074,,,,,0.010071255318300184,,,,,0.025450041944192463,,,0.025450041944192463,,,,,,,,,,0.03062919662230074,,,,,,,,,,,,,,,,,,,,,,,0.025450041944192463,,,0.01892507872018198,,,,,,,,,,,,,,,,,0.03062919662230074,,,,,,,,,,,,,,,,,0.03948302002418253,0.03948302002418253,0.03948302002418253,0.03948302002418253,0.03948302002418253,0.03948302002418253,0.03948302002418253,0.03948302002418253,0.03948302002418253,0.03948302002418253,0.03948302002418253,0.03948302002418253,0.03948302002418253,0.03948302002418253,0.03948302002418253,0.03948302002418253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.011807678649041595,0.019457635532364227,,0.02218802332710991,0.019457635532364227,0.025529747913594615,0.013385523151133841,,,,,,0.017149125545101705,0.019457635532364227,,,,,,,0.015149403235526297,,,,,,,,,,,,,,,,,,,0.029837980210432543,0.017149125545101705,,,,,,,,,,,,0.03542303594712479,,0.02218802332710991,0.02218802332710991,,,0.019457635532364227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03591009259166294,,,,,,,,,,,,,,,,,,,,,,,,,,0.03591009259166294,0.03591009259166294,0.03591009259166294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025529747913594615,0.04629043726973125,0.04629043726973125,0.04629043726973125,0.029837980210432543,0.04629043726973125,0.04629043726973125,0.03591009259166294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
