,dùng,lâu,acetaminophen,có,thể,hại,thận,uống,thường,xuyên,loại,thuốc,giảm,đau,với,tên,thương,mại,là,tylenol,bị,suy,một,nghiên,cứu,trên,phụ,nữ,trung,niên,trong,vòng,11,năm,cho,thấy,khả,năng,lọc,của,tới,30,1,700,tham,gia,cứ,10,người,thì,trường,hợp,chức,tiến,sĩ,gary,curhan,đến,từ,bệnh,viện,brigham,mỹ,biết,tuy,nhiên,rất,may,đây,dược,liệu,duy,nhất,các,được,ưa,chuộng,thị,biểu,hiện,đối,kết,quả,đã,vấp,phải,sự,phản,công,ty,consumer,specialty,mcneil,nhà,phân,phối,theo,đại,diện,hãng,này,hoàn,toàn,trái,ngược,những,thử,nghiệm,trước,ít,gây,hơn,so,khác,do,không,tác,động,lên,tế,bào,máu,đi,qua,nhận,tiêu,thụ,500,9,000,viên,suốt,64,nguy,cơ,vượt,quá,sẽ,tăng,gấp,đôi,con,số,xảy,ra,aspirin,và,chống,viêm,steroid,nsaid,như,vài,đó,từng,ghi,đang,sử,dụng,phổ,biến,đặc,biệt,nói,ngày,càng,nhiều,tìm,chúng,để,làm,dịu,cơn,mạn,tính,hoặc,phòng,ngừa,tim,đột,quỵ,song,về,dài,lại,mong,muốn
0,0.04631230702522788,0.034734230268920904,0.06946846053784181,0.038857690639992774,0.06946846053784181,0.02315615351261394,0.027617072510897536,0.04631230702522788,0.04631230702522788,0.04631230702522788,0.02796148953601009,0.013808536255448768,0.01638341277970312,0.02315615351261394,0.01638341277970312,0.04631230702522788,0.04631230702522788,0.04631230702522788,0.02796148953601009,0.034734230268920904,0.034734230268920904,0.02796148953601009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,0.016319179210984906,,,,,,0.019362215103285504,,,,,,,,,,0.03304539672437556,0.022961362650904822,0.022961362650904822,0.02736636324218011,0.02736636324218011,0.02736636324218011,0.05473272648436022,0.05473272648436022,0.022961362650904822,0.05473272648436022,0.041049544863270164,0.041049544863270164,0.03304539672437556,0.041049544863270164,0.05473272648436022,0.041049544863270164,0.05473272648436022,0.03304539672437556,0.05473272648436022,0.05473272648436022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252574989159953,,,,,,,,,,,,0.45154499349597177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,0.014432856523425887,,,0.01025776978976194,,,,,,0.01217053520777946,,,,,,,,0.025802571056912672,0.02077139222675035,0.02077139222675035,0.014432856523425887,0.014432856523425887,,0.03440342807588356,0.03440342807588356,,,,,,,0.02077139222675035,,,0.025802571056912672,,,,,,0.03440342807588356,0.03440342807588356,0.03440342807588356,0.03440342807588356,0.03440342807588356,0.02077139222675035,0.03440342807588356,0.01720171403794178,0.025802571056912672,0.03440342807588356,0.03440342807588356,0.03440342807588356,0.03440342807588356,0.01720171403794178,0.02077139222675035,0.025802571056912672,0.025802571056912672,0.03440342807588356,0.03440342807588356,0.025802571056912672,0.03440342807588356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,0.01629516059096471,,0.019421290042837495,0.0115813529884409,,,,0.023451571868911687,0.0115813529884409,0.01374092684749294,0.019421290042837495,0.01374092684749294,,,,0.023451571868911687,,,,,,,0.019421290042837495,0.019421290042837495,0.019421290042837495,,,0.01629516059096471,,,,,,,,,,,,,,,,,,,,0.019421290042837495,,,,,,,,,,,,,,0.029131935064256244,0.029131935064256244,0.029131935064256244,0.03884258008567499,0.029131935064256244,0.029131935064256244,0.029131935064256244,0.03884258008567499,0.03884258008567499,0.029131935064256244,0.029131935064256244,0.03884258008567499,0.03884258008567499,0.029131935064256244,0.03884258008567499,0.03884258008567499,0.023451571868911687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,0.034734230268920904,,,,0.019428845319996387,0.019428845319996387,0.02315615351261394,,,,,,,,,,,,,,0.05592297907202018,,,,,,,,,,,0.02315615351261394,,,,,,0.02315615351261394,,,,,,0.034734230268920904,,,,,,,,,,,,,,,0.034734230268920904,,,0.02796148953601009,0.034734230268920904,0.034734230268920904,0.04631230702522788,0.04631230702522788,0.04631230702522788,0.04631230702522788,0.04631230702522788,0.04631230702522788,0.04631230702522788,0.04631230702522788,0.04631230702522788,0.04631230702522788,0.04631230702522788,0.04631230702522788,0.04631230702522788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,0.023664929570682284,,,,,,,,,,,,,,,,,,,,,,,,,0.04038881821868124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05017166594399686,,,,,,,,,,,,,0.05017166594399686,0.05017166594399686,,,,,,,,,,,,,,0.06689555459199582,0.06689555459199582,0.06689555459199582,0.06689555459199582,0.04038881821868124,0.06689555459199582,0.06689555459199582,0.06689555459199582,0.06689555459199582,0.028063887684439223,0.06689555459199582,0.06689555459199582,0.05017166594399686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.03225321382114084,,,0.021502142547427227,0.02564442447440485,,,,0.02596424028343794,0.012822212237202426,0.015213169009724324,0.021502142547427227,0.015213169009724324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03225321382114084,0.03225321382114084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02596424028343794,,,,,0.018041070654282357,,,,0.043004285094854454,0.043004285094854454,0.043004285094854454,0.043004285094854454,0.043004285094854454,0.043004285094854454,0.02596424028343794,0.02596424028343794,0.043004285094854454,0.043004285094854454,0.043004285094854454,0.043004285094854454,0.043004285094854454,0.043004285094854454,0.043004285094854454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,0.036082141308564714,0.036082141308564714,,,,,,0.036082141308564714,,,,,0.06450642764228168,,,,,,,0.06450642764228168,,,,,,0.05192848056687588,,,,,,,,0.043004285094854454,,0.06450642764228168,,,,,,0.06450642764228168,0.06450642764228168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036082141308564714,,,,,,,,,,,,,,,,,,,0.06450642764228168,0.08600857018970891,0.08600857018970891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24233290931208742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4013733275519749,0.30102999566398114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
