,nhìn,rõ,hơn,nhờ,gân,chân,cậu,bé,dominic,head,5,tuổi,ở,miền,nam,london,bị,yếu,cơ,mí,mắt,bẩm,sinh,và,không,thể,mở,to,để,giờ,đây,mọi,vật,đã,trở,nên,ràng,khi,em,vừa,được,phẫu,thuật,gắn,một,đoạn,đùi,lên,trước,luôn,phải,ngửa,đầu,ra,phía,sau,cố,sự,qua,khe,hở,giữa,các,mớ,lông,mi,đen,rậm,của,lại,càng,gây,cản,tầm,theo,giới,chuyên,môn,nguyên,nhân,hiện,tượng,này,là,do,mắc,hội,chứng,nhiễm,cồn,bào,thai,có,mẹ,uống,quá,nhiều,rượu,trong,trình,mang,mới,bác,sĩ,bệnh,viện,great,ormond,street,anh,tìm,giải,pháp,cứu,chữa,cho,họ,cắt,dùng,nó,nối,với,trán,phép,chủ,động,ca,thành,công,đánh,giá,hai,trên,thế,nghĩ,mình,tặng,đôi,nuôi,bà,alison,thốt,nước,cuộc,đời,nay,bước,sang,trang
0,0.026529333911469173,0.017429291509344587,0.017429291509344587,0.03333333333333333,0.017429291509344587,0.03333333333333333,0.02329900014453396,0.017429291509344587,0.010034333188799373,0.02329900014453396,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.02329900014453396,0.03333333333333333,0.02329900014453396,0.013264666955734587,0.010034333188799373,0.03333333333333333,0.03333333333333333,0.017429291509344587,0.02329900014453396,0.02329900014453396,0.02329900014453396,0.02329900014453396,0.017429291509344587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.021786614386680732,0.021786614386680732,,0.021786614386680732,,,,,,,,,,,,,,,0.016580833694668232,0.012542916485999216,,,,,,,,,0.041666666666666664,0.021786614386680732,0.041666666666666664,0.02912375018066745,0.006454248332739299,0.02912375018066745,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.012542916485999216,0.02912375018066745,0.021786614386680732,0.02912375018066745,0.02912375018066745,0.041666666666666664,0.009243697900681516,0.02912375018066745,0.02912375018066745,0.02912375018066745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.017301739507479895,,,,,,,0.02273385849044946,0.01308826068104266,,,,,,,,,,,0.017301739507479895,0.01308826068104266,,,,,,,,0.02273385849044946,,0.02273385849044946,,0.03039000018852256,,,,,,,,,,,,,,,,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.03039000018852256,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.02273385849044946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.02842428633371697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0499264288811442,,,,0.021502142547427227,,,,,,,,,,,,,,,,,,,,,,,,,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.01584633925831117,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,0.00813594582875625,,,,,,,,0.018891081198270782,,,,,,,,,0.018891081198270782,,,,,,,,0.00418653945907414,,,,,0.00813594582875625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011991824303586833,,,,,,0.02702702702702703,0.018891081198270782,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.018891081198270782,0.05405405405405406,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.05405405405405406,0.018891081198270782,0.018891081198270782,0.02702702702702703,0.05405405405405406,0.02702702702702703,0.02702702702702703,0.018891081198270782,0.02702702702702703,0.02702702702702703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,0.013683181621090055,,,,,,,,,,,,,,,,,,,,,,0.023767215694560802,,,0.007040998181170145,,,,,,,,,,,0.010084034073470746,,,,,,,,,0.031771363833455406,,,,,,,,,0.023767215694560802,,,,,,0.010084034073470746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023767215694560802,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.031771363833455406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.011704117902118753,0.015378786625892283,0.015378786625892283,,0.015378786625892283,,,,,,,,,,,,,,0.04111588260800111,0.023408235804237506,0.0177076468037636,,,0.015378786625892283,,,0.020557941304000554,0.020557941304000554,0.030757573251784565,,,,,0.004555939999580682,,,,,0.0177076468037636,,,,,,0.006524963224010482,0.020557941304000554,0.020557941304000554,,,,,,,,,,,,,,,,0.015378786625892283,,,,,,0.006524963224010482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020557941304000554,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,0.029048819182240976,0.0388316669075566,,,,,,,,,0.008605664443652399,,,,,,,0.029048819182240976,0.0388316669075566,0.0388316669075566,,0.012324930534242022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0388316669075566,,,,,,,,0.0388316669075566,,,,,,,,,0.0388316669075566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,,,,,,,,,,,,,,,
8,,,,,,,0.02912375018066745,0.021786614386680732,0.012542916485999216,0.02912375018066745,,,,,,,,,,,0.025085832971998432,,,,,,,,,,,,,0.006454248332739299,,,,,,0.02912375018066745,0.021786614386680732,,,,0.009243697900681516,,,0.02912375018066745,,,,,,,,,,,,,,,,,,,,,0.009243697900681516,,,,,,,,,,,,,,,,,,,,,,,,,0.02912375018066745,,,,,0.02912375018066745,,,0.021786614386680732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01408199636234029,,,,,0.02736636324218011,,,,,,0.02016806814694149,,,,,,,,,,,,,,,,,,,,,,,,0.02016806814694149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047534431389121605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
