,tp,hcm,đề,phòng,dịch,cúm,a,h5n1,theo,kết,quả,xét,nghiệm,của,bệnh,viện,nhiệt,đới,có,hai,nhi,bị,nhiễm,virút,sáng,nay,sở,y,tế,thành,phố,đã,văn,bản,chỉ,đạo,toàn,ngành,tăng,cường,các,biện,pháp,chống,ở,người,nhất,là,nhân,dân,vùng,trên,gia,cầm,khu,vực,tập,trung,mua,bán,trường,hợp,vi,rút,đều,nhập,tại,đồng,2,đầu,bé,gái,8,tuổi,nhà,quận,gò,vấp,ngày,15,1,hiện,thuyên,giảm,còn,lại,cháu,trai,13,19,do,nặng,tử,vong,22,để,lây,lan,tâm,dự,lấy,mẫu,những,cùng,chung,sống,với,và,phun,thuốc,thanh,khử,trùng,môi,quanh,thời,cũng,viên,tiếp,xúc,cả,ngoài,ra,danh,sách,thú,gà,được,lập,dõi,diễn,biến,sức,khỏe,thực,nhằm,phát,sớm,điều,trị,cho,cần,thiết,chủ,động,phối,chuyên,thế,giới,tổ,chức,quốc,khác,hỗ,trợ,năng,lực,trong,chuẩn,đoán,chữa,ông,lê,giang,phó,giám,đốc,hoàn,khả,xác,định,đủ,phương,tiện,trang,tích,cực,hạn,chế,tỷ,lệ,đến,mức,thấp
0,0.034482758620689655,0.034482758620689655,0.024102413942621338,0.01372206926455302,0.018030301561390953,0.036060603122781906,0.048204827885242676,0.048204827885242676,0.018030301561390953,0.034482758620689655,0.034482758620689655,0.010380344678068316,0.010380344678068316,0.024102413942621338,0.010025173759454113,0.01372206926455302,0.034482758620689655,0.034482758620689655,0.01372206926455302,0.018030301561390953,0.01372206926455302,0.024102413942621338,0.024102413942621338,0.034482758620689655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,0.008290416847334116,0.021786614386680732,0.021786614386680732,,,,,,,,,,,,,0.016580833694668232,,,,,,0.020833333333333332,0.014561875090333725,0.008290416847334116,0.004621848950340758,0.004621848950340758,0.010893307193340366,0.010893307193340366,0.004621848950340758,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.014561875090333725,0.010893307193340366,0.014561875090333725,0.014561875090333725,0.02487125054200235,0.020833333333333332,0.020833333333333332,0.014561875090333725,0.02912375018066745,0.014561875090333725,0.014561875090333725,0.008290416847334116,0.008290416847334116,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.02912375018066745,0.041666666666666664,0.014561875090333725,0.014561875090333725,0.020833333333333332,0.014561875090333725,0.020833333333333332,0.020833333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,0.034948500216800946,0.034948500216800946,,,,,,,0.009691001300805642,0.03979400086720376,,,,0.026143937264016884,0.03979400086720376,,0.034948500216800946,,,,,,,,,,,,,,,,,,,,,,,,,0.01989700043360188,,,,,,,,,,,,,0.01109243748081782,0.01505149978319906,0.05,0.05,0.05,0.026143937264016884,0.034948500216800946,0.034948500216800946,0.034948500216800946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,0.004213478826437235,0.017301739507479895,,,,,,,,,,,,,,,,0.009645597809406799,,,,,,,,,,,,,,,,0.017301739507479895,,,,,,,,,,,,,0.009645597809406799,0.01308826068104266,,,,0.02273385849044946,0.03039000018852256,,,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.03039000018852256,0.02273385849044946,0.03039000018852256,0.043478260869565216,0.043478260869565216,0.03039000018852256,0.043478260869565216,0.03039000018852256,0.02273385849044946,0.043478260869565216,0.043478260869565216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,0.0035892597410391264,0.014738518839705096,,,,,,,,,,,,,,,,0.008216620356161348,,,,,,,,,,,,,0.02588777793837107,,,0.014738518839705096,,,,,,,,,,,,,0.008216620356161348,0.01114925909866597,,,,0.019365879454827317,,,,,,,,0.02588777793837107,0.019365879454827317,0.02588777793837107,,,0.05177555587674214,,0.0776633338151132,,,,0.037037037037037035,0.037037037037037035,0.02588777793837107,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.02588777793837107,0.02588777793837107,0.037037037037037035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.0166421429603814,0.01894952422247798,,,,,,,,0.007167380849142409,0.007167380849142409,0.0166421429603814,0.0046147625241931625,,,,,,0.00947476211123899,,,,,,,0.005282113086103724,0.005282113086103724,,,0.005282113086103724,,,,,,,,,,,,,,0.0166421429603814,,,,,,,,,0.0166421429603814,0.0166421429603814,,0.0166421429603814,,,0.005282113086103724,,,,,,,,0.0332842859207628,,,,,,0.012449493935246133,,,,,,,,,,,,0.0166421429603814,,,,,,,,,0.00947476211123899,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.0166421429603814,0.0166421429603814,0.0166421429603814,0.023809523809523808,0.0166421429603814,0.047619047619047616,0.023809523809523808,0.0166421429603814,0.00947476211123899,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.0166421429603814,0.023809523809523808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,0.012542916485999216,0.012542916485999216,,0.004037917208669017,,,,0.016580833694668232,0.021786614386680732,0.016580833694668232,,,,,,0.016580833694668232,0.01848739580136303,0.01848739580136303,,,0.009243697900681516,,,,,,,,,0.016580833694668232,,,,,,,,0.016580833694668232,,,,,,,,,,,,,,,,,,,0.02912375018066745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02912375018066745,0.02912375018066745,,,,,0.02912375018066745,,,,,,,,,0.041666666666666664,0.02912375018066745,0.02912375018066745,0.041666666666666664,0.041666666666666664,0.041666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,0.015305384948924524,0.010055360486160339,0.010055360486160339,,,0.010055360486160339,,,0.005789038378153485,0.005789038378153485,,0.0018636540963087773,,,,,,,,,,,,,0.008532644216013708,0.004266322108006854,,,,,,,,,0.030166081458481018,,,0.015305384948924524,,,0.013441730852615748,,,,,0.007652692474462262,,,,,,,,,,,,0.008532644216013708,0.005789038378153485,,,,,,,,,,,,,,,,,,,,0.020110720972320677,,,,,,,,,,,,,,0.007652692474462262,,,,0.013441730852615748,,,,,,,,0.015305384948924524,,,,,,0.013441730852615748,,,0.013441730852615748,0.013441730852615748,,,,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.013441730852615748,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.010055360486160339,0.013441730852615748,0.019230769230769232,0.013441730852615748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0166421429603814,0.00947476211123899,0.010564226172207447,0.01584633925831117,0.012449493935246133,0.012449493935246133,0.005282113086103724,,,,,,,0.0166421429603814,0.0166421429603814,0.01894952422247798,,,,,,,,,,,,0.0166421429603814,,,,,,,,,0.007167380849142409,,,,,,,,,,,,,,,,,,,,0.012449493935246133,,,,,,,,,,,,,,0.00947476211123899,,,,,,,,0.0166421429603814,,,,0.02842428633371697,,,,,,,,,,,,,,,,,,,,0.0166421429603814,,,,,,,,,,,,0.012449493935246133,,,,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.0166421429603814,0.023809523809523808,0.023809523809523808,0.0166421429603814,0.0166421429603814,0.0166421429603814,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,0.009682939727413659,,,0.005574629549332985,0.005574629549332985,,0.0035892597410391264,,,,0.014738518839705096,,,0.012943888969185535,,,,,0.007369259419852548,0.008216620356161348,0.008216620356161348,0.009682939727413659,0.009682939727413659,,,,,,0.012943888969185535,0.009682939727413659,,,,,,,,,0.012943888969185535,,0.007369259419852548,,,,,,,,,,,,0.004108310178080674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012943888969185535,0.012943888969185535,,0.007369259419852548,,,,,,,,,,,,0.007369259419852548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009682939727413659,0.012943888969185535,,0.012943888969185535,,,,,,,,,,,,,0.012943888969185535,,,0.012943888969185535,0.012943888969185535,0.012943888969185535,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517
