,thức,ăn,nhân,tạo,hại,nhiều,hơn,lợi,với,sự,phổ,biến,các,thực,phẩm,đóng,hộp,em,bé,được,nuôi,chủ,yếu,bằng,sữa,bò,bột,liền,vitamin,không,ít,người,tin,rằng,những,sản,hiện,đại,và,đắt,tiền,như,vậy,con,mình,đã,có,chế,độ,dinh,dưỡng,tốt,nhất,nhưng,cái,gì,cũng,mặt,trái,của,nó,khi,còn,là,bào,thai,trẻ,hoàn,toàn,thụ,động,thông,qua,hệ,thống,máu,trao,đổi,rau,mẹ,trong,thời,gian,đó,thiện,dần,chức,năng,ra,đời,mới,bắt,đầu,tiêu,hoá,tự,lập,này,chưa,chỉnh,vì,vòng,6,tháng,duy,thích,hợp,bộ,máy,nguồn,rẻ,vệ,sinh,một,vũ,khí,ngăn,ngừa,bệnh,tật,tuyệt,vời,năm,giữa,thế,kỷ,20,ở,nước,công,nghiệp,phát,triển,phong,trào,nhà,cho,bú,bình,tỷ,lệ,giảm,sút,nghiêm,trọng,vài,thập,niên,trôi,thứ,hai,trưởng,thành,giới,khoa,học,lên,tiếng,cảnh,báo,gây,phiền,toái,ích,từ,90,phụ,huynh,tây,âu,lại,quay,về,truyền,tại,thuỵ,điển,98,bà,ngay,thì,đang,việt,nam,đua,nhau,theo,nghĩa,bỏ,việc,để,quan,niệm,lớn,nên,nhớ,cần,trí,tuệ,thịt,phải,chứa,đạm,chỉ,trường,đất,đắc,dĩ,dùng,vật,áp,dụng,chính,sách,khá,ngặt,cấm,bán,lon,trà,chai,núm,ti,đơn,bác,sĩ,sam,chọn,trên,nguyên,tắc,thể,tập,món,dễ,mềm,số,dị,ứng,trứng,tôm,cua,lạc,hoặc,sặc,ngạt,do,nhỏ,cứng,lượng,tức,sử,tinh,gạo,dự,trữ,mỡ,xây,dựng,cơ,hỗ,trợ,khoáng,chất,cung,cấp,nhằm,cân,đối,thu,nhập,nghịch,lý,sức,dạ,dày,thấp,nhu,cầu,calo,kg,cao,gấp,đôi,khác,nào,đáp,đầy,đủ,đa,dạng,bổ,thiếu,đậm,tố,mà,điều,khó,nạp,hết,thừa,tình,trạng,khủng,hoảng,vấn,đề,nan,giải,tuy,nhiên,cầncân,đo,đong,đếm,chi,li,thợ,bạc,tồn,sẽ,bao,nhiêu,quyết,định,lấy,khê,lựa,khiến,mệt,mỏi,họ,sống,luôn,rất,tiện,bàn,tươi,ngon,phần,bảo,quản,nếu,tiệt,trùng,tia,cực,tím,làm,tải,chắc,chắn,đến,lúc,chứng,minh,muộn,mắt,nhại,đồ,thường,nhuộm,màu,gan,loại,chúng,kể,độc,ba,bị,thất,thoát,bù,ai,nghĩ,nơi,dung,toán,giản,cẩn,thận,thiên,thiết,kế,tiếp,nhận,giống,quá,trình,chuyển,biết,đừng,mạo,hiểm,tư,sẵn,nhai,nuốt,hàm,răng,kém,đi,miệng,nhanh,hội,bọt,nhào,trộn,gánh,nặng,đảm,xơ,táo,bón,ví,dụ,cây,vừa,uống,quả,tăng,nguy,sâu,hỏng,sao,nằm,lâu,tiết,trung,hoà,huỷ,bớt,acid,thủ,phạm,mòn,men,kiện,chải,sạch,bám,chỗ,tốc,tính,giây,đọng,tái,diễn,chán,dẫn,suy,béo,phì
0,0.028537008538903695,0.03258953500385194,0.07434457118079893,0.061667499774149995,0.037172285590399465,0.0470804994825325,0.03360260740159089,0.03360260740159089,0.02857142857142857,0.037172285590399465,0.050804321439532674,0.02857142857142857,0.022232892868104103,0.03360260740159089,0.02665866315341105,0.037172285590399465,0.02665866315341105,0.02665866315341105,0.050804321439532674,0.01493939272229536,0.03360260740159089,0.050804321439532674,0.050804321439532674,0.03360260740159089,0.02354024974126625,0.037172285590399465,0.04220346442056178,0.050804321439532674,0.04220346442056178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,0.038461538461538464,,,,,,0.03588666193728411,,,,,,,,,,,,,,,0.026883461705231496,0.056812355950756246,0.029928894245524758,0.06839043270706321,0.045234279194449285,0.025546457618338726,0.056812355950756246,0.06839043270706321,0.05003961521784544,0.021065474192514217,0.06839043270706321,0.056812355950756246,0.03168879772862765,0.056812355950756246,0.029928894245524758,0.056812355950756246,0.038461538461538464,0.021065474192514217,0.041506971001831726,0.05003961521784544,0.03588666193728411,0.02430858518097714,0.056812355950756246,0.03588666193728411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.060855814333929954,,,,,,,0.10367257892993187,0.16412458385774026,0.16412458385774026,0.10367257892993187,0.19757236115373816,0.11990902733862498,0.09722902926574445,0.144558888407109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,0.021786614386680732,0.04900380246065339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02633430061272523,,,,,,,,,,,0.034329530872679946,0.041666666666666664,0.025085832971998432,0.054209583152665886,0.14817927086530364,0.0151324126005344,0.04496588525198437,0.0615467189466526,0.07408963543265182,0.0615467189466526,0.07408963543265182,0.08993177050396874,0.04900380246065339,0.0615467189466526,0.07408963543265182,0.07408963543265182,0.07408963543265182,0.07408963543265182,0.03646088597465417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,0.07074102276214943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03301617294662051,0.09810738600432954,,,,,,,,,,,,,0.07955102394470001,0.10691738718688013,0.11827545415127103,0.09090909090909091,0.1342837504290602,0.16165011367124033,0.11827545415127103,0.07490079463130171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,0.02751993396212303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049108063703651936,,,,,,,,0.04336361794443783,,,,,0.019114626442780294,0.056799012949874994,,,,,,,,,,,,,,,,,,,0.06847526292968321,0.04336361794443783,0.0777432239326138,0.0777432239326138,0.056799012949874994,0.0777432239326138,0.0777432239326138,0.049108063703651936,0.03678789496505362,0.0777432239326138,0.0935869079149286,0.05263157894736842,0.05263157894736842,0.0935869079149286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.02080823539295061,0.015842135071316918,,,,,,,0.041666666666666664,,,,,,,,,,,,,,,,0.034329530872679946,,,,,,,,,,,,,,,,,,0.0615467189466526,,,,,,,,,,0.03887721709872445,,,,,,,0.03646088597465417,,,,0.025085832971998432,,,0.0151324126005344,,,,,,,,,,,,,0.03646088597465417,0.03646088597465417,,,,,,,,,0.0615467189466526,,,0.0615467189466526,0.03887721709872445,0.02912375018066745,,,,,,0.04900380246065339,0.07408963543265182,0.07408963543265182,0.07408963543265182,0.07408963543265182,0.054209583152665886,0.04900380246065339,0.07408963543265182,0.07408963543265182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,0.03582211917149212,,,,,,,,,,,,,,0.023813144739363898,,0.06422266324868098,,,,,,,,,0.040567530885625515,0.02747927020458285,,0.040567530885625515,,,,0.040567530885625515,,,,,,,0.05235304272417064,,,,,,,,,,,,,,,,0.03804614188659566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06422266324868098,0.06422266324868098,0.07731092392972364,0.05656652155060788,0.02747927020458285,0.07731092392972364,0.07731092392972364,0.07731092392972364,0.07731092392972364,0.07731092392972364,0.07731092392972364,0.07731092392972364,0.07731092392972364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,0.03242296876598515,,,,,,,,,,,,,,,,,,,0.0648459375319703,,,0.027675329086533616,,,,,,,,,0.03242296876598515,,,0.022820930375223734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054209583152665886,0.07408963543265182,0.04900380246065339,0.07408963543265182,0.07408963543265182,0.054209583152665886,0.03646088597465417,0.054209583152665886,0.0615467189466526,0.04900380246065339,0.04900380246065339,0.07408963543265182,0.07408963543265182,0.14817927086530364,0.02912375018066745,0.03887721709872445,0.0615467189466526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,0.05558223217026026,,,,,0.06664665788352762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06250437595655,,,,,,,0.025941278743773256,,,,,,,,,,,,,0.06250437595655,,,,,,,,,,,,,,,,,,0.07142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06250437595655,,,,,,,,,0.06664665788352762,,0.10550866105140445,0.10550866105140445,0.10550866105140445,0.12701080359883168,0.10550866105140445,0.12701080359883168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
