,thủ,tướng,đức,nhận,lời,tham,dự,lễ,kỷ,niệm,d,day,gerhard,schroeder,sẽ,trở,thành,nguyên,đầu,tiên,ngày,quân,đồng,minh,đổ,bộ,lên,bãi,biển,normandy,trong,thế,chiến,ii,mang,mật,danh,vào,tháng,6,tới,ông,đã,chấp,mời,gia,60,năm,của,tổng,thống,pháp,jacque,chirac,phát,ngôn,viên,berlin,cho,biết,từ,trước,giáng,sinh,và,ngay,cảm,thấy,rất,vui,khi,được,1994,cố,francois,mitterrand,không,cựu,helmut,kohl,đến,50,sự,kiện,giới,chức,tuyên,bố,rằng,việc,là,một,hành,động,tính,biểu,tượng,nhằm,củng,bầu,khí,hòa,bình,lâu,dài,giữa,hai,nước,hy,vọng,đây,họ,có,thể,chôn,vùi,những,hận,thù,quá,khứ,từng,đẩy,lâm,2,cuộc,đại,đúng,1h30,sáng,1944,mỹ,anh,bất,ngờ,để,giải,phóng,khỏi,chiếm,đóng,xít,mở,mặt,trận,thứ,ở,tây,âu,lịch,sử,giai,đoạn,cuối,này,góp,phần,cùng,hồng,liên,xô,đang,tiến,công,đông,tiêu,diệt,đế,chế,hitler,hàng,cứ,các,binh,chính,trị,sĩ,lại,tập,trung,tại,làm,diễn,ra,mới,tuổi,7,4,nhà,lãnh,đạo,bao,giờ,cha,mình,vì,bỏ,mạng,lúc,romania,sau,chào,đời
0,0.017367115134460456,0.01157807675630697,0.01157807675630697,0.01157807675630697,0.01157807675630697,0.014623509296600232,0.02315615351261394,0.01157807675630697,0.01157807675630697,0.014623509296600232,0.014623509296600232,0.014623509296600232,0.014964447122762379,0.007311754648300116,0.020753485500915863,0.020753485500915863,0.020753485500915863,0.020753485500915863,0.020753485500915863,0.020753485500915863,0.009175408744608893,0.01157807675630697,0.020753485500915863,0.020753485500915863,0.01157807675630697,0.01157807675630697,0.014964447122762379,0.01157807675630697,0.01157807675630697,0.01157807675630697,0.014964447122762379,0.01157807675630697,0.007311754648300116,0.014964447122762379,0.014964447122762379,0.020753485500915863,0.020753485500915863,0.01157807675630697,0.014964447122762379,0.01157807675630697,0.020753485500915863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,0.02736636324218011,0.02736636324218011,0.017282329168709365,,0.013683181621090055,0.013683181621090055,0.017282329168709365,0.017282329168709365,0.017282329168709365,,,,,,,,,0.021687329759984657,,,,,,,,,,,,,,,,,,,,,0.021687329759984657,0.017282329168709365,0.04905369300216477,0.017282329168709365,0.035370511381074714,0.035370511381074714,0.021687329759984657,0.021687329759984657,0.021687329759984657,0.02736636324218011,0.017282329168709365,0.04905369300216477,0.035370511381074714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.01157807675630697,0.01157807675630697,,0.02315615351261394,0.02315615351261394,,,0.01157807675630697,,,,,,0.014623509296600232,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018350817489217786,0.029247018593200464,,0.014623509296600232,,,,0.018350817489217786,0.018350817489217786,0.02315615351261394,,,0.029928894245524758,0.029928894245524758,0.041506971001831726,0.041506971001831726,0.041506971001831726,0.029928894245524758,0.029928894245524758,0.02315615351261394,0.029928894245524758,0.041506971001831726,0.029928894245524758,0.018350817489217786,0.041506971001831726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.03344777729599791,0.03344777729599791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042245693523511776,,,,,,,,,,,,,,,,,,,,,,0.11990902733862498,0.11990902733862498,0.11990902733862498,0.11990902733862498,0.06689555459199582,0.08646125004262707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.010751071273713613,0.010751071273713613,0.010751071273713613,,,,0.021502142547427227,0.010751071273713613,0.010751071273713613,0.013578972918271643,0.013578972918271643,0.013578972918271643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013578972918271643,,0.013578972918271643,,,0.03408008962283303,,0.017040044811416515,0.021502142547427227,0.013578972918271643,,,,,,,,,,,,,,,,,,,,,0.038542187358843745,0.02779111608513013,0.038542187358843745,0.038542187358843745,0.021502142547427227,0.02779111608513013,0.038542187358843745,0.038542187358843745,0.02779111608513013,0.038542187358843745,0.017040044811416515,0.021502142547427227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.007000697573580958,0.007000697573580958,,,,0.008842121900269907,0.014001395147161916,0.007000697573580958,0.007000697573580958,0.008842121900269907,0.008842121900269907,0.008842121900269907,,0.008842121900269907,,,,,,,,,,,,,,,,,,,,,0.018096540706596363,,,,,,,,,,0.008842121900269907,,0.018096540706596363,0.011095843133015405,,,,0.008842121900269907,,,,,,,,,,,,,,,,,,,,,,0.018096540706596363,,,0.014001395147161916,,,,,,0.011095843133015405,0.014001395147161916,0.025097238280177323,0.025097238280177323,0.025097238280177323,0.025097238280177323,0.025097238280177323,0.025097238280177323,0.025097238280177323,0.025097238280177323,0.018096540706596363,0.025097238280177323,0.025097238280177323,0.025097238280177323,0.025097238280177323,0.025097238280177323,0.025097238280177323,0.025097238280177323,0.025097238280177323,0.025097238280177323,0.025097238280177323,0.018096540706596363,0.025097238280177323,0.025097238280177323,0.014001395147161916,0.014001395147161916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,0.009710645021418747,,,,,,0.009710645021418747,,,,,,,,,,,,,,,,,,,,,,0.025101653238182052,0.019421290042837495,0.012264878764890517,,,,,0.019421290042837495,,,,,,,,,,,,,,0.012264878764890517,,,,,,,,,0.019421290042837495,0.025101653238182052,,,0.015391008216763305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019421290042837495,0.019421290042837495,0.034812298259600805,0.034812298259600805,0.034812298259600805,0.034812298259600805,0.025101653238182052,0.034812298259600805,0.034812298259600805,0.034812298259600805,0.025101653238182052,0.034812298259600805,0.034812298259600805,0.034812298259600805,0.034812298259600805,0.034812298259600805,0.034812298259600805,0.034812298259600805,0.025101653238182052,0.019421290042837495,0.034812298259600805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.007718717837537979,,,,,,,,,,,,,,,,,,,0.015437435675075958,,,0.015437435675075958,0.015437435675075958,0.01995259616368317,0.015437435675075958,0.015437435675075958,0.015437435675075958,,,,,,,,,,0.030874871350151916,,,,,,,,,0.01223387832614519,,,0.009749006197733487,,,0.01995259616368317,,,,0.01995259616368317,,,,,,0.01223387832614519,,,,,,,,,,,,,,,,,,0.01223387832614519,,,,,,,,,,,,,,,,,,,,,,,,0.015437435675075958,,,,,,,,,,,,,,,,,,,,,0.02767131400122115,0.02767131400122115,0.02767131400122115,0.015437435675075958,0.02767131400122115,0.02767131400122115,0.02767131400122115,0.02767131400122115,0.01995259616368317,0.02767131400122115,0.02767131400122115,0.02767131400122115,0.02767131400122115,0.02767131400122115,0.02767131400122115,0.02767131400122115,0.015437435675075958,0.01995259616368317,0.02767131400122115,0.015437435675075958,0.02767131400122115,0.01995259616368317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.007718717837537979,,,,,,,,,,,,,,,,,,,0.04631230702522788,,,,,,,,,,0.015437435675075958,0.009749006197733487,0.01995259616368317,,,,0.015437435675075958,,,,,0.009749006197733487,,,,,,0.02446775665229038,0.01223387832614519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01995259616368317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015437435675075958,,,,,,,,,,,,,,,,,,0.015437435675075958,0.01995259616368317,,0.015437435675075958,,0.01995259616368317,0.02767131400122115,0.02767131400122115,0.02767131400122115,0.02767131400122115,0.02767131400122115,0.02767131400122115,0.02767131400122115,0.02767131400122115,0.02767131400122115,0.02767131400122115,0.02767131400122115,0.02767131400122115,0.01995259616368317,0.02767131400122115,0.02767131400122115,0.02767131400122115,0.02767131400122115,0.02767131400122115,0.02767131400122115,0.02767131400122115,0.02767131400122115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,0.00927344491979527,,0.007342195016194664,0.007342195016194664,0.00927344491979527,,,,,,,,,,,0.011637103773650303,,,,0.014684390032389328,0.014684390032389328,,0.014684390032389328,0.014684390032389328,0.014684390032389328,,,0.00927344491979527,,,,,,,0.029368780064778655,,,,,,0.03795859757968993,,0.023274207547300606,,,,,,,,,,,,,0.014684390032389328,,,,0.011637103773650303,,,,,,,,,,,,,0.018979298789844966,,,0.03795859757968993,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014684390032389328,,,,,0.018979298789844966,,,,0.018979298789844966,,,,,,,,,0.014684390032389328,,,,,0.014684390032389328,,,,,0.018979298789844966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026321493806039632,0.026321493806039632,0.026321493806039632,0.052642987612079264,0.026321493806039632,0.026321493806039632,0.026321493806039632,0.026321493806039632,0.026321493806039632,0.026321493806039632,0.026321493806039632,0.026321493806039632,,,,,,,,,,,,,,,,,,,,,
