,hoạt,động,tình,báo,hai,mặt,của,cia,tại,đài,loan,một,mỹ,dùng,lãnh,thổ,để,nắm,được,rất,nhiều,tin,tức,về,trung,quốc,đại,lục,mà,bản,thân,hòn,đảo,cũng,có,lợi,khác,đồng,thời,với,hợp,tác,cùng,không,ngừng,trên,này,trong,gian,dài,vẫn,luôn,dựa,vào,thu,thập,các,sử,dụng,căn,cứ,quân,nhật,kết,trinh,sát,và,bằng,vệ,tinh,chuyển,cho,nhà,đạo,cao,cấp,năm,1995,khi,lý,đăng,huy,gây,căng,thẳng,quan,hệ,bờ,cơ,đã,liên,tục,đối,sau,đó,phía,mới,dám,nói,là,tay,sự,phương,trợ,giúp,còn,thực,hiện,nhiệm,vụ,chính,thâm,nhập,giới,chức,tượng,trọng,điểm,nhằm,triển,khai,số,nhỏ,nhân,viên,quyền,bắc,làm,việc,pháp,tuyển,mộ,đơn,giản,tiền,mua,chuộc,tiến,hành,phân,trạm,nội,bộ,hiệp,hội,ngoại,giao,mỗi,tổ,trưởng,phó,thường,người,hoa,tịch,ngoài,ra,bí,mật,doanh,nghiệp,đa,những,chiêu,họ,du,học,hãng,thông,tấn,tiết,lộ,đảng,dân,lên,thư,ký,riêng,cục,trần,cường,đến,chuẩn,bị,luận,án,sĩ,ông,vừa,đặt,chân,tới,tìm,đề,nghị,diện,hình,nay,2,tương,nhạy,cảm,vì,vậy,muốn,qua,thái,đáp,lại,sẽ,trả,khoản,thù,lao,hậu,hĩnh,tuy,nhiên,nhìn,nhầm,ngay,lập,chung,cầm,kế,hoạch,điệp,phá,sản,cánh,ở,viện,nghiên,cứu,kinh,tế,rồi,sang,xuyên,tiếp,xúc,giải,quyết,vấn,trị,do,tưởng,thăng,con,đường,công,danh,mở,rộng,biện,thủ,đoạn,ví,dụ,thành,nhất,kiện,trương,hiến,nghĩa,cuối,1970,tiềm,lực,hùng,phát,vũ,khí,hạt,1979,sở,năng,lượng,ty,lân,xây,dựng,máy,chế,tạo,uranium,nghèo,nguyên,liệu,tháng,5,suất,20,chuyên,xuất,phản,ứng,thuỷ,áp,1986,ngắn,bắn,thử,loại,trường,cửu,đình,đông,1987,theo,nhận,định,chỉ,1,nữa,thể,bom,tử,ngày,9,1988,giám,đốc,đánh,cắp,tài,dưới,hỗ,sắp,xếp,đào,tẩu,chứng,cuộc,điều,khẳng,tên,lửa,thiên,mã,tầm,000,km,mang,đầu,đạn,quá,trình,xong,chấn,dư,nước,washington,yêu,cầu,phải,chương,hoá,từ,lâu,cử,đều,vật,rõ,ngạc,thấy,tiếc,nuối,tham,vọng,chiều,13,biết,đột,ngột,tái,bệnh,đau,tim,đời,đoàn,biểu,đứng,trước,trừng,phạt,đớn,đành,hứa,rằng,cách,thức,dừng,thống,điện,chặt,chẽ,bay,vị,tướng,điên,cuồng,gián,chiến,lược,ep,3e,rc,135,kỳ,quy,luật,lần,kéo,khoảng,10,giờ,đặc,biệt,chẳng,hạn,như,diễn,tập,lớn,hay,tăng,thậm,chí,tàu,biển,đất,hướng,nên,cấm,phận,khu,vực,vô,giở,ngón,đòn,kịp,gần,khách,mời,bó,ngồi,xử,duy,nếu,hoặc,thì,đội,tạm,đợi,tiện,hết,trận,nhanh,chóng,hoàn,phái,hải,thăm,dò,lì,lợm,đi,nào,trích,nhưng,đương,hại,ngậm,bồ,ngọt,bởi,dẫm
0,0.026199298693275308,0.020121381905101352,0.02967853763799526,0.028343836514174135,0.035674060804514296,0.06296282355875805,0.011360029874277677,0.01483926881899763,0.024314030930236617,0.011573240413633067,0.014009074815889321,0.024314030930236617,0.008385298050270535,0.035674060804514296,0.02133929910622948,0.042841441653656706,0.01714665008109421,0.026199298693275308,0.02133929910622948,0.048628061860473235,0.035674060804514296,0.018046377721318015,0.020121381905101352,0.019031917844132898,0.024314030930236617,0.019031917844132898,0.026199298693275308,0.035674060804514296,0.026199298693275308,0.035674060804514296,0.042841441653656706,0.019031917844132898,0.020121381905101352,0.02850667995537189,0.016318980884446305,0.035674060804514296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.047842197613807085,0.03674339304409812,0.054195590469382646,0.05175831015631799,,0.05748779542321388,,,,0.010566871682012802,0.012790894397116337,,0.015312283396146193,,,,,,,,,,,,,,,,,,,0.03475393693276442,0.03674339304409812,,,,0.06514393712128698,0.05205567644024432,0.03475393693276442,0.029799878136814992,0.047842197613807085,0.05205567644024432,0.06514393712128698,0.029799878136814992,0.06514393712128698,0.041488804758231516,0.03475393693276442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.02596872043324585,0.024800856949902368,,,,,,0.010126585361928935,0.012257940463903156,,0.014674271587973436,,,,0.03000663764191487,,,,,0.03158116101230653,0.03521241833392737,0.03330585622723257,0.042549554127914085,0.03330585622723257,0.04584877271323179,0.06242960640790002,,,,,,,,,,,0.03330585622723257,,,,,,,,,0.03330585622723257,0.049886689921900804,0.0550924706139133,0.06242960640790002,0.0550924706139133,0.06242960640790002,0.049886689921900804,0.049886689921900804,0.0550924706139133,0.019038244526307313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.014494169544137219,0.013842338762736207,,,,0.014494169544137219,0.023748588350463676,0.005652047643867312,0.0068416411891552495,,,,0.020843036336317167,,0.01674789077688272,,,,,0.017626694518496668,0.01965344279102923,0.018589315103571667,0.023748588350463676,0.018589315103571667,,,,0.03484443148347908,,,,,0.01593946970108709,,,,,,0.025590012677152624,,,0.03187893940217418,,0.02219168626603081,,,,,,,,,,,0.03187799083474713,0.030749285924044634,0.027843733909898125,0.04184512905706004,0.04184512905706004,0.023748588350463676,0.04184512905706004,0.04184512905706004,0.03187893940217418,0.030381977384899707,0.01593946970108709,0.030749285924044634,0.04184512905706004,0.04184512905706004,0.03484443148347908,0.023748588350463676,0.025590012677152624,0.02219168626603081,0.023748588350463676,0.02219168626603081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.024441148643054918,0.02334198301167282,0.029378638309600007,,,,,0.004765451935025381,0.005768442571248544,,0.006905539570811029,,,,0.014120770655018763,0.02157589304152084,,,,0.014861722829320719,0.016570549804201112,,0.02002331958960663,0.015673344106932975,,,,,,,,,,,,,,0.013439160728367545,,,,,,,,0.03134668821386595,,,,,,,,,0.008959173894732853,,,,,0.02002331958960663,,,0.013439160728367545,0.012808088505398897,,,,,,,,,,,0.02157589304152084,0.03528118724418788,0.014861722829320719,0.029378638309600007,0.03528118724418788,0.03528118724418788,0.025925868524194495,0.03528118724418788,0.03528118724418788,0.03742127487997352,0.029378638309600007,0.029378638309600007,0.02157589304152084,0.02334198301167282,0.029378638309600007,0.025925868524194495,0.03514708088084855,0.017573540440424276,0.02157589304152084,0.02157589304152084,0.025925868524194495,0.029378638309600007,0.025925868524194495,0.014861722829320719,0.029378638309600007,0.016570549804201112,0.02157589304152084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.027097795234691323,0.025879155078158994,,,0.020744402379115758,0.027097795234691323,,,,,,,,,,,,,,0.032954254969363335,0.03674339304409812,,,,,,,,,0.03475393693276442,0.03674339304409812,,,,,0.05205567644024432,0.03475393693276442,0.029799878136814992,,,,,,,,,,,,,,,0.05205567644024432,0.05748779542321388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047842197613807085,,,,,,,0.03674339304409812,,0.06514393712128698,0.06514393712128698,0.047842197613807085,0.06514393712128698,0.05205567644024432,0.06514393712128698,0.05748779542321388,0.03896741575920166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.03143915843193037,0.024145658286121623,0.017807122582797156,0.01700630190850448,,,,,,0.006943944248179841,0.008405444889533592,,0.010062357660324641,,0.025607158927475376,,0.020575980097313054,,,,,,,,,,,,0.03143915843193037,,,,,,,,,,,,,,,,,,,,,,0.042808872965417154,0.037777694135254836,,0.03420801594644627,,,0.026109592493221458,,,,,,,,,,,,,,,,,0.027264071698266425,0.05835367423256789,0.05452814339653285,,,,,,,,,,0.05452814339653285,,,0.03143915843193037,,,,0.025607158927475376,,,,,,,0.02165565326558162,,,,,,,,,,,,0.051409729984388045,0.042808872965417154,0.042808872965417154,0.03420801594644627,0.051409729984388045,0.051409729984388045,0.042808872965417154,0.042808872965417154,0.027264071698266425,0.051409729984388045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.031162464519895024,0.029761028339882846,,,,,,0.012151902434314722,,0.051059464953496905,0.017609125905568124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03426985985733724,,,,,,,,,,,,,0.022845893431568776,,,,,,,,,,,,,,,0.051059464953496905,,,,,,,,,,,,,,0.047712125471966245,,,0.05501852725587815,,,,,,,,,,,,,,,,,,,0.059864027906280974,,,0.04481252812308191,,,,,,,,,,,0.059864027906280974,0.07491552768948002,0.03266062568876719,0.04225490200071284,0.05501852725587815,0.051059464953496905,0.047712125471966245,0.051059464953496905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,0.03408008962283303,,,,,,0.025155894150811604,0.10702218241354289,,,0.051439950243282635,,,0.07294209279070986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07859789607982592,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08552003986611567,0.10702218241354289,0.08552003986611567,0.1285243249609701,0.1285243249609701,0.1285243249609701,0.1285243249609701,0.1285243249609701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.047842197613807085,0.03674339304409812,,,,,0.041488804758231516,0.027097795234691323,0.08879906948434244,0.021133743364025605,0.025581788794232674,,0.015312283396146193,,,,,,0.03896741575920166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03475393693276442,,,,,,,,,0.019865994288320674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04439953474217122,0.04439953474217122,0.06514393712128698,0.05748779542321388,0.05748779542321388,0.05748779542321388,0.07823219780232964,0.06514393712128698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
