,chinh,phục,sao,hỏa,hay,một,cuộc,chiến,không,gian,mới,ứng,viên,tổng,thống,nhiệm,kỳ,2,của,mỹ,g,bush,đã,khởi,đầu,năm,bầu,cử,bằng,việc,công,bố,lại,đưa,người,lên,mặt,trăng,và,sẽ,đổ,bộ,trong,vòng,14,nữa,cùng,với,đó,là,dồn,dập,những,tín,hiệu,khả,quan,cho,chương,trình,đầy,tham,vọng,tàu,spirit,rồi,opportunity,liên,tiếp,hạ,cánh,thành,trên,hành,tinh,đỏ,kế,hoạch,tái,ngộ,được,tung,ra,vào,thời,điểm,này,chính,vũ,khí,sách,đối,ngoại,lược,quân,sự,toàn,cầu,thuật,tranh,nước,trụ,đánh,dấu,mốc,trọng,ngày,23,3,1983,khi,r,reagan,thức,khai,tuyên,động,sáng,kiến,phòng,thủ,sdi,thường,nhắc,đến,sau,dưới,cái,tên,giữa,các,vì,bối,cảnh,xô,đang,có,bước,lấn,sân,đất,kể,từ,1970,ông,rằng,vụ,chống,mối,đe,doạ,khủng,khiếp,hệ,lửa,viết,21,1,2004,w,thứ,hai,bản,lề,nasa,rất,chờ,đón,vai,hùng,quốc,tế,thông,báo,trở,khoảng,2015,2020,2018,nằm,tăng,cường,ngân,kinh,phí,gia,dự,tính,12,tỷ,usd,qua,chuyến,bề,hình,ảnh,màu,đen,trắng,độ,phân,giải,cao,do,gửi,về,làm,càng,tin,tưởng,phiên,đêm,24,ở,bên,kia,quy,mô,tiên,bắt,j,f,kennedy,gọi,apollo,nay,amstrong,vẫn,son,huy,hoàng,lịch,sử,tiến,nghệ,thế,giới,80,ưu,dù,thất,bại,nhưng,thân,buộc,họ,phải,lao,chạy,đua,hết,sức,tốn,kém,nền,lụn,kết,cục,kẻ,thù,suốt,ii,sụp,tan,rã,thập,niên,cuối,kỷ,trước,cha,cũng,tục,bỏ,dở,tiền,tích,cỏi,lĩnh,vực,hiện,thực,móng,án,nếu,như,mục,tiêu,nhằm,khẳng,định,vượt,trội,năng,tấn,ngoài,trái,thì,con,nhiều,hơn,nga,truyền,hợp,tác,xây,dựng,trạm,bay,chung,luôn,dè,chừng,kỹ,gặp,khó,khăn,chảy,máu,chất,xám,ta,nói,chuyên,hàng,tại,trung,tây,âu,ấn,cạnh,tiềm,nhất,nặng,ký,còn,đồng,minh,hân,hoan,bớt,niềm,beagle,đáng,lẽ,cả,hy,vệ,mars,express,dần,quỹ,đạo,thể,phép,mặc,nhận,nào,sắc,nét,mà,lấy,tự,bảy,rạng,chủ,nhật,vừa,coi,nhẹ,nổi,lâu,phụ,thuộc,2003,lần,kiện,thần,châu,tầm,vóc,lời,tán,tụng,đơn,thuần,lợi,ích,giấu,kín,hoàn,diện,đặt,cải,cách,đội,gần,đây,hạt,nhân,phóng,2008,2030,vô,cớ,quảng,bá,ầm,ĩ,lúc,đạt,đặc,biệt,afghanistan,iraq,giống,mình,bị,chỉ,trích,bởi,yếu,sát,quên,bill,clinton,thắng,biết,dân,sống,chứ,lý,xa,xôi,tận,số,xác,đâu,đồ,nâng,tay,chèo,lái,nhà,thầu,ngần,ngại,tập,đoàn,nghiệp,dầu,mỏ,vận,tới,nmd,tmd,cận,cực,xúc,đắc,tốt,thuyết,nghi,tài,để,nó,kiểm,soát,phản,kịp,biển,đáy,tất,đảm,bảo,triển,tâm,sắp,xếp,đông,á,thái,bình,dương,thúc,ép,sớm,nhập,nato,eu,ngạc,nhiên,ba,lan,rumani,thậm,chí,trí,lãnh,ngựa,troi,chậm,trễ,afghanitstan,diễn,biến,gruzia,saddam,hussein,rõ,rút,khỏi,căn,cứ,philippines,hồi,dính,líu,đàm,phán,bắc,triều,vẻ,sẵn,sàng,đi,hiệp,tử,chia,hưởng,khu,nóng,phương,giành,phần,khác,pháp,hoá,kiềm,toả,từng,ngỏ,phát,mọi,ai,hiểu
0,0.03902590169246994,0.03705482144684017,0.041204829814406846,0.04959012786467738,0.04640218550131485,0.025751920694716175,0.03902590169246994,0.025751920694716175,0.025751920694716175,0.03525536616639256,0.03360002777309675,0.06392488956296219,0.07231018761323274,0.0436406642166631,0.041204829814406846,0.05336066339075475,0.04959012786467738,0.06392488956296219,0.01141715899643136,0.016305841943914583,0.04959012786467738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0.030903622360805134,0.03719259589850804,,,,,,,,,,,,,,,,,,0.024050567852272525,0.015690453351080807,0.04348156943621093,0.02779111608513013,0.0585388525387049,0.06498371198363817,0.03719259589850804,0.04348156943621093,0.04348156943621093,0.016350574983009847,0.02926942626935245,0.034801639125986134,0.04348156943621093,0.02015255108709152,0.034801639125986134,0.024050567852272525,0.03719259589850804,0.013299496578558908,0.034801639125986134,0.04794366717222165,0.04348156943621093,0.016350574983009847,0.06498371198363817,0.05423264070992455,0.05423264070992455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,0.007265464815910865,0.010376444873400191,,,,,,,,,,,0.013873215137099265,,,,,,,,,,,,,,,,0.033956785794116665,0.01864921069351345,0.036893452854966854,0.01864921069351345,0.04601557393569356,0.04601557393569356,0.013873215137099265,0.033956785794116665,0.033956785794116665,0.029528663500836723,0.033956785794116665,0.01864921069351345,0.023580340920716474,0.022435233014977088,0.04601557393569356,0.04067947517643049,0.033956785794116665,0.029528663500836723,0.033956785794116665,0.04601557393569356,0.036893452854966854,0.033956785794116665,0.04601557393569356,0.036893452854966854,0.036893452854966854,0.021381835855607025,0.027771331774240154,0.031557354095703795,0.029528663500836723,0.033956785794116665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.018212087456485972,0.017292250008525415,,,,,,0.024035125981735097,,,,,,0.02036564330110945,0.01922892058005653,,,,0.0053280075316679675,,,0.01496479777474735,,,,,,0.02314205967018278,,,,,,,,,0.01496479777474735,0.02314205967018278,0.01655048463109553,,,,0.020347382201078925,,,,,,,0.013676087841909865,,,,,,,,,,,,,,,,,,,,,,,,0.02314205967018278,0.021654353233946932,0.024901642915685553,0.02983161512938236,0.02983161512938236,0.02983161512938236,0.040434309678708195,0.013091000314746552,0.040434309678708195,0.02983161512938236,0.013676087841909865,0.02314205967018278,0.02705519876030903,0.01496479777474735,0.03458450001705083,0.01922892058005653,0.040434309678708195,0.033744754219508614,0.015680012960778485,0.033744754219508614,0.01922892058005653,0.024901642915685553,0.018212087456485972,0.021654353233946932,0.02983161512938236,0.02983161512938236,0.018212087456485972,0.021654353233946932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.034147663980911194,0.03242296876598515,,,,0.02253293060787665,,,,,,,,0.03818558118958021,0.03605422608760599,,,,0.009990014121877439,0.014267611700925262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04669058046691041,,0.03242296876598515,0.030848445395593494,,,,,,,,,,,,,,,,,,,,,0.02454562559014978,,,0.025642664703580995,,,,,0.03605422608760599,,,,,,,,,,,,,0.03818558118958021,0.06327141416157864,0.06327141416157864,0.06327141416157864,0.05593427836759192,0.04060191231365049,0.07581433064757787,0.05593427836759192,0.07581433064757787,0.03818558118958021,0.06327141416157864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.027912949229114314,,,,,0.0348896990057445,,,,,,,,,,,,,,,,0.039273675619803425,,,,,,,0.014768261274976636,0.02643690114651189,,,,,,,,,,,,,,,,,0.039273675619803425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019003064973019186,,,,,,,0.025101653238182052,,,,,,0.027912949229114314,,,,,,0.02643690114651189,,,,,,,,,,,,,0.04330395744587762,0.04330395744587762,0.03614754616793064,0.031433738565406835,0.04898432064122218,0.04330395744587762,0.04898432064122218,0.039273675619803425,0.023882667403040125,0.04898432064122218,0.04898432064122218,0.04898432064122218,0.027912949229114314,0.039273675619803425,0.03614754616793064,0.05869496566264093,0.04330395744587762,0.03359331242445888,0.023882667403040125,0.039273675619803425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,0.011036537440592646,,,,,,,0.017659212777602934,0.022868855738894894,,,,,,,0.008965973343474747,,,0.01672538643962997,,,,,,0.01672538643962997,0.019886650929134934,,,,0.013743181629870014,,,,,,0.009343185704577055,,,,,,,,,,0.01868637140915411,,,,,,0.015880637762931502,0.01510944264273967,,,,,,,,0.022868855738894894,,,,,0.01870314180714133,,,,,,,,,,,,,,0.013743181629870014,,,,,,,0.017659212777602934,,,,,,,,,,,,,,,,,,,0.027396381241269512,,,0.019886650929134934,,,,,,,,,0.017659212777602934,,,,0.027396381241269512,0.02125291194200459,,,0.027396381241269512,0.02484661110640625,0.0496932222128125,0.019886650929134934,0.028800023805511502,0.03099008040567117,0.0371335497049361,0.0371335497049361,0.02484661110640625,0.027396381241269512,0.04250582388400918,0.0371335497049361,0.014400011902755751,0.02484661110640625,0.0371335497049361,0.02484661110640625,0.0371335497049361,0.0371335497049361,0.0371335497049361,0.027396381241269512,0.0371335497049361,0.0371335497049361,0.0371335497049361,0.0371335497049361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,0.13017408564477814,,,,,0.10244299194273358,,,,,,,,,,,,,,,,,,,0.18981424248473594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12180573694095148,,,,,,,,,,,,,,,,,,,0.15218549302673828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2274429919427336,0.15218549302673828,0.18981424248473594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1205739312058498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,0.020799628253424605,,,,,,0.05163164157008485,0.058404382302995675,0.03524822879038174,0.03328082408086707,0.04309899735407115,0.04005356481377789,,,,,0.02590061153321657,0.01689741130116395,0.04682630554668871,0.029928894245524758,0.03152092059776418,,0.04005356481377789,0.04682630554668871,,,0.03152092059776418,,,,,,,,,,,,,,,,,,,,,,,,,,0.023670152034074767,,,,,,,,,,,,,,,,,,,,,,,0.022657500544753646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03747868828952353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04682630554668871,0.058404382302995675,0.04005356481377789,0.06998245905930264,0.04682630554668871,0.05163164157008485,0.06998245905930264,0.058404382302995675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
