,trẻ,iran,mồ,côi,sau,động,đất,bi,kịch,mới,chỉ,bắt,đầu,vida,3,tuổi,được,mang,đến,trại,kerman,hôm,thứ,hai,ngày,khi,tai,hoạ,giáng,xuống,thành,cổ,bam,cô,bé,không,ngủ,và,cũng,chịu,rời,tay,người,chăm,sóc,mẹ,cơ,cháu,là,farah,ngừng,khóc,đòi,một,trong,số,1,200,đứa,mất,cả,cha,lẫn,trận,vừa,rồi,cậu,ali,8,gần,như,nói,gì,trừ,việc,cho,biết,chú,em,may,mắn,thoát,chết,sẽ,ra,khỏi,đây,atefeh,7,tỏ,vẻ,bồn,chồn,về,những,bức,vẽ,của,mình,từ,nhưng,tồi,tệ,đã,xảy,ở,đó,mắt,vẫn,nhìn,cây,cọ,gái,khoảng,6,tháng,cuối,cùng,thiếp,đi,nhiều,giờ,tổng,thống,mohammad,khatami,thăm,này,chập,chững,tập,chào,ông,hello,daddy,chiếc,xe,con,búp,bê,khoe,các,nhân,viên,cứu,hộ,còn,tìm,kiếm,sống,sót,nữa,đang,phải,đối,mặt,với,thách,thức,đặc,biệt,để,đáp,ứng,nhu,cầu,nhóm,bác,sĩ,tâm,lý,thần,phố,giúp,đột,ngột,cuộc,nỗi,đau,mà,gánh,thể,đo,dù,nhà,hảo,rất,chúng,thờ,ơ,thậm,chí,tức,giận,tất,đưa,đều,hoảng,loạn,liên,tục,giấu,chăn,hoặc,arezoo,hussein,rezai,leila,beigi,bà,làm,quen,tôi,cố,chơi,đùa,đôi,rõ,sự,chán,nản,thằng,im,lặng,tên,nó,hay,lớn,hơn,thì,bỏ,quay,trở,lại,tiến,reza,khoshnood,phó,chủ,tịch,tổ,chức,phúc,lợi,mỗi,bằng,ôtô,vì,muốn,bình,tĩnh,thấy,rằng,nơi,hãng,thông,tấn,tin,2,gia,đình,lôi,đống,đổ,nát,tư,bị,thu,hút,bởi,tiếng,hót,chim,yến,đài,truyền,hình,nước,5,đồ,ăn,trai,11,chèn,ngang,ngực,có,câu,chuyện,kể,chấn,thương,nặng,nề,motahar,norouzi,14,mắc,kẹt,suốt,tiếp,kêu,mấy,đủ,sức,phía,nam,quan,hệ,họ,hàng,khá,chặt,chẽ,ta,hy,vọng,thân,nhận,nuôi,trăm,70,nosrat,amarian,20,chưa,4,hứa,anh,tại,bệnh,viện,trên,khắp,nghìn,nạn,tới,khác,chạy,chữa,lũ,khăng,kinh,nghiệm,trước,30,lúc,công,khó,khăn
0,0.011534066787460825,0.027934960151109935,0.031504638339918505,0.031504638339918505,0.04580756264189523,0.027934960151109935,0.025166102636594037,0.04513667418905171,0.04513667418905171,0.031504638339918505,0.04513667418905171,0.031504638339918505,0.027934960151109935,0.03653581717008082,0.07307163434016165,0.019334103132139045,0.016565245617623146,0.027934960151109935,0.020991015902930094,0.020991015902930094,0.027934960151109935,0.03653581717008082,0.03653581717008082,0.03653581717008082,0.027934960151109935,0.022903781320947614,0.04513667418905171,0.03653581717008082,0.04513667418905171,0.04513667418905171,0.031504638339918505,0.04513667418905171,0.031504638339918505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08482018014593444,0.03850787312070657,0.08919747640258617,0.09836566161175607,0.052053354586528204,0.07520950809914213,0.09836566161175607,0.12152181512437002,0.12152181512437002,0.061664026633320504,0.09836566161175607,0.12152181512437002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48886180264442386,0.7898917983084051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050060235056918534,0.057978359661681016,,,,,,,,,,0.19554472105776954,,0.06766936096248666,0.08016323462331665,0.15797835966168103,0.15797835966168103,0.11026623418971478,0.15797835966168103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,0.2131256001588048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13360539103886107,,,,,0.09663059943613501,0.14680226538013189,0.18377705698285796,0.2632972661028017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.02883516696865206,,,,,0.06983740037777483,0.0629152565914851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06983740037777483,,,,,,,,,0.0629152565914851,,,0.1128416854726293,0.03575731075494181,0.07876159584979626,0.07876159584979626,0.09133954292520205,0.09133954292520205,0.07876159584979626,0.1128416854726293,0.1128416854726293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,0.025062726282402463,,0.03621198538106843,,,,,,,,,,,,,,,,,0.018540827798858715,0.021473466541363336,,,,,,,0.029690086897524684,,,,,,,,,,,,,,,,,,,,,,,,0.03621198538106843,0.058510503578400375,0.058510503578400375,0.058510503578400375,0.058510503578400375,0.023168188413980932,0.03621198538106843,0.058510503578400375,0.0473612444797344,0.027210576170464934,0.03621198538106843,0.0473612444797344,0.06524545128005861,0.058510503578400375,0.058510503578400375,0.058510503578400375,0.058510503578400375,0.03621198538106843,0.032622725640029306,0.04083934599619066,0.032622725640029306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,0.052053354586528204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12152181512437002,0.09836566161175607,0.08482018014593444,0.12152181512437002,0.12152181512437002,0.12152181512437002,0.061664026633320504,0.04141468549681424,0.09836566161175607,0.12152181512437002,0.04811854516749887,0.08482018014593444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,0.02875657662614258,0.02590628212590563,,,,,,,,,,,,0.021608398723604507,,,,,,,0.02357742194803431,,0.03761040002802438,,,,,0.03243124534991611,0.03243124534991611,0.01472359854615251,,,,,,,,,0.03761040002802438,,,,0.019902753224260782,,,,,,0.017052458724023827,0.05181256425181126,,,,,,,,,0.03243124534991611,,,,,,,,0.018398267269926036,,,,,,0.03761040002802438,,,,,,,0.02590628212590563,,,,,,,,,,0.015835026807605443,0.03761040002802438,,0.018398267269926036,0.03243124534991611,0.03761040002802438,0.021608398723604507,0.04646422342990618,0.04646422342990618,0.02357742194803431,0.04646422342990618,0.02875657662614258,0.02590628212590563,0.04646422342990618,0.03243124534991611,0.03761040002802438,0.04646422342990618,0.04646422342990618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,0.04715484389606862,,,,,,,,,,,0.039805506448521565,,,,,,,,,,,,,,,,,,,0.02944719709230502,,0.07522080005604875,,0.05751315325228516,,,,,,,,,,,,,0.06486249069983221,,0.03410491744804765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06486249069983221,0.07522080005604875,0.09292844685981236,0.09292844685981236,0.09292844685981236,0.09292844685981236,0.09292844685981236,0.06486249069983221,0.04715484389606862,0.07522080005604875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
