,thủ,tướng,berlusconi,đi,thẩm,mỹ,mắt,vì,vợ,ông,silvio,hôm,qua,cảm,ơn,bà,veronica,đã,có,ý,tưởng,làm,chồng,cho,to,ra,và,khuyến,khích,phẫu,thuật,tại,buổi,gặp,mặt,các,nhà,thiết,kế,thời,trang,ở,rome,italy,biết,hài,lòng,với,kết,quả,đến,mức,dự,định,sẽ,thay,đổi,hơn,nữa,lãnh,đạo,67,tuổi,báo,giới,chú,vào,tuần,trước,khi,trở,lạivới,một,diện,mạo,mới,sau,không,xuất,hiện,công,chúng,suốt,tháng,chính,trị,gia,này,luôn,thức,về,bề,ngoài,trông,trẻ,gầy,thừa,nhận,quanh,đang,thực,chế,độ,ăn,kiêng,hoàn,toàn,được,thuyết,phục,ấy,lôi,kéo,tôi,đứng,tất,cả,nói,rất,thích,nay,của,mình,thấy,vui,vẻ,soi,gương,những,gì,nhìn,còn,mọi,người,xung,bác,bỏ,tin,vùng,khác,trên,nhưng,điều,đó,thể,xảy,trong,gian,tới
0,0.017211408042896604,0.017211408042896604,0.03442281608579321,0.06021315417874793,0.04394126252123544,0.04394126252123544,0.04394126252123544,0.06021315417874793,0.02197063126061772,0.017211408042896604,0.030106577089373966,0.030106577089373966,0.030106577089373966,0.02197063126061772,0.030106577089373966,0.02197063126061772,0.02197063126061772,0.011215495891103188,0.02197063126061772,0.017211408042896604,0.030106577089373966,0.02197063126061772,0.030106577089373966,0.017211408042896604,0.030106577089373966,0.02197063126061772,0.017211408042896604,0.030106577089373966,0.030106577089373966,0.017211408042896604,0.017211408042896604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.020542648309263688,0.020542648309263688,,,,,,,,,,,,,,,,,,,,,,0.020542648309263688,,,,,,,,0.03593365652602699,0.03593365652602699,0.03593365652602699,0.026223011504608245,0.026223011504608245,0.026223011504608245,0.03593365652602699,0.03593365652602699,0.026223011504608245,0.03593365652602699,0.026223011504608245,0.03593365652602699,0.03593365652602699,0.026223011504608245,0.026223011504608245,0.026223011504608245,0.020542648309263688,0.026223011504608245,0.026223011504608245,0.03593365652602699,0.03593365652602699,0.03593365652602699,0.03593365652602699,0.03593365652602699,0.03593365652602699,0.03593365652602699,0.020542648309263688,0.026223011504608245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,0.012574949938509637,,0.019297639320823467,,0.024633738080086533,,,,,,,,,,,,,,,0.024633738080086533,,,,,,,,,,,,,,,,,,,,,0.019297639320823467,,0.03375585916081324,0.03375585916081324,0.03375585916081324,0.03375585916081324,0.03375585916081324,0.03375585916081324,0.03375585916081324,0.03375585916081324,0.03375585916081324,0.06751171832162647,0.04926747616017307,0.03375585916081324,0.03375585916081324,0.06751171832162647,0.024633738080086533,0.024633738080086533,0.03375585916081324,0.019297639320823467,0.03375585916081324,0.03375585916081324,0.019297639320823467,0.03375585916081324,0.03375585916081324,0.03375585916081324,0.03375585916081324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,0.03251653426571422,0.03251653426571422,0.03251653426571422,,,,,,,,,,,0.016598933918832718,,0.025472883903486974,,,,,,,0.025472883903486974,,,0.025472883903486974,0.025472883903486974,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05094576780697395,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.03251653426571422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,0.04516185314682531,0.035379005421509686,,,,,,,,,,,,,,0.035379005421509686,,,,,,,,,,,,,,,,,,,,,0.04516185314682531,,,,,,,,,,,,,,,,,,,,,,,,,0.04516185314682531,,,,,,,0.035379005421509686,,,0.035379005421509686,,,,,,,,,,,,,,,,,,,,0.061885741794824256,0.061885741794824256,0.061885741794824256,0.061885741794824256,0.061885741794824256,0.061885741794824256,0.061885741794824256,0.061885741794824256,0.061885741794824256,0.061885741794824256,0.061885741794824256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,0.1354855594404759,,0.069162224661803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18565722538447277,0.18565722538447277,0.18565722538447277,0.05596535032053218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.07075801084301937,0.07075801084301937,0.07075801084301937,,,,,,,,,,,,,,0.09032370629365062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07075801084301937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12377148358964851,0.12377148358964851,0.12377148358964851,0.12377148358964851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11613047952040793,0.11613047952040793,0.09097458536959632,0.11613047952040793,0.11613047952040793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04797030027474187,,,,,0.15913476461526238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10161416958035695,0.10161416958035695,,,,,0.07960276219839679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041974012740399136,,,,,,0.10161416958035695,0.1392429190383546,0.1392429190383546,0.10161416958035695,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,0.16258267132857113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06715842038463862,,,,,,,,,,0.16258267132857113,0.16258267132857113,0.16258267132857113,,,,,,,,,,,,,,,,,,,,,,,
