,phụ,nữ,hồi,giáo,tìm,cách,xoá,bỏ,thành,kiến,mỗi,buổi,bình,minh,có,một,cô,gái,người,chắc,lẳn,rời,căn,nhà,ở,calcutta,ấn,độ,tới,chạy,trong,khuôn,viên,thư,viện,quốc,gia,khi,tăng,tốc,những,đi,tập,thể,dục,sáng,chỉ,trỏ,vận,động,đấm,bốc,đấy,cẩn,thận,ấy,là,razia,shabnam,tín,đồ,23,tuổi,dù,bị,đình,và,hàng,xóm,nơi,thường,sống,cam,chịu,phản,đối,vẫn,lựa,chọn,sàn,đấu,lập,nghiệp,điều,đó,khiến,trở,tiên,phong,hình,mẫu,của,sự,phá,với,các,võ,sĩ,nghề,như,thế,họ,đã,đứng,lên,tiến,hành,cuộc,thánh,chiến,chống,lại,quy,tắc,hà,khắc,xã,hội,dân,nhận,xét,sau,thăng,trầm,khó,khăn,ban,đầu,nay,trọng,tài,còn,chân,uỷ,tế,hiện,hơn,150,đa,phần,xuất,thân,từ,khu,ngoại,ô,nghèo,dám,vượt,qua,định,khắt,khe,đạo
0,0.018891081198270782,0.00813594582875625,0.00813594582875625,0.00813594582875625,0.02702702702702703,0.018891081198270782,0.02702702702702703,0.02702702702702703,0.014131857980549667,0.018891081198270782,0.02702702702702703,0.018891081198270782,0.02702702702702703,0.02702702702702703,0.014131857980549667,0.01075513536951453,0.00813594582875625,0.018891081198270782,0.005995912151793416,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.018891081198270782,0.018891081198270782,0.014131857980549667,0.014131857980549667,0.02702702702702703,0.02702702702702703,0.014131857980549667,0.02702702702702703,0.018891081198270782,0.02702702702702703,0.02702702702702703,0.018891081198270782,0.018891081198270782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,0.0332842859207628,,,,,0.014334761698284819,,0.010564226172207447,,,,,,,,,,,,0.024898987870492266,,0.0332842859207628,,,,,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.014334761698284819,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.01894952422247798,0.01894952422247798,0.047619047619047616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,0.0752574989159953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.25,0.17474250108400471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.025085832971998432,0.025085832971998432,,,,,,,,,,,,0.033161667389336465,0.025085832971998432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0582475003613349,0.033161667389336465,0.08333333333333333,0.043573228773361464,0.0582475003613349,0.0582475003613349,0.08333333333333333,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0249632144405721,0.010751071273713613,,,,,,,,,,,,,,,,,0.007923169629155584,,,,,,,,,,,,,,,,,,0.0249632144405721,,,,0.010751071273713613,,,,,,,,,,,,,,,,0.014212143166858485,,0.0186742409028692,,,,,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0249632144405721,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0249632144405721,0.03571428571428571,0.03571428571428571,0.0249632144405721,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.012542916485999216,0.012542916485999216,,0.02912375018066745,,,0.021786614386680732,,,,,,,0.033161667389336465,0.025085832971998432,0.02912375018066745,0.009243697900681516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02912375018066745,,,,,,,,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.02912375018066745,0.02912375018066745,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.016580833694668232,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,0.008361944323999478,,,,,,,,,,,,,,0.022107778259557644,,,0.006162465267121011,,,,,,,,,,,,,,,,,,,,,,0.016723888647998956,,,,,,,,,,0.011053889129778822,0.011053889129778822,,,,,0.011053889129778822,,,,,,,,,,,,,,,,,,,,,,0.0194158334537783,,,,,,,,,,,,,0.011053889129778822,,,,,0.0194158334537783,0.0194158334537783,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0194158334537783,0.0194158334537783,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0.0079218419911574,0.0079218419911574,0.0079218419911574,,,,,0.013759966981061515,,,,,,0.013759966981061515,,,,0.005838124989904115,,,,,,,,0.013759966981061515,0.013759966981061515,,,0.013759966981061515,,,,,0.01839394748252681,,,,,0.0079218419911574,,,,,,,,,,0.01047210549136941,0.01047210549136941,,,,,,,0.013759966981061515,,,,,,,,0.03678789496505362,,,,,,,,,,,,,,,,,,,,0.01839394748252681,0.01839394748252681,,,,0.01047210549136941,,,,,,,,,,,0.01839394748252681,,,,,,,,,,,,,,,,,,,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.01839394748252681,0.02631578947368421,0.05263157894736842,0.05263157894736842,0.02631578947368421,0.05263157894736842,0.05263157894736842,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,,,,,,,,,,,,,,,,,,,
8,,0.025085832971998432,,,,,,,,,,,,,0.043573228773361464,,,,,,,,,,0.0582475003613349,,0.043573228773361464,0.043573228773361464,,,,,,,,,,,,,,,,,,,,,,,0.033161667389336465,0.033161667389336465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0582475003613349,0.0582475003613349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08333333333333333,0.08333333333333333,0.08333333333333333,,,,,,,,,,,,,,,,
9,,,0.020068666377598746,0.010034333188799373,,,,,,0.02329900014453396,,,,,,,,,,,,,,,,0.02329900014453396,,,,,,,,,,,,,,,0.020068666377598746,,,,,,,,,,,,,,,,0.013264666955734587,,,0.02329900014453396,0.02329900014453396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026529333911469173,,,,,,,,,,0.02329900014453396,,,,,,,,,,,,,,,,,,,,,,,0.02329900014453396,,,,,,,,,,,,,,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
