,sao,hỏa,và,cuộc,chạy,đua,giữa,các,cường,quốc,2,sau,18,năm,vắng,bóng,1993,mỹ,trở,lại,tham,vọng,chinh,phục,hành,tinh,đỏ,bằng,mars,observer,nhưng,họ,không,gặp,may,vì,con,tàu,đã,bặt,tin,3,ngày,trước,khi,đi,vào,quỹ,đạo,hệ,thống,liên,lạc,mất,tín,hiệu,người,ta,bao,giờ,nhìn,thấy,này,nữa,nản,chí,chỉ,nasa,cho,phóng,thăm,dò,global,surveyor,từ,mũi,canaveral,bang,florida,với,nhiệm,vụ,vẽ,bản,đồ,đến,nay,thu,thập,được,hơn,120,000,bức,ảnh,trong,đó,khơi,dậy,trí,tò,mò,của,về,sự,tồn,tại,nguồn,nước,bên,dưới,bề,mặt,nga,cũng,một,khác,mang,tên,96,cố,gắng,đầu,tiên,trên,cơ,sở,kế,thừa,xô,lên,kết,thúc,thất,bại,rơi,xuống,thái,bình,dương,ngay,trung,tâm,vũ,trụ,baikonur,ở,kazakhstan,tháng,11,1996,9,1997,lần,thứ,ba,ngành,hàng,thành,công,việc,robot,tự,đổ,bộ,thám,hiểm,pathfinder,hạ,cánh,gửi,trái,đất,23,triệu,thông,loại,có,20,độ,phân,giải,cao,từng,ẩm,ướt,ấm,áp,như,chúng,sứ,mệnh,ấn,tượng,đánh,dấu,bước,phát,triển,quan,trọng,lịch,sử,internet,thế,giới,theo,dõi,qua,website,ngất,ngây,quyết,định,đẩy,nhanh,tiến,trình,1999,climate,orbiter,vĩnh,viễn,nó,sát,nguyên,nhân,mát,xác,do,lỗi,những,điều,khiển,tiếc,nuối,polar,lander,trị,giá,165,usd,vô,âm,đang,gần,cực,nam,tiếp,khiến,phải,toàn,chương,khám,phá,kỷ,nhiều,nghiên,cứu,4,2001,odyssey,phần,cấu,tạo,truy,tìm,tích,môi,trường,xạ,tựu,nổi,bật,nhất,mà,là,địa,chất,kích,thước,lớn,góp,làm,thay,đổi,nhận,thức,i
0,0.011870218880470788,0.011870218880470788,0.020104815819287112,0.02726122709723409,0.03294159029257865,0.03294159029257865,0.042652235313997394,0.03294159029257865,0.042652235313997394,0.042652235313997394,0.042652235313997394,0.02726122709723409,0.042652235313997394,0.05452245419446818,0.042652235313997394,0.042652235313997394,0.042652235313997394,0.0232309452711599,0.042652235313997394,0.020104815819287112,0.042652235313997394,0.042652235313997394,0.03294159029257865,0.03294159029257865,0.011870218880470788,0.015391008216763305,0.020104815819287112,0.042652235313997394,0.009058922889538523,0.042652235313997394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.017522704061647354,0.017522704061647354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040242763810202704,0.048628061860473235,0.03429330016218842,0.06296282355875805,0.06296282355875805,0.06296282355875805,0.025908002111917888,0.015343775939710442,0.025908002111917888,0.048628061860473235,0.048628061860473235,0.040242763810202704,0.06296282355875805,0.06296282355875805,0.025908002111917888,0.048628061860473235,0.06296282355875805,0.06296282355875805,0.06296282355875805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.032802594231468446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03790312123189247,,,,0.028635160228961877,0.016958910249153646,,,,,,,,,,,,0.06959048919652207,0.06959048919652207,0.04447884421127667,0.06959048919652207,0.04447884421127667,0.053746805214207265,0.06959048919652207,0.032802594231468446,0.053746805214207265,0.06959048919652207,0.06959048919652207,0.06959048919652207,0.053746805214207265,0.03790312123189247,0.06959048919652207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.012265892843153148,0.012265892843153148,,,,,,,,,,0.028169934667141894,,0.028169934667141894,,,,,,0.020774976346596682,,,,,,,,,0.009360886985856473,,,,0.024005310113531898,,,,,0.01074064315779731,,,,0.028169934667141894,,,,,,,,,,,,,,,,,,,,,,,0.044073976491130644,0.044073976491130644,0.034039643302331266,0.024005310113531898,0.018135601478342523,0.020774976346596682,0.034039643302331266,0.034039643302331266,0.044073976491130644,0.044073976491130644,0.034039643302331266,0.044073976491130644,0.044073976491130644,0.044073976491130644,0.044073976491130644,0.028169934667141894,0.034039643302331266,0.034039643302331266,0.034039643302331266,0.034039643302331266,0.034039643302331266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03222192947339193,0.05440680443502757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05440680443502757,,,,,,,,,,,,,,,,,0.10211892990699381,0.13222192947339192,0.08450980400142569,0.10211892990699381,0.05440680443502757,0.10211892990699381,0.13222192947339192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,0.01362876982572572,0.017671157582209718,0.02308330705177409,,,,,,,,,,0.020150668309269468,,,,,,,,,,,,,,,,,,,,0.02308330705177409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037821825891479185,0.031299927407935434,0.037821825891479185,0.015523307694147248,0.031299927407935434,0.04897108499014516,0.04897108499014516,0.04897108499014516,0.04897108499014516,0.04897108499014516,0.02725753965145144,0.031299927407935434,0.04897108499014516,0.037821825891479185,0.037821825891479185,0.04897108499014516,0.026672566792813216,0.04897108499014516,0.04897108499014516,0.037821825891479185,0.037821825891479185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020059043541121015,,,,,,,,0.03886200316787683,0.023015663909565665,,,,,,,0.03886200316787683,,,,,,,,,,,,,,,,,,,,,,,,,0.04451780645699289,,,,,,,,,,,,,,,,,,,,,,,,,,0.029937807695855405,0.06036414571530405,,,,,,,,,,,,,,,,,0.07294209279070986,0.07294209279070986,0.051439950243282635,0.09444423533813709,0.09444423533813709,0.09444423533813709,0.07294209279070986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.01362876982572572,0.01362876982572572,,0.031299927407935434,0.037821825891479185,0.037821825891479185,,,,,,,,,,,,,,,,,,,,,,,,,0.031299927407935434,,,,,,,,0.020150668309269468,,,,,,,,,,,,,0.031299927407935434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015523307694147248,,,,,,,0.01362876982572572,,,,,,0.026672566792813216,,,,,0.037821825891479185,,,,,,,0.037821825891479185,0.037821825891479185,0.031299927407935434,0.031299927407935434,0.037821825891479185,0.04897108499014516,0.04897108499014516,0.04897108499014516,0.04897108499014516,0.04897108499014516,0.037821825891479185,0.037821825891479185,0.037821825891479185,0.037821825891479185,0.037821825891479185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011701108732320591,,,,,,,,,0.013425803947246637,,,,,,,0.022669501847928153,0.042549554127914085,,,,,,,,,,,,,,,,,,,,,,,,0.02596872043324585,,,,,0.042549554127914085,,,,,,,,,,,,,,,0.022669501847928153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042549554127914085,,,,,,,,,,,,,,,,0.0550924706139133,0.042549554127914085,0.0550924706139133,0.0550924706139133,0.0550924706139133,0.0550924706139133,0.0550924706139133,0.0550924706139133,0.042549554127914085,0.042549554127914085,0.0550924706139133,0.0550924706139133,0.0550924706139133,0.02596872043324585,0.0550924706139133,0.0550924706139133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.01362876982572572,0.01362876982572572,,,,,,,,,,,,,,,,0.026672566792813216,,,,,,,0.01362876982572572,,,,,,,,0.026672566792813216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020150668309269468,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015523307694147248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037821825891479185,,,,,,,,,,,,,0.037821825891479185,0.037821825891479185,,,,0.02308330705177409,,,0.037821825891479185,0.04897108499014516,0.026672566792813216,0.04897108499014516,0.04897108499014516,0.04897108499014516,0.037821825891479185,0.02308330705177409,0.026672566792813216,0.04897108499014516,0.031299927407935434,0.037821825891479185,0.04897108499014516,0.037821825891479185,0.04897108499014516,0.04897108499014516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
