,cha,đẻ,hạt,nhân,pakistan,lập,chợ,đen,như,thế,nào,1,trong,cái,nóng,ẩm,tháng,8,ở,malaysia,khi,5,container,lớn,chứa,toàn,thiết,bị,máy,ly,tâm,được,chuyển,lên,một,con,tàu,eo,biển,malacca,các,điệp,viên,tình,báo,mỹ,cuối,cùng,đã,lần,ra,dấu,vết,mạng,lưới,của,nhà,khoa,học,abdul,qadeer,khan,trước,đó,cục,trung,ương,cia,thâm,nhập,vào,cơ,khí,chính,xác,scomi,theo,dõi,quá,trình,sản,xuất,móc,tinh,vi,cần,để,làm,giàu,uranium,dùng,bom,vệ,do,thám,việc,vận,tới,dubai,số,hàng,dán,nhãn,là,sử,dụng,và,bbc,mà,quốc,thuê,đức,đi,qua,kênh,đào,suez,libya,từ,washington,lệnh,bắt,giữ,phương,tiện,kết,quả,vụ,buôn,bán,kế,ít,nhất,3,nước,iran,chdcnd,triều,tiên,sáng,tỏ,nó,cũng,cho,thấy,hạn,chế,cộng,đồng,tế,kiểm,soát,sự,phổ,biến,vũ,người,ta,vẫn,chưa,biết,hoàn,quy,mô,táo,tợn,bất,hợp,pháp,rõ,liệu,quân,đội,hay,phủ,vốn,ủng,hộ,nghiên,cứu,tiến,sĩ,có,loã,với,những,hành,động,ông,này,không,tuy,nhiên,điều,ràng,ngày,gần,đây,hùng,nổi,cách,30,năm,khẩu,bí,mật,xây,dựng,dần,mình,thành,trên,thị,trường,thật,đáng,kinh,ngạc,bạn,về,hệ,thống,chúng,từng,đến,quan,chức,cao,cấp,đầu,khai,thác,lẻ,tẻ,phát,triển,kho,thực,rồi,tạo,vật,câu,chuyện,cuộc,phỏng,vấn,châu,lục,islamabad,kuala,lumpur,thủ,đô,đường,phố,nơi,nhiều,ký,vienna,năng,lượng,nguyên,tử,iaea,lộn,tìm,hiểu,tháo,ngòi,mối,đe,doạ,tựu,lại,tập,tổ,gồm,kỹ,sư,doanh,hoạt,giữa,ranh,giới,khó,định,đôi,công,lúc,thì,ngấm,ngầm,lúng,túng,hiệp,ước,cấm,nghệ,lĩnh,vực,ăn,thập,kỷ,1980,mua,gấp,chương,còn,thừa,khác,chú,ý,sau,nhận,khách,bộ,sơ,tra,gói,túi,đồ,hãng,giặt,khô,bài,biểu,nhằm,hôm,11,2,tổng,bush,rằng,thậm,chí,thô,xử,lý,đứng,trắng,diện,trợ,bukhari,sayed,abu,tahir,phụ,trách,tài,rửa,tiền,khẳng,sắp,đặt,đối,tác,lâu,peter,griffin,anh,cung,hai,thời,kỳ,cứ,thứ,gì,thể,gửi,tôi,tất,cả,phép,ty,nguyễn,hạnh,nyt
0,0.022157545422711457,0.022157545422711457,0.01539865116544337,0.010559231684609677,0.020734749924706437,0.022157545422711457,0.017596484882348103,0.017596484882348103,0.017596484882348103,0.017596484882348103,0.017596484882348103,0.022157545422711457,0.008474363801621402,0.022157545422711457,0.022157545422711457,0.022157545422711457,0.022157545422711457,0.022157545422711457,0.026070848683969507,0.017596484882348103,0.013035424341984753,0.022157545422711457,0.022157545422711457,0.017596484882348103,0.022157545422711457,0.01492843550271657,0.008474363801621402,0.009353029664919686,0.013035424341984753,0.017596484882348103,0.017596484882348103,0.009353029664919686,0.010367374962353218,0.01492843550271657,0.007006030271196304,0.01492843550271657,0.013035424341984753,0.022157545422711457,0.022157545422711457,0.022157545422711457,0.010367374962353218,0.022157545422711457,0.01492843550271657,0.01492843550271657,0.01492843550271657,0.013035424341984753,0.017596484882348103,0.017596484882348103,0.008474363801621402,0.022157545422711457,0.01492843550271657,0.022157545422711457,0.022157545422711457,0.010367374962353218,0.010367374962353218,0.004791969124556335,0.007699325582721685,0.011567090811559655,0.011567090811559655,0.022157545422711457,0.022157545422711457,0.007006030271196304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0.01270388721149078,0.008711366139802983,,,,,,,,,0.013982700272675314,,,,,,,,,,,,,,,,0.043016900328549684,,,,,,,,,,,,,,,0.02463191857948234,0.02463191857948234,0.021508450164274842,,,0.013982700272675314,,,,,,,,0.01270388721149078,,,,,,0.02903420005587437,0.021508450164274842,0.036559949947473906,0.02463191857948234,0.036559949947473906,0.02903420005587437,0.036559949947473906,0.02903420005587437,0.02903420005587437,0.02903420005587437,0.015432498947117483,0.019085699839073433,0.02903420005587437,0.036559949947473906,0.019085699839073433,0.02903420005587437,0.036559949947473906,0.02903420005587437,0.036559949947473906,0.02903420005587437,0.02903420005587437,0.02463191857948234,0.02903420005587437,0.02903420005587437,0.019085699839073433,0.021508450164274842,0.02903420005587437,0.02463191857948234,0.036559949947473906,0.021508450164274842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07602741639059027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08482533261810413,0.12904088913721942,,,,,,0.10947519368658817,,,,,,,,,0.16248866643321733,0.16248866643321733,0.16248866643321733,0.10947519368658817,0.10947519368658817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035847416940458066,,,0.025720831578529134,0.02851028114647135,,,,0.035847416940458066,,,,,,,,,,,,0.023304500454458855,,,,,,,0.013177915092529921,,,,,,,,,,0.04105319763247056,,,,,,,,,,,,,,,,,0.04839033342645728,,,,,,,,,,,,,,,0.05144166315705827,0.035847416940458066,0.035847416940458066,0.04105319763247056,0.0609332499124565,0.0609332499124565,0.021173145352484633,0.0609332499124565,0.0609332499124565,0.021173145352484633,0.0609332499124565,0.04105319763247056,0.035847416940458066,0.0609332499124565,0.0609332499124565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,0.043016900328549684,,,,,,,,,,,,,,,0.04926383715896468,0.043016900328549684,,,,,,,,,,,,,,0.04926383715896468,,,,,,,,,,,,,,,,,0.05806840011174874,,,,,,,,,,,,,,,,,,,0.03817139967814687,,,,,,,,,,,0.030864997894234966,,,,,,,,,,,,,,,0.07311989989494781,0.07311989989494781,0.07311989989494781,0.05806840011174874,0.07311989989494781,0.03817139967814687,0.04926383715896468,0.05806840011174874,0.05806840011174874,0.04926383715896468,0.05806840011174874,0.07311989989494781,0.07311989989494781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033897455206485606,0.01870605932983937,,,,0.01870605932983937,,,0.014012060542392608,,,,,,,,,,,,,,,,,,,0.020734749924706437,0.020734749924706437,0.00958393824911267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026070848683969507,,,,0.026070848683969507,,,,,,0.01870605932983937,,,,,,0.01539865116544337,,,0.03079730233088674,,,,,,,,,,,0.02313418162311931,,,,0.02985687100543314,0.03519296976469621,,,0.03519296976469621,0.044315090845422914,0.03519296976469621,0.02985687100543314,0.01870605932983937,0.026070848683969507,0.044315090845422914,0.02985687100543314,0.03519296976469621,0.03519296976469621,0.03519296976469621,0.03519296976469621,0.03519296976469621,0.02985687100543314,0.044315090845422914,0.044315090845422914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,0.02419788040283958,0.01659307836152949,,,,,,,,,0.026633714805095833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015060474391462767,,,,,,,,,,,,,,,,,0.029395236089747583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040968476503380646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06963799989995029,0.05530323820166547,0.020047872035272907,0.04691794015139493,0.06963799989995029,0.06963799989995029,0.06963799989995029,0.040968476503380646,0.04691794015139493,0.05530323820166547,0.05530323820166547,0.04691794015139493,0.05530323820166547,0.04691794015139493,0.032583178453110116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,0.05185667069364703,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03601298671133223,0.03601298671133223,0.016645787485300954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02674502570840164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05185667069364703,,,,0.03248947146761575,0.045280947714262824,0.07696831567889242,0.05185667069364703,0.045280947714262824,0.07696831567889242,0.07696831567889242,0.07696831567889242,0.07696831567889242,0.07696831567889242,0.05185667069364703,0.045280947714262824,0.06112463169657762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,0.020734749924706437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01916787649822534,,,,,,0.014012060542392608,,,,,,,,,,,,0.02313418162311931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03519296976469621,,,,,,0.026070848683969507,,,,,,,,0.01870605932983937,0.026070848683969507,,0.02985687100543314,,,,,,,,,,0.03519296976469621,0.02985687100543314,0.044315090845422914,0.044315090845422914,0.08863018169084583,0.03519296976469621,0.044315090845422914,0.044315090845422914,0.044315090845422914,0.044315090845422914,0.044315090845422914,0.026070848683969507,0.02985687100543314,0.03519296976469621,0.044315090845422914,0.026070848683969507,0.026070848683969507,0.03519296976469621,0.02985687100543314,0.01870605932983937,0.026070848683969507,0.02985687100543314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.02419788040283958,0.01659307836152949,0.010861059484370038,,0.01843441273388849,0.01843441273388849,,,,,0.008877904935031945,,,,,,,,,,,0.01843441273388849,,,0.008877904935031945,0.00979841202991586,,,,,,0.01563931338379831,0.01467930152060178,,,,,,,,,,,,,,0.008877904935031945,,,,,,,0.005020158130487589,0.00806596013427986,0.012117904659729162,0.012117904659729162,,,0.00733965076030089,,,,,,,,0.01843441273388849,,,,,,,,,,,,0.01843441273388849,,0.01563931338379831,0.01843441273388849,,,,,,,0.013656158834460216,,,,0.01563931338379831,,,,,,,,0.00806596013427986,,,0.00806596013427986,,,,,,,,,,,,,,,,,,,,,,,,,,0.03127862676759662,,,,,,,,,,,,,,,,,,,,,,0.01563931338379831,,0.01959682405983172,,,,,,,,,,,,,0.01843441273388849,,,,,,,,,,,,,,,0.013656158834460216,0.013656158834460216,,,,,,0.01843441273388849,0.01563931338379831,0.012117904659729162,0.023212666633316763,0.023212666633316763,0.01843441273388849,0.03686882546777698,0.023212666633316763,0.01843441273388849,0.01843441273388849,0.023212666633316763,0.01843441273388849,0.04642533326663353,0.023212666633316763,0.023212666633316763,0.01843441273388849,0.01843441273388849,0.023212666633316763,0.023212666633316763,0.01843441273388849,0.01563931338379831,0.01843441273388849,0.01843441273388849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
