,british,airways,hủy,các,chuyến,đi,washington,ảrập,xêút,ngày,thứ,hai,liên,tiếp,bay,ba,223,tuyến,london,bị,bỏ,vào,giờ,chót,hôm,sáu,vì,lo,ngại,khủng,bố,đó,chiếc,phi,cơ,263,riyadh,cũng,không,được,phép,cất,cánh,năm,là,223này,còn,đêm,tư,hành,khách,trên,này,chiến,đấu,áp,tải,đến,tận,sau,nhân,viên,an,ninh,lên,kiểm,tra,máy,và,chất,vấn,những,người,khoang,mấy,tiếng,đồng,hồ,nguyên,do,quan,chức,mỹ,cho,rằng,một,kẻ,tình,nghi,đã,tìm,cách,trong,cả,2,để,cướp,lao,nó,mục,tiêu,tại,tuy,nhiên,vật,xuất,hiện,ở,sân,heathrow,đang,chuẩn,mới,nhận,thông,báo,ngỏ,ý,chuyển,300,sang,khác,nhưng,số,cảm,thấy,bực,bội,âu,deepa,menon,28,tuổi,sinh,luật,từ,dc,biết,tôi,rất,mình,hiểu,có,lý,ước,gì,chúng,trước,chuyện,xảy,ra,giải,thích,động,theo,lời,khuyên,của,chính,phủ,anh,nhà,phân,tích,quốc,phòng,paul,beaver,xét,lệnh,dựa,tin,cấp,độ,cao,ông,thể,al,qaeda,hay,nhóm,căn,cứ,châu,dự,định,tòa,hoặc,nổ,tung,quyết,muộn,như,vậy,chứng,tỏ,phút,thắt,chặt,biện,pháp,khi,mức,cảnh,nước,nâng,màu,da,cam,nhì,đỏ,ảnh,hưởng,dịp,giáng,6,paris,los,angeles,aeromexico,mexico,city,chậm,lại,công,tác,bổ,sung
0,0.030469722583557124,0.030469722583557124,0.02464986106848404,0.01232493053424202,0.013989554055211087,0.034432708793799664,0.030713442703210043,0.030469722583557124,0.030469722583557124,0.030469722583557124,0.019808184639656255,0.0388316669075566,0.0388316669075566,0.030469722583557124,0.008854410072900356,0.009904092319828127,0.0194158334537783,0.0388316669075566,0.0194158334537783,0.011053889129778822,0.01232493053424202,0.022107778259557644,0.0388316669075566,0.030469722583557124,0.01232493053424202,0.022107778259557644,0.025578298720899312,0.025578298720899312,0.030469722583557124,0.025578298720899312,0.025578298720899312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,0.013989554055211087,0.034432708793799664,,0.06093944516711425,0.06093944516711425,,,,,0.06093944516711425,,0.019808184639656255,,,,,,,,,,,,,,,,0.0388316669075566,0.06093944516711425,0.04421555651911529,0.04421555651911529,0.06093944516711425,0.06093944516711425,0.06093944516711425,0.06093944516711425,0.0388316669075566,0.0776633338151132,0.0776633338151132,0.0776633338151132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.040336136293882975,,0.022891997544890873,,,,,,0.03241339304671024,,,,,0.03241339304671024,,,,0.03617636442473069,0.040336136293882975,,,,0.040336136293882975,,,,,,,,,,,,,0.0997190920916415,,,,,,0.0837107958138523,0.0997190920916415,0.12708545533382162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,0.02112845234441489,0.011991046333038075,,0.026325808031322895,,,,0.01697844397684822,,,,0.01517898869640061,,,,,,,,,,,,,,,,,,,0.03789904844495596,0.03789904844495596,,,,,0.0332842859207628,,,,,,,0.0665685718415256,0.0665685718415256,0.04384851209297025,0.0332842859207628,0.03789904844495596,0.04384851209297025,0.05223381014324078,0.05223381014324078,0.05223381014324078,0.05223381014324078,0.05223381014324078,0.05223381014324078,0.0665685718415256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,0.019291195618813598,,,,,,,,,,,0.013859076635844035,,,,,,,,,,,,,,,,,0.03039000018852256,,,,,,,,,,,,,,,,,,,,0.040035597997929356,,,,,,,,0.040035597997929356,0.047691739696002454,0.047691739696002454,0.03460347901495979,0.03460347901495979,0.03460347901495979,0.040035597997929356,0.040035597997929356,0.03460347901495979,0.03460347901495979,0.047691739696002454,0.047691739696002454,0.047691739696002454,0.047691739696002454,0.047691739696002454,0.06078000037704512,0.06078000037704512,0.06078000037704512,0.06078000037704512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,0.01232493053424202,,,0.015356721351605021,,,0.030469722583557124,,,,,0.008854410072900356,,,,,,,0.022107778259557644,,,,,0.025578298720899312,,,,,,,0.022107778259557644,0.022107778259557644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022107778259557644,,,0.022107778259557644,0.022107778259557644,,,,,,,,,,0.0388316669075566,0.025578298720899312,0.0388316669075566,0.0388316669075566,0.025578298720899312,0.025578298720899312,0.0388316669075566,0.04421555651911529,0.0388316669075566,0.0388316669075566,0.0388316669075566,0.022107778259557644,0.0388316669075566,0.0388316669075566,0.0388316669075566,0.0388316669075566,0.0388316669075566,0.0388316669075566,0.030469722583557124,0.030469722583557124,0.030469722583557124,0.0388316669075566,0.0388316669075566,0.0388316669075566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,0.024519904817262527,,,,0.05376692341046299,,,,,,,,,,,,,0.05376692341046299,,,,,,,0.08437769330831205,,,,,,,,,,,,,,,,,,,,,,0.08437769330831205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10753384682092598,0.10753384682092598,0.10753384682092598,0.10753384682092598,0.10753384682092598,0.0708322118424904,0.10753384682092598,0.10753384682092598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.019291195618813598,0.019291195618813598,0.02189669330380866,,,,,,0.01550205754407881,,,,0.013859076635844035,0.01550205754407881,0.03039000018852256,,,0.017301739507479895,0.019291195618813598,,,,0.019291195618813598,0.03460347901495979,,,,,,,,,,,,,,0.03039000018852256,,,,,,,,,,0.03039000018852256,0.03460347901495979,,,,,,,,,,,,,,0.03460347901495979,,,,,,,,,0.047691739696002454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06078000037704512,0.06078000037704512,0.06078000037704512,0.047691739696002454,0.047691739696002454,0.040035597997929356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0731273342005371,0.0731273342005371,,0.029579833282180848,0.016787464866253307,,,,,,,,,,,0.023769821567587508,,,,,,,,,,,,,,,,0.04659800028906792,,,,,,,,,,,,,,,,,,0.04659800028906792,0.053058667822938346,,,,,,,,,0.06138791693015835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09319600057813585,0.09319600057813585,0.09319600057813585,0.09319600057813585,0.09319600057813585,0.09319600057813585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0837107958138523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07235272884946138,,,,0.0997190920916415,,,,,,,,,,,,,0.07235272884946138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0997190920916415,0.12708545533382162,0.12708545533382162,0.12708545533382162,0.0997190920916415,0.12708545533382162,0.0997190920916415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
