,các,vai,phụ,quanh,putin,được,coi,là,không,có,cơ,hội,chiến,thắng,và,chỉ,làm,nền,cho,tổng,thống,vladimir,trong,cuộc,bầu,cử,tuần,tới,ứng,viên,thừa,nhận,họ,tham,gia,tranh,nhằm,chứng,tỏ,rằng,dân,chủ,vẫn,tồn,tại,ở,nước,nga,với,kiểu,cách,riêng,của,nó,dưới,đây,chân,dung,5,kể,ông,mikhail,rybkin,đã,tuyên,bố,rút,đầu,tháng,này,theo,kết,quả,thăm,dò,dư,luận,ai,số,đạt,tỷ,lệ,ủng,hộ,trên,10,khi,con,dành,đương,kim,luôn,khoảng,60,80,sergei,glazyev,43,tuổi,độc,lập,tiến,sĩ,kinh,tế,thời,xô,viết,tin,tưởng,sâu,sắc,những,tài,sản,quốc,từng,bị,tư,hữu,hoá,đặc,biệt,công,ty,dầu,lửa,cần,phải,trao,lại,nhân,liên,minh,tổ,mà,lãnh,đạo,sự,trợ,giúp,kremlin,pháp,cuối,năm,ngoái,xây,dựng,một,khối,nghĩa,tộc,bên,duma,điều,hiệu,việc,gạt,đảng,cộng,khỏi,chính,trường,giới,phân,tích,thể,ngựa,ô,trở,thành,người,dẫn,2008,thay,thế,nếu,khẩu,thu,hút,phiếu,nhất,định,ngày,nhật,oleg,malyshkin,52,tự,do,lý,vật,đường,lối,tuý,cực,đoan,zhirinovsky,ngân,hàng,matxcơva,mới,gọi,kẻ,đóng,kỳ,lạ,mô,tả,anh,hề,sân,khấu,trị,nổi,tiếng,vì,lời,trích,mạnh,mẽ,phủ,nhưng,mối,quan,hệ,thân,thiết,chương,trình,50,điểm,biến,đại,cường,nhiều,chạy,đua,tâm,chúng,để,tri,đi,vượt,mironov,51,tịch,đồng,bang,phát,động,dịch,mình,bằng,thực,vào,khẳng,nghiệp,khởi,phố,st,petersburg,quê,hương,gắn,liền,nhà,tiên,đăng,ký,đảm,bảo,ít,đó,giá,khiến,mang,danh,gã,irina,khakamada,48,đối,thủ,duy,học,sáng,nguồn,gốc,xuất,bản,trang,phục,hai,đen,trắng,bà,phương,tây,đánh,cao,xem,như,quá,samurai,gục,ngã,trước,thất,bại,ám,thối,chí,sau,đè,bẹp,mạng,toàn,cầu,tạm,chữ,ghi,hồ,sơ,mất,ghế,vận,quản,thuộc,yukos,nikolai,kharitonov,55,hy,vọng,về,thứ,diện,lĩnh,nhánh,tên,agrarians,gennady,zyuganov,yêu,ra,dường,đang,cố,hình,ảnh,thường,hiện,truyền,nạp,từ,1993
0,0.033399211633196396,0.024786406744050103,0.024786406744050103,0.024786406744050103,0.01895959359006822,0.010462711150588123,0.024786406744050103,0.00536050783424946,0.012939457518015885,0.011597402500259533,0.016699605816598198,0.019684203427711437,0.016699605816598198,0.024786406744050103,0.012939457518015885,0.020925422301176246,0.019684203427711437,0.049572813488100206,0.00947979679503411,0.014582000111372775,0.014582000111372775,0.019684203427711437,0.00947979679503411,0.007837254201677222,0.010462711150588123,0.017225609778292583,0.019684203427711437,0.019684203427711437,0.007837254201677222,0.006495199183920868,0.019684203427711437,0.016699605816598198,0.024786406744050103,0.024786406744050103,0.014582000111372775,0.012939457518015885,0.014582000111372775,0.019684203427711437,0.019684203427711437,0.00947979679503411,0.00947979679503411,0.011597402500259533,0.016699605816598198,0.024786406744050103,0.016699605816598198,0.019684203427711437,0.016699605816598198,0.010462711150588123,0.011597402500259533,0.024786406744050103,0.024786406744050103,0.024786406744050103,0.005906010942239311,0.024786406744050103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,0.015060474391462767,0.036353713979187484,,,,,,,,,,,,,,,,,,,,0.02201895228090267,0.018248416754825296,,,,,,,,,,,,,,,,,,,,,,,0.01659307836152949,,0.06963799989995029,0.040968476503380646,0.06963799989995029,0.06963799989995029,0.05530323820166547,0.06963799989995029,0.026633714805095833,0.06963799989995029,0.06963799989995029,0.036353713979187484,0.05530323820166547,0.04691794015139493,0.05530323820166547,0.036353713979187484,0.06963799989995029,0.029395236089747583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.02463191857948234,,,,0.013982700272675314,,,,0.019085699839073433,,,,,,,,,,0.013982700272675314,0.021508450164274842,0.021508450164274842,,0.04194810081802594,0.011559949947473903,,,,,0.011559949947473903,0.009580418796283283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02903420005587437,,,,,,,,,,,0.015432498947117483,0.019085699839073433,0.036559949947473906,0.02903420005587437,0.036559949947473906,0.036559949947473906,0.036559949947473906,0.02903420005587437,0.02903420005587437,0.04926383715896468,0.036559949947473906,0.036559949947473906,0.036559949947473906,0.02903420005587437,0.02903420005587437,0.02463191857948234,0.036559949947473906,0.02463191857948234,0.02463191857948234,0.036559949947473906,0.036559949947473906,0.036559949947473906,0.036559949947473906,0.036559949947473906,0.036559949947473906,0.036559949947473906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.02141905963433247,,,,,0.013419564301841288,,0.006875433961319959,,,,,,,,,,,0.012158869802326359,,,,,,,,,,0.01005213038910774,0.00833079895328981,,,,,0.01870300014284769,,,,,0.012158869802326359,0.012158869802326359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025247130483369018,0.02141905963433247,0.03179126082389035,0.03179126082389035,0.02141905963433247,0.01487492929381114,0.03179126082389035,0.03179126082389035,0.025247130483369018,0.025247130483369018,0.03179126082389035,0.03179126082389035,0.03179126082389035,0.025247130483369018,0.03179126082389035,0.03179126082389035,0.025247130483369018,0.02141905963433247,0.025247130483369018,0.01659626072962907,0.01659626072962907,0.025247130483369018,0.02141905963433247,0.025247130483369018,0.03179126082389035,0.03179126082389035,0.025247130483369018,0.025247130483369018,0.01659626072962907,0.025247130483369018,0.03179126082389035,0.03179126082389035,0.03179126082389035,0.03179126082389035,0.03179126082389035,0.03179126082389035,0.025247130483369018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,0.014355812974062774,,,,,,,,,,,0.02700855819151104,,,,,,0.026014326088698258,0.010753441811603629,0.014355812974062774,0.01181756949906119,,,,,0.02700855819151104,0.04582682526415319,,,,,0.020007860617930084,,,0.013007163044349129,0.013007163044349129,0.01591271505849564,,,,,,,,,,,0.008103596409119054,,,,,,,,0.013007163044349129,,,0.017754139385184588,,,,,,,0.017754139385184588,,,,,,,,,,,,,,,,,,,,,,,,,,0.022913412632076594,,,,0.01591271505849564,,,,,,,,,,,,,,,0.017754139385184588,,,,,,,,,,,,,,,,,0.02700855819151104,0.034009255765092,0.034009255765092,0.034009255765092,0.02700855819151104,0.02700855819151104,0.017754139385184588,0.022913412632076594,0.034009255765092,0.022913412632076594,0.022913412632076594,0.02700855819151104,0.020007860617930084,0.02700855819151104,0.02700855819151104,0.02700855819151104,0.009790821226528629,0.034009255765092,0.034009255765092,0.02700855819151104,0.034009255765092,0.02700855819151104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,0.032900471229824264,,,,,,,,,,,,,,,0.06831576483735145,0.06831576483735145,,,,,,,,,0.03631176222851172,,,,,,,,,,,,,,,,0.04490752903311395,,,,,,0.03631176222851172,,,0.06831576483735145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04490752903311395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06831576483735145,0.06831576483735145,0.08602341164111506,0.08602341164111506,0.04490752903311395,0.05060811803358786,0.06831576483735145,0.04490752903311395,0.08602341164111506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,0.011652250227229427,0.012860415789264567,,0.006588957546264961,,0.014255140573235675,,,,,,,,,0.011652250227229427,0.017923708470229033,0.017923708470229033,,0.023304500454458855,0.009633291622894918,0.012860415789264567,0.010586572676242316,0.02419516671322864,0.02419516671322864,,,,,,,,,,,,0.011652250227229427,0.011652250227229427,0.014255140573235675,,,,,,,,,,,0.007259471783169152,,,,,,,,0.011652250227229427,,,,,,,0.015904749865894525,,,,,,,,,,,0.02052659881623528,,,,,,,,,0.02052659881623528,,,,,,,,,0.02052659881623528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008770944015431896,,,0.02419516671322864,,,,0.02419516671322864,,,,,,,,0.03046662495622825,0.03046662495622825,0.03046662495622825,0.03046662495622825,0.03046662495622825,0.03046662495622825,0.02419516671322864,0.017923708470229033,0.012860415789264567,0.03046662495622825,0.02419516671322864,0.02419516671322864,0.02419516671322864,0.03046662495622825,0.03046662495622825,0.02052659881623528,0.02419516671322864,0.03046662495622825,0.017923708470229033,0.02419516671322864,0.03046662495622825,0.02419516671322864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,0.012164229316181467,,,,,,,,,,,,,,0.04466800008596057,,,,,,,0.017784538380729083,0.014739105840435819,,,,,,,,,,,0.04302369314669328,0.02631718259674279,,,,,,,,,,,0.01340210175354305,,,,,,,,,,,,,,,,,,0.029362615137036047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04466800008596057,,,,,,,,,,,,,,,0.04466800008596057,,,,,,,,0.03789525935304976,,,,,,,,,,,,,,,,,,,0.029362615137036047,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056246076842267546,0.03789525935304976,0.056246076842267546,0.0330899233296536,0.03789525935304976,0.04466800008596057,0.056246076842267546,0.0330899233296536,0.03789525935304976,0.04466800008596057,0.056246076842267546,0.056246076842267546,0.04466800008596057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,0.011713702304471042,,0.012671236065098379,,,,,,0.011431480701568504,,,0.010357555757537268,,,,,,,,,,,,,,,,,,,,,,,,0.018245865614431363,,,0.021506814856203236,,0.011431480701568504,0.012671236065098379,,,,0.006452863807261468,,,0.015932185306870253,,,,,0.010357555757537268,,,,,,,0.014137555436350688,,0.011431480701568504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018245865614431363,,,,,,0.021506814856203236,,,,,,,,,,,,,,,,,,,,,,,0.018245865614431363,,,,,,,0.007796394680383908,,,,,,,,,,,,,0.028275110872701376,,,,,,,,,,0.011431480701568504,,,,0.021506814856203236,,,,,,,,,,,,,0.015932185306870253,,,,,,,,,0.021506814856203236,0.027081444405536222,0.027081444405536222,0.021506814856203236,0.021506814856203236,0.021506814856203236,0.027081444405536222,0.027081444405536222,0.027081444405536222,0.027081444405536222,0.027081444405536222,0.027081444405536222,0.027081444405536222,0.021506814856203236,0.027081444405536222,0.027081444405536222,0.018245865614431363,0.027081444405536222,0.027081444405536222,0.027081444405536222,0.027081444405536222,0.021506814856203236,0.027081444405536222,0.027081444405536222,0.021506814856203236,0.015932185306870253,0.027081444405536222,0.015932185306870253,0.027081444405536222,0.021506814856203236,0.027081444405536222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043016900328549684,,,,,,,,,,0.04926383715896468,0.030864997894234966,,,,,,,,0.043016900328549684,,,,,,,,0.03817139967814687,,0.04926383715896468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03817139967814687,,,,,,,,0.03817139967814687,,,,,,,,,,,,,,,,,,,,,,,,,0.021050265637036554,,,,,,,,,,,,,,,,,,,,,0.05806840011174874,0.043016900328549684,,,,,,,,,,,,,,,,0.04926383715896468,,,,,,,,,,,,,,,0.05806840011174874,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07311989989494781,0.07311989989494781,0.05806840011174874,0.07311989989494781,0.07311989989494781,0.05806840011174874,0.07311989989494781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
