,israel,không,có,kế,hoạch,mở,rộng,khu,định,cư,ở,golan,trái,ngược,với,tuyên,bố,làm,syria,nổi,giận,của,bộ,trưởng,nông,nghiệp,yisrael,katz,phó,thủ,tướng,ehud,olmert,hôm,qua,khẳng,tel,aviv,chính,sách,về,việc,các,do,thái,trên,cao,nguyên,ông,cho,rằng,chủ,tịch,ủy,ban,nội,cánh,hữu,đã,sai,lầm,khi,nói,phát,triển,cơ,sở,hạt,tầng,du,lịch,và,thể,muốn,điều,mà,là,hoàn,toàn,đáng,biểu,nhưng,tôi,kiểm,tra,nhiều,lần,cùng,tài,trong,vài,ngày,hề,chương,trình,nào,như,vậy,được,phủ,thông,biết,một,số,ủng,hộ,đó,họ,sẽ,bật,đèn,xanh,bác,tin,bình,luận,gây,rối,loạn,tuy,nhiên,nên,đề,nghị,quan,chức,này,từ,31,12,nhất,trí,tăng,người,vực,lên,gấp,đôi,để,củng,cố,vị,trước,cuộc,đàm,phán,hoà,damascus,ý,tưởng,lừa,dối,bất,hợp,pháp,chiếm,năm,1967,sáp,nhập,vào,lãnh,thổ,mình,1981,vẫn,tình,trạng,chiến,tranh,mặt,kỹ,thuật,yêu,cầu,phải,trả,lại,nếu,thế,giới,ảrập,màu,mỡ,đảm,bảo,soát,những,nguồn,nước,trọng,khô,cằn,vườn,nho,quả,trang,trại,nuôi,gia,súc,cũng,trượt,tuyết,duy
0,0.00550478855611792,0.025174591523551195,0.020408525310040226,0.020879413035645063,0.020879413035645063,0.02665289693911002,0.03652273286251924,0.016783061015700797,0.03131911955346759,0.020879413035645063,0.01332644846955501,0.020879413035645063,0.01826136643125962,0.01826136643125962,0.010439706517822531,0.01826136643125962,0.01826136643125962,0.01332644846955501,0.010439706517822531,0.01826136643125962,0.01826136643125962,0.006802841770013409,0.00550478855611792,0.00550478855611792,0.006802841770013409,0.006802841770013409,0.01332644846955501,0.010439706517822531,0.010439706517822531,0.008391530507850398,0.008391530507850398,0.01826136643125962,0.010439706517822531,0.01332644846955501,0.010439706517822531,0.01826136643125962,0.01332644846955501,0.01332644846955501,0.00550478855611792,0.01826136643125962,0.01332644846955501,0.01826136643125962,0.008391530507850398,0.01826136643125962,0.01826136643125962,0.01826136643125962,0.010439706517822531,0.010439706517822531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0.010920351262389947,0.016758476252294062,0.016758476252294062,,,,0.033516952504588124,0.033516952504588124,,,,,,,,,,,,0.010920351262389947,,,0.010920351262389947,0.010920351262389947,,0.016758476252294062,,,,,0.016758476252294062,,,,,,,,,,0.013470614762601954,,,,,,0.013470614762601954,0.00707487663927842,0.033516952504588124,0.029314298744916756,0.029314298744916756,0.029314298744916756,0.029314298744916756,0.021392456753759358,0.029314298744916756,0.029314298744916756,0.013470614762601954,0.029314298744916756,0.029314298744916756,0.021392456753759358,0.029314298744916756,0.021392456753759358,0.029314298744916756,0.029314298744916756,0.029314298744916756,0.029314298744916756,0.029314298744916756,0.029314298744916756,0.029314298744916756,0.010920351262389947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.01459965660535622,,0.018042319476992086,,,,,,,,,,,,,,,0.03534405898447198,,,,,0.01459965660535622,0.01459965660535622,0.018042319476992086,0.018042319476992086,,,0.027687917286398883,0.022255798303429317,0.022255798303429317,,,,,,,,0.01459965660535622,,,,,,,,,,0.022255798303429317,0.01168892662141652,,,,,,,,,,,,,,0.03534405898447198,,,,,,,,,0.03534405898447198,0.03534405898447198,0.04843231966551464,0.04843231966551464,0.03534405898447198,0.04843231966551464,0.04843231966551464,0.04843231966551464,0.04843231966551464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,0.01767326852227332,0.01767326852227332,,,,,,0.02694122952520391,0.02694122952520391,,,,0.033516952504588124,,,,0.01767326852227332,,,,,,,,,,,,,,,,,,,,0.02694122952520391,,,,,,,,,,,,,0.021840702524779893,,,,,,,,,,0.042784913507518715,0.05862859748983351,0.042784913507518715,0.05862859748983351,0.05862859748983351,0.05862859748983351,0.05862859748983351,0.05862859748983351,0.02694122952520391,0.05862859748983351,0.05862859748983351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,0.039375643152221106,0.031921026766986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04898631519901341,,,,0.02583016168639947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08568795017744898,0.08568795017744898,0.08568795017744898,0.08568795017744898,0.06253179666483505,0.08568795017744898,0.06253179666483505,0.04898631519901341,0.08568795017744898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,0.020475334439154974,0.016598933918832718,0.025472883903486974,0.025472883903486974,,,,,,,,,,,,,,,,,,0.013431684076927724,0.013431684076927724,,,,,,,,,0.025472883903486974,,,,,,,,,,0.020475334439154974,,,,,,0.020475334439154974,0.010753812491703199,,,,,,0.03251653426571422,,,,,,,,,,,,,,,,,0.03251653426571422,,,,,,,,,0.03251653426571422,,,,,,,,,,,,,,,,,0.03251653426571422,,,0.03251653426571422,0.04455773409227347,0.03251653426571422,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.03251653426571422,0.04455773409227347,0.04455773409227347,0.04455773409227347,0.04455773409227347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.016789605096159656,,,,,,,,,,,,,,,,,,,,,0.0207486673985409,0.016789605096159656,0.016789605096159656,0.0207486673985409,0.0207486673985409,,,0.03184110487935872,0.025594168048943718,0.025594168048943718,,,,,,,,0.016789605096159656,,,,,,,,,,,,,,,,,,,,0.025594168048943718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025594168048943718,,,,,,,,,,0.03184110487935872,,,,,,,,,,,,,0.05569716761534184,0.05569716761534184,0.03184110487935872,0.05569716761534184,0.05569716761534184,0.05569716761534184,0.05569716761534184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0.036563097212776736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036563097212776736,0.01920323659232714,0.04548729268479816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07956738230763119,0.07956738230763119,0.07956738230763119,0.07956738230763119,0.07956738230763119,0.05806523976020397,0.15913476461526238,0.036563097212776736,0.07956738230763119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.007462046709404291,,,,,0.018064741258730126,,0.01137518579953054,0.014151602168603875,0.014151602168603875,0.018064741258730126,,,,0.014151602168603875,,,,,,,0.009221629954907067,0.007462046709404291,0.007462046709404291,0.009221629954907067,0.009221629954907067,0.018064741258730126,0.014151602168603875,,,,,,0.018064741258730126,,,,,0.007462046709404291,,,,,,,,,,,0.0059743402731684435,,,,,,,,,0.01137518579953054,,,0.018064741258730126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014151602168603875,,0.018064741258730126,,0.018064741258730126,,,,,,,,,,,0.014151602168603875,,,,,,,,,,,,0.01137518579953054,,0.024754296717929707,0.024754296717929707,0.018064741258730126,0.049508593435859415,0.024754296717929707,0.024754296717929707,0.014151602168603875,0.024754296717929707,0.024754296717929707,0.024754296717929707,0.024754296717929707,0.024754296717929707,0.024754296717929707,0.024754296717929707,0.024754296717929707,0.024754296717929707,0.024754296717929707,0.024754296717929707,0.018064741258730126,0.018064741258730126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,0.04898631519901341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02068040863789077,0.04898631519901341,,,,,,,,,,,,,,,,,,,,,0.031921026766986,,,,,0.06253179666483505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039375643152221106,,,,,,,,,,,,,,,,,,,,,,0.08568795017744898,0.08568795017744898,0.08568795017744898,0.08568795017744898,0.08568795017744898,0.08568795017744898,0.08568795017744898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
