,ayman,al,zawahri,nhà,tư,tưởng,của,qaeda,được,coi,là,cánh,tay,phải,thân,tín,trùm,khủng,bố,osama,bin,laden,một,số,chuyên,gia,nhận,định,bác,sĩ,phẫu,thuật,mắt,này,bộ,óc,tác,chiến,đằng,sau,vụ,11,9,tại,mỹ,đứng,vị,trí,thứ,hai,chỉ,trong,danh,sách,22,tên,bị,truy,lùng,gắt,gao,nhất,mà,chính,phủ,công,năm,2001,lần,cuối,cùng,người,ta,nhìn,thấy,ở,thành,phố,khost,phía,đông,afghanistan,tháng,10,ông,bắt,đầu,cuộc,sống,lẩn,trốn,khi,lật,đổ,taliban,do,khai,mào,theo,nhiều,nguồn,tin,nhân,vật,2,có,thể,đã,sang,bắc,phi,hay,trung,tuy,nhiên,các,quan,chức,khẳng,vẫn,đang,khu,vực,biên,giới,pakistan,đình,lưu,sinh,1951,ai,cập,xuất,từ,gồm,và,học,giả,nội,từng,giáo,cao,cấp,đh,azhar,tâm,nghiên,cứu,hồi,thế,ảrập,cairo,cha,sư,dược,lý,mất,1995,bản,tốt,nghiệp,khoa,y,1974,bằng,thạc,4,đó,mới,15,tuổi,vì,dính,líu,tới,tổ,anh,em,nhóm,cực,đoan,lâu,hoạt,động,ngoài,vòng,pháp,luật,tài,giles,foden,cuốn,về,những,đánh,bom,đại,sứ,quán,kenya,tanzania,1998,nói,hiểu,tầm,trọng,phân,tích,rằng,kiểm,soát,phần,lớn,mạng,lưới,kể,tranh,dân,nêu,đạo,trừng,phạt,chống,châu,âu,văn,cơ,sản,nước,thuộc,trẻ,xét,xử,tham,ám,sát,tổng,thống,anwar,sadat,duyệt,binh,1981,kết,án,3,tù,giam,sở,hữu,vũ,khí,bất,hợp,mãn,hạn,đến,xêút,ngay,peshawar,đất,á,thiết,lập,phe,phái,jihad,thời,kỳ,liên,xô,chiếm,đóng,cũng,mặt,đây,vai,trò,1997,ngoại,giao,thông,báo,thủ,lĩnh,quân,tiên,phong,chinh,phục,cho,thảm,du,khách,luxor,toà,tử,hình,vắng,ngồi,6,nga,cộng,hoà,nam,dagestan,phóng,thích,mật,chưa,biết,mục,tiêu,phương,tây,đan,mạch,thuỵ,thập,kỷ,1990,thỉnh,thoảng,hộ,chiếu,đặt,ra,câu,hỏi,an,ninh,cư,trú,quốc,việc,không,hành,cung,hiện,trên,băng,video,đe,doạ,trả,đũa,giữ,sheikh,omar,abdel,rahman,đáng,thương,mại,wtc,1993,5,ký,vào,fatwa,sắc,lệnh,tôn,kêu,gọi,tấn,thường,còn,đưa,tố,qua,chuyện,điện,thoại,vệ,tinh,trách,phát,âm,mưu
0,0.08817271838298454,0.07924560482784768,0.019326872033777684,0.03756446070794853,0.055235618290158245,0.055235618290158245,0.03639716250624242,0.032937100092826306,0.03756446070794853,0.055235618290158245,0.021787840994160337,0.04408635919149227,0.04408635919149227,0.03756446070794853,0.03756446070794853,0.055235618290158245,0.03756446070794853,0.02934784035178718,0.02934784035178718,0.055235618290158245,0.026415201609282558,0.026415201609282558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,0.02451132111843038,,,,,,,,,,,,0.02451132111843038,0.02971710181044288,0.04959715409042881,0.03301632039576058,0.04959715409042881,0.04959715409042881,0.04226001829644209,0.02971710181044288,0.04959715409042881,0.04959715409042881,0.06214007057642802,0.03705423760442959,0.04226001829644209,0.06214007057642802,0.04959715409042881,0.04226001829644209,0.06214007057642802,0.02047340390976136,0.02692765224250066,0.06214007057642802,0.06214007057642802,0.03705423760442959,0.02047340390976136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.008416541046967702,,,,,,,,,,,,,,,0.02556102224187916,0.05112204448375832,,0.02300678849840739,0.02300678849840739,,,,,,,,,,,,,,,,,,0.01585037722046041,,,,,0.01585037722046041,0.028687151693751942,0.04810844173658944,0.04810844173658944,0.03839779671517069,0.03839779671517069,0.04810844173658944,0.018976506672333197,0.03839779671517069,0.028687151693751942,0.04810844173658944,0.03271743351982614,0.02084721463935535,0.03839779671517069,0.04810844173658944,0.04810844173658944,0.04810844173658944,0.03839779671517069,0.03839779671517069,0.02300678849840739,0.03271743351982614,0.02300678849840739,0.012174785210562448,0.03839779671517069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.01373225118189467,,,,,,,,0.030961668781175213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06264903674580481,0.07849272072811961,0.07849272072811961,0.04170482576306599,0.04680535276349001,0.023682579404002507,0.07849272072811961,0.07849272072811961,0.025861141780751194,0.07849272072811961,0.07849272072811961,0.07849272072811961,0.06264903674580481,0.06264903674580481,0.04170482576306599,0.06264903674580481,0.07849272072811961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04829716376736239,,0.023398175896870127,,,,,0.023398175896870127,0.0423477001193481,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021427095651240364,,,,,,,,,,,,0.023398175896870127,0.05668246181763292,0.11336492363526585,0.09659432753472479,0.05668246181763292,0.05668246181763292,0.04829716376736239,0.03773293759515495,0.07101722351591774,0.07101722351591774,0.05668246181763292,0.07101722351591774,0.07101722351591774,0.07101722351591774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,0.03396240206907757,,,,,0.023398175896870127,0.0423477001193481,,,,,,,,,,,,,,,,0.03396240206907757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05668246181763292,,,,,,,,,,0.04829716376736239,,,,,,,,0.04829716376736239,0.05668246181763292,0.07101722351591774,0.04829716376736239,0.03773293759515495,0.03773293759515495,0.0423477001193481,0.04829716376736239,0.05668246181763292,0.04829716376736239,0.07101722351591774,0.07101722351591774,0.07101722351591774,0.07101722351591774,0.03773293759515495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05668246181763292,,,,,,,,,,,,,,,,,0.023398175896870127,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021427095651240364,,,0.023398175896870127,,,,,,0.03773293759515495,,,0.023398175896870127,,,,,0.05668246181763292,0.04829716376736239,,,,,,,,,,,,,,,,,,,,,,,0.05668246181763292,0.05668246181763292,0.0423477001193481,0.03077445970571504,0.04829716376736239,0.07101722351591774,0.07101722351591774,0.07101722351591774,0.07101722351591774,0.07101722351591774,0.07101722351591774,0.0423477001193481,0.05668246181763292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.045781988391165054,0.027431170901947275,0.01003510663292303,,,,,,,,,,,,0.03900924765825424,,,,,,,,0.02262583487855112,,,0.060953206884481075,,,0.03900924765825424,0.027431170901947275,,,,,,,,,,,,,,0.034203911634858086,,,,,,,,,,,,,,,,,,,,,,,0.014516090058747537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030476603442240537,,,0.034203911634858086,,,,,,,,,,,0.11472013029494406,0.05736006514747203,0.05736006514747203,0.05736006514747203,0.027431170901947275,0.027431170901947275,0.045781988391165054,0.045781988391165054,0.05736006514747203,0.02262583487855112,0.05736006514747203,0.03900924765825424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,0.028528417738025166,0.01043651089823995,,,,0.01965446775337091,,,,0.023530868273693165,,,,,,,,,,,,,,,,,,,0.028528417738025166,,,,,,,,,,,,,,0.03557206810025241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01965446775337091,,,,,,,,,0.01965446775337091,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031695667579930156,,,,,,,,,,,,0.03557206810025241,,,,,,,,,,,,,,0.05965446775337091,0.03557206810025241,0.04706173654738633,0.05965446775337091,0.047613267926811656,0.04056961756458441,0.05965446775337091,0.047613267926811656,0.05965446775337091,0.05965446775337091,0.023530868273693165,0.04056961756458441,0.04056961756458441,0.03557206810025241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.01863662660399991,,,,,,,,0.04201940763159493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02695845296624542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07244574565104359,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04201940763159493,,,,,0.04201940763159493,,,0.07244574565104359,,,,,,,,0.06352155017902215,0.10652583527387662,0.10652583527387662,0.10652583527387662,0.10652583527387662,0.10652583527387662,0.10652583527387662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
