,chân,dung,trần,thủy,biển,và,liên,chiến,là,người,gốc,đài,loan,xuất,thân,từ,khu,vực,nông,thôn,nghèo,khó,nhân,vật,đối,lập,đầu,tiên,lên,nắm,quyền,lãnh,đạo,hòn,đảo,thuỷ,thực,hiện,lược,tự,tuyên,bố,nhà,vô,địch,về,dân,chủ,quyết,để,được,tái,đắc,cử,có,khả,năng,lôi,cuốn,mọi,chẳng,hạn,trong,cuộc,tranh,luận,giữa,2,ứng,viên,truyền,hình,trực,tiếp,hồi,tháng,thuộc,quốc,đảng,kmt,tập,trung,vào,cá,tính,của,gọi,ông,thất,thường,trách,nhiệm,không,đáng,tin,cậy,đáp,lại,khẳng,định,tôi,thay,đổi,kiểu,tóc,nhiều,năm,nay,tình,yêu,dành,cho,vợ,cũng,vậy,sinh,ra,gia,đình,mù,chữ,ở,một,ngôi,làng,phía,nam,1951,học,vấn,tấm,vé,đưa,thoát,khỏi,đói,từng,giỏi,nhất,giành,suất,tại,đh,nơi,nhận,bằng,luật,sư,trẻ,đầy,tham,vọng,làm,việc,công,ty,kết,hôn,với,wu,shu,jen,con,gái,bác,sĩ,giàu,chính,trường,thập,kỷ,1980,khi,biện,hộ,nhóm,các,thủ,lĩnh,ủng,độc,sau,phản,cảng,cao,hùng,đó,thua,toà,án,nhưng,bị,thu,hút,trước,tư,tưởng,cáo,trở,thành,hạt,phe,bi,kịch,xảy,1985,liệt,vì,xe,tải,đâm,rằng,đây,vụ,mưu,sát,1986,ngồi,tù,8,phỉ,báng,cầm,tuy,nhiên,nếu,hy,sẽ,rút,thì,họ,đã,sai,lầm,tế,trái,ngược,hoàn,toàn,hội,đồng,phố,bắc,đa,thiết,tuý,dpp,thị,trưởng,bầu,1994,chống,nhũng,đóng,cửa,chứa,cải,thiện,giao,thông,san,ổ,chuột,lớn,xây,phong,cách,đôi,chuyên,đứng,tạo,mình,kẻ,thù,tri,quay,lưng,4,biến,cơ,tổng,thống,2000,dịch,thắng,quan,pháp,2001,kiến,hoà,bình,phải,gây,trục,trặc,biết,kế,hoạch,trừ,hợp,đại,lục,cận,chọc,giận,kinh,điểm,tiến,số,lo,ngại,ổn,lâu,dài,trên,như,sự,thịnh,vượng,kỳ,luôn,tỏ,nghi,ngờ,buộc,trù,hiến,phá,vỡ,những,hôm,20,3,thể,cuối,cùng,tốt,đạt,đến,đỉnh,bại,nghĩa,nghiệp,trị,thúc,dẫn,thăm,dò,dư,cả,bộ,máy,hậu,thuẫn,chú,ý,im,lặng,hỏng,này,tây,an,1936,trai,chức,cấp,tới,phủ,thế,cộng,sản,1949,tu,mỹ,giả,ngoại,sứ,el,salvador,1970,giữ,phó,tướng,ghế,chịu,coi,tĩnh,thời,căng,thẳng,cương,tăng,cường,lưu,bờ,eo,động,thái,giới,doanh,hết,sức,tâm,còn,cam,sạch,hiệu,quả,phục,nền,trưng,cầu,loan02,03,2004,phạm,bắt14,05,vết,thương,do,trúng,đạn10,04,nội,sát05,tấn,cảnh
0,0.025765861752347626,0.025765861752347626,0.015146706499036901,0.011431100054062808,0.01727200140794526,0.02129323958772472,0.010619155253310723,0.019785691758663505,0.01330569230926907,0.011431100054062808,0.025765861752347626,0.008084221239540694,0.010619155253310723,0.025765861752347626,0.02098760785291935,0.02098760785291935,0.02098760785291935,0.025765861752347626,0.02098760785291935,0.025765861752347626,0.02098760785291935,0.025765861752347626,0.03638501700565835,0.025765861752347626,0.014671099778760027,0.009892845879331752,0.014671099778760027,0.02098760785291935,0.02098760785291935,0.02098760785291935,0.022862200108125615,0.012351607148946724,0.012351607148946724,0.01620935395349108,0.01620935395349108,0.01620935395349108,0.018192508502829174,0.025765861752347626,0.025765861752347626,0.0419752157058387,0.02098760785291935,0.02098760785291935,0.010619155253310723,0.02098760785291935,0.025765861752347626,0.02098760785291935,0.009235819130788497,0.018192508502829174,0.025765861752347626,0.01620935395349108,0.018192508502829174,0.02098760785291935,0.02098760785291935,0.011431100054062808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,0.06001327528382974,,0.042442161507588644,0.0557505650798813,,,,,,,,,,,,,,,,,,,0.0648459375319703,0.0648459375319703,,,,,,,,,,0.0557505650798813,,,,,,,,,,,,0.0648459375319703,0.13527077419982503,0.13527077419982503,0.13527077419982503,0.13527077419982503,0.13527077419982503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.010151516057865158,,0.011575915837239907,0.009514000666855727,0.014234186828905863,0.013260623199955327,0.008917644845573952,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021727431895105065,,,,,,,,0.028132325419870624,,,0.012379927771056924,,,,0.02438570288677102,,,,,,,,,,0.03453721894463618,0.03453721894463618,0.010836296555129014,0.017980809362005464,0.021727431895105065,0.028132325419870624,0.02438570288677102,0.04877140577354204,0.021727431895105065,0.016556409582630716,0.03453721894463618,0.028132325419870624,0.03453721894463618,0.02438570288677102,0.021727431895105065,0.028132325419870624,0.03453721894463618,0.014234186828905863,0.016556409582630716,0.021727431895105065,0.03453721894463618,0.021727431895105065,0.028132325419870624,0.028132325419870624,0.028132325419870624,0.015322538370339507,0.03453721894463618,0.0064048935247655574,0.01966551672472089,0.03453721894463618,0.03453721894463618,0.028132325419870624,0.01966551672472089,0.028132325419870624,0.02438570288677102,0.03453721894463618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04863445314897773,0.04863445314897773,,,,,,,,,,0.04181292380991097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.057767455378867606,,,,0.10145308064986878,0.07163300222988987,0.08263870592086996,0.06382433119187113,0.08263870592086996,0.08263870592086996,0.08263870592086996,0.10145308064986878,0.10145308064986878,0.08263870592086996,0.03400425277189223,0.10145308064986878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1652774118417399,,,,,,,,0.20290616129973757,0.20290616129973757,0.20290616129973757,0.11553491075773521,0.1652774118417399,0.14326600445977974,0.20290616129973757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.021687329759984657,0.03273451379117986,0.024730365652285258,,,,,,,0.02315026991323017,0.030409399134480708,,,,,,0.06010087703335997,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026448027510894336,,,,,,,,,,,,,,,,0.02315026991323017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024730365652285258,,,,,,,,,0.052096728894465365,0.04201269482099462,0.04201269482099462,0.052096728894465365,0.07378405865445002,0.07378405865445002,0.03841354727337531,0.028329513199904566,0.07378405865445002,0.07378405865445002,0.06010087703335997,0.07378405865445002,0.07378405865445002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,0.03810266434017961,,,,,,,,,,,,0.12020175406671994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02736636324218011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10419345778893073,0.14756811730890004,0.14756811730890004,0.14756811730890004,0.14756811730890004,0.14756811730890004,0.12020175406671994,0.14756811730890004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,0.01596992969079354,,,0.014968903847927702,,,0.03637899557793312,0.047786198639898254,,,,,,,,,,,,,,,,,,,0.02779111608513013,0.02779111608513013,0.03647104639535493,0.03647104639535493,,,,,,,,0.023893099319949127,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02779111608513013,,,,,,,,0.023893099319949127,,,,,,,,,,0.010751071273713613,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04093314413136564,,0.033009974502210056,,,,,,,,,,,0.04093314413136564,,,,,,,,0.047222117669068545,0.05797318894278216,0.03647104639535493,0.047222117669068545,0.05797318894278216,0.03647104639535493,0.05797318894278216,0.05797318894278216,0.05797318894278216,0.047222117669068545,0.04093314413136564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.015391008216763305,0.0232309452711599,0.035101164151630684,0.014424452623942555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025101653238182052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040209631638574224,,,,,,,,,,,,,,,,,,,0.03294159029257865,,,,,0.07394374423730567,0.042652235313997394,0.05236288033541615,0.05236288033541615,0.03697187211865283,0.03697187211865283,0.025101653238182052,0.03294159029257865,0.03294159029257865,0.05236288033541615,0.03697187211865283,0.05236288033541615,0.03294159029257865,0.05236288033541615,0.05236288033541615,0.05236288033541615,0.042652235313997394,0.05236288033541615,0.05236288033541615,0.05236288033541615,0.05236288033541615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.014910039209989451,,,,,,,,,,,,,,,,,,,,,,0.028883727689433803,0.01947654032493439,0.028883727689433803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026409313750445525,,,,,,,,,,,0.031912165595935564,,,,,,,,,,,,,0.009407187364499412,,,,,,,,,,,,,,,,,,,,,,,,0.028883727689433803,,,,,,0.028883727689433803,,,,0.026409313750445525,0.01947654032493439,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035816501114944936,,,,,,,,,,,,,,,,,0.01947654032493439,0.031912165595935564,0.04131935296043498,0.04131935296043498,0.05072654032493439,0.01947654032493439,0.05072654032493439,0.07163300222988987,0.05072654032493439,0.028883727689433803,0.035816501114944936,0.04131935296043498,0.035816501114944936,0.035816501114944936,0.020906461904955487,0.04131935296043498,0.05072654032493439,0.035816501114944936,0.05072654032493439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
