,nhân,vật,cứng,rắn,kế,nhiệm,yassin,trong,hamas,abdel,aziz,al,rantisi,vừa,tiếp,quản,ghế,thủ,lĩnh,phong,trào,du,kích,hồi,giáo,ở,gaza,là,một,những,người,phản,đối,mạnh,mẽ,nhất,việc,thoả,hiệp,với,israel,ông,cho,rằng,palestine,có,quyền,kháng,do,thái,bằng,mọi,biện,pháp,kể,cả,đánh,bom,tự,sát,nhằm,vào,thường,dân,đó,không,phải,chủ,nghĩa,khủng,bố,nói,về,vụ,tấn,công,trên,tờ,báo,tiếng,ảrập,kut,arab,năm,1998,ứng,của,cá,và,chính,phủ,mình,7,nhà,sáng,lập,quan,trọng,thứ,hai,tổ,chức,chỉ,sau,tinh,thần,ahmed,từ,trước,giết,hại,đã,trị,tại,thành,phố,sinh,1947,được,đào,tạo,trở,bác,sĩ,nhi,khoa,thời,gian,học,ai,cập,thập,kỷ,1970,rất,tâm,tới,huynh,đệ,bị,đất,nước,trung,đông,đặt,ra,ngoài,vòng,luật,bắt,đầu,nổi,bật,intifada,tiên,cuối,1980,1990,giữ,vài,lần,mỗi,lại,ngồi,tù,2,rưỡi,1992,số,hơn,400,trục,xuất,sang,libăng,phát,ngôn,trại,marj,zahour,khi,hệ,giữa,tịch,yasser,arafat,cũng,tốt,đẹp,các,yêu,cầu,cao,cấp,cáo,buộc,cộng,tác,chế,tháng,phóng,thích,theo,lệnh,toà,thượng,thẩm,vẫn,xuyên,trích,trách,luôn,sẵn,sàng,lộ,trình,hoà,bình,lời,kêu,gọi,ngừng,bắn,để,cơ,hội,thực,thi,tướng,mahmoud,abbas,còn,vì,tham,gia,đàm,ariel,sharon,tổng,thống,mỹ,george,w,bush,jordan,6,2003
0,0.016255116379907415,0.019160668394053924,0.030256511527069332,0.030256511527069332,0.030256511527069332,0.030256511527069332,0.019160668394053924,0.014001395147161916,0.028002790294323832,0.030256511527069332,0.030256511527069332,0.019160668394053924,0.008064825261038518,0.030256511527069332,0.030256511527069332,0.030256511527069332,0.030256511527069332,0.014001395147161916,0.016255116379907415,0.016255116379907415,0.016255116379907415,0.023255813953488372,0.023255813953488372,0.014001395147161916,0.016255116379907415,0.019160668394053924,0.019160668394053924,0.012159970820472968,0.016255116379907415,0.016255116379907415,0.019160668394053924,0.016255116379907415,0.023255813953488372,0.030256511527069332,0.030256511527069332,0.030256511527069332,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.010603068736040102,0.012159970820472968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032956349637772754,0.027958800173440754,,,,,,,,,,0.010385492420230244,0.027958800173440754,0.05204119982655925,0.018237278225988977,0.05204119982655925,0.024082399653118498,0.05204119982655925,0.04,0.04,0.05204119982655925,0.05204119982655925,0.05204119982655925,0.04,0.05204119982655925,0.05204119982655925,0.05204119982655925,0.04,0.04,0.05204119982655925,0.04,0.032956349637772754,0.032956349637772754,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,0.032956349637772754,0.013871499448986253,,,,,,,,,,,,,,,0.020915149811213504,,0.027958800173440754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032956349637772754,0.04,0.05204119982655925,0.032956349637772754,0.04,0.04,0.04,0.05204119982655925,0.05204119982655925,0.04,0.05204119982655925,0.05204119982655925,0.05204119982655925,0.05204119982655925,0.05204119982655925,0.05204119982655925,0.05204119982655925,0.05204119982655925,0.05204119982655925,0.024082399653118498,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.03039000018852256,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02273385849044946,,,,0.03039000018852256,,,,,,,,0.019823128506509757,0.02273385849044946,,,,0.019823128506509757,,,,0.043478260869565216,0.043478260869565216,,,,,,,,,,,0.043478260869565216,0.03582211917149212,0.03582211917149212,0.043478260869565216,0.03582211917149212,,,0.03582211917149212,0.043478260869565216,0.043478260869565216,0.043478260869565216,,,,,,,,,,,,,,,0.05656652155060788,0.02273385849044946,0.05656652155060788,0.03582211917149212,0.02273385849044946,0.05656652155060788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,0.025085832971998432,0.050171665943996864,,,,0.028898957185388027,,,,,,,,,,,,,,,0.043573228773361464,0.0582475003613349,,,,,,,,,,,,,,0.0582475003613349,,,,,,,,,,,,,,,,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10841916630533177,0.10841916630533177,0.06865906174535989,0.10841916630533177,0.10841916630533177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03678789496505362,0.04336361794443783,,,,,0.04336361794443783,0.0158436839823148,,,,,,,,,,0.0316873679646296,0.03678789496505362,,,,,,,,,0.02751993396212303,,,,,,,,,,,,,,0.01366512160556611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03678789496505362,0.06847526292968321,0.06847526292968321,0.06847526292968321,0.06847526292968321,0.04336361794443783,0.04336361794443783,0.03678789496505362,0.06847526292968321,0.06847526292968321,0.06847526292968321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,0.03582211917149212,,,,,,0.015077716792376362,,,,,0.02617652136208532,0.03039000018852256,0.03039000018852256,0.03039000018852256,,,0.02617652136208532,0.03039000018852256,,0.03582211917149212,0.02273385849044946,,,,,,,,,,,,,,0.01128857871764157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043478260869565216,,,,,,,,,,,,,0.02273385849044946,,,0.02273385849044946,,,,,,,,,,,,,,,,,,0.043478260869565216,0.05656652155060788,0.043478260869565216,0.043478260869565216,0.03582211917149212,0.05656652155060788,0.043478260869565216,0.03582211917149212,0.05656652155060788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019972100808135086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04631230702522788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0633775954572553,,0.10007923043569088,0.10007923043569088,0.0633775954572553,0.10007923043569088,0.0633775954572553,0.0633775954572553,0.10007923043569088,0.10007923043569088,0.10007923043569088,0.10007923043569088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,0.008361944323999478,,,,,0.009632985728462676,,,,,,,0.0194158334537783,0.0194158334537783,,,0.050171665943996864,0.0388316669075566,0.022886353915119964,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027777777777777776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0194158334537783,,,,,,,,,,,,,,,0.022886353915119964,,,,,,,,,,,,,,,0.027777777777777776,0.027777777777777776,0.03613972210177725,0.03613972210177725,0.03613972210177725,0.03613972210177725,0.03613972210177725,0.03613972210177725,0.03613972210177725,0.03613972210177725,0.03613972210177725,0.03613972210177725,0.03613972210177725,0.016723888647998956,0.03613972210177725,0.03613972210177725,0.03613972210177725,0.03613972210177725,0.03613972210177725,0.03613972210177725,0.03613972210177725,0.03613972210177725,0.03613972210177725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,0.01505149978319906,0.03010299956639812,,,,,,,,,,,0.034948500216800946,0.034948500216800946,,,,,,,,,0.034948500216800946,,,,,,,,,,0.02279659778248622,,0.012981865525287807,,,,,,,,,,,,,,,,,,,,0.04119543704721594,,,,,,,,,,,,,,,,,,,,,,0.03010299956639812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034948500216800946,0.1951544993495972,0.06505149978319906,0.06505149978319906,0.06505149978319906,0.06505149978319906,0.05,0.06505149978319906,0.06505149978319906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
