,federer,gặp,ferrero,ở,trận,bán,kết,đơn,nam,thứ,hai,hạt,giống,số,3,juan,carlos,đã,có,mặt,australia,mở,rộng,sau,thắng,lợi,6,1,7,trước,hicham,arazi,trong,đấu,tiếp,theo,tay,vợt,tây,ban,nha,này,sẽ,2,roger,người,vừa,hạ,david,nalbandian,5,4,tôi,chơi,thực,sự,tốt,khi,khởi,đầu,nhưng,biết,là,một,rất,giỏi,phản,công,để,lỡ,vài,quả,vô,lê,tưởng,chừng,ăn,chắc,thật,may,mắn,chiến,vẫn,thuộc,về,loạt,tie,break,đối,thủ,lại,đáng,gờm,khác,nói,còn,lần,tư,không,thể,vượt,qua,được,tứ,của,giải,grand,slam,thất,vọng,nữa,dừng,chân,mà,tiến,xa,hơn,hy,mọi,chuyện,cuối,cùng,chưa,thua,set,nào,năm,nay,bước,vào,chỉ,vậy,argentina,đang,chiếm,thế,với,thụy,sĩ,mới,cuộc,so,tài,căng,thẳng,giành,những,thời,điểm,quan,trọng
0,0.010203589965949682,0.013407147314880451,0.03584461560697533,0.020407179931899364,0.005688429477342471,0.05128205128205128,0.026814294629760902,0.02564102564102564,0.02564102564102564,0.017922307803487664,0.02564102564102564,0.017922307803487664,0.017922307803487664,0.017922307803487664,0.017922307803487664,0.02564102564102564,0.02564102564102564,0.007718717837537979,0.017922307803487664,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.017922307803487664,0.010203589965949682,0.017922307803487664,0.05376692341046299,0.02564102564102564,0.03584461560697533,0.013407147314880451,0.02564102564102564,0.013407147314880451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.012435625271001175,0.01633996079001055,,,0.006932773425511137,,,,,,,0.02184281263550059,0.02184281263550059,0.02184281263550059,0.02184281263550059,,,,,,,,,,,,0.04368562527100118,,0.04368562527100118,,,,0.012435625271001175,0.01633996079001055,0.01633996079001055,0.01633996079001055,0.012435625271001175,0.012435625271001175,0.03125,0.03125,0.03125,0.03125,0.01633996079001055,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.02184281263550059,0.04368562527100118,0.03125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,0.009243697900681516,,,,,,,,,,,,,0.012542916485999216,,,,,,,,,,,,,,0.021786614386680732,0.016580833694668232,0.021786614386680732,,,0.016580833694668232,0.016580833694668232,,,,,,,,,,,,,,,0.043573228773361464,0.041666666666666664,0.02912375018066745,0.02912375018066745,0.041666666666666664,0.016580833694668232,0.041666666666666664,0.041666666666666664,0.021786614386680732,0.041666666666666664,0.02912375018066745,0.006454248332739299,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,0.01114925909866597,,,,,,0.02588777793837107,0.014738518839705096,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038731758909654634,,,,,,,,0.019365879454827317,,,0.0057371096291016,,,,,0.02588777793837107,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.019365879454827317,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.04659800028906792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034858583018689174,0.034858583018689174,0.026529333911469173,0.026529333911469173,,,,,0.034858583018689174,,,,,,,,,,,,,,,,,,,,0.04659800028906792,0.010326797332382879,,,,,,,,,,,,,,,,,,,,,,,,,0.06666666666666667,0.06666666666666667,0.04659800028906792,0.06666666666666667,0.06666666666666667,0.04659800028906792,0.04659800028906792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,0.009705853870049698,0.0054109451125940585,,0.025506280257577445,,,0.017048048886244362,,,,,,,,0.007342195016194664,,,,,,,,,,,,,,0.012753140128788722,,,,,,,,,,,,,,,,,,,,,0.012753140128788722,,0.017048048886244362,0.017048048886244362,,0.009705853870049698,,,,,,0.007556193170036253,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017048048886244362,,,,0.017048048886244362,0.024390243902439025,0.025506280257577445,0.024390243902439025,0.034096097772488725,0.04878048780487805,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.034096097772488725,0.024390243902439025,0.017048048886244362,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.017048048886244362,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,0.03979400086720376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05228787452803377,0.05228787452803377,,,,,,,0.05228787452803377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06989700043360189,,,0.05228787452803377,,,,,,,,,,,,,0.06989700043360189,,,,,,,,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.017301739507479895,0.02273385849044946,,0.03460347901495979,0.009645597809406799,,0.02273385849044946,,,,,,,,,,,,,,,,,,,,,,,0.02273385849044946,,,,,,,,,,,,,,,,,,,,0.03039000018852256,,,,,,,,0.017301739507479895,,,,,,0.006734867825467095,,,,,0.03039000018852256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03039000018852256,,0.03039000018852256,,,,,,,,,,,,,,,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.03039000018852256,,,,,,,,,,,,,,,,,,,,,
8,,,,,0.007649956883322634,,,,,,,,,,,,,,0.024102413942621338,,,,,,0.02744413852910604,0.024102413942621338,,,,0.018030301561390953,,,0.01372206926455302,0.018030301561390953,,,0.02744413852910604,0.02744413852910604,,,,,,,,,,,,,0.024102413942621338,,,,,,,0.01372206926455302,,,,,,0.0053414468960601095,,,,,,,,,,,,,,,,,,0.018030301561390953,,,,,,,,,,,,,,,0.018030301561390953,,0.024102413942621338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,,,,,,,,,,,
9,0.02094421098273882,,,,,,,,,,,,,,,,,0.0158436839823148,,,,,,,0.02094421098273882,,,,,,,,0.02094421098273882,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02751993396212303,,,0.008152734736091747,,,,,,,,,,,,,,,,,,0.02751993396212303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03678789496505362,,,,,,,,,,,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
