,justine,henin,đăng,quang,danh,hiệu,grand,slam,thứ,3,giao,bóng,hiểm,hóc,đối,thủ,không,thể,đỡ,trả,chị,sung,sướng,quẳng,vợt,quỳ,xuống,sân,hai,tay,ôm,mặt,chức,vô,địch,australia,mở,rộng,2004,ba,đã,thuộc,về,sau,thắng,lợi,6,4,trong,một,trận,chung,kết,khá,kịch,tính,kéo,dài,1,giờ,47,phút,set,đầu,tiên,diễn,ra,rất,thuận,với,đạt,phong,độ,gần,như,cao,nhất,break,ở,game,5,để,dẫn,2,và,9,giành,chiến,này,tỷ,số,chỉ,30,những,bản,cũng,tương,tự,nằm,khi,của,tuy,nhiên,mọi,chuyện,đổi,khác,kim,clijsters,bất,ngờ,phản,đòn,tiếp,theo,rồi,liên,tục,đó,cô,bạn,gái,lleyton,hewitt,thi,đấu,cực,kỳ,ấn,tượng,quả,cùng,thông,minh,gây,nhiều,khó,khăn,cho,liền,san,bằng,thế,cuối,lại,là,màn,trình,đồng,hương,chơi,tốt,bao,nhiêu,thì,thiếu,bình,tĩnh,quyết,định,bấy,trước,0,vùng,lên,vào,rút,ngắn,được,còn,pha,thành,công,cú,khiến,hết,cơ,hội,lật,ngược,đây,lần,thua,tại,giải,pháp,mỹ,năm,ngoái,cảm,giác,tả,lời,tôi,khán,giả,đứng,phía,lo,lắng,nhưng,biết,mình,vậy,món,quà,lớn,đúng,sức,thời,điểm,quan,trọng,đến,bây,vẫn,chưa,tin,sự,thật,xúc,động,phát,biểu,nhận,cup
0,0.06296282355875805,0.03991707692780721,0.06296282355875805,0.06296282355875805,0.048628061860473235,0.040242763810202704,0.040242763810202704,0.040242763810202704,0.019958538463903604,0.02967853763799526,0.040242763810202704,0.040242763810202704,0.06296282355875805,0.06296282355875805,0.03429330016218842,0.040242763810202704,0.03429330016218842,0.048628061860473235,0.040242763810202704,0.040242763810202704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,0.045339003695856306,0.1101849412278266,0.1101849412278266,0.1101849412278266,0.1101849412278266,0.1101849412278266,0.08509910825582817,0.1101849412278266,0.03492744231183131,0.08509910825582817,0.1101849412278266,0.1101849412278266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,0.025529732476748453,0.02112745100035642,0.02112745100035642,0.02112745100035642,0.010478232693549394,0.031162464519895024,,,,,,,,,,,0.013601701108756893,,,,,,,,,,,,0.025529732476748453,0.018003982585148924,0.02112745100035642,0.025529732476748453,0.025529732476748453,0.025529732476748453,0.03305548236834798,0.025529732476748453,0.011928031367991561,0.03305548236834798,0.025529732476748453,0.015581232259947512,0.015581232259947512,0.025529732476748453,0.07658919743024535,0.018003982585148924,0.02112745100035642,0.018003982585148924,0.018003982585148924,0.025529732476748453,0.025529732476748453,0.03305548236834798,0.025529732476748453,0.03305548236834798,0.03305548236834798,0.03305548236834798,0.03305548236834798,0.025529732476748453,0.03305548236834798,0.025529732476748453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,0.03810266434017961,,,,,,,,,,,,,0.06546902758235972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09283539082453983,,,,,,,,,,,,,,,,,0.043374659519969314,0.09283539082453983,0.09283539082453983,0.07682709454675062,0.12020175406671994,0.12020175406671994,0.12020175406671994,0.07682709454675062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,0.02205943724957767,0.032802594231468446,,,,,,,,,,,0.014317580114480939,,,,,,,,0.011029718624788834,,,,,,,,,,,,,,,0.016401297115734223,0.016401297115734223,,0.026873402607103632,,,,,,,,,,,,,,,0.026873402607103632,0.012555822492622696,,,,,,,0.04447884421127667,0.034795244598261034,0.034795244598261034,0.034795244598261034,0.026873402607103632,0.022239422105638337,0.034795244598261034,0.034795244598261034,0.022239422105638337,0.014317580114480939,0.032802594231468446,0.034795244598261034,0.032802594231468446,0.022239422105638337,0.026873402607103632,0.018951560615946234,0.034795244598261034,0.022239422105638337,0.022239422105638337,0.034795244598261034,0.026873402607103632,0.026873402607103632,0.034795244598261034,0.034795244598261034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,0.03224071598015198,,,,,,,,,,,,,,,,,,,,0.03224071598015198,,,,,,,,,,,,,,,,,,,,,,,,,,0.07855302300537985,,,,,,,,0.03670163497843557,0.07855302300537985,0.07855302300537985,,,,,,,,,,,,,,0.04185138802694428,0.04794225310753081,,,,,,,,,,,,,,0.05539686949276592,0.1017091765179938,0.06500754153955822,0.1017091765179938,0.1017091765179938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,0.01612035799007599,,,,,,,,,0.03250377076977911,0.03250377076977911,,,0.02769843474638296,0.03250377076977911,,,,,0.02092569401347214,,,,,,,,,0.039276511502689924,,,0.039276511502689924,0.02769843474638296,0.03250377076977911,,,,,,0.018350817489217786,,,0.023971126553765404,0.023971126553765404,,,0.02769843474638296,0.03250377076977911,0.02769843474638296,,,,,,,,,,,,,,,,,,,,,,,,0.039276511502689924,0.03250377076977911,,,,0.02092569401347214,0.023971126553765404,,,0.03250377076977911,0.039276511502689924,,,,0.03250377076977911,,,,,,,,,,,0.0508545882589969,0.02769843474638296,0.02769843474638296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022720059748555354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040242763810202704,0.025908002111917888,0.02967853763799526,,0.02967853763799526,,,,,0.040242763810202704,,,,,,,,,,,,,0.03429330016218842,,0.048628061860473235,0.048628061860473235,0.06296282355875805,0.06296282355875805,0.06296282355875805,0.06296282355875805,0.03429330016218842,0.02967853763799526,0.06296282355875805,0.06296282355875805,0.06296282355875805,0.06296282355875805,0.03429330016218842,0.06296282355875805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,0.012700888113393203,,,,,,,,,,,,,,,,,0.025609031515583542,0.025609031515583542,,,,,,,,,,,,,,0.02182300919411991,,,,,,,,,,0.01888634213326971,,,,,,,,,,,,,,,,,,,,,,,,,,0.025609031515583542,,,,,,,,,,,,,,,0.02182300919411991,,,,,,,,,0.02182300919411991,,,,,,,0.02182300919411991,,,,,,,,,,,,,,,0.04006725135557331,0.025609031515583542,0.04006725135557331,0.04006725135557331,0.03094513027484661,0.03094513027484661,0.04006725135557331,0.04006725135557331,0.04006725135557331,0.025609031515583542,0.025609031515583542,0.04006725135557331,0.04006725135557331,0.04006725135557331,0.04006725135557331,0.03094513027484661,0.03094513027484661,0.04006725135557331,0.04006725135557331,0.04006725135557331,0.04006725135557331,0.04006725135557331,0.04006725135557331,0.04006725135557331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,0.0519374408664917,,,,,,,,,,,0.045339003695856306,,,,,,,,,,,,,,,,,,,,,,,0.0519374408664917,0.0519374408664917,,,,,,0.06001327528382974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0519374408664917,,0.0519374408664917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06001327528382974,,,,,,,,,,,,,,,,,,,,,,,,,,0.1101849412278266,0.1101849412278266,0.08509910825582817,0.08509910825582817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,0.041912930774197575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047712125471966245,,,0.08450980400142569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0720159303405957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10211892990699381,,,,,,,,,,,,0.08450980400142569,0.0720159303405957,0.08450980400142569,0.13222192947339192,0.13222192947339192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,0.01612035799007599,,,,,,,,,,,,,,,,,,,,0.01612035799007599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03670163497843557,,,,,,,,,,,,,,,,0.04185138802694428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02769843474638296,0.023971126553765404,,,,,,,,,,,0.039276511502689924,0.039276511502689924,,,,,,,,,,,,,,,,,,,,,,,0.03250377076977911,0.02769843474638296,,,,0.0508545882589969,0.0508545882589969,0.0508545882589969,0.039276511502689924,0.0508545882589969,0.1017091765179938,0.0508545882589969,0.0508545882589969,0.0508545882589969,0.0508545882589969,0.039276511502689924,0.039276511502689924,0.0508545882589969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,0.029937807695855405,,,,,,,,,,,,,,,,,,,0.03886200316787683,,,,,,,,0.029937807695855405,,,,,,,,,,,,0.03408008962283303,,,,,,,0.051439950243282635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06036414571530405,,,,0.04451780645699289,0.06036414571530405,,0.051439950243282635,,0.06036414571530405,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051439950243282635,,,0.06036414571530405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07294209279070986,0.09444423533813709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
