,roger,federer,vô,địch,australia,mở,rộng,tân,vương,của,làng,quần,vợt,nam,thế,giới,đã,tiếp,tục,chuỗi,thành,tích,ấn,tượng,mình,bằng,chức,ở,trận,chung,kết,đơn,sáng,nay,tay,thụy,sĩ,vượt,qua,marat,safin,với,tỷ,số,7,6,4,2,hành,trang,mỗi,khi,bước,vào,đấu,cuối,cùng,là,một,danh,hiệu,grand,slam,mỹ,năm,2000,còn,đăng,quang,wimbledon,ngoái,hai,đều,khởi,đầu,trong,lo,lắng,chính,sự,căng,thẳng,này,khiến,họ,thi,không,tốt,set,thứ,nhất,cả,liên,để,thua,game,giao,bóng,vì,vậy,diễn,ra,khá,cân,có,cơ,hội,thúc,chiến,thắng,nhưng,rồi,anh,lại,sau,loạt,tie,break,thoải,mái,hơn,cho,bình,tĩnh,những,tình,huống,quyết,định,giành,5,khẳng,trội,và,quả,phát,từng,vũ,khí,lợi,hại,giúp,đkvđ,andre,agassi,bán,thể,huy,cuộc,so,tài,nhiều,lần,lỗi,càng,dù,ít,tự,đánh,hỏng,đó,hiện,rõ,người,nga,nén,được,tức,giận,đập,chửi,rủa,minh,chứng,ràng,mất,mong,muốn,trước,tâm,rất,lớn,thực,nữa,chịu,khuất,phục,cống,hiến,xem,pha,hấp,dẫn,đẹp,mắt,thật,tuyệt,vời,mùa,mới,lúc,trở,1,như,giấc,mơ,vui,sướng,biểu,thì,thừa,nhận,mệt,mỏi,ngày,phải,tổng,cộng,17,tiếng,tôi,mừng,mặt,nghĩ,chơi,phong,độ,cao,chỉ,vừa,chấn,thương,lẽ,quá
0,0.06459050105685749,0.03732642935859107,0.05452814339653285,0.05452814339653285,0.05452814339653285,0.04738878701891571,0.04738878701891571,0.04089610754739964,0.04089610754739964,0.03732642935859107,0.04089610754739964,0.04089610754739964,0.015093536490486963,0.03229525052842874,0.020925535994941957,0.03229525052842874,0.009069154624347158,0.04089610754739964,0.03229525052842874,0.04089610754739964,0.027264071698266425,0.04089610754739964,0.04089610754739964,0.04089610754739964,0.023694393509457855,0.03229525052842874,0.04089610754739964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,0.02031822219873245,0.043474375711346394,,,0.01220847737892887,,,,,,,,,,,0.028168990762421867,0.018350817489217786,0.03670163497843557,0.028168990762421867,0.05505245246765336,0.05505245246765336,0.05505245246765336,0.02254868169787425,0.043474375711346394,0.043474375711346394,0.03670163497843557,0.03670163497843557,0.03670163497843557,0.02031822219873245,0.03670163497843557,0.05505245246765336,0.043474375711346394,0.05505245246765336,0.1651573574029601,0.05505245246765336,0.05505245246765336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,0.034379605988175986,,,0.027803883008791774,,,,,,,,,,,,,,,,0.02511164498524539,,,,,,0.030856090744459497,,,,,,,,,,,,,,0.07533493495573618,0.07533493495573618,0.07533493495573618,0.05022328997049078,0.07533493495573618,0.07533493495573618,0.030856090744459497,0.059491250973421374,0.05022328997049078,0.03854703999068255,0.034379605988175986,0.07533493495573618,0.07533493495573618,0.07533493495573618,0.07533493495573618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.06279632047194478,0.03628958409863021,0.05301347274662915,0.05301347274662915,,0.04607243182394583,0.04607243182394583,,,,,,,,,,,,,,,,,,,,,0.04068854221238714,,,,,,,,,,,,0.05301347274662915,0.029348543175946873,,,,,,,,,,,,,,,,,,,,,,,0.07952020911994374,0.1590404182398875,0.07952020911994374,0.05301347274662915,0.07952020911994374,0.07952020911994374,0.07952020911994374,0.07952020911994374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,0.058697086351893746,,,,,,,,,,,,,,,,,,,,,,0.06514063601608115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06514063601608115,0.1590404182398875,0.12559264094388956,0.12559264094388956,0.04792930712877637,0.1590404182398875,0.1590404182398875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,0.01983877574075941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03664160775904565,,,,,,,,,,,,,,,,,,,,,0.02696023525993671,,,0.08946023525993671,0.04082578211095898,0.07064586053093788,0.07064586053093788,0.08946023525993671,0.07064586053093788,0.08946023525993671,0.05183148580193906,0.04082578211095898,0.08946023525993671,0.04577460998893553,0.059640156839957804,0.07064586053093788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,0.05443437614794531,,,,,,,,,0.09419448070791717,,,,,,0.06910864773591874,,,0.06103281331858071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04885547701206087,,,,,,,,,,,,,,,,,,,,0.09419448070791717,0.11928031367991561,0.06910864773591874,0.06910864773591874,0.07952020911994373,0.07952020911994373,0.05443437614794531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,0.08137708442477427,,,,,,,,,,,0.12559264094388956,,,0.05301347274662915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1590404182398875,0.12559264094388956,0.12559264094388956,0.12559264094388956,0.1590404182398875,0.1590404182398875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036619687991148425,,,,,,,,,,0.026413688858352186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029313286207236524,,,,,,,,,,,,,,,,,0.036619687991148425,,,,,0.04146518864155125,0.04146518864155125,,,,,,,,,,0.04146518864155125,0.07156818820794937,0.07156818820794937,0.07156818820794937,0.05651668842475031,0.05651668842475031,0.047712125471966245,0.07156818820794937,0.026413688858352186,0.05651668842475031,0.05651668842475031,0.07156818820794937,0.07156818820794937,0.05651668842475031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10659376802631462,,,,,,,,,,,,,,,,,0.06658125089299714,0.08674931903993863,,0.10275761531772783,,,,,,,,,0.10275761531772783,0.10275761531772783,,,,,,,,,,,,,,,,,0.13012397855990795,0.13012397855990795,0.10275761531772783,0.07539125207554773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
