,những,bí,quyết,làm,nên,chiến,thắng,của,roger,federer,đã,có,sự,khởi,đầu,hoàn,hảo,cho,một,mùa,bóng,mới,chức,vô,địch,australia,mở,rộng,mà,anh,giành,được,hôm,chủ,nhật,là,ghi,nhận,chính,xác,nhưng,điều,đó,còn,ý,nghĩa,hơn,khi,tay,vợt,thụy,sĩ,thi,đấu,không,hề,hlv,sa,thải,người,thân,cận,nhất,mình,vào,cuối,bạn,từng,ngôi,wimbledon,thể,coi,việc,cực,kỳ,liều,lĩnh,và,cùng,mất,lịch,danh,hiệu,grand,slam,thứ,hai,chỉ,7,tuần,sau,chia,peter,lundgren,vươn,lên,dẫn,bảng,xếp,hạng,atp,chứng,minh,đặc,biệt,luôn,định,mọi,theo,cách,riêng,tin,rằng,tự,tổ,trận,giúp,tập,trung,luyện,ở,tôi,muốn,mời,sẽ,công,nói,trước,marat,safin,tại,chung,kết,darren,cahill,andre,agassi,lleyton,hewitt,thích,hợp,22,tuổi,quá,sớm,để,với,năm,70,80,số,sao,thuê,hẳn,họ,liên,tục,áp,lực,ngày,càng,tăng,cộng,các,kiện,khác,đồng,này,phải,ra,nước,ngoài,đội,hộ,tống,đối,khó,khăn,chắc,chắn,rất,quan,trọng,bởi,gì,thay,đổi,chút,từ,1998,dành,trẻ,đơn,thuần,tốt,nữa,tới,thành,hậu,phương,vững,tạo,thuận,lợi,cao,độ,gái,mirka,chịu,trách,nhiệm,lo,toàn,bộ,bên,sân,đỡ,bố,mẹ,nhà,vật,lý,trị,liệu,duy,đi,giải,lớn
0,0.02819556706770277,0.040738483553701986,0.024157649859033754,0.02819556706770277,0.040738483553701986,0.040738483553701986,0.040738483553701986,0.01806898170577384,0.06680269551943054,0.031305301163407115,0.015652650581703557,0.024157649859033754,0.02819556706770277,0.0532814000397012,0.03340134775971527,0.0532814000397012,0.0532814000397012,0.03340134775971527,0.009890038158108495,0.040738483553701986,0.03340134775971527,0.03340134775971527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,0.03383468048124333,,,,,,0.011868045789730197,,,,0.040081617311658324,0.040081617311658324,0.040081617311658324,0.03383468048124333,0.040081617311658324,0.040081617311658324,0.03383468048124333,0.025030117528459267,0.028989179830840508,0.028989179830840508,0.06393768004764144,0.06393768004764144,0.06393768004764144,0.01878318069804427,0.06393768004764144,0.06393768004764144,0.048886180264442386,0.048886180264442386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,0.01878318069804427,0.028989179830840508,,,,,,,,,,,,,,,,,0.03383468048124333,,,,,,,,,,,,0.028989179830840508,0.028989179830840508,0.040081617311658324,0.03383468048124333,0.06393768004764144,0.048886180264442386,0.048886180264442386,0.025030117528459267,0.02168277804692861,0.025030117528459267,0.048886180264442386,0.048886180264442386,0.040081617311658324,0.028989179830840508,0.040081617311658324,0.06393768004764144,0.025030117528459267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,0.018289016476347748,,,,0.011720420565907356,,,,0.015669826935589465,0.018289016476347748,,,,,,,0.026424962305103994,0.02166573908738288,,,0.04333147817476576,0.02166573908738288,,,,0.018289016476347748,,0.015669826935589465,0.015669826935589465,,,,0.010153070647591498,,,,,,,,,,,,,,,,,,,,,,0.026424962305103994,0.026424962305103994,0.02166573908738288,0.034560908133860244,0.034560908133860244,0.02166573908738288,0.018289016476347748,0.018289016476347748,0.034560908133860244,0.02166573908738288,0.034560908133860244,0.026424962305103994,0.026424962305103994,0.026424962305103994,0.034560908133860244,0.006415159886340647,0.034560908133860244,0.034560908133860244,0.034560908133860244,0.034560908133860244,0.013529793258626632,0.018289016476347748,0.034560908133860244,0.034560908133860244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,0.013416557641460191,0.013416557641460191,,,,0.028629726651184517,,,,,,,,,,,,,,,,0.02070655702202893,,,,,,,,,,0.02070655702202893,,,,,,,0.017878655377470905,0.015487698604949005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017878655377470905,,,,0.045669771462601025,0.045669771462601025,0.045669771462601025,0.045669771462601025,0.045669771462601025,0.045669771462601025,0.03491870018888742,0.045669771462601025,0.045669771462601025,0.03491870018888742,0.045669771462601025,0.045669771462601025,0.024167628915173805,0.045669771462601025,0.045669771462601025,0.03491870018888742,0.045669771462601025,0.045669771462601025,0.045669771462601025,0.045669771462601025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.030514926137726845,,,,,,,,0.01977176915583607,,,,,,,,0.012492679778663363,,,,,,,,,,,0.02634749213522028,,,,,,0.01977176915583607,,,,,,,,,,,,,0.022823976891503797,0.02634749213522028,,,,,,,,,,,,,,0.03561545313815087,,,,,,,,,0.012492679778663363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042191176117535076,0.042191176117535076,0.06730282110278046,0.06730282110278046,0.03561545313815087,0.042191176117535076,0.05145913712046567,0.05145913712046567,0.06730282110278046,0.05145913712046567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,0.028629726651184517,,0.013416557641460191,,,,,,,,,,,,0.028629726651184517,,,0.024167628915173805,0.028629726651184517,0.028629726651184517,,0.017878655377470905,,0.02070655702202893,,,,,,,,,,0.02070655702202893,0.028629726651184517,,,,0.03491870018888742,0.017878655377470905,,,,,,0.02070655702202893,,,,,,,,,,,,,,,,,,,0.008477175564092996,,,,,0.017878655377470905,,,,,,,,,,,,,,,,,,,,,,,,0.028629726651184517,0.028629726651184517,,,,,,,,,0.045669771462601025,0.03491870018888742,0.045669771462601025,0.045669771462601025,0.045669771462601025,0.03491870018888742,0.057259453302369034,0.028629726651184517,0.045669771462601025,0.045669771462601025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,0.02875657662614258,0.02875657662614258,0.01275457532172271,,0.011048929822378982,,,,,,,,,0.006981203405723645,,,0.02357742194803431,,,,0.019902753224260782,0.02357742194803431,0.02357742194803431,0.019902753224260782,,0.017052458724023827,,,,,,,,,,,,,,,,,0.01472359854615251,,,,,,,0.02357742194803431,,0.01472359854615251,,,,,,,0.019902753224260782,0.019902753224260782,,,,,,,,0.006981203405723645,,,,,,,,,,,,,,,0.02875657662614258,,,0.02875657662614258,,,,,,,,,,,,,,,,,,,,0.02875657662614258,,,,,,,0.02357742194803431,0.02357742194803431,,,0.019902753224260782,0.02875657662614258,0.03761040002802438,0.02357742194803431,0.019902753224260782,0.02357742194803431,0.03761040002802438,0.03761040002802438,0.03761040002802438,0.03761040002802438,0.03761040002802438,0.03761040002802438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,0.018289016476347748,0.026424962305103994,,,0.011720420565907356,,0.010153070647591498,0.010153070647591498,0.015669826935589465,,,,,,0.02166573908738288,0.006415159886340647,,,0.02166573908738288,,,,0.018289016476347748,,,,,,,,,,,,,,,0.015669826935589465,,,0.018289016476347748,,,,,,,,,,,,,0.027059586517253265,,,0.02166573908738288,,,,,,,,,,,0.026424962305103994,,0.006415159886340647,,,,,0.013529793258626632,0.018289016476347748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026424962305103994,,,,,,,,,0.018289016476347748,,,0.02166573908738288,,0.02166573908738288,,,,,,,0.034560908133860244,0.034560908133860244,0.034560908133860244,0.034560908133860244,0.034560908133860244,0.034560908133860244,0.034560908133860244,0.034560908133860244,0.034560908133860244,0.034560908133860244,0.034560908133860244,0.034560908133860244,0.026424962305103994,0.015669826935589465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.05884292257607535,,,,,,,,,,0.016333200606995016,,,,0.03485358027100724,,,,0.010320039817156691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018854589606024878,0.02176531958996458,,,,,,,0.02176531958996458,,,,,,,,0.029421461288037676,,,,0.04250972196908034,,,,,,,,,0.02176531958996458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04250972196908034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08501944393816067,0.055597982650122994,0.055597982650122994,0.055597982650122994,0.055597982650122994,0.055597982650122994,0.055597982650122994,0.055597982650122994,0.055597982650122994,0.055597982650122994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.020505866958329292,,,,,,,,,,,,,,,,,,0.007192755024078907,,,,,,,,,,,,,,,,,,,,,,0.017569199897479095,0.017569199897479095,,,,0.029627988039055992,,,0.013141077604199157,0.015169768199066222,,,0.024291889279792925,0.017569199897479095,,,,,,,,,,,,,,,,,,,0.007192755024078907,,,,,,0.020505866958329292,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020505866958329292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05270759969243728,,,,,,,,,,,0.038750109119782696,0.038750109119782696,0.038750109119782696,0.038750109119782696,0.038750109119782696,0.038750109119782696,0.029627988039055992,0.029627988039055992,0.029627988039055992,0.038750109119782696,0.038750109119782696,0.038750109119782696,0.029627988039055992,0.038750109119782696,0.020505866958329292,0.038750109119782696,0.038750109119782696,0.038750109119782696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,0.044598738201293085,,,,,,,,,,,,,,,,0.018258531984200303,,,,,,,,,,,,,,,,,0.02889720107391426,,,,,,,,,,,,,,,,,,,,,0.03850787312070657,0.07520950809914213,0.07520950809914213,,,,,,,,,,,,,,0.018258531984200303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061664026633320504,,,,,,,,,,,,,,,0.052053354586528204,,,,,,,,,,,,,,,,,,,,,,,,,0.044598738201293085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09836566161175607,0.09836566161175607,0.09836566161175607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
