,chất,lượng,trọng,tài,rất,tồi,đó,là,nguyên,văn,lời,phát,biểu,của,huấn,luyện,viên,kenneth,morton,sau,trận,đấu,nhđá,thép,pomina,gặp,đà,nẵng,chiều,qua,ông,này,còn,nhấn,mạnh,chính,những,sai,lầm,bùi,huy,tùng,đã,cướp,mất,đi,3,điểm,đội,bóng,sông,hàn,đánh,giá,thế,nào,về,đây,một,hay,chủ,nhà,giành,chiến,thắng,cách,xứng,đáng,nhận,xét,phong,độ,trung,lê,huỳnh,đức,hlv,francisco,vital,hai,thi,quyết,liệt,chúng,tôi,hoàn,toàn,vì,phải,trong,10,chống,11,không,có,ý,kiến,gì,các,định,hôm,nay,thành,công,theo,cậu,ấy,bị,sức,ép,tâm,lý,khi,đối,đầu,với,đồng,cũ,hơn,nữa,hàng,hậu,vệ,nghĩ,như,tệ,ba,thất,vọng,thua,nẳng,thể,ở,bỏ,quả,phạt,11m,mà,lẽ,ra,được,hưởng,khó,hiểu,buộc,ban,nộp,đơn,khiếu,nại,lên,liên,đoàn,đá,việt,nam
0,0.027097111888095184,0.027097111888095184,0.0138324449323606,0.0138324449323606,0.011193070064106437,0.027097111888095184,0.03713144507689456,0.02122740325290581,0.03713144507689456,0.03713144507689456,0.03713144507689456,0.027097111888095184,0.027097111888095184,0.007028445510496439,0.027097111888095184,0.027097111888095184,0.03713144507689456,0.03713144507689456,0.03713144507689456,0.03713144507689456,0.011193070064106437,0.007028445510496439,0.01706277869929581,0.02122740325290581,0.02122740325290581,0.03713144507689456,0.02122740325290581,0.02122740325290581,0.03713144507689456,0.027097111888095184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0.015960513383493,0.015960513383493,,,,,,,,,,0.01621948963960717,,,,,,,,,,,,,,,,,0.012915080843199735,0.015960513383493,0.04284397508872449,0.04284397508872449,0.04284397508872449,0.024493157599506706,0.031265898332417524,0.04284397508872449,0.04284397508872449,0.04284397508872449,0.04284397508872449,0.031265898332417524,0.010340204318945384,0.031265898332417524,0.031265898332417524,0.04284397508872449,0.04284397508872449,0.031265898332417524,0.015960513383493,0.031265898332417524,0.04284397508872449,0.04284397508872449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,0.011193070064106437,,,0.02122740325290581,,,,,,,,,,,,,0.022386140128212873,0.014056891020992878,0.01706277869929581,0.02122740325290581,0.02122740325290581,,,,,,0.011193070064106437,0.0138324449323606,,,,,,,,,,,0.008961510409752665,,,,,,0.0138324449323606,,,,0.03713144507689456,0.03713144507689456,0.02122740325290581,0.027097111888095184,0.0138324449323606,0.027097111888095184,0.05419422377619037,0.02122740325290581,0.027097111888095184,0.027097111888095184,0.03713144507689456,0.02122740325290581,0.02122740325290581,0.03713144507689456,0.027097111888095184,0.027097111888095184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,0.009594060054948374,,,0.018194917073919268,,,,0.023226095904081586,0.023226095904081586,0.018073145598419417,,,,,,,0.009594060054948374,0.01204876373227961,0.014625238885110695,,,,,,,,0.009594060054948374,,,,,,,,,,,,0.007681294636930856,,,,,,0.023712762741189598,,,,,,,,0.011856381370594799,0.023226095904081586,0.023226095904081586,0.018194917073919268,,,,,,,,,0.03182695292305247,0.03182695292305247,0.06365390584610495,0.03182695292305247,0.03182695292305247,0.03182695292305247,0.03182695292305247,0.023226095904081586,0.03182695292305247,0.03182695292305247,0.03182695292305247,0.023226095904081586,0.014625238885110695,0.014625238885110695,0.03182695292305247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,0.00958424387794969,,,,,,,,0.00958424387794969,0.02326742549903974,0.0289464589812352,0.0289464589812352,,,,,,,0.018862424907764453,,,,,,,,,,,,,,,,,,,,,,,0.0289464589812352,,,,,,,,,0.0289464589812352,0.0289464589812352,,0.0369506071201298,0.0369506071201298,,,,,,,,,,,,,0.02326742549903974,,,0.0369506071201298,0.018862424907764453,0.050633788741219855,0.050633788741219855,0.050633788741219855,0.0369506071201298,0.050633788741219855,0.050633788741219855,0.050633788741219855,0.050633788741219855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.031921026766986,0.031921026766986,,,,,,,,,,0.01621948963960717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031921026766986,,,,,,,,,,,,,,,,,,,,,,,,,0.039375643152221106,,,0.031921026766986,,,,,,,,,0.06253179666483505,0.06253179666483505,0.06253179666483505,0.08568795017744898,0.08568795017744898,0.04898631519901341,0.04898631519901341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,0.026356670664361648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10161416958035695,,,,,0.06398542012235929,,,,,,,,,,,,,0.10161416958035695,,,,,,,0.07960276219839679,0.07960276219839679,0.1392429190383546,0.1392429190383546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014935850682921109,,,,,,0.023054074887267663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023054074887267663,,,,,,,,,,,,,,0.035379005421509686,,,,,,0.04516185314682531,0.061885741794824256,0.061885741794824256,0.04516185314682531,0.061885741794824256,0.061885741794824256,0.061885741794824256,0.061885741794824256,0.061885741794824256,0.061885741794824256,0.061885741794824256,0.061885741794824256,0.061885741794824256,0.061885741794824256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,0.020987006370199568,,,,,,,,,0.013178335332180824,,,,,,,,0.013178335332180824,,,,,,,,,,,,,,,,,,,,,0.016802832018286248,,,,,,0.025935834248176123,,,,,,,,,,,0.039801381099198396,0.050807084790178474,0.050807084790178474,,,,,,,,,,,,,,,,,,,0.031992710061179645,,,,,,,,,,,,,,,,,,,,0.039801381099198396,0.039801381099198396,,,,,,,,,,,,,,,,,0.0696214595191773,0.0696214595191773,0.0696214595191773,0.0696214595191773,0.0696214595191773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.027097111888095184,0.027097111888095184,0.0276648898647212,0.0276648898647212,0.011193070064106437,0.027097111888095184,,,,,,,,0.007028445510496439,,,,,,,0.011193070064106437,0.007028445510496439,,,,,0.02122740325290581,0.02122740325290581,,,0.011193070064106437,0.0138324449323606,,,,,,,,,,,0.008961510409752665,0.027097111888095184,0.027097111888095184,,,0.027097111888095184,,,,,,,0.02122740325290581,0.027097111888095184,0.0138324449323606,,,,,,,,,,,,,,,,,,,,,,,,,0.01706277869929581,,,,,,,,,,,,,,,,,0.02122740325290581,0.02122740325290581,,,,,,,,0.027097111888095184,,,,,,,,,,,,,,,,0.03713144507689456,0.03713144507689456,0.03713144507689456,0.03713144507689456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
