,david,beckham,và,những,hợp,đồng,quảng,cáo,tuần,qua,thủ,quân,đội,tuyển,anh,cùng,ở,clb,real,đã,trở,thành,chiến,binh,thực,sự,trong,một,đoạn,phim,của,hãng,nước,giải,khát,pepsi,đây,cũng,là,nhãn,hiệu,mà,chàng,cầu,điển,trai,này,gắn,bó,từ,lâu,hiện,nay,với,kiếm,được,hằng,năm,250,000,bảng,nhưng,mới,chỉ,vô,vàn,các,trên,thế,giới,muốn,có,hình,ảnh,becks,thước,thiệu,sản,phẩm,họ,đang,nhiều,tiền,hơn,việc,tung,hoành,sân,cỏ,ngoái,thu,675,triệu,công,bên,lề,đó,cả,cổ,tức,nâng,mức,tổng,nhập,lên,11,tính,sơ,số,điện,thoại,di,động,vodafone,trước,brylcreem,mang,về,cho,khoảng,2,ngoài,ra,còn,1,sau,cam,kết,kính,râm,police,phần,mềm,rage,thông,sở,hữu,tên,tuổi,trò,chơi,tử,kể,khi,chuyển,sang,tây,ban,nha,vệ,vào,bản,trọn,đời,trị,giá,100,thời,trang,thể,thao,adidas,28,tài,năng,khuôn,mặt,đường,vận,viên,giàu,nhất,lịch,sử,khoản,thống,kê,bất,kỳ,bóng,đá,nào,huyền,làng,rổ,michael,jordan,chia,tay,nghiệp,đúng,bằng,điểm,đối,như,giai,sung,sức,thậm,chí,hoạt,thêm,6,nữa,phong,độ,đỉnh,cao,trợ,giúp,ngôi,sao,nhạc,pop,simon,fuller,cựu,cố,vấn,nhóm,spice,girls,vai,chuyên,gia,thương,mại,vợ,chồng,victoria,cơ,hội,bội,môn,mình,đóng,sẽ,lĩnh,vực,cô,rất,thích,nhìn,thấy,phục,xưa,hy,vọng,lúc,sắm,bộ,tương,tự,gladiator,haybraveheart
0,0.043374659519969314,0.021687329759984657,0.012643238653801984,0.03253099463997698,0.01484573894943963,0.02969147789887926,0.02969147789887926,0.02969147789887926,0.028528920570529682,0.021687329759984657,0.01484573894943963,0.028528920570529682,0.057057841141059364,0.028528920570529682,0.010843664879992328,0.028528920570529682,0.01484573894943963,0.028528920570529682,0.017685255690537357,0.01484573894943963,0.021687329759984657,0.021687329759984657,0.021687329759984657,0.021687329759984657,0.028528920570529682,0.017685255690537357,0.010843664879992328,0.008004148138894602,0.021687329759984657,0.017685255690537357,0.006841590810545028,0.017685255690537357,0.028528920570529682,0.028528920570529682,0.028528920570529682,0.017685255690537357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,0.03842426551619669,,,,,,,,,,,,,,,,,0.020716618712433087,,,,,,,,,0.07383955912372388,0.056131912319960287,0.03842426551619669,0.056131912319960287,0.056131912319960287,0.04577360296374374,0.04577360296374374,0.03842426551619669,0.056131912319960287,0.056131912319960287,0.03842426551619669,0.07383955912372388,0.07383955912372388,0.024127909711120544,0.07383955912372388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0.03670163497843557,,,0.050247116444257216,0.050247116444257216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059857788491049516,,,,,,,,,,,,,,0.03155188192992687,,0.050247116444257216,0.07340326995687114,0.02709096293164327,0.0427925000590221,0.0427925000590221,0.09655942346948508,0.059857788491049516,0.07340326995687114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.627636252551653,0.23856062735983122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,0.015391008216763305,,,,,,,,,,,,,,,,,,,,,,,0.015391008216763305,0.011360726390689111,,0.025101653238182052,0.019421290042837495,,,,,0.025101653238182052,,,0.02107137141210786,0.03078201643352661,0.03078201643352661,,,,,,,,,,,,,,,,,,,,,0.03078201643352661,0.03078201643352661,0.04049266145494535,0.04049266145494535,0.04049266145494535,0.025101653238182052,0.04214274282421572,0.03078201643352661,0.06156403286705322,0.04049266145494535,0.017945241960235073,0.04049266145494535,0.04049266145494535,0.03078201643352661,0.04049266145494535,0.04049266145494535,0.03078201643352661,0.04049266145494535,0.04049266145494535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.05301347274662915,0.026506736373314577,,,,,0.03628958409863021,0.03628958409863021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02278747028272496,,0.03628958409863021,,,0.030905694487071513,0.030905694487071513,,,,,,,,,,,,0.03628958409863021,,,,,,,,,,,,,0.03628958409863021,0.043230625021313536,0.01956569545063125,0.03628958409863021,0.043230625021313536,0.0697373613946281,0.0697373613946281,0.05301347274662915,0.05301347274662915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,0.014910039209989451,,,,,,,,,,,0.029820078419978902,,,,,,,,,,,,0.014910039209989451,,,,0.009407187364499412,,,,,,,,,,,,,,,,,,,0.01281795203403279,,,,,,0.017384453148977727,,0.024317226574488864,,,0.029820078419978902,,,,,,,,,,,0.017384453148977727,,,,,,,,,,,0.011005703690980077,,0.024317226574488864,,,,,0.03922726578447831,0.07845453156895663,0.03922726578447831,0.034768906297955454,0.03922726578447831,0.029820078419978902,0.03922726578447831,0.024317226574488864,0.03922726578447831,0.03922726578447831,0.03922726578447831,0.03922726578447831,0.03922726578447831,0.03922726578447831,0.03922726578447831,0.03922726578447831,0.03922726578447831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.024187065250751618,,0.028400544077188856,0.028400544077188856,0.028400544077188856,0.028400544077188856,,,,,,,,,,,,,,,,,,,,,,,,0.03383266306015842,,,,,,,,,,,,,,,,,,0.017833672395176053,,,,0.030624566792292387,,,,,,,,,,,,,0.03383266306015842,,,,,,,,,,,,,,,,0.015312283396146193,,,,,,,,,,,,,,0.03383266306015842,,,,,,,,,,0.054577065439274174,0.10915413087854835,0.041488804758231516,0.041488804758231516,0.041488804758231516,0.054577065439274174,0.024187065250751618,0.054577065439274174,0.054577065439274174,0.054577065439274174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,0.047712125471966245,,,,,,,,,,,,,,,,,,0.06532125137753438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047712125471966245,,,,,,,,,,,,,,,,,,,,,,,0.06532125137753438,,,,,,,,,0.05563025007672873,,,,,,,,,,,,,,,,,,,,,,,,0.12552725051033062,0.12552725051033062,0.09542425094393249,0.09542425094393249,0.12552725051033062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.015894357164779636,,,,,,,0.027264071698266425,,,,,0.027264071698266425,,,,,,,,,,,,,,,,0.00860085701897089,0.022232892868104103,,,,,,,,,,,,,,,,,,,,,,0.010062357660324641,0.015894357164779636,,,,,,0.013632035849133212,,,,,,0.022232892868104103,0.018663214679295534,,,,,,,,,,,,,,,,,0.022232892868104103,,,,,,,,0.015894357164779636,,,,,,,,,,,,,,,,,0.027264071698266425,,,,,,,,,,,,0.027264071698266425,0.035864928717237315,0.018663214679295534,0.035864928717237315,0.035864928717237315,0.035864928717237315,0.035864928717237315,0.035864928717237315,0.035864928717237315,0.035864928717237315,0.035864928717237315,0.035864928717237315,0.035864928717237315,0.035864928717237315,0.035864928717237315,0.035864928717237315,0.035864928717237315,0.022232892868104103,0.027264071698266425,0.035864928717237315,0.035864928717237315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
