,atp,tìm,giải,pháp,hạn,chế,tranh,cãi,về,doping,việc,các,tay,vợt,không,sử,dụng,chất,kích,thích,mà,vẫn,có,kết,quả,xét,nghiệm,dương,tính,đang,ngày,càng,nhiều,họ,ra,được,bằng,chứng,chạy,tội,cho,mình,ngoài,thừa,nhận,lẽ,đã,cẩn,thận,trong,những,thực,phẩm,bổ,trợ,và,hiệp,hội,quần,chuyên,nghiệp,quyết,định,vào,cuộc,tim,henman,andre,agassi,cùng,7,khác,một,nhóm,gia,y,tế,sẽ,giúp,tránh,nguy,cơ,bị,với,khi,hề,hầu,hết,khẳng,cung,cấp,loại,vitamin,thể,là,điều,rất,cần,thiết,vận,động,viên,lịch,thi,đấu,dày,đặc,nhưng,đó,cũng,nghĩa,vì,ai,kiểm,soát,sự,bất,công,trên,làm,nghiêm,túc,tại,australia,mở,rộng,gặp,đại,diện,cố,gắng,đặt,vị,trí,của,người,để,hiểu,thêm,hợp,nhất,biết,mark,miles,giám,đốc,hành,mặt,độ,ăn,kiêng,dinh,dưỡng,tạo,dẫn,tới,mặc,cường,cao,nhu,cầu,biệt,chính,thế,thường,khuyên,phải,khoáng,sung,ngăn,xuống,sức,do,thời,tiết,nóng,chuột,rút,bệnh,điểm,hiện,dám,liều,mạng,bởi,chúng,tôi,muốn,lý,luận,23,3,gian,diễn,miami,lần,họp
0,0.021180909222303604,0.014458219839989772,0.014458219839989772,0.017394886900839967,0.02651700798156667,0.017394886900839967,0.03563912906229338,0.03563912906229338,0.02651700798156667,0.02651700798156667,0.017394886900839967,0.012058788141576897,0.014458219839989772,0.012058788141576897,0.010030097546709832,0.012058788141576897,0.012058788141576897,0.014458219839989772,0.017394886900839967,0.017394886900839967,0.021180909222303604,0.03563912906229338,0.008272765820113262,0.02651700798156667,0.03563912906229338,0.017394886900839967,0.017394886900839967,0.014458219839989772,0.014458219839989772,0.021180909222303604,0.02651700798156667,0.03563912906229338,0.02651700798156667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.015904041823988746,,,,,,,,,0.03826875118184792,,,,0.02206621460276163,0.013264666955734587,0.013264666955734587,,,,,,0.009100042402124588,,,,,,,,,,,0.013264666955734587,0.01913437559092396,0.029168708779723336,0.039203041968522714,0.039203041968522714,0.039203041968522714,0.039203041968522714,0.015904041823988746,0.029168708779723336,0.039203041968522714,0.039203041968522714,0.039203041968522714,0.039203041968522714,0.029168708779723336,0.039203041968522714,0.039203041968522714,0.02329900014453396,0.02329900014453396,0.02329900014453396,0.039203041968522714,0.029168708779723336,0.039203041968522714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0582475003613349,,,,,,,,,,,,,0.033161667389336465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033161667389336465,0.09800760492130678,0.09800760492130678,0.09800760492130678,0.0478359389773099,0.09800760492130678,0.09800760492130678,0.07292177194930834,0.039760104559971865,0.0478359389773099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,0.00994850021680094,0.023856062735983122,0.01989700043360188,0.00827483047603561,0.00994850021680094,0.00994850021680094,0.011928031367991561,0.014350781693192972,0.014350781693192972,0.017474250108400473,,,,,,,0.011928031367991561,0.011928031367991561,,,,,0.00994850021680094,,,,,,,,,,,,,,,,,,,,,,0.00994850021680094,,,,0.014350781693192972,,,,0.011928031367991561,0.014350781693192972,0.021876531584792504,0.017474250108400473,0.029402281476392036,0.029402281476392036,0.029402281476392036,0.029402281476392036,0.017474250108400473,0.00827483047603561,0.017474250108400473,0.017474250108400473,0.021876531584792504,0.021876531584792504,0.014350781693192972,0.029402281476392036,0.029402281476392036,0.017474250108400473,0.014350781693192972,0.014350781693192972,0.011928031367991561,0.021876531584792504,0.021876531584792504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,0.017938477116491214,0.02487125054200235,0.014910039209989451,0.012435625271001175,,,,,,,,,0.008531289751991801,,,,,,,,,,,,,,,,,,0.014910039209989451,,,,,,,,,,,,,,,,,,,,,,0.027345664480990628,,,,,,,,,,0.010343538095044513,,,,,,,,,0.017938477116491214,,,0.027345664480990628,,0.03675285184549004,0.03675285184549004,0.03675285184549004,0.03675285184549004,0.03675285184549004,0.027345664480990628,0.027345664480990628,0.02184281263550059,0.02184281263550059,0.02184281263550059,0.02184281263550059,0.027345664480990628,0.03675285184549004,0.027345664480990628,0.027345664480990628,0.027345664480990628,0.03675285184549004,0.027345664480990628,0.027345664480990628,0.03675285184549004,0.027345664480990628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,0.013791384126726017,0.016580833694668232,0.016580833694668232,0.019880052279985932,0.02391796948865495,0.02391796948865495,,,0.02275010600531147,,,,,,,,,,,0.016580833694668232,,,,,,,0.019880052279985932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02912375018066745,0.02391796948865495,0.02391796948865495,,,,,,,,,,,,0.0582475003613349,0.02912375018066745,,,,,,,,,,,,0.02912375018066745,0.04900380246065339,0.04900380246065339,0.04900380246065339,0.03646088597465417,0.04900380246065339,0.04900380246065339,0.04900380246065339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,0.028065956159980143,0.028065956159980143,0.03376654516045405,0.05147419196421765,0.03376654516045405,,,,,0.03376654516045405,,,,,,,,,,,,,,,,,,,,,,,,0.03376654516045405,,,,,,,,,,,,,,,,,0.04111588260800111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04111588260800111,,,,,,,,,,,,,,,,,,,,,0.08223176521600221,0.06918183876798126,0.06918183876798126,0.06918183876798126,0.06918183876798126,0.06918183876798126,0.06918183876798126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,0.02094421098273882,0.02511164498524539,0.02094421098273882,,,,,,,,,0.014368488003354612,,,,,,,,,,,,,,,,,,,,,,,,0.04605585596798421,,,,,,,,,,,,,0.03021217198566941,,,,,0.03021217198566941,,,,,,,,,0.03678789496505362,0.03678789496505362,0.04605585596798421,0.04605585596798421,,,,,,,0.02511164498524539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04605585596798421,0.061899539950299017,0.04605585596798421,0.04605585596798421,0.061899539950299017,0.061899539950299017,0.061899539950299017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,0.011095843133015405,0.011095843133015405,0.013349564365760904,,,,,,,,,,,0.0076975167218935915,0.009254418806326456,0.009254418806326456,0.011095843133015405,0.013349564365760904,0.026699128731521807,0.016255116379907415,,0.006348866792179945,,,0.013349564365760904,0.013349564365760904,0.011095843133015405,0.011095843133015405,0.016255116379907415,,,,0.009254418806326456,,,,,,,0.011095843133015405,0.020350261939341863,,,,,,,,0.016255116379907415,,,,,,0.009254418806326456,,,,,,,,0.011095843133015405,0.013349564365760904,0.020350261939341863,0.016255116379907415,,,,,,0.0076975167218935915,,,,,,,,,,0.013349564365760904,0.011095843133015405,,0.020350261939341863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027350959512922823,0.027350959512922823,0.027350959512922823,0.027350959512922823,0.027350959512922823,0.027350959512922823,0.027350959512922823,0.020350261939341863,0.027350959512922823,0.020350261939341863,0.020350261939341863,0.027350959512922823,0.020350261939341863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.022547419494710286,,,,,0.01851713766863609,,,,0.02822778269005484,,,,,,,,,,,,,,,,0.01851713766863609,0.01851713766863609,0.015391008216763305,0.015391008216763305,,,,,,0.01851713766863609,,,,,,0.015391008216763305,,,,,,,,,,,,,,,0.012836774473291535,,,,,,,,,,,,,,,,,0.010677200614239497,,,,,0.01851713766863609,,,0.022547419494710286,0.01851713766863609,,0.015391008216763305,,,,,,,,,,,,0.022547419494710286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02822778269005484,0.03793842771147359,0.03793842771147359,0.03793842771147359,0.03793842771147359,0.03793842771147359,0.03793842771147359,0.02822778269005484,0.02822778269005484,0.02822778269005484,0.02822778269005484,0.02822778269005484,0.03793842771147359,0.03793842771147359,0.02822778269005484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
