,tim,henman,mất,điểm,trước,người,hâm,mộ,được,mời,tới,thăm,trường,tiểu,học,jumeirah,trong,thời,gian,tham,dự,giải,dubai,mở,rộng,nhưng,tay,vợt,anh,đã,từ,chối,thực,hiện,nghĩa,vụ,của,mình,sau,khi,thất,bại,ở,ngay,vòng,một,không,có,sự,thích,hợp,lý,nào,và,atp,phải,cử,federer,thay,thế,emily,kirton,cậu,bé,8,tuổi,giành,nhất,cuộc,thi,viết,về,thần,tượng,do,nhà,tổ,chức,btc,tài,trợ,xuất,bài,này,sẽ,chuyến,theo,sắp,xếp,tuy,nhiên,để,thua,qua,đấu,loại,ch,czech,hạng,149,giới,tối,thứ,hai,cho,biết,thể,vì,đặt,vé,bay,trở,vào,2h45,sáng,hôm,ba,toàn,bộ,sinh,các,bậc,phụ,huynh,vô,cùng,vọng,hiệu,trưởng,thông,báo,quyết,định,trên,lập,tức,gửi,thư,nhân,viên,quan,hệ,công,chúng,bắt,buộc,bất,kỳ,nán,lại,thêm,họ,trận,số,thành,cam,kết,đến,đó,chấp,thắng,hay,đồng,như,vậy,cả,hầu,hết,mọi,đều,gia,hoạt,động,khác,ra,là,giữ,lời,hứa,ấy,cũng,rạch,ròi,giấy,tờ,lẽ,đây,ngoại,lệ,rõ,ràng,chỉ,nói,gần,chắc,chắn,tôi,còn,vẫn,chưa,tán,thống,giữa,bên,dù,cụ,biện,pháp,chữa,cháy,tuyệt,vời,1,roger,buổi,giao,lưu,ngoài,mong,đợi,cứu,bàn,trông,thấy
0,0.03449379755160232,0.022206858953072475,0.026984067239467738,0.01724689877580116,0.026984067239467738,0.01947433692733316,0.026984067239467738,0.026984067239467738,0.020840597940202817,0.020840597940202817,0.020840597940202817,0.01271937327342654,0.0075097303121345795,0.020840597940202817,0.01724689877580116,0.01724689877580116,0.014697128640937895,0.020840597940202817,0.026984067239467738,0.01724689877580116,0.020840597940202817,0.006575903974161618,0.01724689877580116,0.01724689877580116,0.01724689877580116,0.01724689877580116,0.01271937327342654,0.01271937327342654,0.01271937327342654,0.005731155297463147,0.026984067239467738,0.026984067239467738,0.01271937327342654,0.014697128640937895,0.026984067239467738,0.026984067239467738,0.011103429476536237,0.020840597940202817,0.01724689877580116,0.00973716846366658,0.020840597940202817,0.026984067239467738,0.020840597940202817,0.020840597940202817,0.026984067239467738,0.0075097303121345795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,0.018954076160818782,,,,,,,,0.01651921232798201,,,,,,,,,,,,,,,,0.0216456932526232,0.024654665161292687,0.024654665161292687,0.049711649412603344,0.06006995876881988,0.04236231196505629,0.06006995876881988,0.032004002608839746,0.032004002608839746,0.04236231196505629,0.03666172296458238,0.0777776055725835,0.049711649412603344,0.06006995876881988,0.049711649412603344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0.01648691043485684,,,,,,,0.03094513027484661,0.03094513027484661,,0.01888634213326971,0.02230162335118754,0.03094513027484661,0.025609031515583542,0.025609031515583542,,,,,,0.00976422105254301,,,,,,,,,,,,,,,0.01648691043485684,0.03094513027484661,0.025609031515583542,0.014458219839989772,,,,,,0.01115081167559377,,,,,,,,,,,,,,,0.04006725135557331,0.04006725135557331,0.04006725135557331,0.04006725135557331,0.04006725135557331,0.04006725135557331,0.04006725135557331,0.025609031515583542,0.025609031515583542,0.03094513027484661,0.03094513027484661,0.025609031515583542,0.04006725135557331,0.04006725135557331,0.03094513027484661,0.025609031515583542,0.04006725135557331,0.04006725135557331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,0.03222192947339193,0.08450980400142569,0.08450980400142569,0.08450980400142569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08450980400142569,0.10211892990699381,,,,,0.10211892990699381,,,,0.06232492903979005,0.13222192947339192,0.13222192947339192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.03841354727337531,0.024730365652285258,,,,0.021687329759984657,,,,,,0.028329513199904566,0.016726217513390658,,,,0.03273451379117986,,,,,0.014646331578814514,,,,,,,,,,,,0.03273451379117986,,,0.024730365652285258,,,,,,,,,,,0.019051332170089804,0.03841354727337531,,,,,0.024730365652285258,,,,,,,,,,,,,,,,,0.046417695412269915,,,,,,,,0.028329513199904566,,,0.06010087703335997,0.06010087703335997,0.03841354727337531,0.046417695412269915,0.03841354727337531,0.06010087703335997,0.06010087703335997,0.06010087703335997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,0.011103429476536237,,,,0.00973716846366658,,,,,,0.01271937327342654,0.0075097303121345795,,,0.01724689877580116,,,,,,,,,,,0.01271937327342654,0.01271937327342654,0.02543874654685308,0.005731155297463147,,,0.01271937327342654,0.014697128640937895,,,,,0.03449379755160232,0.00973716846366658,,,,,,,0.008553659341672973,,,,,,,,,0.01271937327342654,,,,0.01724689877580116,,,,,,,,,,,,0.01724689877580116,,,,,,,,,,,,,,0.03449379755160232,,,,0.026984067239467738,0.026984067239467738,0.020840597940202817,0.01271937327342654,0.026984067239467738,0.020840597940202817,0.026984067239467738,0.026984067239467738,0.026984067239467738,0.026984067239467738,0.026984067239467738,0.026984067239467738,0.026984067239467738,0.01724689877580116,0.020840597940202817,0.03449379755160232,0.020840597940202817,0.01724689877580116,0.026984067239467738,0.026984067239467738,0.026984067239467738,0.026984067239467738,0.020840597940202817,0.020840597940202817,0.026984067239467738,0.020840597940202817,0.026984067239467738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,0.014910039209989451,,,,,,,0.011499274540456076,,0.026409313750445525,,,,,,,,,,,,0.01947654032493439,0.01947654032493439,0.01947654032493439,0.008775831549240444,,,,,,,0.017002126385946115,,,0.014910039209989451,0.031912165595935564,,,,,,,,,,,,,0.017002126385946115,,,,,,,,,,,,,,,,,,,,,,0.026409313750445525,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026409313750445525,,,,,,,,,,,,0.031912165595935564,,0.04131935296043498,0.04131935296043498,0.04131935296043498,0.04131935296043498,0.031912165595935564,0.04131935296043498,0.04131935296043498,0.04131935296043498,0.04131935296043498,0.04131935296043498,0.04131935296043498,0.04131935296043498,0.04131935296043498,0.04131935296043498,0.04131935296043498,0.04131935296043498,0.031912165595935564,0.031912165595935564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,0.10211892990699381,,0.03679767852945944,,,,,,,,,0.03222192947339193,,,,,,,,0.028082660957569422,,,,,,,,,,,,,,0.10211892990699381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10211892990699381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13222192947339192,0.13222192947339192,0.13222192947339192,0.13222192947339192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,0.011111010163238597,,,,,0.02149135484130691,0.02149135484130691,,0.009683676192265317,,,,,,,0.01876096704656123,,,0.016452457059298705,,,,,,0.012688854665330842,0.014452734749723301,,,0.03521342410585993,,,0.01876096704656123,,0.04966615885558323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02149135484130691,,,,,,,,,,,,,,0.029141311724629543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04559376878392825,0.03521342410585993,0.04559376878392825,0.04559376878392825,0.03521342410585993,0.04559376878392825,0.04559376878392825,0.03521342410585993,0.029141311724629543,0.03521342410585993,0.04559376878392825,0.03521342410585993,0.04559376878392825,0.04559376878392825,0.04559376878392825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,0.028169934667141894,,,,,,,,,,,,,,0.034039643302331266,,0.028169934667141894,0.034039643302331266,0.01074064315779731,,,,,,,,,,,,,,,,,,,,,0.06807928660466253,,,0.012265892843153148,,0.013970976924732523,,,,,0.018135601478342523,,,0.020774976346596682,,,,,,,,,,,,0.028169934667141894,,,,,,,,,,,,,,,,,,,,,,,,,0.020774976346596682,,,,,,,,,,,,0.028169934667141894,,,,,,,,,,,,,,,,0.06807928660466253,,,,,,,,,,,,0.034039643302331266,,,,,,,0.034039643302331266,,,,,,0.034039643302331266,0.028169934667141894,,,0.034039643302331266,,,,0.028169934667141894,0.028169934667141894,0.044073976491130644,0.044073976491130644,0.044073976491130644,0.044073976491130644,0.044073976491130644,0.044073976491130644,0.044073976491130644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
