,federer,lập,kỳ,tích,tại,dubai,tay,vợt,số,một,thế,giới,roger,đã,trở,thành,người,đầu,tiên,bảo,vệ,công,danh,hiệu,vô,địch,giải,quần,mở,rộng,thất,bại,ở,set,nhưng,anh,chiến,thắng,chung,cuộc,4,6,1,2,trước,feliciano,lopez,nhà,australia,khởi,rất,tệ,hại,và,sau,khi,để,thua,game,giao,bóng,lại,tiếp,tục,không,cơ,hội,giành,break,tỷ,đang,là,3,tuy,nhiên,càng,thi,đấu,chứng,tỏ,sức,mạnh,vào,thứ,hai,bắt,nhịp,được,trận,lần,của,đối,phương,bước,quyết,định,thống,trị,cuối,cùng,chỉ,điểm,trong,các,loạt,mình,thụy,sĩ,bày,sự,ngưỡng,mộ,với,thủ,tây,ban,nha,có,mặt,kết,khuôn,khổ,atp,tôi,thực,phải,tâm,lúc,nghĩ,cầm,chắc,ấy,tuyệt,vời,gây,khó,khăn,cho,may,mắn,đến,tuần,vừa,qua,thật,những,khoảng,thời,gian,vui,vẻ,cả,ngoài,sân,nói
0,0.025843099637074273,0.03062919662230074,0.03062919662230074,0.03062919662230074,0.021775373220418937,0.06125839324460148,0.021775373220418937,0.043550746440837874,0.021775373220418937,0.021775373220418937,0.03062919662230074,0.03062919662230074,0.03062919662230074,0.010071255318300184,0.03062919662230074,0.043550746440837874,0.03062919662230074,0.010071255318300184,0.012921549818537137,0.03062919662230074,0.03062919662230074,0.021775373220418937,0.03062919662230074,0.03062919662230074,0.021775373220418937,0.021775373220418937,0.021775373220418937,0.03062919662230074,0.021775373220418937,0.021775373220418937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,0.015564667310100287,,,,0.015564667310100287,0.019969667901375575,,,,,,,,,,,,0.04733603114355569,0.04733603114355569,0.019969667901375575,0.025648701383571025,0.03365284952246563,0.019969667901375575,0.025648701383571025,0.025648701383571025,0.03365284952246563,0.04733603114355569,0.025648701383571025,0.14200809343066706,0.04733603114355569,0.04733603114355569,0.04733603114355569,0.03365284952246563,0.04733603114355569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,0.01805762657303034,,,,,,,0.01805762657303034,,0.016703545405961282,0.010715431556835674,,,0.01805762657303034,,,0.01805762657303034,0.01805762657303034,,,0.01805762657303034,0.01805762657303034,,,0.021430863113671348,,,0.010715431556835674,,,,,0.013762717815574697,,,,,,,0.025399821589225005,0.025399821589225005,0.01805762657303034,0.01805762657303034,0.025399821589225005,0.025399821589225005,0.006420522799380034,0.025399821589225005,0.05079964317845001,0.013762717815574697,0.01805762657303034,0.01805762657303034,0.013762717815574697,0.013762717815574697,0.025399821589225005,0.025399821589225005,0.025399821589225005,0.025399821589225005,0.025399821589225005,0.025399821589225005,0.01805762657303034,0.025399821589225005,0.025399821589225005,0.025399821589225005,0.025399821589225005,0.025399821589225005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.03993933580275115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09467206228711138,0.09467206228711138,0.18934412457422276,0.06730569904493126,0.05129740276714205,0.09467206228711138,0.06730569904493126,0.09467206228711138,0.09467206228711138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015149403235526297,0.03891527106472845,,0.015149403235526297,0.019457635532364227,0.019457635532364227,,,,,,,,,,,,,,,,0.00907729085429591,,,0.019457635532364227,,0.025529747913594615,0.019457635532364227,0.019457635532364227,,,,,,,0.025529747913594615,,,,,,,,,,0.019457635532364227,,,,,0.07182018518332588,0.03591009259166294,0.07182018518332588,0.03591009259166294,0.03591009259166294,0.03591009259166294,0.03591009259166294,0.025529747913594615,0.025529747913594615,0.025529747913594615,0.03591009259166294,0.03591009259166294,0.025529747913594615,0.03591009259166294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.021966634691513134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021966634691513134,0.02821357152192813,,,,,,,0.02821357152192813,,,,,,,,,,,,,0.01316207173872907,,,0.02821357152192813,0.037018134474712194,,0.02821357152192813,0.02821357152192813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037018134474712194,,,,,,0.05206963425791126,0.05206963425791126,0.05206963425791126,0.05206963425791126,0.05206963425791126,0.05206963425791126,0.02821357152192813,0.05206963425791126,0.05206963425791126,0.05206963425791126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,0.014516915480279292,,0.014516915480279292,0.014516915480279292,,0.014516915480279292,,,,0.013428340424400246,,,,0.006714170212200123,0.008614366545691424,,,,,,,,0.014516915480279292,,,,,,,,,,0.011064145694873776,0.011064145694873776,0.014516915480279292,,,,,,,0.014516915480279292,,,,,0.014516915480279292,,,0.00516159676028591,,,,,,,,,,,,,,,,,,,,,,,0.014516915480279292,0.02212829138974755,,0.014516915480279292,,,,,,,,,,0.014516915480279292,,0.014516915480279292,,,0.014516915480279292,,,,,,,,0.011064145694873776,,,,0.02041946441486716,0.02041946441486716,0.02041946441486716,0.029033830960558584,0.02041946441486716,0.02041946441486716,0.014516915480279292,0.02041946441486716,0.02041946441486716,0.02041946441486716,0.02041946441486716,0.029033830960558584,0.02041946441486716,0.02041946441486716,0.02041946441486716,0.02041946441486716,0.02041946441486716,0.01722873309138285,0.014516915480279292,0.02041946441486716,0.02041946441486716,0.02041946441486716,0.02041946441486716,0.02041946441486716,0.02041946441486716,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,0.024458762915871877,,,,,,,,,,,,,,,,,,0.031380906702161614,,,,,,,,,,,,,,0.052883049249588844,,,,0.01880295962675581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052883049249588844,,,,,,,,,,,,,,0.031380906702161614,0.052883049249588844,,,,,,,0.07438519179701608,0.052883049249588844,0.052883049249588844,0.07438519179701608,0.07438519179701608,0.07438519179701608,0.07438519179701608,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,0.048917525831743754,,,,,,,,,,,,,,,,,,,,,0.10576609849917769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10576609849917769,,,,,,,,,,,0.06276181340432323,,,,,,,,,,,,,,,0.14877038359403216,0.14877038359403216,0.14877038359403216,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12339378158237398,0.12339378158237398,,,,,,,,0.17356544752637085,0.17356544752637085,0.17356544752637085,0.17356544752637085,,,,,,,,,,
