,tứ,kết,champions,league,nóng,bỏng,với,derby,london,chiều,nay,uefa,tiến,hành,bốc,thăm,chia,các,cặp,đấu,vòng,và,bán,của,giải,số,một,châu,âu,cấp,clb,theo,đó,chelsea,phải,đọ,sức,arsenal,trong,cuộc,nội,chiến,anh,quốc,đội,nào,thắng,sẽ,giáp,mặt,real,madrid,monaco,hai,còn,lại,là,ac,milan,deportivo,porto,lyon,5,tổng,8,vào,năm,chưa,lần,đoạt,chức,vô,địch,ứng,viên,nặng,ký,thậm,chí,bao,giờ,tới,danh,giá,nhất,lục,thì,khiến,chính,làng,bóng,đá,pháp,kinh,ngạc,khi,đầu,lịch,sử,giành,quyền,vượt,qua,cũng,đều,gây,bất,ngờ,không,nhỏ,góp,ở,mạnh,hứa,hẹn,tiếp,tục,sốc,mùa,trước,7,cựu,hoặc,đương,kim,valencia,đã,chung,lễ,ngoái,mỗi,tự,nhận,thấy,lá,may,rủi,họ,gặp,cứ,như,nhau,này,có,lý,do,để,mừng,chỉ,chạm,trán,dưới,cơ,quả,nguyên,tắc,ngẫu,nhiên,chọn,hạt,giống,phân,biệt,cùng,hay,khác,gia,toàn,tiên,hiện,cả,3,trận,tỷ,2,1,tại,ngoại,hạng,cup,fa,16,liên,vừa,giữa,trên,mọi,nếm,mùi,lợi,nhưng,bị,juventus,loại,liệu,phận,hồi,hè,thủ,đô,thời,trang,italy,đang,hướng,thứ,lượt,đi,diễn,ra,2h45,ngày,23,24,hà,về,6,4,cách,thế,người,hâm,mộ,thể,mơ,bộ,tuy,giới,chuyên,môn,khả,năng,rất,khó,xảy,cổ,động,tây,ban,nha,hy,vọng,được,chứng,kiến,1h45,20,21,26,sân,arena,aufschalke,gelsenkirchen,đức
0,0.030187072980973926,0.021880500437426235,0.03229525052842874,0.03229525052842874,0.04089610754739964,0.04089610754739964,0.023694393509457855,0.04089610754739964,0.04089610754739964,0.04089610754739964,0.023694393509457855,0.04089610754739964,0.04089610754739964,0.04089610754739964,0.027264071698266425,0.027264071698266425,0.03229525052842874,0.023694393509457855,0.016750449261278014,0.03732642935859107,0.018663214679295534,0.023694393509457855,0.020925535994941957,0.027264071698266425,0.027264071698266425,0.023694393509457855,0.023694393509457855,0.023694393509457855,0.027264071698266425,0.04089610754739964,0.023694393509457855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,0.05923598377364464,,,,,,,,,,,,,,,,,,,,,,,,,0.06816017924566606,0.05923598377364464,0.05231383998735489,0.05923598377364464,0.10224026886849909,0.10224026886849909,0.05231383998735489,0.04187612315319503,0.08073812632107186,0.06816017924566606,0.08073812632107186,0.08073812632107186,0.08073812632107186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,0.039084381609648694,,,,,,,,,,,,0.055286918188735,,,,0.055286918188735,,,,0.039084381609648694,,,0.07535558456633373,,,0.025998071933384152,0.07535558456633373,0.09765250130972913,0.07535558456633373,0.09542425094393249,0.06361616729595498,0.039084381609648694,0.04354750091835625,0.04354750091835625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0377338412262174,0.01823375036452186,,,,,,,,,,,,,,,,,0.04187612315319503,0.046658036698238835,,0.05923598377364464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05231383998735489,0.05923598377364464,0.08073812632107186,0.05231383998735489,0.05923598377364464,0.05923598377364464,0.05231383998735489,0.05923598377364464,0.05231383998735489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.026413688858352186,0.012763625255165304,,,,,,,,,0.04146518864155125,,,,,,,,,,,,,,,0.04146518864155125,0.04146518864155125,0.04146518864155125,0.047712125471966245,,,,,,,,,,0.029313286207236524,,,,,,0.019498553950038116,,,,,,,,,,,,,,,,,,0.04146518864155125,0.07156818820794937,0.047712125471966245,0.03266062568876719,0.047712125471966245,0.047712125471966245,0.04146518864155125,0.07156818820794937,0.05651668842475031,0.036619687991148425,0.036619687991148425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,0.01109880456970896,,,,,,,,,,,,,,,,,,0.028400544077188856,,,0.03184320694882472,0.041488804758231516,0.041488804758231516,,,0.03605668577526196,,,,,,,,,,0.03184320694882472,,,,,,,,,,,,,,,,,0.03605668577526196,,,,,,,,,,,0.028400544077188856,,0.041488804758231516,,,,,,0.06223320713734728,0.049144946456304614,0.06223320713734728,0.06223320713734728,0.06223320713734728,0.06223320713734728,0.06223320713734728,0.049144946456304614,0.03605668577526196,0.06223320713734728,0.06223320713734728,0.049144946456304614,0.06223320713734728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,0.027217188073972654,,,,,,,,,,0.03455432386795937,,,,0.03455432386795937,,,,0.024427738506030434,,,,,,,,,,,,,,,0.030516406659290354,,,,,,,,0.030516406659290354,,,,,,,0.03455432386795937,,,,,,,,,,,,,,,,,,0.059640156839957804,0.04709724035395858,0.059640156839957804,0.059640156839957804,0.03455432386795937,0.04709724035395858,0.04709724035395858,0.059640156839957804,0.059640156839957804,0.027217188073972654,0.04709724035395858,0.04709724035395858,0.04709724035395858,0.059640156839957804,0.059640156839957804,0.04709724035395858,0.039760104559971865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,0.025123558222128608,0.031896298955039426,,,,,,,,,,,,,,,,,,,,,,,0.014998887653875474,,,,,0.03670163497843557,,,0.025123558222128608,,,,,,,0.028168990762421867,0.031896298955039426,,,,0.03670163497843557,,,,,,,,,,,,,,,,,,,,0.043474375711346394,,,,,,,,,,,0.025123558222128608,,,,,,,,0.028168990762421867,0.031896298955039426,0.11010490493530672,0.043474375711346394,0.05505245246765336,0.043474375711346394,0.05505245246765336,0.05505245246765336,0.028168990762421867,0.05505245246765336,0.05505245246765336,0.05505245246765336,0.043474375711346394,0.05505245246765336,0.05505245246765336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.025155894150811604,0.012155833576347908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039490655849096425,,,,,,0.05583483087092671,,,,,,0.01857005138098868,,,,,,,,,,,,0.03487589332490326,,,,,,,,0.04544011949711071,0.03110535779882589,,,,,,0.03487589332490326,0.03487589332490326,,,,,,,,,,,,,,,,,,,,,,,0.03110535779882589,,,,,,,,,0.039490655849096425,,,,,,,0.03487589332490326,,,,,,,0.03487589332490326,0.04544011949711071,0.04544011949711071,0.06816017924566606,0.06816017924566606,0.04544011949711071,0.04544011949711071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,0.01701816700688707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055286918188735,,0.055286918188735,,,,,,,,,,,,,,,,,,,,,0.04882625065486457,0.055286918188735,0.07535558456633373,0.04882625065486457,,,,,,,,,0.04354750091835625,,,0.055286918188735,,,,,,,,,,,,,0.055286918188735,,,,,,,,,,,,,,0.04354750091835625,,,,,,,,0.04882625065486457,,,,,,,,,,,,,,,,,,,,,,0.09542425094393249,0.07535558456633373,0.055286918188735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
