,arsenal,vẫn,bất,khả,chiến,bại,đêm,thứ,bảy,đội,bóng,thành,london,đã,giành,thắng,lợi,2,0,dù,phải,làm,khách,đối,thủ,khó,chịu,là,blackburn,gặp,không,ít,khăn,trong,hiệp,một,nhưng,chứng,tỏ,đẳng,cấp,của,mình,hai,với,bàn,henry,và,pires,nhờ,đó,họ,chưa,lần,thua,sau,28,vòng,mùa,này,những,chàng,pháo,du,đấu,mà,có,sự,góp,mặt,cầu,trụ,cột,bị,chấn,thương,bergkamp,ljungberg,vì,vậy,hình,xuất,phát,ông,wenger,bố,trí,tân,binh,reyes,đá,cặp,còn,tiền,vệ,gilberto,silva,lấp,chỗ,trống,ở,bên,hành,lang,ưu,thế,khán,giả,nhà,nhập,cuộc,đầy,quyết,tâm,nhằm,cản,bước,tiến,gã,khổng,lồ,tranh,chấp,liệt,áp,sát,để,hạn,chế,lối,chơi,kỹ,thuật,phương,công,pháp,đầu,trận,nếu,hậu,ashley,cole,kịp,phá,ngay,trước,vạch,môn,cú,đánh,short,phút,5,chủ,sớm,mở,tỷ,số,cũng,chỉ,tạo,thêm,được,pha,nguy,hiểm,đồng,thời,cơ,hội,rõ,ràng,nhất,45,tiên,khi,đạo,andy,buộc,jens,lehmann,trổ,hết,tài,năng,kháng,cự,từ,phía,dần,vượt,trội,phối,hợp,nhanh,đẹp,mắt,chính,xác,trên,khắp,sân,friedel,vất,vả,chặn,xuyên,thủng,lưới,tuy,nhiên,nhận,trọng,cho,răng,người,vào,tiếp,tục,thi,tập,trung,chống,trả,khoan,nhượng,càng,lúc,ra,rồi,liên,kết,thúc,suýt,bảybirmingham,leicester,1blackburn,2bolton,chelsea,2charlton,middlesbrough,1,0everton,portsmouth,0fulham,leeds,0chủ,nhậtman,city,mu,21hsouthampton,liverpool,23htottenham,newcastle,22hwolves,aston,villa,19h30,sang,như,điều,giúp,giảm,bớt,sức,ép,đến,57,craig,phạm,lỗi,ngoài,khu,cấm,địa,bến,cánh,trái,đích,thân,tuyển,thực,hiện,sút,phạt,đưa,góc,cao,theo,hướng,tấn,bay,tầm,thể,chạm,tay,dẫn,khoảng,3,chấm,dứt,mọi,hy,vọng,điểm,robert,cận,ấn,định,dọc,khung,lượt,duy,trì,cách,9,đứng,70,61,sẽ,san,bằng,viếng,thăm,man,nhật,neill,todd,babbel,84,gray,emerton,tugay,andresen,douglas,gresko,77,jansen,yorke,73,lauren,toure,campbell,edu,vieira,cygan,89,clichy,ngoại,hạng,anh,13,tt,h,s,1arsenal,37,2chelsea,29,3mu,27,26,58,4charlton,543,5newcastle,10,42,6birmingham,042,7liverpool,939,8fulham,339,9aston,037,tottenham,4,34,11,6,12,bolton,southampton,033,14,everton,32,15,7,16,17,18,24,19,wolves,20,22
0,0.01699708696216877,0.04990200108076618,0.04990200108076618,0.04990200108076618,0.03952165640269786,0.04990200108076618,0.03952165640269786,0.025799587138144838,0.03952165640269786,0.02306919934339916,0.01876096704656123,0.025799587138144838,0.04990200108076618,0.020760689356136633,0.03952165640269786,0.02306919934339916,0.03952165640269786,0.03344954402146748,0.029141311724629543,0.04990200108076618,0.025799587138144838,0.04990200108076618,0.04990200108076618,0.03344954402146748,0.020760689356136633,0.03952165640269786,0.03952165640269786,0.029141311724629543,0.01699708696216877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.017604125782246224,,,,,,,,,,,,,0.021502142547427227,,0.023893099319949127,,,,,,,,,,0.04093314413136564,,,,0.04093314413136564,0.023893099319949127,0.051684215405079253,0.051684215405079253,0.06036414571530405,0.06036414571530405,0.030182072857652027,0.030182072857652027,0.04093314413136564,0.03464417059366274,0.051684215405079253,0.051684215405079253,0.03193985938158708,0.04093314413136564,0.06036414571530405,0.01596992969079354,0.030182072857652027,0.026721000964507153,0.019431001583938415,0.030182072857652027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08186628826273128,,,,,,,,,0.06036414571530405,,,,,,0.03193985938158708,,,,,,,,0.10336843081015851,0.06928834118732548,0.06036414571530405,0.10336843081015851,0.06928834118732548,0.10336843081015851,0.043004285094854454,0.06036414571530405,0.08186628826273128,0.10336843081015851,0.047786198639898254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,0.026721000964507153,0.04093314413136564,,,,,,,,,,,,,,,,0.043004285094854454,,,0.030182072857652027,,,0.023893099319949127,,,,,,,,,,,0.01596992969079354,,0.030182072857652027,,,,0.019431001583938415,,,,,,,,,,,,0.023893099319949127,0.030182072857652027,0.051684215405079253,0.051684215405079253,0.051684215405079253,0.023893099319949127,0.051684215405079253,0.03464417059366274,0.04093314413136564,0.051684215405079253,0.04093314413136564,0.03464417059366274,0.051684215405079253,0.04093314413136564,0.051684215405079253,0.051684215405079253,0.051684215405079253,0.051684215405079253,0.051684215405079253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,0.020906461904955487,,,,0.018814374728998825,,,,,,,0.02338087584394376,,,,,,,,,,,,,0.026409313750445525,,,,,,,,,,,0.01397368847944435,,0.02338087584394376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035816501114944936,0.04522368847944435,0.04522368847944435,0.04522368847944435,0.04522368847944435,0.04522368847944435,0.04522368847944435,0.04522368847944435,0.04522368847944435,0.04522368847944435,0.04522368847944435,0.0303136492694549,0.035816501114944936,0.035816501114944936,0.035816501114944936,0.0303136492694549,0.035816501114944936,0.035816501114944936,0.0303136492694549,0.04522368847944435,0.04522368847944435,0.04522368847944435,0.026409313750445525,0.035816501114944936,0.04522368847944435,0.04522368847944435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02464577609514472,,,,,,,,,,,,,0.022357901567110962,,,0.022357901567110962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07235790156711096,0.07235790156711096,0.07235790156711096,0.07235790156711096,0.048501838831127846,0.07235790156711096,0.07235790156711096,0.07235790156711096,0.048501838831127846,0.07235790156711096,0.07235790156711096,0.0573064017839119,0.07235790156711096,0.07235790156711096,0.07235790156711096,0.07235790156711096,0.07235790156711096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,0.05389093203458649,,,,,,,,,,,,,,,,,,0.02484211285234551,,,,,,,,,,0.046949891111903154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0636737797599021,,,,,,,,,,,,,,,,,,,,,,0.05389093203458649,,,,,,,,,0.0636737797599021,0.0636737797599021,0.0636737797599021,0.08039766840790107,0.08039766840790107,0.08039766840790107,0.08039766840790107,0.08039766840790107,0.08039766840790107,0.08039766840790107,0.0636737797599021,0.0636737797599021,0.08039766840790107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,0.05755292515432311,,0.04631230702522788,,,,,,,,,,,,,,,0.037916578607914954,,,,,,,,,,,,,,,,0.03439677164170917,,,0.04185138802694428,,,,,,,,,,,,0.05146206007373658,,,,,0.10292412014747317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06500754153955822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07461821358635053,0.06500754153955822,0.05755292515432311,0.07461821358635053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,0.022005530206064716,,0.0196766700281934,0.016002001304419873,,,0.0177076468037636,,,,,,,,,,,,,,,,,0.0196766700281934,,,,,,,,,,,0.013151706804182917,,,,0.024855824706301672,,,,,,,,,,0.0177076468037636,,,,,,,,,,,0.0285304934300752,,,,0.0285304934300752,,,,,,,,,,,,,,,,,,,,,,,,0.03370964810818347,,,,,,0.024855824706301672,,,,,,,,0.0285304934300752,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022005530206064716,,0.03370964810818347,0.04256347151006527,0.04256347151006527,0.0285304934300752,0.04256347151006527,0.04256347151006527,0.04256347151006527,0.03370964810818347,0.04256347151006527,0.024855824706301672,0.0285304934300752,0.04256347151006527,0.0285304934300752,0.0196766700281934,0.03370964810818347,0.0285304934300752,0.04256347151006527,0.04256347151006527,0.04256347151006527,0.03370964810818347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,0.011575915837239907,0.015918894191621284,,,,,,,,,0.015918894191621284,,,,0.012809787049531115,,,0.017980809362005464,0.010487564295806263,,,,,0.03596161872401093,0.017980809362005464,0.03596161872401093,0.017980809362005464,,,,,0.009514000666855727,,,,,,,,,0.020639080353671423,0.017980809362005464,,,,0.012809787049531115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020639080353671423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015918894191621284,,,,,0.020639080353671423,,,,,,,,,,0.014234186828905863,,,,,,,0.020639080353671423,0.020639080353671423,0.03079059641153658,0.03079059641153658,0.017980809362005464,0.020639080353671423,0.020639080353671423,0.020639080353671423,0.03079059641153658,0.03079059641153658,0.03079059641153658,0.03079059641153658,0.03079059641153658,0.03079059641153658,0.03079059641153658,0.02438570288677102,0.02438570288677102,0.014234186828905863,0.02438570288677102,0.03079059641153658,0.02438570288677102,0.03079059641153658,0.02438570288677102,0.03079059641153658,0.02438570288677102,0.02438570288677102,0.03079059641153658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
