,giả,gái,để,tạo,xì,căng,đan,quang,hà,biến,thành,nữ,ca,sĩ,trong,một,video,clip,do,trung,tâm,băng,đĩa,hải,ngoại,sản,xuất,lại,thêm,công,khai,trên,các,nhạc,đó,là,người,từng,được,biết,đến,với,nhiều,giai,thoại,và,làng,mặc,tới,gần,chục,chiếc,đầm,hoa,như,cô,điệu,đà,nhảy,múa,tình,đôi,ta,ở,phát,hành,đã,khiến,khán,mệt,mỏi,vì,những,gì,anh,thể,hiện,điều,đáng,nói,đây,hình,ảnh,không,phục,vụ,cho,nội,dung,khúc,mà,chính,sự,lố,bịch,của,trẻ,này,góp,gam,màu,tối,lòng,chúng,về,nam,giàu,tính,tượng,có,lạ,lẫm,giới,nghệ,ít,rất,ấn,thế,nhưng,đều,vai,diễn,thực,cần,hy,sinh,thuật,riêng,đối,trường,hợp,thì,còn,dù,khá,luôn,dạng,“tiềm,năng”,chưa,chú,ý,phần,cách,ăn,phản,cảm,top,trang,lòe,loẹt,diêm,dúa,khác,dòng,thị,quá,bão,hòa,gương,mặt,nổi,bật,khi,đa,số,cố,gắng,thay,đổi,bằng,bộ,phong,vẫn,tiếp,tục,đi,theo,đường,cũ,càng,bị,lãng,quên,nhanh,hơn,sau,xem,rút,ra,nhận,xét,rằng,cái,tên,sẽ,nhắc,bàn,tán,bao,giờ,hết,chỉ,âm,thời,gian,sô,hài,đài,truyền,vn,mật,độ,nhân,vật,đồng,bóng,năng,lảm,nhảm,ngôn,từ,chua,ngoa,õng,ẹo,cũng,điển,viên,lý,tự,long,lạm,dụng,ngữ,phận,thuộc,thứ,ba,nên,tiếng,cười,mấy,sạch,vết,gợn,lẽ,phép,chương,trình,lượng,khổng,lồ
0,0.009407187364499412,0.011881601303487688,0.009407187364499412,0.009407187364499412,0.03372441393898828,0.03372441393898828,0.03372441393898828,0.014110781046749118,0.014110781046749118,0.01686220696949414,0.012158613287244432,0.012158613287244432,0.017822401955231534,0.009407187364499412,0.009407187364499412,0.014110781046749118,0.012158613287244432,0.018814374728998825,0.009407187364499412,0.012158613287244432,0.012158613287244432,0.012158613287244432,0.012158613287244432,0.012158613287244432,0.012158613287244432,0.01686220696949414,0.009407187364499412,0.01686220696949414,0.012158613287244432,0.005940800651743844,0.01686220696949414,0.012158613287244432,0.004703593682249706,0.011881601303487688,0.009407187364499412,0.005940800651743844,0.012158613287244432,0.01686220696949414,0.005940800651743844,0.01686220696949414,0.012158613287244432,0.0074550196049947256,0.0074550196049947256,0.01686220696949414,0.01686220696949414,0.0036575500942713744,0.01686220696949414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.005789038378153485,0.007311754648300116,,,,,,0.005789038378153485,0.005789038378153485,,,,,,0.005789038378153485,0.01157807675630697,0.014964447122762379,0.01157807675630697,0.01157807675630697,0.014964447122762379,0.014964447122762379,0.014964447122762379,0.014964447122762379,0.014964447122762379,0.014964447122762379,,,,,,,,,0.014623509296600232,,,,,,,,,,,,0.004501600116026307,,0.01157807675630697,0.020753485500915863,0.014964447122762379,0.020753485500915863,0.020753485500915863,0.020753485500915863,0.020753485500915863,0.020753485500915863,0.020753485500915863,0.014964447122762379,0.014964447122762379,0.020753485500915863,0.020753485500915863,0.014964447122762379,0.014964447122762379,0.029928894245524758,0.009175408744608893,0.041506971001831726,0.020753485500915863,0.009003200232052614,0.020753485500915863,0.01157807675630697,0.020753485500915863,0.020753485500915863,0.020753485500915863,0.005789038378153485,0.009175408744608893,0.020753485500915863,0.014964447122762379,0.009175408744608893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,0.015563025007672872,0.022812674502696362,0.012041199826559249,0.006020599913279624,0.006020599913279624,,,,,,,,,,,,,0.015563025007672872,0.007604224834232121,,,0.006020599913279624,,0.012041199826559249,0.007604224834232121,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009542425094393249,,,0.004681664120667359,,,,,,0.006020599913279624,0.009542425094393249,,,,0.021583624920952497,0.021583624920952497,0.012041199826559249,0.015563025007672872,0.015208449668464241,0.043167249841904995,0.006020599913279624,0.012041199826559249,0.021583624920952497,0.015563025007672872,0.021583624920952497,0.021583624920952497,0.021583624920952497,0.015563025007672872,0.021583624920952497,0.009542425094393249,0.021583624920952497,0.021583624920952497,0.007604224834232121,0.015563025007672872,0.009542425094393249,0.021583624920952497,0.021583624920952497,0.021583624920952497,0.021583624920952497,0.021583624920952497,0.015563025007672872,0.021583624920952497,0.009542425094393249,0.021583624920952497,0.012041199826559249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.01308826068104266,0.016530923552678524,,0.01308826068104266,,,,,,,0.01691633153007921,,,0.01308826068104266,,,,,,,,,,,,,,,,0.008265461776339262,,,,,0.01308826068104266,0.008265461776339262,,,0.008265461776339262,,,0.010372201189557879,,,,0.005088765348551477,,,,,,,,,,,,,,,,,,,,,0.005088765348551477,,,,,,0.00654413034052133,0.010372201189557879,,,0.010372201189557879,,,,,,,0.01308826068104266,,,0.01691633153007921,,,,,,0.020744402379115758,,,,,,,,,,,,,0.010372201189557879,,,0.03383266306015842,0.01308826068104266,0.02346046187060054,0.02346046187060054,0.01691633153007921,0.07038138561180163,0.02346046187060054,0.01691633153007921,0.02346046187060054,0.02346046187060054,0.01308826068104266,0.01691633153007921,0.01691633153007921,0.01308826068104266,0.01308826068104266,0.02346046187060054,0.02346046187060054,0.02346046187060054,0.02346046187060054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.043004285094854454,,,,,0.021502142547427227,0.021502142547427227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03408008962283303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03408008962283303,,,,,,0.043004285094854454,,,,0.021502142547427227,,,,,,,,,,,,0.027157945836543285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07708437471768749,0.07708437471768749,0.05558223217026026,0.07708437471768749,0.05558223217026026,0.07708437471768749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,0.015208449668464241,0.012041199826559249,,,,,,,,,,,,,0.024082399653118498,,,,,,,,,,,,0.015208449668464241,,,,0.019084850188786497,,,0.009363328241334718,,0.024082399653118498,,,,,,,,,,,,,,,,0.019084850188786497,,,0.009363328241334718,,,,,,,,,,0.019084850188786497,,,,,,,,,,,,,,,,0.019084850188786497,,,,0.031126050015345744,0.019084850188786497,,,,,,,,,,,,,,,,,,,,,0.024082399653118498,,,,0.024082399653118498,,,,,,,,,,,0.043167249841904995,0.043167249841904995,0.06225210003069149,0.043167249841904995,0.043167249841904995,0.043167249841904995,0.043167249841904995,0.043167249841904995,0.043167249841904995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,0.00654413034052133,0.00654413034052133,,,,0.008265461776339262,0.00654413034052133,0.00654413034052133,0.01308826068104266,,,0.01308826068104266,,,,,,,,,,,,,,,0.008265461776339262,,0.016530923552678524,,,,,,,,,,,,0.01308826068104266,,,,,,,,,,,,,,,,0.010372201189557879,,,0.005088765348551477,,,,,,0.00654413034052133,,,,,,,,,,,0.00654413034052133,0.01308826068104266,,,,,,0.01691633153007921,,0.010372201189557879,,,,,,,,,,,,,0.010372201189557879,,,,0.01308826068104266,,,,,,,,,,,,,0.01308826068104266,,,,,,,0.01691633153007921,,,,,,0.01691633153007921,,,,,,,0.04692092374120108,0.01691633153007921,0.02346046187060054,0.02346046187060054,0.02346046187060054,0.02346046187060054,0.01691633153007921,0.02346046187060054,0.02346046187060054,0.02346046187060054,0.02346046187060054,0.02346046187060054,0.02346046187060054,0.02346046187060054,0.01308826068104266,0.02346046187060054,0.02346046187060054,0.02346046187060054,0.02346046187060054,0.02346046187060054,0.02346046187060054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,0.006841590810545028,0.006841590810545028,,,,0.008641164584354682,0.006841590810545028,0.006841590810545028,,,,,,,,,,,,,,,0.008641164584354682,,,0.006841590810545028,,,,,,,,,,,,,0.010640145728789453,,,,,,,,,,,,,,,,,,,,,0.005320072864394726,,,,,,0.006841590810545028,,,,,,,,,0.008641164584354682,,,0.013683181621090055,,,,,,,,,,,,,,,,,,,0.017685255690537357,,0.021687329759984657,,0.013683181621090055,0.017685255690537357,,,,,,,,,,,,,,,,,,,,,,,0.017685255690537357,,,,,,,,,,,,0.017685255690537357,,,,,0.017685255690537357,,,,,,,,,,,,,,,0.017685255690537357,0.024526846501082385,0.024526846501082385,0.024526846501082385,0.024526846501082385,0.024526846501082385,0.024526846501082385,0.024526846501082385,0.013683181621090055,0.024526846501082385,0.024526846501082385,0.024526846501082385,0.024526846501082385,0.024526846501082385,0.024526846501082385,0.024526846501082385,0.024526846501082385,0.024526846501082385,0.024526846501082385,0.024526846501082385,0.024526846501082385,0.024526846501082385,0.017685255690537357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0158436839823148,0.010005558992410684,,,,,,0.0079218419911574,0.0079218419911574,,,,,,,,,0.0158436839823148,,,,,,,,,,,,,,,,0.010005558992410684,,,,,0.010005558992410684,,0.020477664483780095,0.012555822492622696,0.02511164498524539,,,0.006160084369299157,,,,,,,,,,,,,,,0.020477664483780095,0.020477664483780095,0.020477664483780095,,,,,,0.0158436839823148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012555822492622696,,,,,,,,,,,,,,,,,,0.020477664483780095,,,,0.020477664483780095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020477664483780095,,,,,,,,,,,,,,,,,,,,,,0.020477664483780095,0.028399506474937497,0.028399506474937497,0.028399506474937497,0.020477664483780095,0.028399506474937497,0.028399506474937497,0.028399506474937497,0.028399506474937497,0.028399506474937497,0.028399506474937497,0.028399506474937497,0.028399506474937497,0.028399506474937497,0.028399506474937497,0.028399506474937497,0.028399506474937497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.006143469299264922,0.007759413096155224,,,,,,,,,,,,,0.006143469299264922,0.006143469299264922,,,,,,,,,,,0.012286938598529844,,,,,0.015880637762931502,0.006143469299264922,0.007759413096155224,,,,,,,,,0.00973716846366658,,,0.004777208286395264,,,,0.015880637762931502,,,,,,,0.015880637762931502,0.015880637762931502,,,,,,,,,,,,,,,,,,,0.00973716846366658,,,0.012286938598529844,0.015880637762931502,0.007759413096155224,,0.006143469299264922,,,,,,,,,,,,0.015518826192310448,,,,,,,,,,,,,,,,,,,,,,,0.012286938598529844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02457387719705969,,,,,,,,,,,,,,,0.012286938598529844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022024107062196426,0.022024107062196426,0.022024107062196426,0.022024107062196426,0.022024107062196426,0.022024107062196426,0.022024107062196426,0.015880637762931502,0.022024107062196426,0.022024107062196426,0.022024107062196426,0.022024107062196426,0.022024107062196426,0.022024107062196426,0.022024107062196426,0.022024107062196426,0.022024107062196426,0.022024107062196426,0.015880637762931502,0.022024107062196426,0.022024107062196426,0.022024107062196426,0.022024107062196426,0.022024107062196426,0.022024107062196426,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029247018593200464,,,0.02315615351261394,,,0.029247018593200464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029247018593200464,,,,,,,,,,,,,,0.029247018593200464,,,,,,,,,,,,,,,,,,,,,,,,,0.059857788491049516,0.09262461405045576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08301394200366345,0.059857788491049516,0.08301394200366345,0.08301394200366345,0.08301394200366345,,,,,,,,,,,,,,,,,,,,,
