,ca,sĩ,phương,anh,“không,bước,chân,vào,ngõ,tối”,“đã,có,lúc,tôi,nghĩ,mình,sai,lầm,khi,làng,giải,trí,và,thấy,nản,lòng,đến,mức,thể,buông,xuôi,mọi,thứ,nhưng,nhận,khán,giả,gia,đình,ủng,hộ,kỳ,vọng,nhiều,không,cho,phép,từ,bỏ,niềm,đam,mê”,sỹ,tâm,sự,nhạc,phú,quang,từng,xét,tố,chất,của,một,tốt,“giống,thanh,lam,thời,đầu”,sao,bị,so,sánh,với,“diva”,này,rất,hâm,mộ,chị,vinh,dự,ðược,ấy,đang,ở,giai,đoạn,khởi,đầu,nên,phải,học,tập,sau,dứt,khoát,sẽ,tìm,tòi,sáng,tạo,rèn,luyện,để,những,nét,riêng,biên,chế,đoàn,nghệ,thuật,hải,quân,phòng,tách,ra,dựng,nghiệp,khó,gì,hoàn,toàn,may,mắn,là,luôn,điều,kiện,hòa,nhập,đời,sống,ngoài,phạm,vi,hoạt,động,xa,quê,nơi,phồn,hoa,theo,hát,“nương,nhờ”,ai,năm,16,tuổi,hà,nội,người,thân,quen,tự,tính,kiên,trì,nhẫn,nại,nếu,ý,muốn,hỏi,chuyện,đại,nào,đứng,thì,câu,trả,lời,nói,hai,con,đường,bên,khăn,tối,đầy,hào,vật,thà,vất,vả,thẳng,còn,hơn,vì,chút,lợi,lộc,trước,mắt,mà,làm,hoen,ố,tương,lai,lập,hẳn,cũng,chứ,đã,mê,quãng,gian,“rã,rời”,đó,qua,hay,vẫn,hiện,diện,lọt,chung,kết,mai,điểm,hẹn,do,nữa,giờ,tên,được,khẳng,định,hứng,tin,rằng,chọn,đúng,phía,chặng,dài,đủ,biến,ước,mơ,thành,thực,thuận,tình,cảm,chia,sẻ,buồn,vui,yêu,hết,“bắt,hình,dong”,ta,mất,sửa,chữa,album,“giấc,mơ”,vol,1,tư,cd,nhà,tài,trợ,dư,dả,tiền,bạc,thật,chắt,chiu,nhờ,bạn,bè,giúp,đỡ,sản,phẩm,âm,danh,tiếng,cần,nó,đánh,đổi,nhân,cách,quá,khát,khao,nổi,chỉ,phụ,nữ,thôi
0,0.04544011949711071,0.05977488119539552,0.026490595274632725,0.026490595274632725,0.03705482144684017,0.05138958314512499,0.05138958314512499,0.03705482144684017,0.02988744059769776,0.03705482144684017,0.03705482144684017,0.024519515029002962,0.02988744059769776,0.006608307138439483,0.02988744059769776,0.01693343954173882,0.025694791572562495,0.025694791572562495,0.01693343954173882,0.02988744059769776,0.02988744059769776,0.02988744059769776,0.01693343954173882,0.018527410723420085,0.05977488119539552,0.025694791572562495,0.020412678486458773,0.02988744059769776,0.025694791572562495,0.02988744059769776,0.02988744059769776,0.025694791572562495,0.02988744059769776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,0.03242296876598515,,,,,,0.011564537492269095,,0.05926703839608587,,,,,,,,0.03242296876598515,,,,,,,,,,0.03572218735130285,0.04496588525198437,0.05230302104597108,0.05230302104597108,0.039760104559971865,0.04496588525198437,0.05230302104597108,0.05230302104597108,0.039760104559971865,0.05230302104597108,0.03242296876598515,0.023179270865303636,0.039760104559971865,0.05230302104597108,0.039760104559971865,0.05230302104597108,0.05230302104597108,0.04496588525198437,0.0648459375319703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.15904041823988746,,0.09271708346121454,0.09271708346121454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2593837501278812,0.2593837501278812,0.17986354100793747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.041488804758231516,0.10915413087854835,0.024187065250751618,0.024187065250751618,,,,,,,,0.022387383287350533,,,,,,,,,,,,,,,,,,,,,,,0.04692092374120108,,,,,,,0.041488804758231516,,,,,,,,,,,,,,0.054577065439274174,0.06766532612031684,0.054577065439274174,0.054577065439274174,0.06766532612031684,0.06766532612031684,0.054577065439274174,0.037275325931794286,0.037275325931794286,0.06766532612031684,0.06766532612031684,0.06766532612031684,0.054577065439274174,0.04692092374120108,0.06766532612031684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.019867946455974544,0.019867946455974544,,,,,,,,,,0.009912460707659224,,,,,0.05080031862521646,,,,,0.05558223217026026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04483116089654664,,,0.038542187358843745,0.05558223217026026,0.11116446434052052,0.11116446434052052,0.06816017924566606,0.05558223217026026,0.04483116089654664,0.08966232179309327,0.05558223217026026,0.05558223217026026,0.07708437471768749,0.05558223217026026,0.04483116089654664,0.05558223217026026,0.04483116089654664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,0.02312907498453819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0648459375319703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10460604209194216,0.10460604209194216,0.1296918750639406,0.1296918750639406,0.10460604209194216,0.10460604209194216,0.1296918750639406,0.0714443747026057,0.1296918750639406,0.10460604209194216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.02927907898775196,0.02927907898775196,,,,,,,,0.027100516611003274,,,,,,,,,,,0.03743181372384371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06606697395280557,,,,,,,,,,,,,,,,,,,0.06606697395280557,0.08191065793512038,0.08191065793512038,0.06606697395280557,0.06606697395280557,0.08191065793512038,0.06606697395280557,0.06606697395280557,0.06606697395280557,0.08191065793512038,0.0316873679646296,0.06606697395280557,0.08191065793512038,0.06606697395280557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.02927907898775196,0.02927907898775196,,,,,,,,0.027100516611003274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04512276297006676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0316873679646296,,,0.06606697395280557,0.08191065793512038,0.08191065793512038,0.06606697395280557,0.056799012949874994,0.056799012949874994,0.16382131587024076,0.08191065793512038,0.08191065793512038,0.08191065793512038,0.056799012949874994,0.08191065793512038,0.05022328997049078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,0.07355854508700889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15894357164779635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13632035849133212,0.22232892868104104,0.22232892868104104,0.22232892868104104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,0.018389636271752222,,0.01982492141531845,,,,,,,,,,,,,,,0.038542187358843745,,,,,,,,,,,,,,,,,0.03408008962283303,,,,,,,,,,,,,,,,,0.03061901772968816,,,,,,,,,,,,0.03408008962283303,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04483116089654664,,,0.021502142547427227,,,,,,0.08966232179309327,0.038542187358843745,0.038542187358843745,,,,,,,,,,,,0.04483116089654664,0.04483116089654664,0.03061901772968816,0.05558223217026026,0.05558223217026026,0.05558223217026026,0.05558223217026026,0.05558223217026026,0.05558223217026026,0.038542187358843745,0.05558223217026026,0.05558223217026026,0.05558223217026026,0.05558223217026026,0.05558223217026026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.028065956159980143,,,,,,,,,,,0.030288812682886013,,0.008163202935719361,,,,,,,,,0.020917778257442073,,,,0.02521566165974319,,,,,,,,,,,0.028065956159980143,0.03174062488375367,,,,,,0.01636183825786139,,,0.028065956159980143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03174062488375367,,,,,,0.03691977956186194,,,,,,0.02521566165974319,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028065956159980143,,,,,,,,,,,,,,0.03174062488375367,,,,,,0.09154720592748748,0.04577360296374374,0.04577360296374374,0.04577360296374374,0.04577360296374374,0.03691977956186194,0.03174062488375367,0.04577360296374374,0.04577360296374374,0.03691977956186194,0.04577360296374374,0.04577360296374374,0.03691977956186194,0.04577360296374374,0.04577360296374374,0.02521566165974319,0.04577360296374374,0.04577360296374374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,0.025231718164950755,,0.06465495097754823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08674931903993863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11411568228211873,,,,,,,,,0.11411568228211873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08674931903993863,0.14148204552429886,0.11411568228211873,0.14148204552429886,0.11411568228211873,0.14148204552429886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,0.010301898162357171,0.010301898162357171,,0.019984837889770832,0.019984837889770832,0.014410208340437844,0.023245787131542704,,,0.019070733911446747,,0.010279588882016973,,,,,,,,,0.01317045297690797,,,,0.015876527711690156,,,,,,,,,,,0.017671157582209718,,,,,,0.014410208340437844,0.020603796324714343,,,,,,,,,,,,,0.023245787131542704,0.023245787131542704,,,0.023245787131542704,,0.03175305542338031,,,,,,,,,,,0.035342315164419436,,,,,,0.019984837889770832,,,,,,,,,,,,,,,0.023245787131542704,,,0.023245787131542704,,,0.023245787131542704,,,,,,,,,,,,,,,,,,,,0.017671157582209718,,,,,,0.015876527711690156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04649157426308541,0.028820416680875687,0.023245787131542704,0.023245787131542704,0.023245787131542704,0.028820416680875687,0.028820416680875687,0.028820416680875687,0.017671157582209718,0.028820416680875687,0.028820416680875687,0.028820416680875687,0.028820416680875687,0.028820416680875687,0.023245787131542704,0.017671157582209718,0.057640833361751374,0.019984837889770832,0.057640833361751374,0.028820416680875687,0.028820416680875687,0.028820416680875687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05977488119539552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05977488119539552,0.04544011949711071,,,,,,,0.07410964289368034,0.07410964289368034,0.07410964289368034,0.07410964289368034,0.04544011949711071,0.05977488119539552,0.07410964289368034,0.07410964289368034,0.05977488119539552,0.07410964289368034,0.05977488119539552,0.07410964289368034,0.04544011949711071,0.05138958314512499,0.07410964289368034,0.07410964289368034,0.07410964289368034,0.07410964289368034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,0.013245297637316363,0.013245297637316363,,0.025694791572562495,0.025694791572562495,0.018527410723420085,,,,0.036779272543504445,0.05977488119539552,0.006608307138439483,0.02988744059769776,0.03386687908347764,0.025694791572562495,0.025694791572562495,0.01693343954173882,0.02988744059769776,0.02988744059769776,0.02988744059769776,0.01693343954173882,0.018527410723420085,0.08966232179309327,0.05138958314512499,0.020412678486458773,0.02988744059769776,0.025694791572562495,0.02988744059769776,0.02988744059769776,0.025694791572562495,0.02988744059769776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020412678486458773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02988744059769776,,,,,,,,,,,,,,0.022720059748555354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03705482144684017,0.03705482144684017,0.025694791572562495,0.02988744059769776,0.018527410723420085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
