,giữ,giùm,bộ,sưu,tập,ảnh,dogma,việt,nam,nhuệ,khí,chiến,đấu,vừa,được,nhà,tầm,domonic,scriven,giới,thiệu,đến,khán,giả,vào,ngày,18,12,tại,bảo,tàng,mỹ,thuật,tphcm,hơn,100,tác,phẩm,tranh,cổ,động,do,các,họa,sĩ,cách,mạng,sáng,phục,vụ,cho,cuộc,thần,thánh,của,dân,tộc,ta,trưng,bày,đã,khiến,người,xem,ngỡ,ngàng,từ,những,câu,khẩu,hiệu,“má,con,cùng,đánh,mỹ”,“thừa,thắng,xông,tới”,“anh,đi,xóm,làng,3,đảm,nhiệm,em,lo”,hình,cô,du,kích,hành,quân,đều,thể,hiện,ý,chí,quyết,tâm,và,tinh,toàn,trong,nước,nhiều,điêu,khắc,gia,qua,khi,triển,lãm,hết,sức,xúc,cựu,binh,trần,thị,phương,dung,từng,cầm,cọ,hai,kháng,rưng,“tôi,chưa,bao,giờ,nghĩ,bức,mấy,chục,năm,về,trước,lại,gìn,hôm,nay,xuất,công,chúng,như,thế,này”,để,có,này,anh,bạn,không,ngại,khó,mọi,miền,đất,quản,suốt,15,lưu,trú,ông,biết,“tranh,là,một,loại,độc,đáo,quý,hiếm,trên,đặc,biệt,đóng,vai,trò,quan,trọng,vì,đó,thức,đối,thoại,giữa,nhân,tuy,vậy,giá,nhận,điều,tôi,trung,lại”,khẳng,định,muốn,thương,mại,hóa,nhưng,rất,chia,sẻ,cũng,nên,in,sách,dễ,dàng,tiếp,cận,lúc,trầm,trồ,thì,ai,buột,miệng,“nhưng,bây,ngoài,rồi”,quả,thật,phải,ghi,cảm,ơn,trân,“giữ,giùm”,trị,mà,đáng,lý,ra,làm
0,0.0162718916575125,0.032543783315025,0.024407837486268746,0.032543783315025,0.0162718916575125,0.01964861426854763,0.024407837486268746,0.023025336879582765,0.023025336879582765,0.032543783315025,0.032543783315025,0.013652702116754218,0.0162718916575125,0.032543783315025,0.011512668439791382,0.0162718916575125,0.01964861426854763,0.01964861426854763,0.01964861426854763,0.01964861426854763,0.032543783315025,0.013652702116754218,0.032543783315025,0.032543783315025,0.032543783315025,0.032543783315025,0.032543783315025,0.032543783315025,0.01964861426854763,0.024407837486268746,0.032543783315025,0.01964861426854763,0.01964861426854763,0.032543783315025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,0.016723888647998956,,0.011832464785341142,,,,,,,,,,,,,,,,,,,,0.03344777729599791,0.03344777729599791,0.04038881821868124,0.02508583297199843,0.023664929570682284,0.016723888647998956,0.014031943842219612,0.03344777729599791,0.02019440910934062,0.02019440910934062,0.02019440910934062,0.03344777729599791,0.03344777729599791,0.02508583297199843,0.03344777729599791,0.03344777729599791,0.016723888647998956,0.014031943842219612,0.02019440910934062,0.03344777729599791,0.014031943842219612,0.016723888647998956,0.02508583297199843,0.02508583297199843,0.03344777729599791,0.03344777729599791,0.008361944323999478,0.03344777729599791,0.008361944323999478,0.02019440910934062,0.03344777729599791,0.03344777729599791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,0.02020599913279624,0.024082399653118498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048164799306236995,0.012041199826559249,0.048164799306236995,0.048164799306236995,0.048164799306236995,0.048164799306236995,0.048164799306236995,0.03612359947967774,0.048164799306236995,0.048164799306236995,0.048164799306236995,0.048164799306236995,0.048164799306236995,0.048164799306236995,0.048164799306236995,0.02907994911745049,0.048164799306236995,0.048164799306236995,0.048164799306236995,0.048164799306236995,0.048164799306236995,0.048164799306236995,0.048164799306236995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,0.05592297907202018,,,,,,,,,,,,,,,,0.038857690639992774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04631230702522788,0.038857690639992774,,,0.038857690639992774,,,,,,,,,,,,,0.04631230702522788,,,,,,,,,,,,,,,,,,,,,,0.05592297907202018,0.09262461405045576,0.09262461405045576,0.09262461405045576,0.09262461405045576,0.09262461405045576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.028669523396569637,,,,,,,,,,,0.024054760872376478,0.057339046793139274,,,,,,,,,,,,,,,,,,,,,,,,,,0.0202842253462991,,,,,,,,,,,,,0.024054760872376478,0.03461898704458392,,0.024054760872376478,0.028669523396569637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043004285094854454,0.057339046793139274,0.043004285094854454,0.057339046793139274,0.057339046793139274,0.057339046793139274,0.057339046793139274,0.0202842253462991,0.043004285094854454,0.057339046793139274,0.024054760872376478,0.03461898704458392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,0.038857690639992774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05592297907202018,0.05592297907202018,,,,,,,0.038857690639992774,,,,,,,,,0.02315615351261394,,0.02315615351261394,,,,,0.02315615351261394,,,,,,,,,,,,,,0.05592297907202018,,,,,,,,,,,,,,,,,,,,,,,,,,0.09262461405045576,0.09262461405045576,0.09262461405045576,0.09262461405045576,0.09262461405045576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,0.05051499783199061,,,,,,,,,,,,,,,,,,,0.05051499783199061,,,,,,,,,,,,,,,,,,,,,,,0.07269987279362623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09030899869919436,,,,,,,,,,,,,,,,,0.12041199826559248,0.09030899869919436,0.09030899869919436,0.09030899869919436,0.09030899869919436,0.12041199826559248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.010380344678068316,,,,,,,,,,,0.01741896476965193,,,0.007344288487453122,,,,,,,,,,,,,,,,,,,,,,0.02506892165297456,,0.014688576974906244,0.020760689356136633,0.01741896476965193,,,0.01253446082648728,0.01253446082648728,,,0.03114103403420495,,,,0.008709482384825966,,,,,,,,,0.005190172339034158,,0.005190172339034158,,,,,0.005190172339034158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015570517017102475,,,,,0.007344288487453122,,,0.008709482384825966,,,,,,,,,,,,,0.020760689356136633,0.020760689356136633,0.020760689356136633,0.020760689356136633,0.020760689356136633,0.020760689356136633,0.020760689356136633,0.020760689356136633,0.020760689356136633,0.020760689356136633,0.020760689356136633,0.041521378712273266,0.020760689356136633,0.020760689356136633,0.020760689356136633,0.015570517017102475,0.020760689356136633,0.01253446082648728,0.020760689356136633,0.020760689356136633,0.015570517017102475,0.020760689356136633,0.03114103403420495,0.015570517017102475,0.015570517017102475,0.020760689356136633,0.020760689356136633,0.020760689356136633,0.020760689356136633,0.01253446082648728,0.015570517017102475,0.01253446082648728,0.020760689356136633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.021502142547427227,0.043004285094854454,0.014334761698284819,,,0.0202842253462991,0.01014211267314955,,,,,,0.01014211267314955,0.014334761698284819,0.03461898704458392,0.01730949352229196,0.01730949352229196,,,0.012027380436188239,,,,,,,0.01730949352229196,0.021502142547427227,,,,,,,,,,,,,0.01730949352229196,,,,,,,,,,,,,,,,,,0.007167380849142409,,0.007167380849142409,,,,,,,,,,,0.021502142547427227,,,,,,,,0.01730949352229196,,,,,,,,,,,,,,,,,,,,,0.01014211267314955,,,0.012027380436188239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021502142547427227,,,,,,,,,,,,,0.03461898704458392,0.028669523396569637,0.01730949352229196,0.028669523396569637,0.028669523396569637,0.01730949352229196,0.028669523396569637,0.028669523396569637,0.021502142547427227,0.028669523396569637,0.028669523396569637,0.028669523396569637,0.028669523396569637,0.028669523396569637,0.028669523396569637,0.028669523396569637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,0.03304539672437556,,,,,,,,,,,,0.03304539672437556,0.03304539672437556,,,,,,,0.02736636324218011,0.022961362650904822,,,,,,,,,,0.02736636324218011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03304539672437556,,,,,,,,,,,,,0.019362215103285504,,,,,,,,,,,,,0.041049544863270164,0.041049544863270164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03304539672437556,,,,,,,,,,,,,,,,,,0.041049544863270164,0.03304539672437556,0.05473272648436022,0.03304539672437556,0.041049544863270164,0.05473272648436022,0.05473272648436022,0.05473272648436022,0.03304539672437556,0.05473272648436022,0.05473272648436022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,0.015776619713788187,0.015776619713788187,,,,,,,0.02229851819733194,,,,,,,,,,,,,0.026925878812454156,,,,,,,,,,0.015776619713788187,0.02229851819733194,0.018709258456292815,,,,,,,,,,,,,,,0.02229851819733194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026925878812454156,,,,,,,,,,,,,0.015776619713788187,,,,0.026925878812454156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026925878812454156,0.033447777295997905,,,,,,,0.04459703639466388,0.04459703639466388,0.04459703639466388,0.04459703639466388,0.04459703639466388,0.04459703639466388,0.033447777295997905,0.04459703639466388,0.02229851819733194,0.033447777295997905,0.04459703639466388,0.04459703639466388,0.04459703639466388,0.04459703639466388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.03762874945799765,,,,,,,0.02662304576701757,0.02662304576701757,,,,,,0.02662304576701757,,,,,,,,,,,,,,,,,,,,,,,,0.02662304576701757,,,,,,,,,,,,,,,,,,,,,,,,0.018814374728998825,,,,,0.018814374728998825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045437420496016394,,,,,,0.05644312418699647,0.05644312418699647,,,,,,,,,,,0.045437420496016394,,,0.045437420496016394,,,,,,,,,,,,,,,,,,,0.045437420496016394,,,,,,,,,,,,,,,,,0.0752574989159953,0.0752574989159953,0.05644312418699647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,0.04631230702522788,0.09262461405045576,,,,,,,,,,0.03276682555940624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02315615351261394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05592297907202018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04631230702522788,0.06946846053784181,,,,,,,,0.06946846053784181,0.06946846053784181,0.09262461405045576,0.09262461405045576,0.09262461405045576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,0.013683181621090055,0.01652269836218778,0.020524772431635082,0.009681107551642752,0.009681107551642752,,,,,,,,,,,0.01652269836218778,,0.011480681325452411,,,,,,,,,,,,,,,,,0.009681107551642752,,,,,,,,,,,,0.02736636324218011,,,,,,,,,,0.006841590810545028,,0.013683181621090055,,,,,0.006841590810545028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011480681325452411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01652269836218778,,,,,,,,,,,,0.01652269836218778,0.020524772431635082,0.01652269836218778,,0.01652269836218778,,,,,0.01652269836218778,,,0.020524772431635082,,,,,,,,0.020524772431635082,0.01652269836218778,,,,,,,0.01652269836218778,,,,,,,,,,,,,,,,,,,,,,,,,0.02736636324218011,0.02736636324218011,0.05473272648436022,0.02736636324218011,0.02736636324218011,0.02736636324218011,0.02736636324218011,0.02736636324218011,0.02736636324218011,0.02736636324218011,0.02736636324218011,0.02736636324218011,0.02736636324218011,0.02736636324218011,0.02736636324218011,0.02736636324218011,0.02736636324218011,0.02736636324218011,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021382315527537128,0.021382315527537128,,,,0.042764631055074255,0.053122940411290794,,,,,0.021382315527537128,,,,,,,,,,,,0.014857352303526649,,,,,,0.0177076468037636,,0.0177076468037636,0.021382315527537128,,,,0.0088538234018818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014857352303526649,0.021382315527537128,,,,,,,0.026561470205645397,0.026561470205645397,,,,,,,,,,,,,,,,,,,0.026561470205645397,,,,,,,0.026561470205645397,,,,,,,,,,,,,0.021382315527537128,,,,,,,,,,,,,,,,,0.021382315527537128,,,,,,,,,,,,,,,,0.0177076468037636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0354152936075272,0.0354152936075272,0.0354152936075272,0.0354152936075272,0.0354152936075272,0.0354152936075272,0.0354152936075272,0.0354152936075272,0.0354152936075272,0.0354152936075272,0.0354152936075272,,,,,,,,,,,,,,,
15,,,,0.014001395147161916,,,,0.009906249587727468,0.009906249587727468,,,,,,,0.014001395147161916,0.016906947161308427,0.016906947161308427,0.016906947161308427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016906947161308427,,0.01174767391441642,0.014001395147161916,0.02100209272074287,0.04200418544148574,,,0.007000697573580958,,0.014001395147161916,,,,,0.007000697573580958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019812499175454936,0.02100209272074287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016906947161308427,,,,,,,,,,,,,,,,,,,,,0.016906947161308427,,,,,,,,,,,,,,,,0.02100209272074287,,0.014001395147161916,,,,,,,,0.02100209272074287,0.02100209272074287,0.02100209272074287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028002790294323832,0.028002790294323832,0.056005580588647665,0.028002790294323832,0.028002790294323832,0.028002790294323832,0.028002790294323832,0.028002790294323832,0.028002790294323832,0.028002790294323832,0.028002790294323832,0.028002790294323832,0.028002790294323832,0.028002790294323832,0.028002790294323832
