,quá,ít,các,em,thiếu,nhi,nô,nức,đến,rạp,măng,non,xem,kịch,rối,trong,thời,buổi,game,online,trò,chơi,điện,tử,phát,triển,ồ,ạt,như,hiện,nay,với,vô,số,những,bạo,lực,kích,động,thì,nhiều,bậc,cha,mẹ,đang,cố,tìm,sân,điểm,sinh,hoạt,văn,hóa,nhất,là,khấu,dành,cho,để,đưa,đi,tránh,tình,trạng,con,cái,suốt,ngày,“nhốt,mình”,thế,nhưng,“điểm,sáng”,idecaf,nhà,ở,một,quận,huyện,của,tphcm,đã,và,gầy,dựng,đội,tuy,nhiên,đa,này,chỉ,mang,tính,phong,trào,tự,chủ,yếu,theo,“mùa”,có,được,mạnh,chưa,thể,đáp,ứng,hết,nhu,cầu,giải,trí,càng,cao,4,trung,tâm,“tuổi,xanh”,tân,bình,“one,two,three”,7,“tò,tí,te”,bè,“cá,cơm,con”,11,“búp,bê”,1,ngọc”,“nụ,cười”,phần,bản,còn,vay,mượn,từ,truyện,nước,ngoài,về,lâu,dài,chúng,ta,rất,cần,cuộc,vận,sáng,tác,nào,hạn,chế,khan,hiếm,nay…”,giả,đạo,diễn,trẻ,hoàng,duẩn,người,làm,rằng,bên,cạnh,sự,quan,việc,thực,vở,chương,trình,từng,lứa,tuổi,khi,đó,nhận,thức,khác,nhau…,lúc,cơ,hội,lại,chuyển,qua,chuyên,nghiệp,thành,phố,đơn,vị,nghệ,thuật,nhảy,vào,khai,thác,mảnh,đất,khá,màu,mỡ,sớm,thu,công,định,ca,múa,nhạc,“ngày,xửa,xưa”,10,đặc,biệt,hai,9,ra,năm,2005,tạo,nên,“cơn,sốt,vé”,xưa,10”,aladin,và…,đủ,thứ,thần,24,suất,phục,vụ,khoảng,000,lượt,khán,tiếp,nữa,giám,đốc,huỳnh,anh,tuấn,phấn,khởi,“chúng,tôi,mừng,ủng,hộ,trăn,trở,lớn,mới,nội,chứ,gì,vùng,ven,ngoại,sẵn,muốn,nơi,miễn,phí,nghèo,khó,giá,hỗ,trợ,kinh,mỗi,3,triệu,đồng,sàng,em…”,xiếc,tiết,mục,cũ,sở,tạm,bợ,trên,địa,bàn,đoàn,phù,hợp,tế,cạn,loại,hình,hầu,phải,nsưt,đức,trưởng,chi,100,dàn,xong,rồi,không,hồi,vốn,cách,mấy,“truyền,thuyết,nêaki”,“thánh,gióng”…,thêm,“đại,doanh”,nằm,thuận,lợi,193,nam,kỳ,nghĩa,bất,tiện,giữ,xe,nghỉ,chân,trước,chẳng,trách,2004,nhật,hàng,tuần,thay,vì,2,đây,đúng,giờ,đinh,thiên,phó,ty,hoa,phượng,đỏ,thường,xuyên,trường,mầm,5,biết,“nếu,tốt,hơn,ghế,20,lượng,rối”,mặc,dù,gần,gắng,ngũ,viên,chỉnh,trang,bạt,tại,23,chăm,chút,vẫn,sức,hấp,dẫn,lôi,kéo,đông,đảo,mà,đầu,tư,sĩ,hồ,nói,“hiện,tương,xứng,cấp,trả,lương,17,tỷ,cán,bộ,nhân,14,300,trải,tiền,thoại…,nếu,sẽ,qui,mô,hoành,tráng,hơn”,điều,đáng,ngơi,an,tập,luyện,“tạm,trú”,kiện,tất,cả,vật,chất,chỉ…,“an,cư”,sao,“lạc,nghiệp”,cũng,lai,sắc,thấy,vậy,hiển,nắm,bắt,lần,tiên,kết,giữa,dịp,giáng,ngay,vé,hát,bán,phú,nhuận,“bà,bầu”,hồng,vân,làng,“xứ,tiên”,biểu,“sau,mắt,tay,tết,“sơn,tinh,thủy,tinh”,mùa,hè,2006,sài,gòn,“ông,phước,sang,quy,rộng,rãi,nhi”,xã,khánh,đề,án,tài,quốc,tỉnh,thân,nhi…”,riêng,lẻ,hoạch,chiến,lược,đại,thiết
0,0.01684265070689202,0.020469518124530347,0.011289664649584216,0.01794524084088419,0.00644834313679594,0.006843292924462671,0.020469518124530347,0.020469518124530347,0.008972620420442095,0.011094201854847895,0.01684265070689202,0.014721069272486223,0.02218840370969579,0.007048513879869663,0.007467334437209566,0.00842132535344601,0.020469518124530347,0.020469518124530347,0.040939036249060694,0.040939036249060694,0.040939036249060694,0.06140855437359104,0.01684265070689202,0.020469518124530347,0.012048192771084338,0.013215783289253692,0.020469518124530347,0.020469518124530347,0.00842132535344601,0.003840467019571239,0.005962048453977037,0.020575228055946075,0.01684265070689202,0.0066607466103347085,0.010691506005607537,0.020469518124530347,0.020469518124530347,0.020469518124530347,0.011094201854847895,0.008972620420442095,0.00842132535344601,0.020469518124530347,0.020469518124530347,0.020469518124530347,0.009588915871615365,0.013215783289253692,0.020469518124530347,0.013321493220669417,0.013215783289253692,0.014721069272486223,0.013215783289253692,0.014721069272486223,0.014721069272486223,0.013215783289253692,0.007922618303346915,0.007048513879869663,0.013215783289253692,0.0066607466103347085,0.010287614027973038,0.012048192771084338,0.01684265070689202,0.020469518124530347,0.01684265070689202,0.01684265070689202,0.01684265070689202,0.020469518124530347,0.020469518124530347,0.008972620420442095,0.020469518124530347,0.020469518124530347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4604093769761876,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,0.019114731441216535,0.0202854754546572,,,,,,,,0.020893809001042214,0.022135312796014068,,,,,,,,,,,,,,,0.011384241522300458,0.017673215060003356,,,0.01974435602349217,0.01584633925831117,,,,,,,,,,0.02842428633371697,,,,,,,,,,,,0.039175357607430586,0.01974435602349217,,,,,,,,,,,,,,,0.06067750015485781,0.06067750015485781,0.03288638406972769,0.02659741053202478,0.03288638406972769,0.01673289581991946,0.043637455343441295,0.0499264288811442,0.020893809001042214,0.022135312796014068,0.03288638406972769,0.02659741053202478,0.06067750015485781,0.03571428571428571,0.03571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,0.047619047619047616,,,,,,,,,0.026325808031322895,0.02112845234441489,,,,0.04384851209297025,,,,,,,,,,,,0.05223381014324078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035463214042699705,,,0.047619047619047616,0.05223381014324078,0.047619047619047616,0.0665685718415256,0.04384851209297025,0.031313205675133036,0.08090333353981041,0.08090333353981041,0.08090333353981041,0.08090333353981041,0.05223381014324078,0.05223381014324078,0.05818327379125506,0.05818327379125506,0.08090333353981041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.03123473886384966,0.024824249829889795,0.0178404160118021,0.01893311042434672,,,,,,,,0.019500888400972735,0.0206596252762798,,,,,,,,,,,,,,,,,,,,0.014789916641090424,,,,,,0.02329900014453396,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024824249829889795,,,,,,,,0.024824249829889795,,,,,0.019500888400972735,,,,,,0.03333333333333333,,,,,,,,,,,,,,,0.011884910783793754,0.012558356986736652,0.05663233347786729,0.0413192505525596,0.0284623988107254,0.030693958465079173,0.030693958465079173,0.04072829165387855,0.0284623988107254,0.0284623988107254,0.05663233347786729,0.05663233347786729,0.05663233347786729,0.04659800028906792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,0.023401066081167283,0.037187325497303636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014894549897933878,0.018416375079047503,,0.09774789996930851,0.027958800173440754,,,,,,,0.12,,,,,,,,,,,,,,,0.04278567882165751,,,,,,,,,,,,,,0.027958800173440754,0.033979400086720374,0.024436974992327127,0.06795880017344075,0.033979400086720374,0.033979400086720374,0.033979400086720374,0.033979400086720374,0.033979400086720374,0.033979400086720374,0.033979400086720374,0.033979400086720374,0.033979400086720374,0.033979400086720374,0.033979400086720374,0.033979400086720374,0.033979400086720374,0.033979400086720374,0.033979400086720374,0.033979400086720374,0.033979400086720374,0.02193820026016113,0.033979400086720374,0.033979400086720374,0.033979400086720374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,0.053184241093562006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12708545533382162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1110771590560324,0.1110771590560324,0.05977975628889035,0.1544518185760017,0.1544518185760017,0.0997190920916415,0.1544518185760017,0.07235272884946138,0.1544518185760017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,0.007232601085865716,0.00767558530716759,,,,,,,,0.03162306227184768,,,,,,,,,,,,,,,0.018891081198270782,0.008615101692551698,,,,,0.011991824303586831,,,,0.024886993350064196,,,,,,,,,0.01494167482858867,,,,,,,,0.01581153113592384,0.02964621656778531,0.01494167482858867,0.02307762065734492,,,,0.037782162396541565,0.037782162396541565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009636414149021964,0.010182451610867557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033022939178820446,0.06604587835764089,,,,,,,,0.037782162396541565,0.037782162396541565,0.037782162396541565,0.02151027073902906,0.033022939178820446,0.02702702702702703,0.037782162396541565,0.04591810822529781,0.037782162396541565,0.04591810822529781,0.037782162396541565,0.037782162396541565,0.02964621656778531,0.02964621656778531,0.04591810822529781,0.04591810822529781,0.04591810822529781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,0.010494362359883588,0.011137123779027484,,,0.014602499899935175,,,,,0.011471110824101608,,0.013705294202667036,,,,,,,,,0.0392156862745098,0.021508039470746206,,,,0.012500343632329915,0.00970294160157047,,,0.010840038601132957,0.017399901930694617,,,,,,0.013705294202667036,,,,,,,0.010840038601132957,,,,,,0.021508039470746206,,0.011471110824101608,,0.010840038601132957,,,,,,,,,,,,,,,,,,,,0.009186687901132253,,,,,,,,,,,,,,,,,,,0.021508039470746206,,,0.023957818619928555,,,,,0.012152720750752823,,,,,,,,,,,,,0.023957818619928555,,,,,,,,,,,,,,,,,,,,,,,,,0.012893672925054781,,,,,,,,,,0.015605490536158338,0.023957818619928555,,,,,,0.02741058840533407,,,,,,,0.021508039470746206,0.03331313733992194,0.008699950965347309,0.02741058840533407,0.02741058840533407,0.03331313733992194,0.03331313733992194,0.02741058840533407,0.03331313733992194,0.03331313733992194,0.03331313733992194,0.016742587535720825,0.03331313733992194,0.016742587535720825,0.00970294160157047,0.021508039470746206,0.009186687901132253,0.009186687901132253,0.02741058840533407,0.023957818619928555,0.023957818619928555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.026028949053208048,0.01379124990549433,0.014867013343168416,0.015777592020288934,,,,,,,,0.010833826889429295,0.01147756959793322,0.02588777793837107,,,,,,,,,0.037037037037037035,0.020313148389038083,,,,,,,,,0.008216620356161346,,,,,0.01379124990549433,,,,,0.014738518839705096,,,0.010237814234403347,,,,,,,,0.010833826889429295,,,,,,,,,,,,,,,,,,,,0.01379124990549433,0.03410439829453241,,,,0.02166765377885859,,,,,,,,,,,,,,,,0.020313148389038083,,,,,0.006602728213218752,0.006976864992631473,,0.01147756959793322,,0.017052199147266207,0.017052199147266207,,0.01581244378373633,0.01581244378373633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02588777793837107,0.02262682869659919,0.02262682869659919,0.014738518839705096,0.020313148389038083,0.03146240748770405,0.03146240748770405,0.020313148389038083,0.03146240748770405,0.02588777793837107,0.020313148389038083,0.02588777793837107,0.017052199147266207,0.03146240748770405,0.03146240748770405,0.03146240748770405,0.03146240748770405,0.01379124990549433,0.018518518518518517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
